chu_lemma|orv_lemma|pos|lcs_lemma|conj_type
съконьчаниѥ|съконьчание|Nb|sъkonьčǢnьje|nt_jo
оусѣкнѫти|усѣкнути|V-|usěknǫti|21
прѣданиѥ|прѣдание|Nb|perdanьje|nt_jo
падати|падати|V-|padati|54
ископати|ископати|V-|jьskopati|54
обѣдъ|обѣдъ|Nb|obědъ|masc_o
осѫждениѥ|осужение|Nb|osǫђenьje|nt_jo
красьнъ|красьныи|A-|krasьnъ|adj_hard
поразити|поразити|V-|poraziti|40
тѫжити|тужити|V-|tǫžiti|40
игемонъ|игемонъ|Nb|iǵemonъ|masc_o
прѣѩти|переяти|V-|per+jęti|12
двиѕати|двизати|V-|dvigati|52
оужасъ|ужасъ|Nb|užǢsъ|masc_o
прикасати|прикасати|V-|prikasati|54
тъщь|тъщии|A-|tъščь|adj_soft
съвѣтьникъ|съвѣтьникъ|Nb|sъvětьnikъ|masc_o
оутврьждати|утвьржати|V-|utvŕ̥ђǢti|54
мꙑшьца|мышьца|Nb|myšьka|fem_a_PV3
благоволѥниѥ|благоволение|Nb|bolgovoĺenьje|nt_jo
дроужина|дружина|Nb|družina|fem_a
основаниѥ|основание|Nb|osnovanьje|nt_jo
възвѣщати|възвѣщати|V-|vъzvěšћǢti|54
безоумьнъ|безумьныи|A-|bezumьnъ|adj_hard
нива|нива|Nb|ńiva|fem_a
прѣпоꙗсати|прѣпоясати|V-|perpojǢsati|52
трѣба|тереба|Nb|terba|fem_a
подражати|подражати|V-|podražǢti|54
оутѣшити|утѣшити|V-|utěšiti|40
вьнегда|вънегда|Dq|vъńegъda|
лѫкъ|лукъ|Nb|lǫkъ|masc_o
сълъгати|сълъгати|V-|sъlъgati|52
призꙑвати|призывати|V-|prizyvati|54
мѣнити|мѣнити|V-|měniti|40
въздоухъ|въздухъ|Nb|vъzduxъ|masc_o
обои|обои|Ma|obojь|pron_soft
доньдеже|доньдеже|G-|dońьdeže|
ѥдъва|едъва|Df|jedъva|
любо|любо|C-|ĺubo|
посрамити|посрамити|V-|posormiti|40
ланита|ланита|Nb|olnita|fem_a
отъвратити|отъворотити|V-|otъvortiti|40
соломонъ|соломонъ|Ne|solomonъ|masc_o
тлѣщи|тлѣщи|V-|telћi|14
основати|основати|V-|osnovati|61
жещи|жечи|V-|žeћi|11
мрьтвьць|мьртвьць|Nb|mŕ̥tvьkь|masc_o_PV3
ожити|ожити|V-|ožiti|11
очищати|очищати|V-|očišћǢti|54
сапогъ|сапогъ|Nb|sapogъ|masc_o
прахъ|порохъ|Nb|porxъ|masc_o
класъ|класъ|Nb|kolsъ|masc_o
елеоньскъ|елеоньскыи|A-|eleonьskъ|adj_hard
съсати|съсати|V-|sъsati|51
людьскъ|людьскыи|A-|ĺudьskъ|adj_hard
величати|величати|V-|veličǢti|54
каиꙗфа|каияфа|Ne|kajijǢfa|masc_a
погребениѥ|погребение|Nb|pogrebenьje|nt_jo
оуспѣти|успѣти|V-|uspěti|32
гънати|гънати|V-|gъnati|51_abl
отьчьство|отьчьство|Nb|otьčьstvo|nt_o
приключити|приключити|V-|prikĺučiti|40
посадити|посадити|V-|posaditi|40
блажити|блажити|V-|bolžiti|40
повиновати|повиновати|V-|povinovati|61
начинати|начинати|V-|načinati|54
искоушениѥ|искушение|Nb|jьskušenьje|nt_jo
чѧсто|часто|Df|čęsto|
съконьчавати|съконьчавати|V-|sъkonьčǢvati|54
заклати|заколоти|V-|zakolti|16
прѣстѫпити|переступити|V-|perstǫpiti|40
пламꙑ|пламы|Nb|polmy|masc_N
погънати|погънати|V-|pogъnati|51_abl
раи|раи|Nb|rajь|masc_jo
камо|камо|Du|kamo|
въсхꙑтити|въсхытити|V-|vъsxytiti|40
раждати|ражати|V-|raђǢti|54
пооучити|поучити|V-|poučiti|40
въздꙑханиѥ|въздыхание|Nb|vъzdyxanьje|nt_jo
стѣна|стѣна|Nb|stěna|fem_a
обращати|обращати|V-|obvorћǢti|54
свѧтꙑни|святыни|Nb|svętyńi|fem_ji
наипаче|наипаче|Df|najьpače|
госпожда|госпожа|Nb|gospoђǢ|fem_ja
хꙑзина|хызина|Nb|xyzina|fem_a
родити|родити|V-|roditi|40
подобити|подобити|V-|podobiti|40
съказаниѥ|съказание|Nb|sъkazanьje|nt_jo
потопъ|потопъ|Nb|potopъ|masc_o
хꙑтрость|хытрость|Nb|xytrostь|fem_i
исходъ|исходъ|Nb|jьsxodъ|masc_o
снѣгъ|снѣгъ|Nb|sněgъ|masc_o
щедрота|щедрота|Nb|ščedrota|fem_a
прѣчистъ|прѣчистыи|A-|perčistъ|adj_hard
ложе|ложе|Nb|lože|nt_jo
оунии|унии|A-|uńь|adj_soft_comp
распѫтиѥ|роспутие|Nb|orspǫtьje|nt_jo
клѣть|клѣть|Nb|klětь|fem_i
трѫсъ|трусъ|Nb|trǫsъ|masc_o
сѫдьнъ|судьныи|A-|sǫdьnъ|adj_hard
праздьнъ|пороздьныи|A-|porzdьnъ|adj_hard
извлѣщи|извлѣщи|V-|jьzvelћi|15
стража|стража|Nb|storžǢ|fem_ja
оубииство|убииство|Nb|ubьjьstvo|nt_o
заблѫдити|заблудити|V-|zablǫditi|40
дъвои|дъвои|Ma|dъvojь|pron_soft
врьхоу|вьрху|R-|vŕ̥xu|
побити|побити|V-|pobiti|17
съмѣти|съмѣти|V-|sъměti|32
вънѣщьнь|вънѣшьнии|A-|vъněšьńь|adj_soft
пророчьскъ|пророчьскыи|A-|proročьskъ|adj_hard
мльнии|мълнии|Nb|mĺ̥dnьji|fem_ji
лоуна|луна|Nb|luna|fem_a
въпль|въпль|Nb|vъpĺь|masc_jo
млъва|мълва|Nb|ml̥va|fem_a
сьребрьникъ|сьребрьникъ|Nb|sьrebrьnikъ|masc_o
пробости|пробости|V-|probosti|11
испоустити|испустити|V-|jьspustiti|40
льстьць|льстьць|Nb|lьstьkь|masc_o_PV3
дивии|дивии|A-|divьjь|adj_soft
рождениѥ|рожение|Nb|roђenьje|nt_jo
почити|почити|V-|počiti|17
гръдꙑни|гърдыни|Nb|gr̥dyńi|fem_ji
възбранити|възборонити|V-|vъzborniti|40
съдѣлати|съдѣлати|V-|sъdělati|54
зачѧти|зачати|V-|začęti|12
въстаниѥ|въстание|Nb|vъstanьje|nt_jo
плѣньникъ|полоньникъ|Nb|pelnьnikъ|masc_o
прѣстаꙗти|прѣстаяти|V-|perstajǢti|53
оуловити|уловити|V-|uloviti|40
въздаꙗти|въздаяти|V-|vъzdajǢti|53
потъщати|потъщати|V-|potъščǢti|31
свободити|свободити|V-|svoboditi|40
иногда|иногда|Df|jьnъgъda|
вѣньчати|вѣньчати|V-|věnьčǢti|54
молѥниѥ|моление|Nb|modĺenьje|nt_jo
оустрашити|устрашити|V-|ustrašiti|40
боꙗзнь|боязнь|Nb|bojǢznь|fem_i
чистота|чистота|Nb|čistota|fem_a
помагати|помагати|V-|pomagati|54
златъ|золотыи|A-|zoltъ|adj_hard
сръдъце|сьрдьце|Nb|sŕ̥dьke|nt_o_PV3
исправлѥниѥ|исправление|Nb|jьspravĺenьje|nt_jo
степеньнъ|степеньныи|A-|stepenьnъ|adj_hard
простити|простити|V-|prostiti|40
дѫбъ|дубъ|Nb|dǫbъ|masc_o
послоушаниѥ|послушание|Nb|poslušǢnьje|nt_jo
ꙗдь|ядь|Nb|jǢdь|fem_i
съврьшати|съвьршати|V-|sъvŕ̥šǢti|54
послѣжде|послѣже|Df|poslěђe|
евангелистъ|евангелистъ|Nb|evanǵelistъ|masc_o
иноплеменьникъ|иноплеменьникъ|Nb|jьnoplemenьnikъ|masc_o
съблазнъ|съблазнъ|Nb|sъblaznъ|masc_o
блѧдь|блядь|Nb|blędь|fem_i
въздрасти|възрасти|V-|vъzorsti|11
съгрѣшати|съгрѣшати|V-|sъgrěšǢti|54
поущати|пущати|V-|pušћǢti|54
възбоудити|възбудити|V-|vъzbuditi|40
жила|жила|Nb|žila|fem_a
оубивати|убивати|V-|ubivati|54
прорещи|проречи|V-|proreћi|11
врѣтище|врѣтище|Nb|vertišče|nt_jo
прѣмѫдръ|прѣмудрыи|A-|permǫdrъ|adj_hard
разоумьнъ|разумьныи|A-|orzumьnъ|adj_hard
овьчѧ|овьча|Nb|ovьčę|nt_NT
бѣсьновати|бѣсьновати|V-|běsьnovati|61
въсиꙗти|въсияти|V-|vъsьjǢti|54
корениѥ|корение|Nb|korenьje|nt_jo
ближьнии|ближьнии|A-|bližьńь|adj_soft
прѣстѫпати|переступати|V-|perstǫpati|54
мъножицеѭ|мъножицею|Df|mъnožikejǫ|
постъ|постъ|Nb|postъ|masc_o
потрьпѣти|потьрпѣти|V-|potŕ̥pěti|31
искони|искони|Df|jьskoni|
женьскъ|женьскыи|A-|ženьskъ|adj_hard
вѧщии|вячии|A-|vęћь|adj_soft_comp
омочити|омочити|V-|omočiti|40
прискръбьнъ|прискърбьныи|A-|priskr̥bьnъ|adj_hard
растрьѕати|растьрзати|V-|orstŕ̥gati|54
жрѣбии|жеребии|Nb|žerbьjь|masc_jo
отъпоущениѥ|отъпущение|Nb|otъpušћenьje|nt_jo
непьщевати|непъщевати|V-|nepъћevati|62
трепетъ|трепетъ|Nb|trepetъ|masc_o
раба|роба|Nb|orba|fem_a
съврьшениѥ|съвьршение|Nb|sъvŕ̥šenьje|nt_jo
величиѥ|величие|Nb|veličьje|nt_jo
падениѥ|падение|Nb|padenьje|nt_jo
лоно|лоно|Nb|lono|nt_o
просвѣщати|просвѣщати|V-|prosvěћǢti|54
волъ|волъ|Nb|volъ|masc_u
прилежьно|прилежьно|Df|priležьno|
ликъ|ликъ|Nb|likъ|masc_o
плѣнити|полонити|V-|pelniti|40
приклонити|приклонити|V-|prikloniti|40
съвꙑше|съвыше|Df|sъvyše|
таи|таи|Df|taji|
наказаниѥ|наказание|Nb|nakazanьje|nt_jo
оцѣстити|оцѣстити|V-|okěstiti|40
красота|красота|Nb|krasota|fem_a
пощѧдѣти|пощадѣти|V-|poščęděti|31
пооучениѥ|поучение|Nb|poučenьje|nt_jo
оудалити|удалити|V-|udaliti|40
гѫсли|гусль|Nb|gǫslь|fem_i
лѣпота|лѣпота|Nb|lěpota|fem_a
тврьдъ|твьрдыи|A-|tvŕ̥dъ|adj_hard
цвѣтъ|цвѣтъ|Nb|květъ|masc_o
бесплътьнъ|бесплътьныи|A-|besplъtьnъ|adj_hard
скврьнавъ|сквьрнавыи|A-|skvŕ̥navъ|adj_hard
безбожьнъ|безбожьныи|A-|bezbožьnъ|adj_hard
оудобь|удобь|Df|udobь|
кръмити#1|кърмити|V-|kr̥miti|40
рѧдъ|рядъ|Nb|rędъ|masc_o_u
ниць|ниць|A-|nikь|masc_o_PV3
климентъ|климентъ|Ne|klimentъ|masc_o
такоже|такоже|Df|takože|
погꙑбати|погыбати|V-|pogybati|52
длъгъ|дългъ|Nb|dl̥gъ|masc_o
длъжьникъ|дължьникъ|Nb|dl̥žьnikъ|masc_o
оутрьнь|утрьнии|A-|utrьńь|adj_soft
брьвьно|брьвьно|Nb|brьvьno|nt_o
поꙗсъ|поясъ|Nb|pojǢsъ|masc_o
прѣтрьпѣти|прѣтьрпѣти|V-|pertŕ̥pěti|31
исконьчати|исконьчати|V-|jьskonьčǢti|54
невѣста|невѣста|Nb|nevěsta|fem_a
кошь|кошь|Nb|košь|masc_jo
толико|толико|Df|toliko|
мѫжьскъ|мужьскыи|A-|mǫžьskъ|adj_hard
бранити|боронити|V-|borniti|40
наслѣдити|наслѣдити|V-|naslěditi|40
ръпътати|ръпътати|V-|rъpъtati|52
шоуи|шуии|A-|šujь|adj_soft
оусъхнѫти|усъхнути|V-|usъxnǫti|21
посꙑлати|посылати|V-|posylati|54
зьданиѥ|зьдание|Nb|zьdanьje|nt_jo
въсплакати|въсплакати|V-|vъsplakati|52
драгъ|дорогыи|A-|dorgъ|adj_hard
почивати|почивати|V-|počivati|54
испросити|испросити|V-|jьsprositi|40
исѣщи|исѣщи|V-|jьssěћi|11
потрѣбьнъ|потрѣбьныи|A-|poterbьnъ|adj_hard
невѣрьствиѥ|невѣрьствие|Nb|nevěrьstvьje|nt_jo
вꙑше|выше|Df|vyše|
повѣсть|повѣсть|Nb|pověstь|fem_i
наити|наити|V-|najьti|jьti
ѫжика|ужика|Nb|ǫžika|fem_a
заимъ|заимъ|Nb|zajьmъ|masc_o
въжещи|въжещи|V-|vъžeћi|11
оуправити|управити|V-|upraviti|40
мьстити|мьстити|V-|mьstiti|40
сѫсѣдъ|сусѣдъ|Nb|sǫsědъ|masc_o
рамо|рамо|Nb|ormo|nt_o
оскѫдѣти|оскудѣти|V-|oskǫděti|32
срамлꙗти|соромляти|V-|sormĺǢti|54
пьрꙗ|пьря|Nb|pьŕǢ|fem_ja
никодимъ|никодимъ|Ne|nikodimъ|masc_o
кꙑи|кыи|Pr|kъjь|kъjь
пьрѣти|пьрѣти|V-|pьrěti|31
льстити|льстити|V-|lьstiti|40
влѣщи|волочи|V-|velћi|15
наказати|наказати|V-|nakazati|52
навести|навести|V-|navesti|11
желаниѥ|желание|Nb|želanьje|nt_jo
избавитель|избавитель|Nb|jьzbaviteĺь|masc_tel
пригвоздити|пригвоздити|V-|prigvozditi|40
похвала|похвала|Nb|poxvala|fem_a
благость|благость|Nb|bolgostь|fem_i
повинѫти|повинути|V-|povinǫti|22
ѥдиноѭ|одиною|Df|jedinojǫ|
врьста|вьрста|Nb|vŕ̥sta|fem_a
прьвъ|пьрвыи|A-|pŕ̥vъ|adj_hard
въводити|въводити|V-|vъvoditi|40
дъска|дъска|Nb|dъska|fem_a
благословлѥниѥ|благословление|Nb|bolgoslovĺenьje|nt_jo
тъма|тьма|Nb|tьma|fem_a
сътѧжати|сътяжати|V-|sъtęžǢti|31
обѣтъ|обѣтъ|Nb|obvětъ|masc_o
врѣщи|врѣщи|V-|verћi|14
красти|красти|V-|krasti|11
житьница|житьница|Nb|žitьnika|fem_a_PV3
лакъть|локъть|Nb|olkъtь|ten
пометати|пометати|V-|pometati|iskati
понести|понести|V-|ponesti|11
разлѫчити|разлучити|V-|orzlǫčiti|40
благовѣстовати|благовѣстовати|V-|bolgověstovati|61
расхꙑтити|расхытити|V-|orsxytiti|40
витати|витати|V-|vitati|54
съложениѥ|съложение|Nb|sъloženьje|nt_jo
мъногоцѣньнъ|мъногоцѣньныи|A-|mъnogokěnьnъ|adj_hard
невѣрьство|невѣрьство|Nb|nevěrьstvo|nt_o
рождьство|рожьство|Nb|roђьstvo|nt_o
водити|водити|V-|voditi|40
прѣдьнь|передьнии|A-|perdьńь|adj_soft
зима|зима|Nb|zima|fem_a
ковьчегъ|ковьчегъ|Nb|kovьčegъ|masc_o
расточити|росточити|V-|orstočiti|40
въторицеѭ|въторицею|Df|vъtorikejǫ|
приставити|приставити|V-|pristaviti|40
сѫботьнъ|суботьныи|A-|sǫbotьnъ|adj_hard
медъ|медъ|Nb|medъ|masc_u
припадати|припадати|V-|pripadati|54
ицѣлꙗти|исцѣляти|V-|jьskěĺǢti|54
сирѣчь|сирѣчь|Df|sirěčь|
разврѣсти|разврѣсти|V-|orzversti|14
дѣвьство|дѣвьство|Nb|děvьstvo|nt_o
хлъмъ|хълмъ|Nb|xl̥mъ|masc_o
оклеветати|оклеветати|V-|oklevetati|54
довольнъ|довольныи|A-|dovolьnъ|adj_hard
вънести|вънести|V-|vъnesti|11
вѧзати|вязати|V-|vęzati|52
строупъ|струпъ|Nb|strupъ|masc_o
досаждати|досажати|V-|dosaђǢti|54
истръгнѫти|истъргнути|V-|jьstr̥gnǫti|21
изнести|изнести|V-|jьznesti|11
гражданинъ|горожанинъ|Nb|gorђǢninъ|masc_anin
потъ|потъ|Nb|potъ|masc_o
съмѫтити|съмутити|V-|sъmǫtiti|40
кѫпѣль|купѣль|Nb|kǫpělь|fem_i
просльзити|просльзити|V-|proslьziti|40
лоза|лоза|Nb|loza|fem_a
свѣтило|свѣтило|Nb|světidlo|nt_o
грътань|гъртань|Nb|gr̥tanь|masc_i
вражии|вражии|A-|voržьjь|adj_soft
хрьбьтъ|хрьбьтъ|Nb|xrьbьtъ|masc_o
прилагати|прилагати|V-|prilagati|54
строи|строи|Nb|strojь|masc_jo
вънѣ|вънѣ|R-|vъně|
ратьникъ|ратьникъ|Nb|ortьnikъ|masc_o
приити|приити|V-|prijьti|jьti
коуръ|куръ|Nb|kurъ|masc_o
чрьноризьць|чьрноризьць|Nb|čŕ̥norizьkь|masc_o_PV3
приводити|приводити|V-|privoditi|40
елиньскъ|елиньскыи|A-|elinьskъ|adj_hard
даровати|даровати|V-|darovati|61
съпаситель|съпаситель|Nb|sъpasiteĺь|masc_tel
прибѣгати|прибѣгати|V-|priběgati|54
грѣховьнъ|грѣховьныи|A-|grěxovьnъ|adj_hard
плѣнъ|полонъ|Nb|pelnъ|masc_o
подъножиѥ|подъножие|Nb|podъnožьje|nt_jo
сиꙗти|сияти|V-|sьjǢti|54
маловѣръ|маловѣрыи|A-|malověrъ|adj_hard
осѫждати|осужати|V-|osǫђǢti|54
лютѣ|лютѣ|Df|ĺutě|
покрꙑвати|покрывати|V-|pokryvati|54
попелъ|попелъ|Nb|popelъ|masc_o
гонениѥ|гонение|Nb|gońenьje|nt_jo
зелиѥ|зелие|Nb|zelьje|nt_jo
отьчьствиѥ|отьчьствие|Nb|otьčьstvьje|nt_jo
въспросити|въспросити|V-|vъsprositi|40
вечеръ|вечеръ|Df|večerъ|
милосрьдъ|милосьрдыи|A-|milosŕ̥dъ|adj_hard
пѫчина|пучина|Nb|pǫčina|fem_a
родити#2|родити|V-|roditi|40
неоудобь|неудобь|Df|neudobь|
приставьникъ|приставьникъ|Nb|pristavьnikъ|masc_o
постилати|постилати|V-|postilati|54
висѣти|висѣти|V-|visěti|31
съблюдати|съблюдати|V-|sъbĺudati|54
възлагати|възлагати|V-|vъzlagati|54
проливати|проливати|V-|prolivati|54
въздрѣмати|въздрѣмати|V-|vъzdrěmati|52
оугасати|угасати|V-|ugasati|54
рабꙑни|рабыни|Nb|orbyńi|fem_ji
злъчь|зълчь|Nb|zĺ̥čь|fem_i
одѣниѥ|одѣние|Nb|oděnьje|nt_jo
наимьникъ|наимьникъ|Nb|najьmьnikъ|masc_o
съкроушати|съкрушати|V-|sъkrušǢti|54
мазати|мазати|V-|mazati|52
тъщаниѥ|тъщание|Nb|tъščǢnьje|nt_jo
коли|коли|Df|koli|
притещи|притещи|V-|priteћi|11
въздъхнѫти|въздъхнути|V-|vъzdъxnǫti|21
ѥликоже|еликоже|Dq|jelikože|
пѣна|пѣна|Nb|pěna|fem_a
прѣдъити|прѣдъити|V-|perdъjьti|jьti
низъ|низъ|Df|nizъ|
обрѫчити|обручити|V-|obrǫčiti|40
июдовъ|июдовъ|A-|ijudovъ|adj_hard
прьвѣньць|пьрвѣньць|Nb|pŕ̥věnьkь|masc_o_PV3
врьхъ|вьрхъ|Nb|vŕ̥xъ|masc_u
прѣмльчати|прѣмълчати|V-|permĺ̥čǢti|31
шоумъ|шумъ|Nb|šumъ|masc_o
ловитва|ловитва|Nb|lovitva|fem_a
поꙗсти|поясти|V-|pojǢsti|eat
прѣдъстоꙗти|прѣдъстояти|V-|perdъstojǢti|31
вражьда|вражьда|Nb|voržьda|fem_a
вьчера|вьчера|Df|vьčera|
вълазити|вълазити|V-|vъlaziti|40
съмѫщати|съмущати|V-|sъmǫћǢti|54
сиръ|сирыи|A-|sirъ|adj_hard
потокъ|потокъ|Nb|potokъ|masc_o
нечьстиѥ|нечьстие|Nb|nečьstьje|nt_jo
прьсть|пьрсть|Nb|pŕ̥stь|fem_i
запрѣщениѥ|запрѣщение|Nb|zaperћenьje|nt_jo
поставлꙗти|поставляти|V-|postavĺǢti|54
въскликнѫти|въскликнути|V-|vъskliknǫti|22
жѧжда|жажа|Nb|žęђǢ|fem_ja
оковати|оковати|V-|okovati|61
пролити|пролити|V-|proliti|17
икона|икона|Nb|ikona|fem_a
освѣтити|освѣтити|V-|osvětiti|40
щедръ|щедрыи|A-|ščedrъ|adj_hard
готовити|готовити|V-|gotoviti|40
похоулити|похулити|V-|poxuliti|40
сверѣпъ|сверѣпыи|A-|sverěpъ|adj_hard
како|како|Dq|kako|
отъбѣжати|отъбѣжати|V-|otъběžǢti|31
доушевьнъ|душевьныи|A-|duševьnъ|adj_hard
лѣность|лѣность|Nb|lěnostь|fem_i
наслѣдовати|наслѣдовати|V-|naslědovati|61
сѣно|сѣно|Nb|sěno|nt_o
широкъ|широкыи|A-|širokъ|adj_hard
обимати|обимати|V-|obьmati|52_abl
въливати|въливати|V-|vъlivati|54
зади|зади|Df|zadi|
вѣсть|вѣсть|Nb|věstь|fem_i
мѣдь|мѣдь|Nb|mědь|fem_i
отътрѧсти|отътрясти|V-|otъtręsti|11
сълати|сълати|V-|sъlati|52
рꙑдати|рыдати|V-|rydati|54
коуповати|куповати|V-|kupovati|61
отъстоꙗти|отъстояти|V-|otъstojǢti|31
дань|дань|Nb|danь|fem_i
обѣсити|обѣсити|V-|obvěsiti|40
чии|чии|Pi|čьjь|pron_soft
блѫдити|блудити|V-|blǫditi|40
доити#1|доити|V-|dojiti|40
възлиꙗти|възлияти|V-|vъzlьjǢti|53_abl
пожьдати|пожьдати|V-|požьdati|51_abl
цѣна|цѣна|Nb|kěna|fem_a
нарочитъ|нарочитыи|A-|naročitъ|adj_hard
напаꙗти|напаяти|V-|napajǢti|54
знаменати|знаменати|V-|znamenati|54
зракъ|зракъ|Nb|zorkъ|masc_o
симоновъ|симоновъ|A-|simonovъ|adj_hard
съглѧдати|съглядати|V-|sъględati|54
потаити|потаити|V-|potajiti|40
осолити|осолити|V-|osoliti|40
дрѧхлъ|дряхлыи|A-|dręxlъ|adj_hard
жрѣбьць|жеребьць|Nb|žerbьkь|masc_o_PV3
кѫпина|купина|Nb|kǫpina|fem_a
лишениѥ|лишение|Nb|lišenьje|nt_jo
издъхнѫти|издъхнути|V-|jьzdъxnǫti|21
неплодꙑ|неплоды|Nb|neplody|fem_uu
възиграти|възиграти|V-|vъzigrati|54
мирьнъ|мирьныи|A-|mirьnъ|adj_hard
вьдова|вьдова|Nb|vьdova|fem_a
испльнꙗти|испълняти|V-|jьspĺ̥ńǢti|54
възвращати|възвращати|V-|vъzvorћǢti|54
остръ|острыи|A-|ostrъ|adj_hard
причѧстьникъ|причастьникъ|Nb|pričęstьnikъ|masc_o
пригласити|пригласити|V-|prigolsiti|40
съзъвати|съзъвати|V-|sъzъvati|51_abl
гнои|гнои|Nb|gnojь|masc_jo
сѣверъ|сѣверъ|Nb|sěverъ|masc_o
копати|копати|V-|kopati|54
завѣщати|завѣщати|V-|zavěћǢti|54
каплꙗ|капля|Nb|kapĺǢ|fem_ja
възгнѣтити|възгнѣтити|V-|vъzgnětiti|40
радъ|радыи|A-|radъ|adj_hard
рано|рано|Df|rano|
глѫбокъ|глубокыи|A-|glǫbokъ|adj_hard
оугодьнъ|угодьныи|A-|ugodьnъ|adj_hard
законопрѣстѫпьникъ|законопрѣступьникъ|Nb|zakonoperstǫpьnikъ|masc_o
отъвращати|отъвращати|V-|otъvorћǢti|54
близъ|близъ|Df|blizъ|
обилиѥ|обилие|Nb|obilьje|nt_jo
извести|извести|V-|jьzvesti|11
обличениѥ|обличение|Nb|obličenьje|nt_jo
омрачити|омрачити|V-|omorčiti|40
идолъ|идолъ|Nb|idolъ|masc_o
причѧстити|причастити|V-|pričęstiti|40
наложити|наложити|V-|naložiti|40
благовѣщениѥ|благовѣщение|Nb|bolgověšћenьje|nt_jo
млѣко|молоко|Nb|melko|nt_o
мирьскъ|мирьскыи|A-|mirьskъ|adj_hard
оукарꙗти|укаряти|V-|ukaŕǢti|54
нанести|нанести|V-|nanesti|11
печать|печать|Nb|pečǢtь|fem_i
извѣстити|извѣстити|V-|jьzvěstiti|40
лѣвъ|лѣвыи|A-|lěvъ|adj_hard
гонѥниѥ|гонение|Nb|gońenьje|nt_jo
боукꙑ|букы|Nb|buky|fem_uu
съзьданиѥ|съзьдание|Nb|sъzьdanьje|nt_jo
виньнъ|виньныи|A-|vinьnъ|adj_hard
богородица|богородица|Nb|bogorodika|fem_a_PV3
ѫгълъ|угълъ|Nb|ǫgъlъ|masc_o
чьстити|чьстити|V-|čьstiti|40
величьство|величьство|Nb|veličьstvo|nt_o
въсприимати|въсприимати|V-|vъsprijьmati|52_abl
въметати|въметати|V-|vъmetati|54
мѣрити|мѣрити|V-|měriti|40
пророчьствовати|пророчьствовати|V-|proročьstvovati|61
петровъ|петровъ|A-|petrovъ|adj_hard
млъвити|мълвити|V-|ml̥viti|40
въскрѣшати|въскрѣшати|V-|vъskrěšǢti|54
содомьскъ|содомьскыи|A-|sodomьskъ|adj_hard
плѧсати|плясати|V-|plęsati|52
краи|краи|Nb|krajь|masc_jo
иродовъ|иродовъ|A-|irodovъ|adj_hard
оубѣдити|убѣдити|V-|uběditi|40
въмѣщати|въмѣщати|V-|vъměšћǢti|54
оудолѣти|удолѣти|V-|udolěti|32
развратити|развратити|V-|orzvortiti|40
прилѣпити|прилѣпити|V-|prilěpiti|40
разлѫчати|разлучати|V-|orzlǫčǢti|54
въдворити|въдворити|V-|vъdvoriti|40
тожде|тоже|Df|toђe|
коуплꙗ|купля|Nb|kupĺǢ|fem_ja
плеще|плече|Nb|pleћe|nt_jo
съмѣрꙗти|съмѣряти|V-|sъměŕǢti|54
сънѣдати|сънѣдати|V-|sъnědati|54
пришьльць|пришьльць|Nb|prišьdlьkь|masc_o_PV3
соугоубъ|сугубыи|A-|sugubъ|adj_hard
обьщьникъ|обьщьникъ|Nb|obьћьnikъ|masc_o
прѣкратити|прѣкратити|V-|perkortiti|40
съпасти#2|съпасти#2|V-|sъpasti|11
ощоутити|очутити|V-|oћutiti|40
сърѣтениѥ|сърѣтение|Nb|sъrětenьje|nt_jo
неключимъ|неключимыи|A-|nekĺučimъ|adj_hard
заклинати|заклинати|V-|zaklinati|54
горько|горько|Df|gorьko|
съмѣсити|съмѣсити|V-|sъměsiti|40
обити#2|обити|V-|obviti|17
спѫдъ|спудъ|Nb|spǫdъ|masc_o
кромѣ|кромѣ|R-|kromě|
съмꙑслити|съмыслити|V-|sъmysliti|40
кричати|кричати|V-|kričǢti|31
облачити|оболочити|V-|obvolčiti|40
нощьнъ|ночьныи|A-|noћьnъ|adj_hard
възмѧсти|възмясти|V-|vъzmęsti|11
испльнѥниѥ|испълнение|Nb|jьspĺ̥ńenьje|nt_jo
свѣтьло|свѣтьло|Df|světьlo|
послѣдовати|послѣдовати|V-|poslědovati|61
причисти|причисти|V-|pričisti|ьt
тьмиꙗнъ|тьмиянъ|Nb|tьmijǢnъ|masc_o
въцѣсарити|въцѣсарити|V-|vъkěsariti|40
осѣнити|осѣнити|V-|osěniti|40
владꙑчьство|владычьство|Nb|voldyčьstvo|nt_o
житиискъ|житиискыи|A-|žitьjьskъ|adj_hard
обѧзати|обязати|V-|obvęzati|52
безводьнъ|безводьныи|A-|bezvodьnъ|adj_hard
тьма#2|тьма|Nb|tьma|fem_a
попирати|попирати|V-|popirati|54
оубиѥниѥ|убиение|Nb|ubьjenьje|nt_jo
изискати|изискати|V-|jьziskati|iskati
противлꙗти|противляти|V-|protivĺǢti|54
дльгъ|дългыи|A-|dĺ̥gъ|adj_hard
оукрꙑти|укрыти|V-|ukryti|18
нѣкогда|нѣкъгда|Df|někъgъda|
въмѣнити|въмѣнити|V-|vъměniti|40
възбранꙗти|възбраняти|V-|vъzborńǢti|54
иѥроусалимьскъ|иерусалимьскыи|A-|ijerusalimьskъ|adj_hard
пристѫпати|приступати|V-|pristǫpati|54
приникнѫти|приникнути|V-|priniknǫti|21
низъходити|низъходити|V-|nizъxoditi|40
възмѫтити|възмутити|V-|vъzmǫtiti|40
