chu_lemma|orv_lemma|pos|lcs_lemma|conj_type
морѥ|море|Nb|moŕe|nt_jo
отъврѣщи|отъверечи|V-|otъverћi|14
образъ|образъ|Nb|obrazъ|masc_o
велии|велии|A-|velьjь|adj_ij
оучити|учити|V-|učiti|40
бꙑвати|бывати|V-|byvati|54
възвратити|възворотити|V-|vъzvortiti|40
погоубити|погубити|V-|pogubiti|40
заповѣдь|заповѣдь|Nb|zapovědь|fem_i
риза|риза|Nb|riza|fem_a
любити|любити|V-|ĺubiti|40
боꙗти|бояти|V-|bojǢti|31
плодъ|плодъ|Nb|plodъ|masc_o
избавити|избавити|V-|jьzbaviti|40
приимати|приимати|V-|prijьmati|52_abl
иѥроусалимъ|иерусалимъ|Ne|ijerusalimъ|masc_o
отъпоустити|отъпустити|V-|otъpustiti|40
нощь|ночь|Nb|noћь|fem_i
да|да|C-|da|
малъ|малыи|A-|malъ|adj_hard
христ(ос)овъ|христ(ос)овъ|A-|xristosovъ|adj_hard
сѣдѣти|сѣдѣти|V-|sěděti|31
дроугъ|другъ|Pc|drugъ|adj_hard
животъ|животъ|Nb|životъ|masc_o
мьнѣти|мьнѣти|V-|mьněti|31
дрьжати|дьржати|V-|dŕ̥žǢti|31
глава|голова|Nb|golva|fem_a
стати|стати|V-|stati|stati
правьдьнъ|правьдьныи|A-|pravьdьnъ|adj_hard
възлюбити|възлюбити|V-|vъžĺubiti|40
оба|оба|Ma|oba|pron_hard
кръвь|кръвь|Nb|kry|fem_uu
архиереи|архиереи|Nb|arъx́ijerejь|masc_jo_foreign
плъть|плъть|Nb|plъtь|fem_i
пѧть|пять|Ma|pętь|fem_i
принести|принести|V-|prinesti|11
обратити|оборотити|V-|obvortiti|40
аще|аче|Df|aћe|
кънигꙑ|кънига|Nb|kъńiga|fem_a
ѥще|еще|Df|ješče|
пьсати|пьсати|V-|pьsati|52_abl
показати|показати|V-|pokazati|52
оубити|убити|V-|ubiti|17
знамениѥ|знамение|Nb|znamenьje|nt_jo
камꙑ|камы|Nb|kamy|masc_N
страна|сторона|Nb|storna|fem_a
притъча|притъча|Nb|pritъčǢ|fem_ja
призъвати|призъвати|V-|prizъvati|51_abl
владꙑка|владыка|Nb|voldyka|masc_a
при|при|R-|pri|
живъ|живыи|A-|živъ|adj_hard
овъ|овъ|Pd|ovъ|pron_hard
нарещи|нарещи|V-|nareћi|11
исповѣдѣти|исповѣдѣти|V-|jьspověděti|wote
оувѣдѣти|увѣдѣти|V-|uvěděti|wote
старьць|старьць|Nb|starьkь|masc_o_PV3
пити|пити|V-|piti|17
свѣтъ#1|свѣтъ|Nb|světъ|masc_o
болии|болии|A-|boĺь|adj_soft_comp
дрѣво|дерево|Nb|dervo|nt_S
житиѥ|житие|Nb|žitьje|nt_jo
даръ|даръ|Nb|darъ|masc_o_u
оумъ|умъ|Nb|umъ|masc_o
мариꙗ|мария|Ne|marijǢ|fem_ja
часъ|часъ|Nb|čǢsъ|masc_o
чѧдо|чадо|Nb|čędo|nt_o
плакати#1|плакати|V-|plakati|52
съказати|съказати|V-|sъkazati|54
пасти#1|пасти#1|V-|pasti|11
кънижьникъ|кънижьникъ|Nb|kъńižьnikъ|masc_o
сице|сице|Df|sike|
етеръ|етеръ|Px|jeterъ|adj_hard
испльнити|испълнити|V-|jьspĺ̥niti|40
прѣбꙑвати|прѣбывати|V-|perbyvati|54
тьмьница|тьмьница|Nb|tьmьnika|fem_a_PV3
такожде|такоже|Df|takoђe|
поставити|поставити|V-|postaviti|40
радость|радость|Nb|radostь|fem_i
