orv_lemma|chu_lemma|pos|count|lcs_lemma|pre_jot|morph_replace|PV2/3|doublet|stem1|stem2|conj_type|noun_verb|loan_place|non_assim|eng_trans|etym_disc|bad_etym|loan_source|clitic|automatched|ch_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|nov-list|nov-marg|nov-sin|novgorod-jaroslav|ostromir-col|paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|bitflag
богъ|богъ|Nb|1493|bogъ|||||||masc_o|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp||kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|||nov-marg|nov-sin||ostromir-col|paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp||riga-goth|rusprav||sergrad|shch||spi|stefan|suz-lav||usp-sbor|ust-vlad||vest-kur|zadon|30197373204479
лѣто|лѣто|Nb|1350|lěto|||||||nt_o|2||||||||1|e_sl|afnik|avv||bur-alph|const|domo|drac|dux-grjaz|gol-gol||kiev-hyp|||lav|luk-koloc_subtitle_added|mikh||mstislav-col|||nov-marg|nov-sin|novgorod-jaroslav|ostromir-col||||pskov_subtitle_added|pvl-hyp||riga-goth|rusprav||sergrad||smol-pol-lit|spi|stefan|suz-lav||usp-sbor|ust-vlad|||zadon|21418346735099
рещи|рещи|V-|1250|reћi|rekti||||rьk|rek|11|1||||||||1|ch_sl|afnik|avv|birchbark|bur-alph|const|domo|drac||||kiev-hyp|||lav|luk-koloc_subtitle_added|||||||nov-sin||||||pskov_subtitle_added|pvl-hyp|rig-smol1281||rusprav||sergrad|||spi|stefan|suz-lav||usp-sbor|ust-vlad|||zadon|21383436330111
кънязь|кънѧѕь|Nb|1238|kъnęgь||kъnęgъ|kъnęʒь||||masc_o_PV3|2|1||prince|||Gmc. *kuningaz, probably Gothic||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|||gol-gol|golitsyn|kiev-hyp||kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|||nov-sin|novgorod-jaroslav|ostromir-col|||pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav||usp-sbor|ust-vlad||vest-kur|zadon|30236517857087
святыи|свѧтъ|A-|1207|svętъ|||||||adj_hard|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo||dux-grjaz|||kiev-hyp|||lav|luk-koloc_subtitle_added||mst|mstislav-col|||nov-marg|nov-sin||ostromir-col||||pskov_subtitle_added|pvl-hyp||riga-goth|||sergrad|||spi|stefan|suz-lav||usp-sbor|ust-vlad|varlaam||zadon|25779881862335
иже|иже|Pr|1202|jьže|||||||jьže|2||||||||1|e_sl||avv|birchbark|bur-alph|const|domo|drac||||kiev-hyp|||lav|luk-koloc_subtitle_added|||mstislav-col||||nov-sin||ostromir-col||peter||pskov_subtitle_added|pvl-hyp||riga-goth|rusprav||sergrad|||spi|stefan|suz-lav||usp-sbor|ust-vlad|varlaam||zadon|25782061786238
бо|бо|Df|1155|bo||||||||0||||||||1|e_sl|afnik|avv||bur-alph|const|domo|drac||||kiev-hyp|||lav||||mstislav-col|||nov-marg|nov-sin||ostromir-col||peter||pskov_subtitle_added|pvl-hyp|||||sergrad|||spi|stefan|suz-lav||usp-sbor||||zadon|19181771826299
о|о|R-|1070|o||||||||0|||||||1|1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac||gol-gol|golitsyn|||kur|lav|luk-koloc_subtitle_added|mikh||mstislav-col||||nov-sin|||paz|peter||pskov_subtitle_added|pvl-hyp|||rusprav|schism|sergrad|shch||spi|stefan|suz-lav||usp-sbor|ust-vlad||vest-kur|zadon|30200517817215
ты|ва|Pp|1052|ty|||||||ty|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac||gol-gol|golitsyn||klem|kur|lav|luk-koloc_subtitle_added|mikh|mst||||nov-marg|nov-sin|novgorod-jaroslav|ostromir-col|paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281||rusprav|schism|sergrad|shch||spi|stefan|suz-lav||usp-sbor||||zadon|19206019087231
у|оу|R-|1037|u||||||||0|||||||1|1|e_sl|afnik|avv|birchbark||const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem||lav|luk-koloc_subtitle_added|mikh|mst||nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp||riga-goth|rusprav|schism|sergrad|shch||spi|stefan|suz-lav|turch|usp-sbor|||vest-kur|zadon|28552396140535
