orv_lemma|chu_lemma|pos|lcs_lemma|conj_type
съпасовъ|съпасовъ|A-|sъpasovъ|adj_hard
протълковати|протлъковати|V-|protl̥kovati|61
воеводьство|воѥводьство|Nb|vojevodьstvo|nt_o
съпустити|съпоустити|V-|sъpustiti|40
искусьныи|искоусьнъ|A-|jьskusьnъ|adj_hard
жительство|жительство|Nb|žiteĺьstvo|nt_o
угодие|оугодиѥ|Nb|ugodьje|nt_jo
изобрѣсти|изобрѣсти|V-|jьzobrěsti|rěsti
сътьрпѣти|сътрьпѣти|V-|sъtŕ̥pěti|31
поставление|поставлѥниѥ|Nb|postavĺenьje|nt_jo
богоносьныи|богоносьнъ|A-|bogonosьnъ|adj_hard
обильныи|обильнъ|A-|obilьnъ|adj_hard
сущьство|сѫщьство|Nb|sǫћьstvo|nt_o
плачевьныи|плачевьнъ|A-|plačevьnъ|adj_hard
съпьрва|съпрьва|Df|sъpŕ̥va|
оскърбити|оскръбити|V-|oskr̥biti|40
льгъко|льгъко|Df|lьgъko|
стояние|стоꙗниѥ|Nb|stojǢnьje|nt_jo
възлетѣти|възлетѣти|V-|vъzletěti|31
въоружити|въорѫжити|V-|vъorǫžiti|40
ядро|ꙗдро|Nb|jǢdro|nt_o
проповѣдьникъ|проповѣдьникъ|Nb|propovědьnikъ|masc_o
неподобьныи|неподобьнъ|A-|nepodobьnъ|adj_hard
напрасныи|напраснъ|A-|naprasnъ|adj_hard
бережьныи|брѣжьнъ|A-|beržьnъ|adj_hard
сѣньница|сѣньница|Nb|sěnьnika|fem_a_PV3
прилежьныи|прилежьнъ|A-|priležьnъ|adj_hard
съпрятати|съпрѧтати|V-|sъprętati|52
скопьць|скопьць|Nb|skopьkь|masc_o_PV3
въспрянути|въспрѧнѫти|V-|vъspręnǫti|22
издавьна|издавьна|Df|jьzdavьna|
отъвьржение|отъврьжениѥ|Nb|otъvŕ̥ženьje|nt_jo
тънъкыи|тьнъкъ|A-|tьnъkъ|adj_hard
подвижьникъ|подвижьникъ|Nb|podvižьnikъ|masc_o
прѣкрасьныи|прѣкрасьнъ|A-|perkrasьnъ|adj_hard
клеветьникъ|клеветьникъ|Nb|klevetьnikъ|masc_o
мудрьць|мѫдрьць|Nb|mǫdrьkь|masc_o_PV3
въступати|въстѫпати|V-|vъstǫpati|54
твьрдо|тврьдо|Df|tvŕ̥do|
непрѣстаньно|непрѣстаньно|Df|neperstanьno|
нещадьно|нещѧдьно|Df|neščędьno|
дьрзость|дрьзость|Nb|dŕ̥zostь|fem_i
отъчаяти|отъчаꙗти|V-|otъčǢjǢti|53
господьскыи|господьскъ|A-|gospodьskъ|adj_hard
равьно|равьно|Df|orvьno|
дьневьныи|дьневьнъ|A-|dьnevьnъ|adj_hard
наслажение|наслаждениѥ|Nb|nasolђenьje|nt_jo
обрѣзати|обрѣзати|V-|obrězati|54
умьртвие|оумрьтвиѥ|Nb|umŕ̥tvьje|nt_jo
сътваряти|сътварꙗти|V-|sъtvaŕǢti|54
пагубьныи|пагоубьнъ|A-|pagubьnъ|adj_hard
продължити|продльжити|V-|prodĺ̥žiti|40
молитвьныи|молитвьнъ|A-|modlitvьnъ|adj_hard
вьрбьница|врьбьница|Nb|vŕ̥bьnika|fem_a_PV3
надълежати|надълежати|V-|nadъležǢti|31
немъногыи|немъногъ|A-|nemъnogъ|adj_hard
старѣишиньство|старѣишиньство|Nb|starějьšinьstvo|nt_o
съчинити|съчинити|V-|sъčiniti|40
пьрьць|пьрьць|Nb|pьrьkь|masc_o_PV3
съвъкупление|съвъкоуплѥниѥ|Nb|sъvъkupĺenьje|nt_jo
изрядьныи|издрѧдьнъ|A-|jьzrędьnъ|adj_hard
възбѣсити|възбѣсити|V-|vъzběsiti|40
отълагати|отълагати|V-|otъlagati|54
отъступати|отъстѫпати|V-|otъstǫpati|54
рѣдъкыи|рѣдъкъ|A-|rědъkъ|adj_hard
гостиньць|гостиньць|Nb|gostinьkь|masc_o_PV3
павьловъ|павьловъ|A-|pavьlovъ|adj_hard
отълучати|отълѫчати|V-|otъlǫčǢti|54
латыньскыи|латиньскъ|A-|latinьskъ|adj_hard
боголюбьць|боголюбьць|Nb|bogoĺubьkь|masc_o_PV3
сукъно|соукъно|Nb|sukъno|nt_o
умилосьрдити|оумилосрьдити|V-|umilosŕ̥diti|40
напълняти|напльнꙗти|V-|napĺ̥ńǢti|54
съхранение|съхранѥниѥ|Nb|sъxorńenьje|nt_jo
безначальныи|безначѧльнъ|A-|beznačęlьnъ|adj_hard
въкушение|въкоушениѥ|Nb|vъkušenьje|nt_jo
бесчиние|бещиниѥ|Nb|beščinьje|nt_jo
любъвьныи|любъвьнъ|A-|ĺubъvьnъ|adj_hard
безгрѣшьныи|безгрѣшьнъ|A-|bezgrěšьnъ|adj_hard
заступьница|застѫпьница|Nb|zastǫpьnika|fem_a_PV3
въскърмити|въскръмити|V-|vъskr̥miti|40
