а̄хі̄на|| · |10|1|MATT 1.14|5000013
а̄хінъ|| |10|1|MATT 1.14|5000013
же|| |10|1|MATT 1.14|5000013
р҃о҃ді|| |10|1|MATT 1.14|5000013
е̄лио̄уда|| · |10|1|MATT 1.14|5000013
е̄ліо̄удъ|| |10|1|MATT 1.15|5000014
же|| |10|1|MATT 1.15|5000014
роді|| |10|1|MATT 1.15|5000014
е̄ліе̄ӡора|| · |10|1|MATT 1.15|5000014
Е̄ліе̄ӡоръ|| |10|1|MATT 1.15|5000014
же|| |10|1|MATT 1.15|5000014
роді|| |10|1|MATT 1.15|5000014
ма᾽тт̄ана|| · |10|1|MATT 1.15|5000014
матт̄анъ|| |10|1|MATT 1.15|5000014
же|| |10|1|MATT 1.15|5000014
роді|| · |10|1|MATT 1.15|5000014
ӣа̄кова|| · |10|1|MATT 1.15|5000014
ӣа̄ковъ|| |10|1|MATT 1.16|5000015
же|| |10|1|MATT 1.16|5000015
роді|| |10|1|MATT 1.16|5000015
ӣо̄сіфа|| |10|1|MATT 1.16|5000015
мѫжа|| |10|1|MATT 1.16|5000015
мариӣна|| · |10|1|MATT 1.16|5000015
ӣӡ|| |10|1|MATT 1.16|5000015
неѧ̄же|| |10|1|MATT 1.16|5000015
роді|| |10|1|MATT 1.16|5000015
сѧ|| |10|1|MATT 1.16|5000015
ӣс҃ъ|| · |10|1|MATT 1.16|5000015
наріцае̄мъи|| |10|1|MATT 1.16|5000015
х҃ъ|| · |10|1|MATT 1.16|5000015
Вьсѣхъ|| |10|1|MATT 1.17|5000016
же|| |10|1|MATT 1.17|5000016
родовъ|| · |10|1|MATT 1.17|5000016
ѡт҃|| |10|1|MATT 1.17|5000016
а̄враа̄ма|| |10|1|MATT 1.17|5000016
до|| |10|1|MATT 1.17|5000016
д҃да|| · |10|1|MATT 1.17|5000016
Родовъ|| |10|1|MATT 1.17|5000016
г҃і҃|| |10|1|MATT 1.17|5000016
те|| · |10|1|MATT 1.17|5000016
Ӣ|| |10|1|MATT 1.17|5000016
ѡт҃|| |10|1|MATT 1.17|5000016
д҃да|| |10|1|MATT 1.17|5000016
до|| |10|1|MATT 1.17|5000016
прѣселениѣ̄|| |10|1|MATT 1.17|5000016
вавілон᾽скаа̄го|| · |10|1|MATT 1.17|5000016
Родовъ|| |10|1|MATT 1.17|5000016
г҃і҃|| |10|1|MATT 1.17|5000016
те|| · |10|1|MATT 1.17|5000016
Ӣ|| |10|1|MATT 1.17|5000016
ѡт҃|| |10|1|MATT 1.17|5000016
прѣселениѣ̄|| |10|1|MATT 1.17|5000016
вавилон̄с̄каа̄го|| |10|1|MATT 1.17|5000016
до|| |10|1|MATT 1.17|5000016
х҃а|| · |10|1|MATT 1.17|5000016
Родовъ|| |10|1|MATT 1.17|5000016
г҃і҃|| |10|1|MATT 1.17|5000016
те|| · |10|1|MATT 1.17|5000016
И҃схво|| |10|1|MATT 1.18|5000017
же|| |10|1|MATT 1.18|5000017
р҃одство|| |10|1|MATT 1.18|5000017
сіце|| |10|1|MATT 1.18|5000017
бъіс҃|| · |10|1|MATT 1.18|5000017
о̄брѫченѣ|| |10|1|MATT 1.18|5000017
бъивьші|| |10|1|MATT 1.18|5000017
матері|| |10|1|MATT 1.18|5000017
е̄го|| |10|1|MATT 1.18|5000017
маріӣ|| · |10|1|MATT 1.18|5000017
Ӣо̄сіфові|| · |10|1|MATT 1.18|5000017
прѣжде|| |10|1|MATT 1.18|5000017
даже|| |10|1|MATT 1.18|5000017
не|| |10|1|MATT 1.18|5000017
сьнѧсте|| |10|1|MATT 1.18|5000017
сѧ|| · |10|1|MATT 1.18|5000017
О̄брѣте|| |10|1|MATT 1.18|5000017
сѧ|| |10|1|MATT 1.18|5000017
ӣмѫщі|| |10|1|MATT 1.18|5000017
въ|| |10|1|MATT 1.18|5000017
чрѣвѣ|| |10|1|MATT 1.18|5000017
ѡт҃|| |10|1|MATT 1.18|5000017
д҃ха|| |10|1|MATT 1.18|5000017
с҃та|| · |10|1|MATT 1.18|5000017
Ӣо̄сіфь|| |10|1|MATT 1.19|5000018
же|| |10|1|MATT 1.19|5000018
мѫжь|| |10|1|MATT 1.19|5000018
е̄ѧ̄|| · |10|1|MATT 1.19|5000018
правьденъ|| |10|1|MATT 1.19|5000018
съі|| |10|1|MATT 1.19|5000018
ӣ|| |10|1|MATT 1.19|5000018
не|| |10|1|MATT 1.19|5000018
хотѧ|| |10|1|MATT 1.19|5000018
о̄блічіті|| |10|1|MATT 1.19|5000018
е̄ѧ̄|| · |10|1|MATT 1.19|5000018
Въсх̄отѣ|| |10|1|MATT 1.19|5000018
таӣ|| |10|1|MATT 1.19|5000018
поустіті|| |10|1|MATT 1.19|5000018
᾽ѭ|| · |10|1|MATT 1.19|5000018
Се|| |10|1|MATT 1.20|5000019
же|| |10|1|MATT 1.20|5000019
е̄моу|| |10|1|MATT 1.20|5000019
о̄умъішльшоу|| · |10|1|MATT 1.20|5000019
се|| |10|1|MATT 1.20|5000019
а̄н҃ђлъ|| |10|1|MATT 1.20|5000019
г҃нь|| |10|1|MATT 1.20|5000019
вь|| |10|1|MATT 1.20|5000019
сьнѣ|| |10|1|MATT 1.20|5000019
ѣ̄ви|| |10|1|MATT 1.20|5000019
сѧ|| |10|1|MATT 1.20|5000019
е̄моу|| |10|1|MATT 1.20|5000019
г҃лѧ|| · |10|1|MATT 1.20|5000019
Ӣо̄сіфе|| |10|1|MATT 1.20|5000019
с҃не|| |10|1|MATT 1.20|5000019
д҃двъ|| · |10|1|MATT 1.20|5000019
не|| |10|1|MATT 1.20|5000019
о̄убоӣ|| |10|1|MATT 1.20|5000019
сѧ|| |10|1|MATT 1.20|5000019
пріѧ̄ті|| |10|1|MATT 1.20|5000019
женъі|| |10|1|MATT 1.20|5000019
твое̄ѧ̄|| |10|1|MATT 1.20|5000019
м̄ар̄іѧ̄|| · ·:· ·:· |10|1|MATT 1.20|5000019
