id,lemma,pos,normalised,count,chrabr,euch,kiev-mis,marianus,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,zogr,bitflag
4055,васильскъ,Nb,васільскъ,1,,,,,psal-sin_pipe_removed,,,,,16
4056,настѫпити,V-,настѫпіті,1,,,,,psal-sin_pipe_removed,,,,,16
4057,девѧть десѧтъ,Ma,девѧть десѧтъ,11,,,,,psal-sin_pipe_removed,,vit-const,vit-meth,zogr,464
4058,възникнѫти,V-,възнікнѫті,5,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4059,лапоть,Ne,лапоть,1,,,,,psal-sin_pipe_removed,,,,,16
4060,маститъ,A-,мастітъ,2,,,,,psal-sin_pipe_removed,,,,,16
4061,тиса,Nb,тіса,1,,,,,psal-sin_pipe_removed,,,,,16
4062,доброприимати,V-,добропрііматі,1,,,,,psal-sin_pipe_removed,,,,,16
4063,строуга,Nb,строуга,1,,,,,psal-sin_pipe_removed,,,,,16
4064,четврьтъкъ,Nb,четврьтъкъ,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4065,обинѫти,V-,обінѫті,1,,,,,psal-sin_pipe_removed,,,,,16
4066,оуморити,V-,оуморіті,18,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4067,оумѫдрити,V-,оумѫдріті,6,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4068,наказати#2,V-,наказаті#2,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4069,ѩдѣ,R-,ѧдѣ,1,,,,,psal-sin_pipe_removed,,,,,16
4070,прибꙑти,V-,прібъіті,4,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4071,паствина,Nb,паствіна,4,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4072,ожестити,V-,ожестіті,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4073,прогнѣваниѥ,Nb,прогнѣваніе,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4074,отокъ,Nb,отокъ,3,,,,,psal-sin_pipe_removed,,vit-const,,,80
4075,исправлѥниѥ,Nb,ісправленіе,14,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4076,попалити,V-,попаліті,4,,,,,psal-sin_pipe_removed,supr_fixed,vit-const,,,112
4077,идолъ,Nb,ідолъ,9,,,,,psal-sin_pipe_removed,supr_fixed,vit-const,vit-meth,,240
4078,окрꙑти,V-,окръіті,4,,,,,psal-sin_pipe_removed,supr_fixed,,,zogr,304
4079,ковати,V-,коваті,6,,,,,psal-sin_pipe_removed,supr_fixed,,vit-meth,,176
4080,рожанъ,A-,рожанъ,1,,,,,psal-sin_pipe_removed,,,,,16
4081,аронъ,Ne,аронъ,4,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4082,самоиль,Ne,самоіль,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4083,облачьнъ,A-,облачьнъ,1,,,,,psal-sin_pipe_removed,,,,,16
4084,оукланꙗти,V-,оукланѣті,7,,,,,psal-sin_pipe_removed,supr_fixed,vit-const,,,112
4085,несꙑтьнъ,A-,несъітьнъ,1,,,,,psal-sin_pipe_removed,,,,,16
4086,посаждати,V-,посаждаті,1,,,,,psal-sin_pipe_removed,,,,,16
4087,исправлꙗти,V-,ісправлѣті,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4088,избивати,V-,ізбіваті,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4089,седмь на десѧте,Ma,седмь на десѧте,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4090,соушило,Nb,соушіло,1,,,,,psal-sin_pipe_removed,,,,,16
4091,съсъхнѫти,V-,съсъхнѫті,1,,,,,psal-sin_pipe_removed,,,,,16
4092,съхнѫти,V-,съхнѫті,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4093,неѩсꙑть,Nb,неѧсъіть,1,,,,,psal-sin_pipe_removed,,,,,16
4094,поустꙑньнъ,A-,поустъіньнъ,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4095,нꙑрище,Nb,нъіріште,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4096,забъдѣти,V-,забъдѣті,1,,,,,psal-sin_pipe_removed,,,,,16
4097,собити,V-,собіті,1,,,,,psal-sin_pipe_removed,,,,,16
4098,зьдъ,Nb,зьдъ,1,,,,,psal-sin_pipe_removed,,,,,16
4099,растварꙗти,V-,растварѣті,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4100,низъврѣщи,V-,нізъврѣшті,3,,,,,psal-sin_pipe_removed,,,,,16
4101,оумалѥниѥ,Nb,оумаленіе,1,,,,,psal-sin_pipe_removed,,,,,16
4102,одѣꙗло,Nb,одѣѣло,1,,,,,psal-sin_pipe_removed,,,,,16
4103,оцѣщати,V-,оцѣштаті,1,,,,,psal-sin_pipe_removed,,,,,16
4104,орьль,A-,орьль,1,,,,,psal-sin_pipe_removed,,,,,16
4105,ель,Df,ель,1,,,,,psal-sin_pipe_removed,,,,,16
4106,цвѣтъ,Nb,цвѣтъ,13,,,,,psal-sin_pipe_removed,supr_fixed,,,zogr,304
4107,отъцвисти,V-,отъцвісті,1,,,,,psal-sin_pipe_removed,,,,,16
4108,пропинати,V-,пропінаті,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4109,кожа,Nb,кожа,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4110,прѣвꙑспрьнь,A-,прѣвъіспрьнь,2,,,,,psal-sin_pipe_removed,,,,,16
4111,палити,V-,паліті,3,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4112,оснꙑвати,V-,оснъіваті,1,,,,,psal-sin_pipe_removed,,,,,16
4113,побѣгнѫти,V-,побѣгнѫті,7,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4114,онагръ,Nb,онагръ,1,,,,,psal-sin_pipe_removed,,,,,16
4115,привитати,V-,прівітаті,1,,,,,psal-sin_pipe_removed,,,,,16
4116,стрькъ,Nb,стрькъ,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4117,оугнѣздити,V-,оугнѣздіті,1,,,,,psal-sin_pipe_removed,,,,,16
4118,еродовъ,A-,еродовъ,1,,,,,psal-sin_pipe_removed,,,,,16
4119,заѩць,Nb,заѧць,1,,,,,psal-sin_pipe_removed,,,,,16
4120,лѫжьнъ,A-,лѫжьнъ,1,,,,,psal-sin_pipe_removed,,,,,16
4121,гадъ,Nb,гадъ,6,,,,,psal-sin_pipe_removed,supr_fixed,vit-const,,,112
4122,прѣплавати,V-,прѣплаваті,2,,,,,psal-sin_pipe_removed,,vit-const,,,80
4123,вьсꙗчьскъ,A-,вьсѣчьскъ,18,,,,,psal-sin_pipe_removed,supr_fixed,,vit-meth,,176
4124,трѧсти,V-,трѧсті,6,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4125,въскоурити,V-,въскоуріті,2,,,,,psal-sin_pipe_removed,,,,,16
4126,алелоуиꙗ,I-,алелоуіѣ,21,,,,,psal-sin_pipe_removed,,vit-const,,,80
4127,диво,Nb,діво,1,,,,,psal-sin_pipe_removed,,,,,16
4128,ханаановъ,A-,ханаановъ,1,,,,,psal-sin_pipe_removed,,,,,16
4129,немъногъ,A-,немъногъ,1,,,,,psal-sin_pipe_removed,,,,,16
4130,христ(ос)ъ,Nb,хрістосъ,2,,,,,psal-sin_pipe_removed,,,,,16
4131,работа,Nb,работа,8,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4132,въмѣрити,V-,въмѣріті,1,,,,,psal-sin_pipe_removed,,,,,16
4133,окови,Nb,окові,2,,,,,psal-sin_pipe_removed,,,,,16
4134,желѣзо,Nb,желѣзо,8,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4135,въскꙑпѣти,V-,въскъіпѣті,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4136,смокъвинъ,Nb,смокъвінъ,1,,,,,psal-sin_pipe_removed,,,,,16
4137,истрѣбити,V-,істрѣбіті,1,,,,,psal-sin_pipe_removed,,,,,16
4138,гѫсѣница,Nb,гѫсѣніца,1,,,,,psal-sin_pipe_removed,,,,,16
4139,распрострѣти,V-,распрострѣті,5,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4140,крастѣль,Nb,крастѣль,1,,,,,psal-sin_pipe_removed,,,,,16
4141,осмь на десѧте,Ma,осмь на десѧте,8,,,,,psal-sin_pipe_removed,supr_fixed,,vit-meth,,176
4142,чрьмьнъ,A-,чрьмьнъ,7,,,,,psal-sin_pipe_removed,supr_fixed,vit-const,,,112
4143,сꙑтость,Nb,съітость,7,,,,,psal-sin_pipe_removed,supr_fixed,vit-const,,,112
4144,датанъ,Ne,датанъ,1,,,,,psal-sin_pipe_removed,,,,,16
4145,авиронъ,Ne,авіронъ,2,,,,,psal-sin_pipe_removed,,,vit-meth,,144
4146,хоривъ,Ne,хорівъ,1,,,,,psal-sin_pipe_removed,,,,,16
4147,причѧстити,V-,прічѧстіті,9,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4148,велфегоръ,Ne,велфегоръ,2,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4149,паданиѥ,Nb,паданіе,3,,,,,psal-sin_pipe_removed,,,,,16
4150,финисъ,Ne,фінісъ,1,,,,,psal-sin_pipe_removed,,,,,16
4151,сѣчь,Nb,сѣчь,2,,,,,psal-sin_pipe_removed,,,,,16
4152,прѣрѣканьнъ,A-,прѣрѣканьнъ,1,,,,,psal-sin_pipe_removed,,,,,16
4153,разьньствовати,V-,разьньствоваті,1,,,,,psal-sin_pipe_removed,,,,,16
4154,ханааньскъ,A-,ханааньскъ,2,,,,,psal-sin_pipe_removed,,,,,16
4155,омрьзѣти,V-,омрьзѣті,1,,,,,psal-sin_pipe_removed,,,,,16
4156,ти,Pd,ті,7,,,,,psal-sin_pipe_removed,supr_fixed,,vit-meth,,176
4157,въстѫжити,V-,въстѫжіті,6,,,,,psal-sin_pipe_removed,supr_fixed,,,,48
4158,обитѣльнъ,A-,обітѣльнъ,4,,,,,psal-sin_pipe_removed,,,,zogr,272
