ⰻ̄ⰵ̄ⱄⰵⰰ̄|Ne|-s---mg--i|ⰻⰵⱄⰵⰰ|FIXME|5000004|| ·|10|1|1|MATT 1.5|1|1|5|1
Ⰻ̄ⰵ̄ⱄⰵⰻ̄|Ne|-s---mn--i|Ⰻⰵⱄⰵⰻ|FIXME|5000005| | |10|1|1|MATT 1.6|1|1|6|1
ⰶⰵ|Df|---------n|ⰶⰵ|же|5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⱃⱁⰴⰹ|V-|3saia----i|ⱃⱁⰴі|родити#1|5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⰴ҃ⰴⰰ|Ne|-s---mg--i|ⰴⰴⰰ|FIXME|5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⱌ҃ⱃⱑ|Nb|-s---mg--i|ⱌⱃⱑ|цѣсарь|5000005|| · |10|1|1|MATT 1.6|1|1|6|1
ⰴ҃ⰴⱏ|Ne|-s---mn--i|ⰴⰴⱏ|давꙑдъ|5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⰶⰵ|Df|---------n|ⰶⰵ|же|5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⱌ҃ⱃⱐ|Nb|-s---mn--i|ⱌⱃⱐ|цѣсарь|5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⱃⱁⰴⰹ|V-|3saia----i|ⱃⱁⰴі|родити#1|5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⱄⱁⰾⱁⰿⱁⱀⰰ|Ne|-s---mg--i|ⱄⱁⰾⱁⰿⱁⱀⰰ|соломонъ|5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⱉⱅ|R-|---------n|ⱉⱅ|отъ|5000005|| |10|1|1|MATT 1.6|1|1|6|1
ⱆ̄ⱃⰹⰻ̄ⱀⱏⰹⱗ̄|A-|-s---fgpwi|ⱆⱃіⰻⱀⱏіⱗ|FIXME|5000005|| ·|10|1|1|MATT 1.6|1|1|6|1
Ⱄⱁⰾⱁⰿⱁⱀⱏ|Ne|-s---mn--i|Ⱄⱁⰾⱁⰿⱁⱀⱏ|соломонъ|5000006| | |10|1|1|MATT 1.7|1|1|7|1
ⰶⰵ|Df|---------n|ⰶⰵ|же|5000006|| |10|1|1|MATT 1.7|1|1|7|1
ⱃⱁⰴⰹ|V-|3saia----i|ⱃⱁⰴі|родити#1|5000006|| · |10|1|1|MATT 1.7|1|1|7|1
ⱃⱁⰲⱁⰰ̄ⰿⰰ|Ne|-s---mg--i|ⱃⱁⰲⱁⰰⰿⰰ|FIXME|5000006|| · |10|1|1|MATT 1.7|1|1|7|1
Ⱃⱁⰲⱁⰰ̄ⰿⱏ|Ne|-s---mn--i|Ⱃⱁⰲⱁⰰⰿⱏ|FIXME|5000006|| |10|1|1|MATT 1.7|1|1|7|1
ⰶⰵ|Df|---------n|ⰶⰵ|же|5000006|| |10|1|1|MATT 1.7|1|1|7|1
ⱃⱁⰴⰻ|V-|3saia----i|ⱃⱁⰴⰻ|родити#1|5000006|| |10|1|1|MATT 1.7|1|1|7|1
ⰰ̄ⰲⰹⰰ̄ⰴⰰ|Ne|-s---mg--i|ⰰⰲіⰰⰴⰰ|авиатаръ|5000006|| · |10|1|1|MATT 1.7|1|1|7|1
Ⰰ̄ⰲⰹⰰ̄ⰴⱏ|Ne|-s---mn--i|Ⰰⰲіⰰⰴⱏ|авиатаръ|5000006|| |10|1|1|MATT 1.7|1|1|7|1
ⰶⰵ|Df|---------n|ⰶⰵ|же|5000006|| |10|1|1|MATT 1.7|1|1|7|1
ⱃⱁⰴⰹ|V-|3saia----i|ⱃⱁⰴі|родити#1|5000006|| |10|1|1|MATT 1.7|1|1|7|1
ⰰ̄ⱄⱄ̆ⰰ|Ne|-s---mg--i|ⰰⱄⱄⰰ|FIXME|5000006|| ·|10|1|1|MATT 1.7|1|1|7|1
Ⰰ̄ⱄⱄ̄̄ⱐ|Ne|-s---mn--i|Ⰰⱄⱄⱐ|FIXME|5000007| | |10|1|1|MATT 1.8|1|1|8|1
