ⰶⰵ|||ⰶⰵ||5000006|| |10|1|1|MATT 1.7|1|1|7|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000006|| |10|1|1|MATT 1.7|1|1|7|1
ⰰ̄ⱄⱄ̆ⰰ|||ⰰⱄⱄⰰ||5000006|| ·|10|1|1|MATT 1.7|1|1|7|1
Ⰰ̄ⱄⱄ̄̄ⱐ|||Ⰰⱄⱄⱐ||5000007| | |10|1|1|MATT 1.8|1|1|8|1
ⰶⰵ|||ⰶⰵ||5000007|| |10|1|1|MATT 1.8|1|1|8|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000007|| |10|1|1|MATT 1.8|1|1|8|1
ⰻ̄ⱁ̄ⰰ̄ⱄⰰⱇⰰⱅⰰ|||ⰻⱁⰰⱄⰰⱇⰰⱅⰰ||5000007|| · |10|1|1|MATT 1.8|1|1|8|1
ⰻ̄ⱁ̄ⰰ̄ⱄⰰⱇⰰⱅⱏ|||ⰻⱁⰰⱄⰰⱇⰰⱅⱏ||5000007|| |10|1|1|MATT 1.8|1|1|8|1
ⰶⰵ|||ⰶⰵ||5000007|| |10|1|1|MATT 1.8|1|1|8|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000007|| |10|1|1|MATT 1.8|1|1|8|1
ⰻ̄ⱁ̄ⰰ̄ⱃⰰⰿⰰ|||ⰻⱁⰰⱃⰰⰿⰰ||5000007|| · |10|1|1|MATT 1.8|1|1|8|1
Ⰻ̄ⱁ̄ⰰ̄ⱃⰰⰿⱐ|||Ⰻⱁⰰⱃⰰⰿⱐ||5000007|| |10|1|1|MATT 1.8|1|1|8|1
ⰶⰵ|||ⰶⰵ||5000007|| |10|1|1|MATT 1.8|1|1|8|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000007|| |10|1|1|MATT 1.8|1|1|8|1
ⰻ̄ⱁ̄ⰸⰹⱙ̄|||ⰻⱁⰸіⱙ||5000007|| ·|10|1|1|MATT 1.8|1|1|8|1
Ⰻ̄ⱁ̄ⰸⰹⱑ̄|||Ⰻⱁⰸіⱑ||5000008| | |10|1|1|MATT 1.9|1|1|9|1
ⰶⰵ|||ⰶⰵ||5000008|| |10|1|1|MATT 1.9|1|1|9|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000008|| |10|1|1|MATT 1.9|1|1|9|1
ⰻ̄ⱁ̄ⰰ̄ⱅⰰⰿⰰ|||ⰻⱁⰰⱅⰰⰿⰰ||5000008|| · |10|1|1|MATT 1.9|1|1|9|1
ⰻ̄ⱁ̄ⰰ̄ⱅⰰⰿⱐ|||ⰻⱁⰰⱅⰰⰿⱐ||5000008|| |10|1|1|MATT 1.9|1|1|9|1
ⰶⰵ|||ⰶⰵ||5000008|| |10|1|1|MATT 1.9|1|1|9|1
ⱃⱁⰴⰹ|||ⱃⱁⰴі||5000008|| |10|1|1|MATT 1.9|1|1|9|1
ⰰ̄ⱈⰰⰸⰰ|||ⰰⱈⰰⰸⰰ||5000008|| · |10|1|1|MATT 1.9|1|1|9|1
Ⰰ̄ⱈⰰⰸⱐ|||Ⰰⱈⰰⰸⱐ||5000008|| |10|1|1|MATT 1.9|1|1|9|1
ⰶⰵ|||ⰶⰵ||5000008|| |10|1|1|MATT 1.9|1|1|9|1
