на,R-,117
н҄емь,Pp,64
егда,Dq,300
же,Df,20
оуслꙑша,V-,582
г҃ь,Nb,342
ко,R-,59
оуслꙑшашѧ,V-,582
фарисеі,Nb,929
ѣко,G-,115
и҃с,Ne,343
множаꙇшѧ,A-,49
оученикꙑ,Nb,359
творитъ,V-,637
ꙇ,C-,13
крьштаетъ,V-,1644
неже,Df,262
ꙇоанъ,Ne,1180
ꙇ҃с,Ne,343
самъ,Pd,567
не,Df,8
крьштааше,V-,1644
нъ,C-,11
оученици,Nb,359
его,Pp,64
остави,V-,669
ꙇюдеѫ,Ne,1840
ꙇ,C-,13
иде,V-,671
пакꙑ,Df,616
въ,R-,111
галилеѭ,Ne,1542
достоѣше,V-,617
емоу,Pp,64
проꙇти,V-,1617
сквозѣ,R-,1244
самариѭ,Ne,2923
Приде,V-,221
же,Df,20
въ,R-,111
градъ,Nb,718
самарьскъ,A-,3096
нарицаемъі,V-,68
соухарь,Ne,0
ꙇскрь,R-,3098
вьси,Px,54
ѭже,Pr,96
дастъ,V-,116
ꙇѣковъ,Ne,412
ꙇосифоу,Ne,1392
с҃ноу,Nb,341
своемоу,Pt,217
бѣ,V-,18
же,Df,20
тоу,Df,177
кладѧзь,Nb,8856
ꙇѣковл҄ь,A-,1752
ꙇ҃с,Ne,343
же,Df,20
троуждь,V-,2631
сѧ,Pk,21
отъ,R-,80
пѫти,Nb,678
сѣдѣаше,V-,1041
тако,Df,48
на,R-,117
кладѧзи,Nb,8856
часъ,Nb,422
бѣ,V-,18
ѣко,G-,115
шестꙑ,Mo,1624
приде,V-,221
жена,Nb,693
отъ,R-,80
самариѩ,Ne,2923
почрѣтъ,V-,3073
водꙑ,Nb,355
г҃ла,V-,102
еи,Pp,64
ꙇ҃с,Ne,343
даждь,V-,116
ми,Pp,440
пити,V-,365
оученици,Nb,359
бо,Df,94
его,Pp,64
ошьли,V-,433
бѣахѫ,V-,18
въ,R-,111
градъ,Nb,718
да,G-,366
брашьна,Nb,1416
коупѧтъ,V-,1380
г҃ла,V-,102
же,Df,20
емоу,Pp,64
жена,Nb,693
самарѣнꙑн҄и,Nb,3099
како,Du,30
тꙑ,Pp,304
ꙇюдеи,Nb,2043
сꙑ,V-,18
отъ,R-,80
мене,Pp,440
пити,V-,365
просиши,V-,553
женꙑ,Nb,693
самарѣнꙑн҄ѧ,Nb,3099
сѫштѧ,V-,18
не,Df,8
прикасаѭтъ,V-,2206
бо,Df,94
сѧ,Pk,21
ꙇюдеи,Nb,2043
самарѣнехъ,Nb,1116
отъвѣшта,V-,271
и҃с,Ne,343
ꙇ,C-,13
рече,V-,106
еі,Pp,64
аште,G-,248
би,V-,18
вѣдѣла,V-,138
даръ,Nb,397
б҃жі,A-,239
ꙇ,C-,13
къто,Pi,265
естъ,V-,18
г҃лѧꙇ,V-,102
ти,Pp,304
даждь,V-,116
ми,Pp,440
пити,V-,365
тꙑ,Pp,304
и,C-,13
просила,V-,553
оу,R-,736
него,Pp,64
ꙇ,C-,13
далъ,V-,116
ти,Pp,304
би,V-,18
водѫ,Nb,355
живѫ,V-,388
г҃ла,V-,102
емоу,Pp,64
жена,Nb,693
г҃и,Nb,342
ни,C-,157
почръпальника,Nb,3100
ꙇмаши,V-,9
ꙇ,C-,13
кладѧѕь,Nb,8856
естъ,V-,18
глѫбокъ,A-,3101
отъкѫдоу,Du,1348
оубо,Df,6
еси,V-,18
о҃ца,Nb,34
нашего,Ps,338
ꙇѣкова,Ne,412
ꙇже,Pr,96
дастъ,V-,116
намъ,Pp,167
кладѧзь,Nb,8856
ꙇ,C-,13
тъ,Pd,105
ꙇж,R-,486
него,Pp,64
питъ,V-,365
ꙇ,C-,13
с҃нове,Nb,341
его,Pp,64
ꙇ,C-,13
скоти,Nb,2756
его,Pp,64
отъвѣшта,V-,271
и҃с,Ne,343
ꙇ,C-,13
рече,V-,106
еи,Pp,64
вьсѣкъ,A-,362
пиѩи,V-,365
отъ,R-,80
водꙑ,Nb,355
сеѩ,Pd,47
вьждѩждетъ,V-,1889
сѧ,Pk,21
пакꙑ,Df,616
а,C-,85
ꙇже,Pr,96
пиетъ,V-,365
отъ,R-,80
водꙑ,Nb,355
ѭже,Pr,96
азъ,Pp,440
дамь,V-,116
емоу,Pp,64
не,Df,8
ꙇматъ,V-,9
въждѧдати,V-,1889
сѧ,Pk,21
въ,R-,111
вѣкъ,Nb,297
нъ,C-,11
вода,Nb,355
ѭже,Pr,96
азъ,Pp,440
дамь,V-,116
емоу,Pp,64
бѫдетъ,V-,18
вь,R-,111
н҄емь,Pp,64
ꙇсточьникъ,Nb,2153
водꙑ,Nb,355
вьслѣплѫштѫѭ,V-,4664
въ,R-,111
животъ,Nb,36
вѣчьнꙑ,A-,411
г҃ла,V-,102
къ,R-,59
н҄емоу,Pp,64
жена,Nb,693
г҃и,Nb,342
даждь,V-,116
ми,Pp,440
сиѭ,Pd,47
водѫ,Nb,355
да,G-,366
ни,C-,157
жѧждѫ,Nb,3808
ни,C-,157
прихождѫ,V-,889
сѣмо,Df,1016
почръпатъ,V-,3102
г҃ла,V-,102
еи,Pp,64
ꙇ҃с,Ne,343
ꙇди,V-,671
пригласи,V-,2651
мѫжа,Nb,70
своего,Pt,217
ꙇ,C-,13
приди,V-,221
сѣмо,Df,1016
отъвѣшта,V-,271
жена,Nb,693
ꙇ,C-,13
рече,V-,106
емоу,Pp,64
не,Df,8
ꙇмамь,V-,9
мѫжа,Nb,70
г҃ла,V-,102
еи,Pp,64
ꙇ҃с,Ne,343
добрѣ,Df,33
рече,V-,106
ѣко,G-,115
мѫжа,Nb,70
не,Df,8
ꙇмамь,V-,9
пѧть,Ma,640
бо,Df,94
мѫжь,Nb,70
ꙇмѣла,V-,9
еси,V-,18
ꙇ,C-,13
нꙑн҄ѣ,Df,289
егоже,Pr,96
ꙇмаши,V-,9
нѣстъ,V-,176
ти,Pp,304
мѫжь,Nb,70
се,Pd,47
въ,R-,111
ꙇстинѫ,Nb,385
рече,V-,106
г҃ла,V-,102
емоу,Pp,64
жена,Nb,693
г҃и,Nb,342
виждѫ,V-,479
ѣко,G-,115
пророкъ,Nb,878
еси,V-,18
тꙑ,Pp,304
о҃ци,Nb,306
наши,Ps,338
въ,R-,111
горѣ,Nb,930
сеі,Pd,47
поклонишѧ,V-,1434
сѧ,Pk,21
ꙇ,C-,13
вꙑ,Pp,266
г҃лете,V-,102
ѣко,G-,115
въ,R-,111
е҃рмѣхъ,Nb,0
естъ,V-,18
мѣсто,Nb,113
ꙇдеже,Dq,798
клан҄ѣти,V-,934
сѧ,Pk,21
подобаетъ,V-,128
г҃ла,V-,102
еі,Pp,64
и҃с,Ne,343
жено,Nb,693
вѣрѫ,Nb,506
ми,Pp,440
ꙇми,Pp,64
ѣко,Df,771
грѧдетъ,V-,958
часъ,Nb,422
егда,Dq,300
ни,C-,157
горѣ,Nb,930
сеі,Pd,47
ни,C-,157
въ,R-,111
е҃рлмѣхъ,Nb,0
поклоните,V-,1434
сѧ,Pk,21
о҃цю,Nb,306
д҃хомь,Nb,443
ꙇ,C-,13
истиноѭ,Nb,385
ꙇбо,Df,956
о҃ць,Nb,306
тацѣхъ,Pd,178
ꙇштетъ,V-,114
клан҄ѣѭштихъ,V-,934
сѧ,Pk,21
емоу,Pp,64
д҃хъ,Nb,443
бо,Df,94
естъ,V-,18
б҃ъ,Nb,34
ꙇже,Pr,96
клан҄ѣетъ,V-,934
сѧ,Pk,21
емоу,Pp,64
д҃хомь,Nb,443
ꙇ,C-,13
истиноѭ,Nb,385
достоꙇтъ,V-,617
клан҄ѣти,V-,934
сѧ,Pk,21
г҃ла,V-,102
емоу,Pp,64
жена,Nb,693
вѣмь,V-,138
ѣко,G-,115
месиѣ,Ne,3065
придетъ,V-,221
рекомꙑ,V-,106
х҃ъ,Ne,305
егда,Dq,300
тъ,Pd,105
придетъ,V-,221
вьзвѣститъ,V-,1025
намъ,Pp,167
всѣ,Px,54
г҃ла,V-,102
еі,Pp,64
и҃с,Ne,343
азъ,Pp,440
есмь,V-,18
г҃лѧи,V-,102
съ,R-,92
тобоѭ,Pp,304
ꙇ,C-,13
тогдажде,Df,0
придѫ,V-,221
оученици,Nb,359
его,Pp,64
ꙇ,C-,13
чюждаахѫ,V-,1007
сѧ,Pk,21
ѣко,G-,115
съ,R-,92
женоѭ,Nb,693
г҃лааше,V-,102
ꙇ,C-,13
никътоже,Px,940
не,Df,8
рече,V-,106
чесо,Pi,134
ꙇштеши,V-,114
ꙇли,C-,35
чьто,Pi,134
г҃леши,V-,102
съ,R-,92
н҄еѭ,Pp,64
остави,V-,669
же,Df,20
водоносъ,Nb,3071
своі,Pt,217
жена,Nb,693
ꙇ,C-,13
иде,V-,671
въ,R-,111
градъ,Nb,718
ꙇ,C-,13
г҃ла,V-,102
ч҃комъ,Nb,211
придѣте,V-,221
ꙇ,C-,13
видите,V-,479
ч҃ка,Nb,211
ꙇже,Pr,96
рече,V-,106
ми,Pp,440
вьсѣ,Px,54
елико,Pr,2092
сътворихъ,V-,73
еда,Du,869
тъ,Pd,105
естъ,V-,18
х҃ъ,Ne,305
Ꙇзидѫ,V-,684
же,Df,20
ꙇз,R-,486
града,Nb,718
ꙇ,C-,13
грѧдѣахѫ,V-,958
къ,R-,59
н҄емоу,Pp,64
междю,R-,1568
же,Df,20
симь,Pd,47
мол҄ѣахѫ,V-,409
і,C-,13
оученици,Nb,359
его,Pp,64
г҃лѭште,V-,102
равви,Nb,1772
ѣждь,V-,818
онъ,Pd,83
же,Df,20
рече,V-,106
къ,R-,59
н҄имъ,Pp,64
азъ,Pp,440
брашьно,Nb,1416
ꙇмамь,V-,9
ѣсти,V-,818
егоже,Pr,96
вꙑ,Pp,266
не,Df,8
