сапогоу,сапогоу
г҃лемъ,глемъ
ꙇ,і
еже,еже
дастъ,дастъ
въ,въ
рѫцѣ,рѫцѣ
его,его
вѣроуѩі,вѣроуѧі
въ,въ
с҃на,сна
ꙇматъ,іматъ
животъ,жівотъ
вѣчьнꙑ,вѣчьнъі
а,а
ꙇже,іже
не,не
вѣроуетъ,вѣроуетъ
въ,въ
с҃на,сна
не,не
оузьритъ,оузьрітъ
живота,жівота
нъ,нъ
гнѣвъ,гнѣвъ
б҃жі,бжі
прѣбꙑваетъ,прѣбъіваетъ
на,на
н҄емь,немь
егда,егда
же,же
оуслꙑша,оуслъіша
г҃ь,гь
ко,ко
оуслꙑшашѧ,оуслъішашѧ
фарисеі,фарісеі
ѣко,ѣко
и҃с,іс
множаꙇшѧ,множаішѧ
оученикꙑ,оученікъі
творитъ,творітъ
ꙇ,і
крьштаетъ,крьштаетъ
неже,неже
ꙇоанъ,іоанъ
ꙇ҃с,іс
самъ,самъ
не,не
крьштааше,крьштааше
нъ,нъ
оученици,оученіці
его,его
остави,оставі
ꙇюдеѫ,іюдеѫ
ꙇ,і
иде,іде
пакꙑ,пакъі
въ,въ
галилеѭ,галілеѭ
достоѣше,достоѣше
емоу,емоу
проꙇти,проіті
сквозѣ,сквозѣ
самариѭ,самаріѭ
Приде,пріде
же,же
въ,въ
градъ,градъ
самарьскъ,самарьскъ
нарицаемъі,наріцаемъі
соухарь,соухарь
ꙇскрь,іскрь
вьси,вьсі
ѭже,ѭже
дастъ,дастъ
ꙇѣковъ,іѣковъ
ꙇосифоу,іосіфоу
с҃ноу,сноу
своемоу,своемоу
бѣ,бѣ
же,же
тоу,тоу
кладѧзь,кладѧзь
ꙇѣковл҄ь,іѣковль
ꙇ҃с,іс
же,же
троуждь,троуждь
сѧ,сѧ
отъ,отъ
пѫти,пѫті
сѣдѣаше,сѣдѣаше
тако,тако
на,на
кладѧзи,кладѧзі
часъ,часъ
бѣ,бѣ
ѣко,ѣко
шестꙑ,шестъі
приде,пріде
жена,жена
отъ,отъ
самариѩ,самаріѧ
почрѣтъ,почрѣтъ
водꙑ,водъі
г҃ла,гла
еи,еі
ꙇ҃с,іс
даждь,даждь
ми,мі
пити,піті
оученици,оученіці
бо,бо
его,его
ошьли,ошьлі
бѣахѫ,бѣахѫ
въ,въ
градъ,градъ
да,да
брашьна,брашьна
коупѧтъ,коупѧтъ
г҃ла,гла
же,же
емоу,емоу
жена,жена
самарѣнꙑн҄и,самарѣнъіні
како,како
тꙑ,тъі
ꙇюдеи,іюдеі
сꙑ,съі
отъ,отъ
мене,мене
пити,піті
просиши,просіші
женꙑ,женъі
самарѣнꙑн҄ѧ,самарѣнъінѧ
сѫштѧ,сѫштѧ
не,не
прикасаѭтъ,прікасаѭтъ
бо,бо
сѧ,сѧ
ꙇюдеи,іюдеі
самарѣнехъ,самарѣнехъ
отъвѣшта,отъвѣшта
и҃с,іс
ꙇ,і
рече,рече
еі,еі
аште,аште
би,бі
вѣдѣла,вѣдѣла
даръ,даръ
б҃жі,бжі
ꙇ,і
къто,къто
естъ,естъ
г҃лѧꙇ,глѧі
ти,ті
даждь,даждь
ми,мі
пити,піті
тꙑ,тъі
и,і
просила,просіла
оу,оу
него,него
ꙇ,і
далъ,далъ
ти,ті
би,бі
водѫ,водѫ
живѫ,жівѫ
г҃ла,гла
емоу,емоу
жена,жена
г҃и,гі
ни,ні
почръпальника,почръпальніка
ꙇмаши,імаші
ꙇ,і
кладѧѕь,кладѧзь
естъ,естъ
глѫбокъ,глѫбокъ
отъкѫдоу,отъкѫдоу
оубо,оубо
еси,есі
о҃ца,оца
нашего,нашего
ꙇѣкова,іѣкова
ꙇже,іже
дастъ,дастъ
намъ,намъ
кладѧзь,кладѧзь
ꙇ,і
тъ,тъ
ꙇж,іж
него,него
питъ,пітъ
ꙇ,і
