torot_word|deep_cleaned
И|і
апостола⸱|апостола
ꙗко|ꙗко
мъногами|мъногамі
скръбьми|скръбьмі
подобаѥть|подобаеть
намъ|намъ
вънити|въніті
въ|въ
цеср҃ство:|цеср҃ство
небесъ:|небесъ
слѹшавъше|слоушавъше
же|же
ѹчениꙗ|оученіꙗ
ѥго:|его
прѣбꙑхомъ|прѣбъіхомъ
въ|въ
лаврѣ|лаврѣ
ꙗко|ꙗко
на|на
дъва|дъва
мѣсѧцѧ:|мѣсѧцѧ
и|і
пакꙑ|пакъі
слѹхѹ|слоухоу
варварьскѹ|варварьскоу
бꙑвъшѫ:|бъівъшѫ
ѹбоꙗвъше|оубоꙗвъше
сѧ|сѧ
събѣгохомъ|събѣгохомъ
въ|въ
манастꙑрь|манастъірь
блиꙁъ|блізъ
ст҃ааго|ст҃ааго
града|града
ꙗко|ꙗко
отъ|отъ
стадиї|стадіі
:к҃:|к҃
нарицѧѥмꙑи|наріцѧемъіі
оц҃ѧ|оц҃ѧ
анастаса:|анастаса
никогоже|нікогоже
тъгда|тъгда
имѹща:|імоуща
и|і
сътворьше|сътворьше
дъвѣ|дъвѣ
лѣтѣ|лѣтѣ
въ|въ
немь:|немь
пакꙑ|пакъі
молими|молімі
бꙑхомъ|бъіхомъ
реченꙑимь|реченъіімь
прѣподобьнꙑимь|прѣподобьнъіімь
модестомь|модестомь
въꙁвратити|възвратіті
сѧ|сѧ
и|і
жити|жіті
въ|въ
мѣстѣ|мѣстѣ
нашемь:|нашемь
послѹшавъше|послоушавъше
же|же
благааго|благааго
съвѣта|съвѣта
ѥго:|его
ови|ові
абиѥ|абіе
въꙁидихомъ|възідіхомъ
и|і
въселихомъ|въселіхомъ
сѧ|сѧ
въ|въ
лаврѹ:|лавроу
ови|ові
же|же
и|і
маломь|маломь
поꙁдѣѥ|поздѣе
страхꙑ|страхъі
ближънюѭщиїхъ|бліжънюѭщііхъ
насъ|насъ
срацинъ:|срацінъ
етери|етері
же|же
и|і
въ|въ
томь|томь
манастꙑри|манастъірі
осташа:|осташа
кѹпьно|коупьно
съ|съ
иустиномь:|іустіномь
прѣподобьнꙑимь|прѣподобьнъіімь
ихъ|іхъ
игѹменомь:|ігоуменомь
остригъшемъ|острігъшемъ
сѧ|сѧ
въ|въ
лаврѣ:|лаврѣ
и|і
мънога|мънога
лѣта|лѣта
въ|въ
неи|неі
сътворьшемъ:|сътворьшемъ
и|і
въ|въ
мъногахъ|мъногахъ
дѣтельхъ|дѣтельхъ
просиꙗвъшемъ:|просіꙗвъшемъ
ꙗко|ꙗко
и|і
проꙁвютерьскꙑимь|прозвютерьскъіімь
саномь|саномь
ѥмѹ|емоу
почътенѹ|почътеноу
бꙑти:|бъіті
иже|іже
б҃очъстивꙑи|б҃очъстівъіі
июстинъ:|іюстінъ
мъногѹ|мъногоу
дрѹжинѫ|дроужінѫ
въ|въ
томь|томь
манастꙑри|манастъірі
х҃воѭ|х҃воѭ
благодѣтиѭ|благодѣтіѭ
събьра:дрьжа|събьрадрьжа
правило|правіло
неиꙁмѣн͗нѣ|неізмѣннѣ
лаврьскоѥ:|лаврьское
и|і
прочеѥ|прочее
ѹстроѥниѥ:|оустроеніе
и|і
никъже|нікъже
не|не
имать|імать
обрѣсти|обрѣсті
въ|въ
вьсеи|вьсеі
палестинии:|палестініі
или|ілі
въ|въ
иномь|іномь
обьщении:|обьщеніі
такого|такого
д҃ховьна|д҃ховьна
ѹстроѥниꙗ:|оустроеніꙗ
цвьтеть|цвьтеть
же|же
и|і
растеть|растеть
колижъдо:|коліжъдо
и|і
стрьблѧ|стрьблѧ
по|по
исаакѹ|ісаакоу
велии|веліі
бꙑваѥть:|бъіваеть
ꙗко|ꙗко
отъ|отъ
сего|сего
радовати|радоваті
сѧ|сѧ
намъ|намъ
поѹчаѭщемъ|пооучаѭщемъ
сѧ|сѧ
добрѣ:|добрѣ
ꙁане|зане
въ|въ
вьсеи|вьсеі
странѣ|странѣ
сьꙗѥть|сьꙗеть
свѣтиломъ|свѣтіломъ
тъчъно:|тъчъно
сѣмѧ|сѣмѧ
прѣподобьнааго|прѣподобьнааго
оц҃ѧ|оц҃ѧ
нашего|нашего
савꙑ:|савъі
мꙑ|мъі
же|же
съмѣрении|съмѣреніі
б҃жиѥѭ|б҃жіеѭ
благодѣтиѭ:|благодѣтіѭ
и|і
тъщаниѥмь|тъщаніемь
прѣждереченааго|прѣждереченааго
прѣподобьнааго|прѣподобьнааго
модеста:|модеста
въ|въ
беꙁмлъвии|безмлъвіі
сѣдимъ:|сѣдімъ
паче|паче
прѣждъниїхъ|прѣждънііхъ
лѣтъ|лѣтъ
хвалѧще|хвалѧще
и|і
славѧще|славѧще
б҃а:|б҃а
ѹмрьщвѧѭщааго|оумрьщвѧѭщааго
и|і
