mysql> select tokens.id, token_alignment_id from tokens left join sentences on sentence_id = sentences.id left join source_divisions on source_division_id = source_divisions.id left join sources on source_id = sources.id where code = "psal-sin";
+---------+--------------------+
| id      | token_alignment_id |
| 2346647 |            3320156 |
| 2346648 |            3320157 |
| 2346649 |            3320158 |
| 2346650 |            3320160 |
| 2346651 |            3320161 |
| 2346652 |            3320162 |
| 2346653 |            3320163 |
| 2346654 |            3320164 |
| 2346655 |            3320165 |
| 2346656 |            3320166 |
| 2346657 |            3320167 |
| 2346658 |            3320168 |
| 2346659 |            3320169 |
| 2346660 |            3320170 |
| 2346661 |            3320171 |
| 2346662 |            3320172 |
| 2346663 |            3320173 |
| 2346664 |            3320174 |
| 2346665 |            3320175 |
| 2346666 |            3320176 |
| 2346667 |            3320177 |
| 2346668 |            3320178 |
| 2346669 |            3320179 |
| 2346670 |            3320180 |
| 2346671 |            3320182 |
| 2346672 |            3320183 |
| 2346673 |            3320184 |
| 2346674 |            3320186 |
| 2346675 |            3320187 |
| 2346676 |            3320189 |
| 2346677 |            3320191 |
| 2346733 |               NULL |
| 2346678 |            3320192 |
| 2346679 |            3320193 |
| 2346680 |            3320195 |
| 2346681 |            3320196 |
| 2346682 |            3320197 |
| 2346683 |            3320198 |
| 2346684 |            3320199 |
| 2346685 |            3320200 |
| 2346686 |            3320202 |
| 2346687 |            3320203 |
| 2346688 |            3320204 |
| 2346689 |            3320205 |
| 2346690 |            3320206 |
| 2346691 |               NULL |
| 2346692 |            3320207 |
| 2346693 |            3320209 |
| 2346694 |            3320211 |
| 2346695 |            3320212 |
| 2346696 |            3320214 |
| 2346697 |            3320215 |
| 2346698 |            3320216 |
| 2346699 |            3320217 |
| 2346700 |            3320218 |
| 2346701 |               NULL |
| 2346702 |            3320219 |
| 2346703 |            3320220 |
| 2346704 |            3320221 |
| 2346705 |            3320222 |
| 2346706 |            3320223 |
| 2346707 |            3320224 |
| 2346708 |            3320225 |
| 2346709 |            3320226 |
| 2346710 |               NULL |
| 2346711 |            3320227 |
| 2346712 |            3320228 |
| 2346713 |            3320229 |
| 2346714 |            3320230 |
| 2346715 |            3320231 |
| 2346716 |            3320232 |
| 2346717 |            3320233 |
| 2346718 |            3320234 |
| 2346719 |               NULL |
| 2346720 |            3320236 |
| 2346721 |            3320238 |
| 2346722 |            3320239 |
| 2347003 |               NULL |
| 2346723 |            3320240 |
| 2346724 |            3320241 |
| 2346725 |            3320243 |
| 2346726 |               NULL |
| 2346727 |            3320244 |
| 2346728 |            3320245 |
| 2347004 |               NULL |
| 2346787 |            3320246 |
| 2346788 |            3320248 |
| 2346789 |            3320249 |
| 2346790 |            3320250 |
| 2346791 |            3320251 |
| 2346792 |            3320252 |
| 2347006 |            3320253 |
| 2346793 |            3320255 |
| 2346794 |            3320256 |
| 2347826 |               NULL |
| 2346795 |            3320257 |
| 2346796 |            3320258 |
| 2346797 |               NULL |
| 2346798 |            3320259 |
| 2346799 |            3320261 |
| 2346800 |            3320262 |
| 2346801 |            3320263 |
| 2346802 |            3320264 |
| 2346803 |            3320265 |
| 2346804 |            3320266 |
| 2346805 |               NULL |
| 2346806 |               NULL |
| 2346807 |               NULL |
| 2346808 |               NULL |
| 2346809 |            3320267 |
| 2346810 |            3320268 |
| 2346811 |            3320270 |
| 2346812 |            3320271 |
| 2346813 |            3320273 |
| 2346814 |            3320274 |
| 2346815 |            3320275 |
| 2346816 |            3320277 |
| 2346817 |            3320278 |
| 2346818 |            3320279 |
| 2347007 |               NULL |
| 2346820 |            3320280 |
| 2346821 |            3320281 |
| 2346822 |            3320282 |
| 2346823 |            3320283 |
| 2346824 |            3320284 |
| 2346825 |            3320285 |
| 2346826 |            3320286 |
| 2346827 |            3320287 |
| 2346828 |            3320289 |
| 2346829 |            3320291 |
| 2346830 |            3320292 |
| 2346831 |            3320293 |
| 2346832 |            3320294 |
| 2346833 |            3320295 |
| 2346834 |            3320296 |
| 2346835 |            3320297 |
| 2346836 |            3320298 |
| 2346837 |            3320299 |
| 2346838 |            3320300 |
| 2346839 |            3320301 |
| 2346840 |            3320302 |
| 2346841 |            3320303 |
| 2346842 |            3320304 |
| 2346843 |            3320306 |
| 2346844 |               NULL |
| 2346845 |            3320307 |
| 2346846 |            3320308 |
| 2346847 |            3320309 |
| 2346848 |            3320310 |
| 2346849 |            3320311 |
| 2346850 |            3320312 |
| 2346851 |            3320313 |
| 2346852 |            3320314 |
| 2346853 |            3320315 |
| 2346854 |            3320316 |
| 2346855 |               NULL |
| 2346856 |            3320317 |
| 2346857 |            3320318 |
| 2346858 |            3320319 |
| 2346859 |            3320322 |
| 2346860 |               NULL |
| 2346861 |            3320323 |
| 2346862 |            3320321 |
| 2346863 |            3320324 |
| 2346864 |            3320325 |
| 2346865 |            3320326 |
| 2346866 |            3320327 |
| 2346867 |            3320329 |
| 2346868 |            3320330 |
| 2346869 |            3320331 |
| 2346870 |            3320332 |
| 2346871 |            3320333 |
| 2346872 |            3320334 |
| 2346873 |            3320336 |
| 2346874 |            3320337 |
| 2346875 |            3320338 |
| 2346876 |            3320339 |
| 2346877 |            3320340 |
| 2346878 |            3320341 |
| 2346879 |               NULL |
| 2346880 |            3320343 |
| 2346881 |               NULL |
| 2346882 |            3320345 |
| 2346883 |            3320346 |
| 2346884 |            3320347 |
| 2346885 |            3320349 |
| 2346886 |            3320350 |
| 2346887 |            3320352 |
| 2346888 |            3320353 |
| 2347008 |               NULL |
| 2346889 |               NULL |
| 2347009 |               NULL |
| 2346890 |            3320354 |
| 2346891 |            3320356 |
| 2346892 |            3320358 |
| 2346893 |            3320361 |
| 2347010 |               NULL |
| 2346894 |            3320362 |
| 2346895 |            3320364 |
| 2346896 |            3320366 |
| 2346897 |            3320367 |
| 2346898 |            3320369 |
| 2346899 |            3320371 |
| 2346900 |            3320372 |
| 2346901 |            3320373 |
| 2346902 |            3320374 |
| 2346903 |            3320375 |
| 2346904 |            3320376 |
| 2346905 |               NULL |
| 2346906 |            3320377 |
| 2346907 |            3320378 |
| 2346908 |            3320379 |
| 2346909 |            3320380 |
| 2346910 |            3320382 |
| 2346911 |            3320383 |
| 2346912 |            3320384 |
| 2346913 |            3320385 |
| 2346914 |            3320386 |
| 2346915 |            3320388 |
| 2349043 |               NULL |
| 2346916 |            3320389 |
| 2346917 |            3320391 |
| 2346918 |            3320392 |
| 2346919 |            3320393 |
| 2346920 |            3320394 |
| 2346921 |            3320395 |
| 2346922 |            3320397 |
| 2346923 |            3320398 |
| 2346924 |            3320399 |
| 2346925 |            3320400 |
| 2346926 |            3320401 |
| 2346927 |            3320403 |
| 2346928 |            3320404 |
| 2346929 |            3320405 |
| 2346930 |            3320406 |
| 2346931 |            3320407 |
| 2346932 |            3320408 |
| 2346933 |            3320410 |
| 2346934 |            3320412 |
| 2346935 |            3320413 |
| 2346936 |            3320414 |
| 2346937 |               NULL |
| 2346938 |            3320415 |
| 2346939 |            3320416 |
| 2346940 |            3320417 |
| 2346941 |            3320418 |
| 2346942 |            3320419 |
| 2346943 |            3320420 |
| 2346944 |            3320421 |
| 2346945 |               NULL |
| 2346946 |            3320422 |
| 2346947 |            3320424 |
| 2346948 |            3320425 |
| 2346949 |            3320426 |
| 2346950 |               NULL |
| 2346951 |            3320428 |
| 2346952 |            3320429 |
| 2346953 |            3320430 |
| 2346954 |            3320431 |
| 2346955 |            3320432 |
| 2346956 |            3320433 |
| 2346957 |            3320434 |
| 2346958 |            3320435 |
| 2346959 |            3320436 |
| 2346960 |            3320437 |
| 2346961 |            3320438 |
| 2346962 |            3320439 |
| 2346963 |            3320441 |
| 2346964 |            3320442 |
| 2346965 |               NULL |
| 2346966 |            3320443 |
| 2346967 |            3320444 |
| 2346968 |            3320446 |
| 2346969 |            3320448 |
| 2346970 |            3320449 |
| 2346971 |            3320450 |
| 2346972 |            3320451 |
| 2346973 |               NULL |
| 2346974 |            3320452 |
| 2346975 |            3320453 |
| 2346976 |            3320455 |
| 2346977 |            3320456 |
| 2346978 |            3320457 |
| 2346979 |            3320458 |
| 2346980 |            3320459 |
| 2346981 |            3320460 |
| 2346982 |            3320461 |
| 2346983 |            3320462 |
| 2346984 |            3320463 |
| 2346985 |            3320464 |
| 2346986 |            3320465 |
| 2346987 |               NULL |
| 2346988 |            3320466 |
| 2346989 |            3320467 |
| 2346990 |            3320468 |
| 2346991 |            3320471 |
| 2346992 |            3320472 |
| 2346993 |            3320473 |
| 2346994 |            3320474 |
| 2346995 |            3320475 |
| 2346996 |            3320476 |
| 2346997 |            3320478 |
| 2346998 |            3320479 |
| 2346999 |            3320480 |
| 2347000 |            3320481 |
| 2347001 |            3320482 |
| 2347002 |               NULL |
| 2347287 |            3320483 |
| 2347288 |            3320485 |
| 2347289 |            3320486 |
| 2347290 |            3320488 |
| 2347291 |            3320489 |
| 2347292 |            3320491 |
| 2347827 |               NULL |
| 2347293 |            3320493 |
| 2347294 |            3320494 |
| 2347295 |            3320495 |
| 2347296 |            3320496 |
| 2347297 |            3320497 |
| 2347298 |            3320499 |
| 2347299 |            3320500 |
| 2347300 |            3320501 |
| 2347301 |            3320503 |
| 2347302 |            3320505 |
| 2347303 |            3320506 |
| 2347304 |            3320508 |
| 2347305 |            3320509 |
| 2347306 |            3320512 |
| 2347307 |            3320513 |
| 2347308 |            3320514 |
| 2347309 |            3320515 |
| 2347310 |            3320516 |
| 2347311 |            3320517 |
| 2347312 |               NULL |
| 2347313 |            3320518 |
| 2347314 |            3320520 |
| 2347315 |            3320521 |
| 2347316 |            3320523 |
| 2347317 |            3320524 |
| 2347318 |            3320526 |
| 2347319 |            3320527 |
| 2347320 |               NULL |
| 2347321 |            3320528 |
| 2347322 |            3320530 |
| 2347323 |            3320531 |
| 2347324 |            3320533 |
| 2347325 |            3320532 |
| 2347326 |            3320534 |
| 2347327 |            3320535 |
| 2347328 |            3320536 |
| 2347329 |            3320537 |
| 2347330 |            3320538 |
| 2347331 |            3320539 |
| 2347332 |               NULL |
| 2347333 |               NULL |
| 2347334 |            3320540 |
| 2347335 |            3320541 |
| 2347336 |            3320542 |
| 2347337 |            3320543 |
| 2347338 |               NULL |
| 2347339 |            3320544 |
| 2347340 |            3320545 |
| 2347341 |            3320547 |
| 2347342 |            3320548 |
| 2347343 |            3320549 |
| 2347344 |            3320551 |
| 2347345 |            3320553 |
| 2347346 |            3320555 |
| 2347347 |            3320556 |
| 2347348 |            3320557 |
| 2347349 |            3320559 |
| 2347350 |            3320561 |
| 2347351 |            3320562 |
| 2347352 |            3320563 |
| 2347353 |            3320564 |
| 2347354 |            3320565 |
| 2347355 |            3320566 |
| 2347356 |            3320567 |
| 2347357 |            3320568 |
| 2347358 |            3320569 |
| 2347359 |            3320572 |
| 2347360 |            3320574 |
| 2347361 |            3320575 |
| 2347362 |            3320576 |
| 2347363 |            3320577 |
| 2347364 |            3320579 |
| 2347365 |            3320580 |
| 2347366 |            3320581 |
| 2347367 |               NULL |
| 2347368 |            3320582 |
| 2347369 |            3320583 |
| 2347370 |            3320584 |
| 2347371 |            3320585 |
| 2347372 |            3320586 |
| 2347373 |            3320587 |
| 2347374 |            3320588 |
| 2347375 |            3320589 |
| 2347376 |            3320590 |
| 2347377 |               NULL |
| 2347378 |            3320591 |
| 2347379 |               NULL |
| 2347380 |               NULL |
| 2347381 |            3320592 |
| 2347382 |            3320594 |
| 2347383 |            3320595 |
| 2347384 |            3320598 |
| 2347385 |            3320599 |
| 2347386 |            3320596 |
| 2347387 |            3320600 |
| 2347388 |            3320601 |
| 2347389 |            3320602 |
| 2347390 |            3320604 |
| 2347391 |            3320605 |
| 2347392 |            3320606 |
| 2347393 |            3320608 |
| 2347394 |            3320609 |
| 2347395 |            3320611 |
| 2347396 |            3320612 |
| 2347397 |            3320613 |
| 2347398 |            3320615 |
| 2347399 |            3320616 |
| 2347400 |            3320617 |
| 2347401 |               NULL |
| 2347402 |            3320618 |
| 2347403 |            3320619 |
| 2347404 |            3320621 |
| 2347405 |            3320622 |
| 2347828 |               NULL |
| 2347406 |            3320624 |
| 2347407 |            3320625 |
| 2347408 |            3320626 |
| 2347409 |            3320627 |
| 2347410 |            3320628 |
| 2347411 |               NULL |
| 2347412 |            3320631 |
| 2347413 |            3320632 |
| 2347414 |            3320634 |
| 2347415 |            3320635 |
