сѧ,3522656,,
реченое,3522657,ῥηθὲν,268314
ꙇсаꙇемь,3522658,Ἡσαΐου,268316
пророкомь,3522659,προφήτου,268318
гл҃ѭштем??,3522660,λέγοντος,268319
земл҄ѣ,3522661,γῆ,268321
завѵлон҄ѣ,3522662,Ζαβουλὼν,268322
земл҄ѣ,3522663,γῆ,268324
невъф'талимл҄ѣ,3522664,Νεφθαλείμ,268325
пѫть,3522665,ὁδὸν,268327
морѣ,3522666,θαλάσσης,268328
на,3522667,πέραν,268330
ономь,3522668,,
полоу,3522669,,
ꙇор'да??,3522670,Ἰορδάνου,268332
галилеѣ,3522671,Γαλιλαία,268334
ѩзꙑкомъ,3522672,ἐθνῶν,268336
люди,3522673,λαὸς,268339
сѣдѧштиі,3522674,καθήμενος,268341
въ,3522675,ἐν,268342
тъмѣ,3522676,σκότει,268343
видѣшѧ,3522677,εἶδεν,268345
свѣтъ,3522678,φῶς,268344
велиі,3522679,μέγα,268346
ꙇ,3522680,καὶ,268348
сѣдѧштиімъ,3522681,καθημένοις,268350
въ,3522682,ἐν,268351
тъмѣ,3522683,χώρᾳ,268352
ꙇ,3522684,καὶ,268353
въ,3522685,,
сѣни,3522686,σκιᾷ,268354
съмрътьнѣ,3522687,θανάτου,268355
свѣтъ,3522688,φῶς,268356
въсиѣетъ,3522689,ἀνέτειλεν,268357
на,3522690,,
насъ,3522691,αὐτοῖς,268358
Ѡтъ толи,3522693,Ἀπὸ,268360
начѧтъ,3522694,ἤρξατο,268362
ис҃,3522695,Ἰησοῦς,268364
проповѣдати,3522696,κηρύσσειν,268365
ꙇ,3522697,καὶ,268366
гл҃ати,3522698,λέγειν,268367
покаꙇте,3522699,μετανοεῖτε,268369
сѧ,3522700,,
приближи,3522701,ἤγγικεν,268371
бо,3522702,γὰρ,268372
сѧ,3522703,,
цр҃ствие,3522704,βασιλεία,268374
нб҃ское,3522705,οὐρανῶν,268376
xодѧ,3522706,Περιπατῶν,268378
же,3522707,δὲ,268379
при,3522708,παρὰ,268380
мори,3522709,θάλασσαν,268382
галилѣꙇсцѣмь,3522710,Γαλιλαίας,268384
видѣ,3522711,εἶδεν,268385
дъва,3522712,δύο,268386
братра,3522713,ἀδελφούς,268387
симона,3522714,Σίμωνα,268389
нарицаѭштааго,3522715,λεγόμενον,268391
сѧ,3522716,,
петра,3522717,Πέτρον,268392
ꙇ,3522718,καὶ,268393
ан'дрѣѭ,3522719,Ἀνδρέαν,268394
братра,3522720,ἀδελφὸν,268396
его,3522721,αὐτοῦ,268397
въмѣтаѭшта,3522722,βάλλοντας,268399
мрѣжѧ,3522723,ἀμφίβληστρον,268400
въ,3522724,εἰς,268401
море,3522725,θάλασσαν,268403
бѣашете,3522726,ἦσαν,268405
бо,3522727,γὰρ,268406
рꙑбарѣ,3522728,ἁλεεῖς,268407
ꙇ,3522729,καὶ,268409
гл҃а,3522730,λέγει,268410
ꙇма,3522731,αὐτοῖς,268411
грѧдѣта,3522732,δεῦτε,268413
въ,3522733,,
слѣдъ,3522734,ὀπίσω,268414
мене,3522735,μου,268415
ꙇ,3522736,καὶ,268417
сътвор҄ѭ,3522737,ποιήσω,268418
вꙑ,3522738,ὑμᾶς,268419
чк҃омъ,3522739,ἀνθρώπων,268421
ловьца,3522740,ἁλεεῖς,268420
она,3522741,οἱ,268423
же,3522742,δὲ,268424
абие,3522743,εὐθέως,268425
оставьша,3522744,ἀφέντες,268426
мрѣжѧ,3522745,δίκτυα,268428
по,3522746,,
немь,3522747,αὐτῷ,268430
ꙇдосте,3522748,ἠκολούθησαν,268429
ꙇ,3522749,Καὶ,268432
прѣшьдъ,3522750,προβὰς,268433
тѫдѣ,3522751,ἐκεῖθεν,268434
видѣ,3522752,εἶδεν,268435
ꙇна,3522753,ἄλλους,268436
дъва,3522754,δύο,268437
братра,3522755,ἀδελφούς,268438
ꙇѣкова,3522756,Ἰάκωβον,268440
зеведео̆ва,3522757,Ζεβεδαίου,268443
ꙇо̆ана,3522758,Ἰωάννην,268445
брата,3522759,ἀδελφὸν,268447
емоу,3522760,αὐτοῦ,268448
въ,3522761,ἐν,268450
кораби,3522762,πλοίῳ,268452
съ,3522763,μετὰ,268453
зеведеомь,3522764,Ζεβεδαίου,268454
оц҃емь,3522765,πατρὸς,268456
ею,3522766,αὐτῶν,268457
завѧзаѭшта,3522767,καταρτίζοντας,268458
мрѣжѧ,3522768,δίκτυα,268460
своѩ,3522769,αὐτῶν,268461
ꙇ,3522771,καὶ,268463
възъва,3522772,ἐκάλεσεν,268464
ѣ,3522773,αὐτούς,268465
о̆на,3522774,οἱ,268467
же,3522775,δὲ,268468
абие,3522776,εὐθέως,268469
оставьша,3522777,ἀφέντες,268470
кораб҄ь,3522778,πλοῖον,268472
ꙇ,3522779,καὶ,268473
оц҃а,3522780,πατέρα,268475
своего,3522781,αὐτῶν,268476
по,3522782,,
н҄емь,3522783,αὐτῷ,268478
ꙇдосте,3522784,ἠκολούθησαν,268477
ꙇ,3522785,καὶ,268480
проxождааше,3522786,περιῆγεν,268481
в'сѭ,3522787,ὅλῃ,268483
галилеѭ,3522788,Γαλιλαίᾳ,268485
ис҃,3522789,,
оучѧ,3522790,διδάσκων,268487
на,3522791,ἐν,268488
сънъмиштиxъ,3522792,συναγωγαῖς,268490
ꙇxъ,3522793,αὐτῶν,268491
ꙇ,3522794,καὶ,268492
проповѣдаѩ,3522795,κηρύσσων,268493
ев҃аꙉлие,3522796,εὐαγγέλιον,268495
цр҃ствиѣ,3522797,βασιλείας,268497
ꙇ,3522798,καὶ,268498
цѣлѧ,3522799,θεραπεύων,268499
вьсѣкъ,3522800,πᾶσαν,268500
недѫгъ,3522801,νόσον,268501
ꙇ,3522802,καὶ,268502
всѣкѫ,3522803,πᾶσαν,268503
ѩзѫ,3522804,μαλακίαν,268504
въ,3522805,ἐν,268505
л҄юдеxъ,3522806,λαῷ,268507
ꙇ,3522807,καὶ,268509
изиде,3522808,ἀπῆλθεν,268510
слоуxъ,3522809,ἀκοὴ,268512
его,3522810,αὐτοῦ,268513
въ,3522811,εἰς,268514
вьсеи,3522812,ὅλην,268515
с'ѵриі,3522813,Συρίαν,268517
ꙇ,3522814,καὶ,268519
привѣсѧ,3522815,προσήνεγκαν,268520
емоу,3522816,αὐτῷ,268521
вьсѧ,3522817,πάντας,268522
болѧштѧѩ,3522818,κακῶς,268524
различьнъꙇми,3522819,ποικίλαις,268526
недѫгꙑ,3522820,νόσοις,268527
ꙇ,3522821,καὶ,268528
страстьми,3522822,βασάνοις,268529
о̆дръжимꙑ,3522823,συνεχομένους,268530
ꙇ,3522824,καὶ,268531
бѣсънꙑѩ,3522825,δαιμονιζομένους,268532
ꙇ,3522826,καὶ,268533
мѣсѧчьнꙑѩ,3522827,,
зълꙑ,3522828,,
недѫгꙑ,3522829,σεληνιαζομένους,268534
ꙇмѫштѧ,3522830,,
ꙇ,3522831,καὶ,268535
ослабл҄енꙑ,3522832,παραλυτικούς,268536
жилами,3522833,,
ꙇ,3522834,καὶ,268538
ицѣли,3522835,ἐθεράπευσεν,268539
ѩ,3522836,αὐτούς,268540
ꙇ,3522837,καὶ,268542
по,3522838,,
н҄емь,3522839,αὐτῷ,268544
ꙇдошѧ,3522840,ἠκολούθησαν,268543
народи,3522841,ὄχλοι,268545
мноꙃи,3522842,πολλοὶ,268546
о̆тъ,3522843,ἀπὸ,268547
галилеѩ,3522844,Γαλιλαίας,268549
ꙇ,3522845,καὶ,268550
декаполѣӑ,3522846,Δεκαπόλεως,268551
ꙇ,3522847,καὶ,268552
отъ,3522848,,
ꙇл҃ма,3522849,Ἱεροσολύμων,268553
ꙇ,3522850,καὶ,268554
и юдеѩ,3522851,Ἰουδαίας,268555
ꙇ,3522852,καὶ,268556
съ,3522853,τοῦ,268558
оного,3522854,,
полоу,3522855,,
ꙇо̆рдана,3522856,Ἰορδάνου,268559
оузьрѣвъ,3522857,Ἰδὼν,268561
же,3522858,δὲ,268562
народꙑ,3522859,ὄχλους,268564
вьзиде,3522860,ἀνέβη,268565
на,3522861,εἰς,268566
горѫ,3522862,ὄρος,268568
ꙇ,3522863,καὶ,268570
ѣко,3522864,,
сѣде,3522865,καθίσαντος,268571
пристѫпишѧ,3522866,προσῆλθαν,268573
къ,3522867,,
н҄емоу,3522868,αὐτῷ,268574
оученици,3522869,μαθηταὶ,268576
его,3522870,αὐτοῦ,268577
ꙇ,3522871,καὶ,268579
отвръзъ,3522872,ἀνοίξας,268580
оуста,3522873,στόμα,268582
своѣ,3522874,αὐτοῦ,268583
оучааше,3522875,ἐδίδασκεν,268584
ѩ,3522876,αὐτοὺς,268585
гл҃ѧ,3522877,λέγων,268586
Блажени,3522878,μακάριοι,268588
ништиі,3522879,πτωχοὶ,268590
дх҃омь,3522880,πνεύματι,268592
ѣко,3522881,ὅτι,268594
тѣxъ,3522882,αὐτῶν,268595
естъ,3522883,ἐστιν,268596
цр҃со,3522884,βασιλεία,268598
нб҃ское,3522885,οὐρανῶν,268600
блажени,3522887,μακάριοι,268612
плачѫштеи,3522888,πενθοῦντες,268614
ѣко,3522889,ὅτι,268616
ти,3522890,αὐτοὶ,268617
оутѣшѧтъ,3522891,παρακληθήσονται,268618
сѧ,3522892,,
блажени,3522894,μακάριοι,268602
кротьци,3522895,πραεῖς,268604
ѣко,3522896,ὅτι,268606
ти,3522897,αὐτοὶ,268607
наслѣдѧтъ,3522898,κληρονομήσουσιν,268608
земл҄ѭ,3522899,γῆν,268610
блажени,3522901,μακάριοι,268620
алꙿчѫштиꙇ,3522902,πεινῶντες,268622
ꙇ,3522903,καὶ,268623
жѧждѫштиі,3522904,διψῶντες,268624
правъдꙑ,3522905,δικαιοσύνην,268626
ради,3522906,,
ѣко,3522907,ὅτι,268628
ти,3522908,αὐτοὶ,268629
насꙑтѧтъ,3522909,χορτασθήσονται,268630
сѧ,3522910,,
блажени,3522912,μακάριοι,268632
милостивиі,3522913,ἐλεήμονες,268634
ѣко,3522914,ὅτι,268636
ти,3522915,αὐτοὶ,268637
помиловани,3522916,ἐλεηθήσονται,268638
бѫдѫтъ,3522917,,
блажени,3522919,μακάριοι,268640
чистиі,3522920,καθαροὶ,268642
сръдцемь,3522921,καρδίᾳ,268644
ѣко,3522922,ὅτι,268646
ти,3522923,αὐτοὶ,268647
б҃а,3522924,θεὸν,268649
оузьрѧтъ,3522925,ὄψονται,268650
блажени,3522927,μακάριοι,268652
съмирѣѭштиі,3522928,εἰρηνοποιοί,268654
ѣко,3522929,ὅτι,268656
ти,3522930,,
сн҃о!в!е,3522931,υἱοὶ,268657
бж҃іи,3522932,θεοῦ,268658
нарекѫтъ,3522933,κληθήσονται,268659
сѧ,3522934,,
блажени,3522936,μακάριοι,268661
ꙇзгънани,3522937,δεδιωγμένοι,268663
правъдꙑ,3522938,δικαιοσύνης,268665
ради,3522939,ἕνεκεν,268664
ѣко,3522940,ὅτι,268667
тѣxъ,3522941,αὐτῶν,268668
естъ,3522942,ἐστιν,268669
цр҃ство,3522943,βασιλεία,268671
нб҃ское,3522944,οὐρανῶν,268673
блажени,3522946,μακάριοί,268675
есте,3522947,ἐστε,268676
егда,3522948,ὅταν,268677
поносѧтъ,3522949,ὀνειδίσωσιν,268678
вамъ,3522950,ὑμᾶς,268679
ꙇ,3522951,καὶ,268680
ижденѫтъ,3522952,διώξωσιν,268681
вꙑ,3522953,,
ꙇ,3522954,καὶ,268682
рекѫтъ,3522955,εἴπωσιν,268683
вьсѣкъ,3522956,πᾶν,268684
зълъ,3522957,πονηρὸν,268685
гл҃ъ,3522958,,
на,3522959,καθ’,268686
вꙑ,3522960,ὑμῶν,268687
лъжѫште,3522961,ψευδόμενοι,268688
мене,3522962,ἐμοῦ,268690
ради,3522963,ἕνεκεν,268689
Радоуите,3522964,χαίρετε,268692
сѧ,3522965,,
ꙇ,3522966,καὶ,268693
веселите,3522967,ἀγαλλιᾶσθε,268694
сѧ,3522968,,
ѣко,3522969,ὅτι,268696
мъзда,3522970,μισθὸς,268698
ваша,3522971,ὑμῶν,268699
многа,3522972,πολὺς,268700
естъ,3522973,,
на,3522974,ἐν,268701
небесеxъ,3522975,οὐρανοῖς,268703
тако,3522976,οὕτως,268705
бо,3522977,γὰρ,268706
ꙇзгънашѧ,3522978,ἐδίωξαν,268707
пророкꙑ,3522979,προφήτας,268709
ꙇже,3522980,,
бѣшѧ,3522981,,
прѣжде,3522982,πρὸ,268711
васъ,3522983,ὑμῶν,268712
вꙑ,3522984,Ὑμεῖς,268714
есте,3522985,ἐστε,268715
соль,3522986,ἅλας,268717
земи,3522987,γῆς,268719
аште,3522988,ἐὰν,268721
же,3522989,δὲ,268722
соль,3522990,ἅλας,268724
обоуѣетъ,3522991,μωρανθῇ,268725
чимь,3522992,τίνι,268728
осолитъ,3522993,ἁλισθήσεται,268729
сѧ,3522994,,
ни,3522995,,
чьсомоу,3522996,οὐδὲν,268732
же,3522997,,
бѫдетъ,3522998,ἰσχύει,268733
