sqlite> select corpus.tokno, corpus.chu_word_torot, corpus.autoreconstructed_lcs, corpus.lemma_id, lemmas.lemma_ocs from corpus LEFT JOIN lemmas ON corpus.lemma_id = lemmas.lemma_id where morph_tag LIKE '__i_______' AND corpus.inflexion_class = '40' ORDER BY corpus.tokno;

tokno|chu_word_torot|autoreconstructed_lcs|lemma_id|lemma_ocs
89953|веселѧхъ|veseĺǢaxъ|782|веселити
89959|служаху|služǢaxǫ|512|служити
90082|творѧху|tvoŕǢaxǫ|101|творити
91500|творѧше|tvoŕǢaše|101|творити
91640|творѧше|tvoŕǢaše|101|творити
93317|люблѧше|ĺubĺǢaše|233|любити
94533|творѧху|tvoŕǢaxǫ|101|творити
96061|посвѣтѧше|posvěћǢaše|3563|посвѣтити
96063|блещашеть|blьšћǢaše|2921|бльщати
96460|любѧше|ĺubĺǢaše|233|любити
96471|бранѧше|borńǢaše|886|бранити
96699|любѧше|ĺubĺǢaše|233|любити
97503|хожаше|xoђǢaše|129|ходити
97517|творѧше|tvoŕǢaše|101|творити
97534|молѧше|modĺǢaše|118|молити
97667|мыслѧше|myšĺǢaše|1124|мыслити
97785|приходѧху|prixoђǢaxǫ|244|приходити
97803|просѧху|prošǢaxǫ|222|просити
101411|привожаху|privoђǢaxǫ|1003|приводити
102457|творѧше|tvoŕǢaše|101|творити
102481|творѧше|tvoŕǢaše|101|творити
102498|творѧше|tvoŕǢaše|101|творити
102508|творѧше|tvoŕǢaše|101|творити
102823|просѧше|prošǢaše|222|просити
103540|приходѧше|prixoђǢaše|244|приходити
104297|молѧху|modĺǢaxǫ|118|молити
104360|приходѧше|prixoђǢaše|244|приходити
104374|створѧше|sъtvoŕǢaše|59|сътворити
104475|помнѧше|pomьńǢaše|1202|помьнити
104621|възвратѧшет|vъzvorћǢaše|196|възвратити
104680|исхожаше|jьsxoђǢaše|603|исходити
104956|молѧше|modĺǢaše|118|молити
104974|приносѧшеть|prinošǢaše|720|приносити
104985|вмѣстѧше|vъměšћǢaše|2889|въмѣстити
105025|трудѧшет|truђǢaše|1611|трудити
105251|служаше|služǢaše|512|служити
105320|служаше|služǢaše|512|служити
105363|молѧше|modĺǢaše|118|молити
105369|творѧше|tvoŕǢaše|101|творити
105415|положаху|položǢaxǫ|147|положити
105863|прихожаху|prixoђǢaxǫ|244|приходити
107822|молѧше|modĺǢaše|118|молити
108694|оучашеть|učǢaše|257|учити
109447|любѧше|ĺubĺǢaše|233|любити
112560|износѧху|jьznošǢaxǫ|1787|износити
114690|оучаше|učǢaše|257|учити
120396|осудѧше|osǫђǢaše|1984|осудити
121914|възвратѧшеть|vъzvorћǢaše|196|възвратити
121919|допустѧху|dopušћǢaxǫ|3595|допустити
122525|припустѧху|pripušћǢaxǫ|3596|припустити
123091|молѧху|modĺǢaxǫ|118|молити
123475|молѧхуть|modĺǢaxǫ|118|молити
124826|водѧшеть|voђǢaše|767|водити
124842|водѧше|voђǢaše|767|водити
125099|моляшѣ|modĺǢaše|118|молити
125162|приношаху|prinošǢaxǫ|720|приносити
125289|хожаху|xoђǢaxǫ|129|ходити
125322|хожашѣ|xoђǢaše|129|ходити
125461|ездяшѣ|jǢžђǢaše|679|ѣздити
125478|тешашѣ|těšǢaše|1627|тѣшити
125538|грабяшѣ|grabĺǢaše|1513|грабити
125604|вѣселяшѣ|veseĺǢaše|782|веселити
125763|моляшѣ|modĺǢaše|118|молити
129748|кѹплѧхѹ|kupĺǢaxǫ|316|купити
130635|мълвлѧше|ml̥vĺǢaše|427|мълвити
130863|творѧхѹ|tvoŕǢaxǫ|101|творити
132510|мълвлѧше|ml̥vĺǢaše|427|мълвити
134035|творѧше|tvoŕǢaše|101|творити
134118|творѧхѹть|tvoŕǢaxǫ|101|творити
134529|кѹплѧху|kupĺǢaxǫ|316|купити
134544|кѹплѧхѹ|kupĺǢaxǫ|316|купити
136083|творѧхѹ|tvoŕǢaxǫ|101|творити
136626|коупла]хоу|kupĺǢaxǫ|316|купити
137624|творѧхѹть|tvoŕǢaxǫ|101|творити
138130|вожаше|vožǢaše|1379|возити
138237|жѧлѧхѹ|žǢĺǢaxǫ|1951|жалити
138263|кнѧжѧше|kъnęžǢaše|576|къняжити
138302|хожахѹ|xoђǢaxǫ|129|ходити
138564|веселѧше|veseĺǢaše|782|веселити
139396|хожашеть|xoђǢaše|129|ходити
139425|ѹчѧшеть|učǢaše|257|учити
139455|ѹчашеть|učǢaše|257|учити
139629|мѣнѧшеть|měńǢaše|3068|мѣнити
139817|волочахѹ|velčǢaxǫ|1547|волочити
140375|крѣплѧше|krěpĺǢaše|2198|крѣпити
140603|съхожаше|sъxoђǢaše|1077|съходити
140626|хожаше|xoђǢaše|129|ходити
140724|молѧхѹть|modĺǢaxǫ|118|молити
142631|кѹплѧхѹть|kupĺǢaxǫ|316|купити
144100|молѧхѹ|modĺǢaxǫ|118|молити
147237|творѧхуть|tvoŕǢaxǫ|101|творити
147459|творѧхѹ|tvoŕǢaxǫ|101|творити
147601|куплѧхѹ|kupĺǢaxǫ|316|купити
147965|прогонѧшеть|progońǢaše|1776|прогонити
149243|влачаше|volčǢaše|3013|влачити
149616|творѧхѹ|tvoŕǢaxǫ|101|творити
149783|кѹплѧхомъ|kupĺǢaxomъ|316|купити
149795|кѹплѧхомъ|kupĺǢaxomъ|316|купити
153174|творѧхѹть|tvoŕǢaxǫ|101|творити
155704|правлꙗаше|pravĺǢaše|1038|правити
160381|хожаше|xoђǢaše|129|ходити
160520|мучаху|mǫčǢaxǫ|631|мучити
160533|творѧху|tvoŕǢaxǫ|101|творити
162594|схожаху|sъxoђǢaxǫ|1077|съходити
162757|творѧху|tvoŕǢaxǫ|101|творити
170983|съжалих꙽|sъžǢĺǢaxъ|1006|съжалити
171018|изволѧхꙋ|jьzvoĺǢaxǫ|451|изволити
173103|носѧше|nošǢaše|496|носити
173178|молѧше|modĺǢaše|118|молити
173991|привожаше|privoђǢaše|1003|приводити
174023|прихождахѹ|prixoђǢaxǫ|244|приходити
174126|ѹчаше|učǢaše|257|учити
174896|прихожахѹ|prixoђǢaxǫ|244|приходити
174924|ношаше|nošǢaše|496|носити
175233|недомышлѧше|nedomyšĺǢaše|3084|недомыслити
175572|ѹчаше|učǢaše|257|учити
175615|молѧше|modĺǢaše|118|молити
175664|печалѧхѹ|pečǢĺǢaxǫ|2658|печалити
176146|молѧше|modĺǢaše|118|молити
176196|готовѧхѹ|gotovĺǢaxǫ|1892|готовити
176350|молѧхѹ|modĺǢaxǫ|118|молити
176934|молѧше|modĺǢaše|118|молити
177162|исхожаше|jьsxoђǢaše|603|исходити
177216|исхождааше|jьsxoђǢaše|603|исходити
177250|молѧше|modĺǢaše|118|молити
177487|дивлѧхꙋ|divĺǢaxǫ|1063|дивити
