tokno|orv_word_torot|lemma_id|lemma_orv|text_title|subtitle|sentence_no|sentence_txt
41245|бежахꙋ|278|бѣжати|The tale of the fall of Constantinople|Another omen|280158|и въ д҃нь ѻдолеваеми бежахꙋ и крыꙗхꙋсѧ вʼ пропастехъ и вʼ погребех. а нощи вылазѧхꙋ и побивахꙋ тоурковʼ. 
41256|вылазѧхꙋ|2953|вылазити|The tale of the fall of Constantinople|Another omen|280158|и въ д҃нь ѻдолеваеми бежахꙋ и крыꙗхꙋсѧ вʼ пропастехъ и вʼ погребех. а нощи вылазѧхꙋ и побивахꙋ тоурковʼ. 
64365|ѹчинѧше|445|учинити|The Tale of Dracula|The Tale of Dracula|281802|кои раненъ спреди, томѹ чсть велїю поваше, и витѧȥем его ѹчинѧше. 
64621|сажахѹ|2239|сажати|The Tale of Dracula|The Tale of Dracula|281827|ѡвых на колїе сажахѹ тѹрков. а иных на полы пресѣкаꙗ и жжигаꙗ. и до ссѹщих младнець. 
64776|прихождахѹ|244|приходити|The Tale of Dracula|The Tale of Dracula|281843|и прихождахѹ люде мноȥи и пїѧхѹ ѿ кладѧȥѧ и источника водѹ 
65407|исхожаше|603|исходити|The Tale of Dracula|The Tale of Dracula|281920|и ѹсты исхожаше. 
65588|ѹслажаше|2454|усладити|The Tale of Dracula|The Tale of Dracula|281945|ѡн же среди ихъ ꙗдѧше, и тѣмъ ѹслажаше с. 
65597|ставлѧше|8577|ставляти|The Tale of Dracula|The Tale of Dracula|281946|слѹга ж его иж пред нимъ ꙗсти ставлѧше. смрадѹ ѡного не моги терпѣти, и ȥаткнѹ. носъ. и на странꙋ главѹ свою склони. 
65838|прихождаше|244|приходити|The Tale of Dracula|The Tale of Dracula|281979|ѿколе к немꙋ прихождаше посолъ. ѿ црѧ ил ѿ королѧ неиȥѧщенъ и не ѹмѣаше противъ коȥнем кто ѿвѣщати. то, на колъ его всажаше. глѧ 
65857|всажаше|8553|въсажати|The Tale of Dracula|The Tale of Dracula|281979|ѿколе к немꙋ прихождаше посолъ. ѿ црѧ ил ѿ королѧ неиȥѧщенъ и не ѹмѣаше противъ коȥнем кто ѿвѣщати. то, на колъ его всажаше. глѧ 
65912|ѹчинѧше|445|учинити|The Tale of Dracula|The Tale of Dracula|281984|тако поклисарю ѹчинѧше колъ высокъ. и поȥлащенъ весь, и на него всаждаше. 
65921|всаждаше|8588|въсаждати|The Tale of Dracula|The Tale of Dracula|281984|тако поклисарю ѹчинѧше колъ высокъ. и поȥлащенъ весь, и на него всаждаше. 
66177|каȥнѧше|724|казнити|The Tale of Dracula|The Tale of Dracula|282011|глют же ѡ немь ꙗко и в темници сѣдѧ не ѡста сѧ своего ȥлаго ѡбычаꙗ. но мыши ловѧ и птици на торгѹ покѹпаꙗ и тако каȥнѧше ихъ. 
66182|посажаше|8600|посажати|The Tale of Dracula|The Tale of Dracula|282012|ѡвѹ на колъ посажаше. 
66201|кормлѧше|537|кърмити|The Tale of Dracula|The Tale of Dracula|282015|и наѹчи сѧ шити, и тѣмъ в темници кормлѧше с. 
68968|ѣздѧху|679|ѣздити|The Kiev Chronicle, Codex Hypatianus|6643|276411|ѣздѧху по онои сторонѣ днѣпра. люди ємлюще. а другыя сѣкуще. нѣ оутѧгшимъ перевести сѧ имъ. 
70658|дивлѧху|1063|дивити|The Primary Chronicle, Codex Laurentianus|Introduction|262298|ты слы шаще дивлѧхус. 
71122|творѧху|101|творити|The Primary Chronicle, Codex Laurentianus|Introduction|262355|и насилье творѧху женамъ дулѣпьскимъ. 
71376|приводѧху|1003|приводити|The Primary Chronicle, Codex Laurentianus|Introduction|262392|не хожшее зѧть по невѣсту. но приводѧху вечеръ. 
71380|приношаху|720|приносити|The Primary Chronicle, Codex Laurentianus|Introduction|262393|а завътра приношаху по неи. что вдадуче. 
71445|схожаху|1077|съходити|The Primary Chronicle, Codex Laurentianus|Introduction|262404|схожахусѧ. на игрища на плѧсанье. и на всѧ бѣсовьская игрища. 
71478|творѧху|101|творити|The Primary Chronicle, Codex Laurentianus|Introduction|262407|аще кто оумрѧше творѧху трызно надъ нимъ. 
71485|творѧху|101|творити|The Primary Chronicle, Codex Laurentianus|Introduction|262408|и по семь творѧху кладу велику 
71505|поставѧху|128|поставити|The Primary Chronicle, Codex Laurentianus|Introduction|262412|и поставѧху на столпѣ на путех. 
71517|творѧху|101|творити|The Primary Chronicle, Codex Laurentianus|Introduction|262414|си же творѧху ѡбычая кривичи. прочии погании. не вѣдуще закона бж҃я. но творѧще сами собѣ законъ. 
74092|стрѣл ѧху|4903|стрѣляти|The Primary Chronicle, Codex Laurentianus|6449: Igor goes to Constantinople and is defeated by the Greeks|262764|их же емше ѡвѣхъ растинаху. другия аки странь поставлѧюще. и стрѣл ѧху въ нѧ. 
74870|ношаху|496|носити|The Primary Chronicle, Codex Laurentianus|6453: Roman, Constantin and Stefan establish a peace agreement with Igor|262835|ношаху сли печати злати. 
76200|примышлѧше|3512|примышляти|The Primary Chronicle, Codex Laurentianus|6453: Olga's revenge|262951|и примышлѧше къ первои даи 
76204|насилѧше|9345|насиляти|The Primary Chronicle, Codex Laurentianus|6453: Olga's revenge|262952|насилѧше имъ. и мужи его. 
78091|бранѧху|886|бранити|The Primary Chronicle, Codex Laurentianus|6463: Olga goes to Constantinople and is christened|263246|но аще кто хотѧше крститисѧ не бранѧху но ругахусѧ тому 
78226|творѧше|101|творити|The Primary Chronicle, Codex Laurentianus|6463: Olga goes to Constantinople and is christened|263271|творѧше норовы поганьския не вѣдыи. аще кто мрте не послушаеть. в бѣду впадаеть 
78286|любѧше|233|любити|The Primary Chronicle, Codex Laurentianus|6463: Olga goes to Constantinople and is christened|263280|но ѡбаче любѧше ѡльга с҃на своего с҃тослава. рькущи 
78322|молѧше|118|молити|The Primary Chronicle, Codex Laurentianus|6463: Olga goes to Constantinople and is christened|263283|и се рекши молѧшесѧ за с҃на. и за люди. по всѧ нощи и д҃ни. кормѧщи с҃на своего до мужьства его. и до взрас та его·:· 
78414|творѧше|101|творити|The Primary Chronicle, Codex Laurentianus|6472: Svyatoslav and his ways|263293|и легъко ходѧ. аки пардусъ. воины многи творѧше ходѧ. 
78420|возѧше|1379|возити|The Primary Chronicle, Codex Laurentianus|6472: Svyatoslav and his ways|263294|возъ по собѣ не возѧше. ни котьла ни мѧсъ варѧ. 
79279|молѧше|118|молити|The Primary Chronicle, Codex Laurentianus|6472: Svyatoslav and his ways|263429|ибо по смр҃ти молѧше б҃а за русь. 
80635|молвѧше|427|мълвити|The Primary Chronicle, Codex Laurentianus|6472: Svyatoslav and his ways|263645|и молвѧше всегда. ярополку свѣналдъ. 
81154|льстѧху|1700|льстити|The Primary Chronicle, Codex Laurentianus|6472: Svyatoslav and his ways|263726|и паки языки своими льстѧхусѧ. 
81546|любѧше|233|любити|The Primary Chronicle, Codex Laurentianus|6472: Svyatoslav and his ways|263787|тѣмь и ѡц҃ь его не любѧше. 
81709|привожаху|1003|приводити|The Primary Chronicle, Codex Laurentianus|6472: Svyatoslav and his ways|263814|привожаху с҃ны своя и дъщери. 
81717|ѡсквернѧху|2767|осквьрняти|The Primary Chronicle, Codex Laurentianus|6472: Svyatoslav and his ways|263816|ѡсквернѧху землю теребами своими. 
82246|творѧше|101|творити|The Primary Chronicle, Codex Laurentianus|6472: Svyatoslav and his ways|263896|и творѧше потребу кумиромъ. с людми своими. 
83151|оуподоблеше|2162|уподобити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264041|оуподоблешес содому и гомору. на неже пусти гсь каменье горюще. 
83650|славѧше|695|славити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264116|видѧше б҃а и славѧше. егда ан҃гли славѧх. 
83653|славѧх|695|славити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264116|видѧше б҃а и славѧше. егда ан҃гли славѧх. 
84451|привожах|1003|приводити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264249|и привожах с҃ны своя и дъщери. 
84962|насилѧху|9345|насиляти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264321|и насилѧху имъ еюптѧне работою 
85644|избавѧшеть|1653|избавляти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264413|егда избавѧшеть ихъ. паки оукланѧхутьсѧ. на бѣсослуженье. 
85654|судѧше|591|судити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264414|по сих же судѧше илии жрець. 
87220|възношаше|2054|възносити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264670|и се рекъ възношашесѧ на н҃бо. 
87404|ношаше|496|носити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264693|д҃хъ б҃жии ношашесѧ верху воды. еже бо и нынѣ крстьсѧ водою и дх҃мь. 
87692|хвалѧх|649|хвалити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264727|и ти хвалѧх законъ свои. 
87704|хулѧше|1785|хулити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264730|хулѧше вси законы. 
87709|хвалѧше|649|хвалити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264731|свои же хвалѧше. 
88301|ношаху|496|носити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264823|симъ же спуще имъ. корсунѧне подъкопавше стѣну градьскую. крадуще сыплемую перьсть. и ношаху к собѣ въ градъ. сыплюще посредѣ града. 
89413|творѧх|101|творити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264965|сего же преже римлѧне не творѧх. 
89415|исправляху|2221|исправляти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264966|но исправляху на всѣх сборѣхъ. сходѧщесѧ ѿ рима. и ѿ всѣх прстлъ. 
89454|исправлѧху|2221|исправляти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264969|тако исправлѧху вѣру. 
89541|прославлѧху|866|прославляти|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264978|и си вси своими епспы сходѧщесѧ и прославлѧху по семь же сборѣ. 
89736|прелщаше|2242|прѣльщати|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|264995|се же не яко древу чюющю. но на поруганье бѣсу. иже прелщаше симь ѡбразом члв҃кы. да възмездье прииметь ѿ члв҃къ. 
89908|бродѧху|1649|бродити|The Primary Chronicle, Codex Laurentianus|6494: Vladimir consults with representatives of different religions|265016|свершении же бродѧху. 
