TOROT form,Autoreconstructed LCS,Autonormalised OCS
подобаатъ,podobajetъ,подобаѥтъ
бо,bo,бо
бꙑти,byti,бъіти
нъ,nъ,нъ
не,ne,не
оу,ju,ю
коньчина,konьčina,коньчина
въстанетъ,vъstanetъ,въстанетъ
бо,bo,бо
ѩзꙑкъ,językъ,ѩзъікъ
на,na,на
ѩ҃зкъ,językъ,ѩзъікъ
ꙇ,i,и
ц҃срство,kěsaŕьstvo,цѣсар҄ьство
на,na,на
ц҃срство,kěsaŕьstvo,цѣсар҄ьство
ꙇ,i,и
бѫдѫтъ,bǫdǫtъ,бѫдѫтъ
трѫси,trǫsi,трѫси
по,po,по
мѣста,města,мѣста
ꙇ,i,и
бѫдѫтъ,bǫdǫtъ,бѫдѫтъ
глади,goldi,глади
и,i,и
мѧтежи,męteži,мѧтежи
начѧло,načęlo,начѧло
болѣзнемъ,bolěznьmъ,болѣзньмъ
си,si,си
Блюдѣте,bĺuděte,блюдѣте
же,že,же
вꙑ,vy,въі
сѧ,sę,сѧ
сами,sami,сами
прѣдадѧтъ,perdadętъ,прѣдадѧтъ
бо,bo,бо
вꙑ,vy,въі
въ,vъ,въ
сънѧтиѣ,sъnętьjǞ,сънѧтиꙗ
ꙇ,i,и
на,na,на
сънъмищихъ,sъnьmiščixъ,съньмищихъ
бьени,bьjeni,биѥни
бѫдете,bǫdete,бѫдете
ꙇ,i,и
прѣдъ,perdъ,прѣдъ
воеводами,vojevodami,воѥводами
и,i,и
прѣдъ,perdъ,прѣдъ
ц҃сри,kěsaŕi,цѣсар҄и
станете,stanete,станете
мене,mene,мене
ради,radi,ради
въ,vъ,въ
съвѣдѣтельство,sъvěděteĺьstvo,съвѣдѣтел҄ьство
имъ,jimъ,имъ
ꙇ,i,и
въ,vъ,въ
вьсѣхъ,vьxěxъ,вьсѣхъ
ѩзꙑцѣхъ,językěxъ,ѩзъіцѣхъ
подобаатъ,podobajetъ,подобаѥтъ
прѣжде,perђe,прѣжде
проповѣдати,propovědati,проповѣдати
сѧ,sę,сѧ
е҃внꙉлию,jevanǵelьju,ѥванꙉелию
Егда,jegъda,ѥгъда
же,že,же
водѧтъ,vodętъ,водѧтъ
вꙑ,vy,въі
прѣдаѭште,perdajǫћe,прѣдаѭще
не,ne,не
пьцѣте,pьkěte,пьцѣте
сѧ,sę,сѧ
прѣжде,perђe,прѣжде
что,čьto,чьто
възглаголете,vъzgolgoĺete,възглагол҄ете
ни,ni,ни
пооучаите,poučǞjite,пооучаите
сѧ,sę,сѧ
нъ,nъ,нъ
еже,ježe,ѥже
аште,aћe,аще
дастъ,dastъ,дастъ
сѧ,sę,сѧ
вамъ,vamъ,вамъ
въ,vъ,въ
тъ,tъ,тъ
часъ,čǞsъ,часъ
то,to,то
глаголете,golgoĺete,глагол҄ете
не,ne,не
вꙑ,vy,въі
бо,bo,бо
бѫдете,bǫdete,бѫдете
глаголѭштеи,golgoĺǫћeji,глаголѭщеи
нъ,nъ,нъ
д҃хъ,duxъ,доухъ
с҃тꙑ,svętъjь,свѧтъіи
прѣдастъ,perdastъ,прѣдастъ
же,že,же
братръ,bratrъ,братръ
братра,bratra,братра
на,na,на
съмръть,sъmŕ̥tь,съмрьть
ꙇ,i,и
о҃тцъ,otьkь,отьць
чѧдо,čędo,чѧдо
и,i,и
въстанѫтъ,vъstanǫtъ,въстанѫтъ
чѧда,čęda,чѧда
на,na,на
родителѧ,roditeĺę,родителѩ
ꙇ,i,и
оубьѭтъ,ubьjǫtъ,оубиѭтъ
ѩ,ję,ѩ
и,i,и
бѫдете,bǫdete,бѫдете
ненавидими,nenavidimi,ненавидими
вьсѣми,vьxěmi,вьсѣми
имене,jьmene,имене
моего,mojego,моѥго
ради,radi,ради
прѣтръпѣвꙑ,pertŕ̥pěvъjь,прѣтрьпѣвъіи
же,že,же
до,do,до
коньца,konьka,коньца
тъ,tъ,тъ
с҃пснъ,sъpasenъ,съпасенъ
бѫдетъ,bǫdetъ,бѫдетъ
Егда,jegъda,ѥгъда
же,že,же
мръзость,mŕ̥zostь,мрьзость
оузьрите,uzьrite,оузьрите
запоустѣниѣ,zapustěnьjǞ,запоустѣниꙗ
реченѫѭ,rečenǫjǫ,реченѫѭ
данииломъ,daniilomь,данииломь
п҃ркмъ,prorokomь,пророкомь
стоѩштѫ,stojęћǫ,стоѩщѫ
идеже,jьdeže,идеже
не,ne,не
подобаатъ,podobajetъ,подобаѥтъ
чътꙑ,čьty,чьтъі
да,da,да
разоумѣатъ,orzumějetъ,разоумѣѥтъ
тъгда,tъgъda,тъгъда
иже,jiže,иже
бѫдѫтъ,bǫdǫtъ,бѫдѫтъ
въ,vъ,въ
іюдеи,ijudeji,июдеи
да,da,да
бѣгаѭтъ,běgajǫtъ,бѣгаѭтъ
на,na,на
горꙑ,gory,горъі
ꙇ,i,и
иже,jьže,иже
на,na,на
кровѣ,krově,кровѣ
да,da,да
не,ne,не
сълазитъ,sъlazitъ,сълазитъ
въ,vъ,въ
домъ,domъ,домъ
ни,ni,ни
да,da,да
вънидетъ,vъnidetъ,вънидетъ
вьзѧтъ,vъzętъ,възѧтъ
чесо,česo,чесо
отъ,otъ,отъ
домоу,domu,домоу
своего,svojego,своѥго
и,i,и
сꙑи,syjь,съіи
на,na,на
селѣ,selě,селѣ
да,da,да
не,ne,не
възвратитъ,vъzvortitъ,възвратитъ
сѧ,sę,сѧ
вьспѧть,vъspętь,въспѧть
вьзѧтъ,vъzętъ,възѧтъ
ризъ,rizъ,ризъ
своихъ,svojixъ,своихъ
Горе,goŕe,гор҄е
же,že,же
непраздънꙑмъ,neporzdьnamъjimъ,непраздьнъіимъ
и,i,и
доѩштімъ,dojęћǞmъjimъ,доѩщиимъ
въ,vъ,въ
тꙑ,ty,тъі
дъни,dьni,дьни
молите,modlite,молите
же,že,же
сѧ,sę,сѧ
да,da,да
не,ne,не
бѫде,bǫdetъ,бѫдетъ
бѣство,běstvo,бѣство
ваше,vaše,ваше
зимѣ,zimě,зимѣ
бѫдѫтъ,bǫdǫtъ,бѫдѫтъ
бо,bo,бо
дъне,dьne,дьне
ти,ti,ти
скръбьни,skr̥bьni,скръбьни
ѣко,ako,ако
не,ne,не
бꙑстъ,bystъ,бъістъ
такова,takova,такова
отъ,otъ,отъ
начѧла,načęla,начѧла
зъданию,zьdanьju,зьданию
еже,ježe,ѥже
съзъда,sъzьda,съзьда
б҃ъ,bogъ,богъ
до,do,до
нꙑнѣ,nyně,нъінѣ
и,i,и
не,ne,не
бѫдетъ,bǫdetъ,бѫдетъ
Ꙇ҅,i,и
аште,aћe,аще
не,ne,не
би,bi,би
г҃ъ,gospodь,господь
прѣкратилъ,perkortilъ,прѣкратилъ
дьнии,dьnьjь,дьнии
не,ne,не
би,bi,би
бꙑла,byla,бъіла
съпасена,sъpasena,съпасена
вьсѣка,vьxaka,вьсꙗка
плъть,plъtь,плъть
нъ,nъ,нъ
ꙇ҅збъранꙑхъ,jьzbьranъjixъ,избьранъіихъ
ради,radi,ради
ѩже,jęže,ѩже
избъра,jьzbьra,избьра
прѣкратитъ,perkortitъ,прѣкратитъ
дьни,dьni,дьни
ꙇ,i,и
тъгда,tъgъda,тъгъда
аште,aћe,аще
речетъ,rečetъ,речетъ
къто,kъto,къто
вамъ,vamъ,вамъ
се,se,се
сьде,sьde,сьде
х҃ь,xristosi,христоси
се,se,се
овъде,ovъde,овъде
не,ne,не
имѣте,jьměte,имѣте
вѣрꙑ,věry,вѣръі
въстанѫтъ,vъstanǫtъ,въстанѫтъ
бо,bo,бо
лъжи,lъži,лъжи
хръсти,xristosi,христоси
и,i,и
лъжи,lъži,лъжи
пророци,proroki,пророци
ꙇ,i,и
дадѧтъ,dadętъ,дадѧтъ
знамениѣ,znamenьjǞ,знамениꙗ
и,i,и
чюдеса,čudesa,чоудеса
да,da,да
прѣльстѧтъ,perlьstętъ,прѣльстѧтъ
аще,aћe,аще
възможъно,vъzmožьno,възможьно
избъранꙑѩ,jьzbьranyję,избьранъіѩ
вꙑ,vy,въі
же,že,же
блюдѣте,bĺuděte,блюдѣте
сѧ,sę,сѧ
се,se,се
прѣжде,perђe,прѣжде
рѣхъ,rěxъ,рѣхъ
вамъ,vamъ,вамъ
вьсѣ,vьxa,вьсꙗ
Нъ,nъ,нъ
въ,vъ,въ
тꙑ,ty,тъі
дьни,dьni,дьни
по,po,по
скръби,skr̥bi,скръби
тои,tojь,тои
слъньце,sl̥nьke,слъньце
помрачитъ,pomorčitъ,помрачитъ
сѧ,sę,сѧ
ꙇ,i,и
лоуна,luna,лоуна
не,ne,не
дастъ,dastъ,дастъ
свѣта,světa,свѣта
своего,svojego,своѥго
ꙇ,i,и
звѣздꙑ,gvězdy,гвѣздъі
начънѫтъ,načьnǫtъ,начьнѫтъ
падати,padati,падати
съ,﻿sъ,﻿съ
н҃бсе,nebese,небесе
ꙇ,i,и
силꙑ,sily,силъі
ѩже,jęže,ѩже
сѫтъ,sǫtъ,сѫтъ
на,na,на
н҃бсхъ,nebesьxъ,небесьхъ
подвижѧтъ,podvižętъ,подвижѧтъ
сѧ,sę,сѧ
ꙇ,i,и
тъгда,tъgъda,тъгъда
оузьрѧтъ,uzьrętъ,оузьрѧтъ
с҃на,syna,съіна
ч҃ловчскааго,čьlověčьskajego,чьловѣчьскаѥго
грѧдѫшта,grędǫћǞ,грѧдѫща
на,na,на
облацѣхъ,obvolkě,облацѣ
съ,﻿sъ,﻿съ
силоѭ,silojǫ,силоѭ
мъногоѭ,mъnogojǫ,мъногоѭ
и,i,и
славоѭ҄,slavojǫ,славоѭ
ꙇ,i,и
тъгда,tъgъda,тъгъда
посълетъ,posъĺetъ,посъл҄етъ
а҃ньꙉлꙑ,anǵely,анꙉелъі
своѩ,svoję,своѩ
ꙇ,i,и
съберетъ,sъberetъ,съберетъ
избъранꙑѩ,jьzbьranyję,избьранъіѩ
своѩ,svoję,своѩ
отъ,otъ,отъ
четꙑръ,četyrъ,четъіръ
вѣтръ,větrъ,вѣтръ
отъ,otъ,отъ
коньца,konьka,коньца
землѧ,zemĺę,землѩ
до,do,до
коньца,konьka,коньца
н҃бсе,nebese,небесе
отъ,otъ,отъ
смоковьницѧ,smokъvьnikę,смокъвьницѧ
же,že,же
навꙑкнѣте,navykněte,навъікнѣте
притъчѫ,pritъčǫ,притъчѫ
егда,jegъda,ѥгъда
юже,juže,юже
вѣтвье,větvьje,вѣтвиѥ
еѩ,jeję,ѥѩ
бѫдетъ,bǫdetъ,бѫдетъ
младо,moldo,младо
и,i,и
прозѧбнетъ,prozębnetъ,прозѧбнетъ
листвье,listvьje,листвиѥ
вѣсте,věste,вѣсте
ѣко,ako,ако
близъ,blizъ,близъ
естъ,jestъ,ѥстъ
жѧтва,žętva,жѧтва
тако,tako,тако
и,i,и
вꙑ,vy,въі
егда,jegъda,ѥгъда
оузьрите,uzьrite,оузьрите
си,si,си
бꙑваѭща,byvajǫћǞ,бъіваѭща
вѣдите,vědite,вѣдите
ѣко,ako,ако
близъ,blizъ,близъ
естъ,jestъ,ѥстъ
при,pri,при
двьрехъ,dvьrьxъ,двьрьхъ
амин,aminь,аминь
глаголѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
ѣко,ako,ако
не,ne,не
иматъ,jьmatъ,иматъ
прѣити,per+jьti,прѣити
родъ,rodъ,родъ
сь,sь,сь
дондеже,dońьdeže,дон҄ьдеже
вьсѣ,vьxa,вьсꙗ
си,si,си
бѫдѫтъ,bǫdǫtъ,бѫдѫтъ
н҃бо,nebo,небо
и,i,и
землѣ,zemĺǞ,землꙗ
прѣидетъ,per+jьdetъ,прѣидетъ
а,a,а
моѣ,mojǞ,моꙗ
словеса,slovesa,словеса
не,ne,не
прѣидѫтъ,per+jьdǫtъ,прѣидѫтъ
А,a,а
о,o,о
дьни,dьni,дьни
томь,tomь,томь
и,i,и
о,o,о
часѣ,čǞsě,часѣ
никтоже,nikъtože,никътоже
не,ne,не
вѣстъ,věstъ,вѣстъ
ни,ni,ни
а҃нꙉли,anǵeli,анꙉели
иже,jiže,иже
сѫтъ,sǫtъ,сѫтъ
на,na,на
н҃бсхъ,nebesьxъ,небесьхъ
ни,ni,ни
с҃нъ,synъ,съінъ
тъкъмо,tъkъmo,тъкъмо
отецъ,otьkь,отьць
блюдѣте,bĺuděte,блюдѣте
сѧ,sę,сѧ
и,i,и
молите,modlite,молите
сѧ,sę,сѧ
не,ne,не
вѣсте,věste,вѣсте
бо,bo,бо
когда,kъgъda,къгъда
врѣмѧ,vermę,врѣмѧ
бѫдетъ,bǫdetъ,бѫдетъ
ѣкоже,akože,акоже
ч҃лвкъ,čьlověkъ,чьловѣкъ
оходѧ,oxodę,оходѧ
остави,ostavi,остави
домъ,domъ,домъ
свои,svojь,свои
ꙇ,i,и
давъ,davъ,давъ
рабомъ,orbomъ,рабомъ
своимъ,svojimъ,своимъ
властъ,volstь,власть
и,i,и
комоужъдо,komužьdo,комоужьдо
дѣло,dělo,дѣло
свое,svoje,своѥ
ꙇ,i,и
вратьникоу,vortьniku,вратьницоу
повелѣ,povelě,повелѣ
да,da,да
бьдитъ,bъditъ,бъдитъ
бьдите,bъdite,бъдите
оубо,ubo,оубо
не,ne,не
вѣсте,věste,вѣсте
бо,bo,бо
когда,kъgъda,къгъда
г҃ь,gospodь,господь
домоу,domu,домоу
придетъ,prijьdetъ,приидетъ
вечеръ,večerъ,вечеръ
ли,li,ли
въ,vъ,въ
полоу,polu,полоу
ношти,noћi,нощи
ли,li,ли
въ,vъ,въ
кокотоглашение,kokotogolšenьje,кокотоглашениѥ
ли,li,ли
ютро,utro,оутро
да,da,да
не,ne,не
пришедъ,prišьdъ,пришьдъ
вьнезаапѫ,vъnezaapǫ,вънезаапѫ
обрѧщетъ,obręћetъ,обрѧщетъ
вꙑ,vy,въі
съпѧштѧ,sъpęћę,съпѧщѧ
а,a,а
еже,ježe,ѥже
вамъ,vamъ,вамъ
г҃лглѭ,golgoĺǫ,глаголѭ
вьсѣмъ,vьxěmъ,вьсѣмъ
г҃лѭ,golgoĺǫ,глаголѭ
бьдите,bъdite,бъдите
Бѣ,bě,бѣ
же,že,же
пасха,pasxa,пасха
и,i,и
опрѣснъци,oprěsnъki,опрѣснъци
по,po,по
дъвою,dъvoju,дъвою
дъноу,dьnu,дьноу
ꙇ,i,и
искаахѫ,jьskaaxǫ,искаахѫ
архиереи,arъx́ijereji,аръхиѥреи
и,i,и
кънижъници,kъńižьniki,кън҄ижьници
како,kako,како
и,jь,и
лестьѭ,lьstьjǫ,льстиѭ
емъше,jьmъše,имъше
оубиѭтъ,ubьjǫtъ,оубиѭтъ
г҃лахѫ,golgolaaxǫ,глаголаахѫ
же,že,же
нъ,nъ,нъ
не,ne,не
въ,vъ,въ
праздьникъ,porzdьnikъ,праздьникъ
еда,jeda,ѥда
како,kako,како
бѫдетъ,bǫdetъ,бѫдетъ
млъва,ml̥va,млъва
людемь,ĺudьmъ,людьмъ
ꙇ,i,и
сѫштю,sǫћu,сѫщоу
емоу,jemu,ѥмоу
въ,vъ,въ
витании,vitaniji,витании
въ,vъ,въ
домоу,domu,домоу
симона,simona,симона
прокаженааго,prokaženajego,прокаженаѥго
вьзлежѧштю,vъzležęћu,възлежѧщоу
емоу,jemu,ѥмоу
приде,prijьde,прииде
жена,žena,жена
ꙇмѫшти,jьmǫћi,имѫщи
алавастръ,alavastrъ,алавастръ
хризмꙑ,xrizmy,хризмъі
наръдънꙑ,narъdьny,наръдьнъі
пистикиѩ,pistiḱiję,пистик҄иѩ
драгꙑ,dorgy,драгъі
ꙇ҅,i,и
съкроушъши,sъkrušьši,съкроушьши
алавастръ,alavastrъ,алавастръ
възлиѣ,vъzlьjǞ,възлиꙗ
емоу,jemu,ѥмоу
на,na,на
главѫ,golvǫ,главѫ
бѣахѫ,běaxǫ,бѣахѫ
же,že,же
едини,jedini,ѥдини
негодѫѭште,negodujǫћe,негодоуѭще
вь,vъ,въ
себѣ,sebě,себѣ
и,i,и
г҃лѭште,golgoĺǫћe,глаголѭще
вь,vъ,въ
чемъ,čemь,чемь
гꙑбѣль,gybělь,гъібѣль
си,si,си
хризмънаѣ,xrizmьnajǞ,хризмьнаꙗ
бꙑстъ,bystъ,бъістъ
можааше,možǞaše,можааше
бо,bo,бо
си,si,си
хризма,xrizma,хризма
продана,prodana,продана
бꙑти,byti,бъіти
вѧште,vęћe,вѧще
три,trьjь,трии
сотъ,sъtъ,сътъ
пѣнѧѕъ,pěnęgь,пѣнѧѕь
ꙇ҅,i,и
дати,dati,дати
сѧ,sę,сѧ
ништиимъ,nišћemъjimъ,нищиимъ
и,i,и
прѣштаахѫ,perћǞaxǫ,прѣщаахѫ
еи,jejь,ѥи
ꙇ҃с,jisusъ,исоусъ
же,že,же
рече,reče,рече
останѣте,ostaněte,останѣте
еѩ,jeję,ѥѩ
по,po,по
чъто,čьto,чьто
ѭ,jǫ,ѭ
троуждаате,truђǞjete,троуждаѥте
добро,dobro,добро
бо,bo,бо
дѣло,dělo,дѣло
съдѣла,sъděla,съдѣла
о,o,о
мьнѣ,mъně,мънѣ
вьсегда,vьxegъda,вьсегъда
бо,bo,бо
ништѧѩ,nišћęję,нищѧѩ
имате,jьmate,имате
съ,﻿sъ,﻿съ
собоѭ҄,sobojǫ,собоѭ
ꙇ,i,и
егда,jegъda,ѥгъда
хощете,xoћete,хощете
можете,možete,можете
имъ,jimъ,имъ
добро,dobro,добро
творити,tvoriti,творити
а,a,а
мене,mene,мене
не,ne,не
вьсегда,vьxegъda,вьсегъда
имате,jьmate,имате
еже,ježe,ѥже
имѣ,jьmě,имѣ
си,si,си
сътвори,sъtvori,сътвори
Варила,varila,варила
естъ,jestъ,ѥстъ
похризмити,poxrizmiti,похризмити
тѣло,tělo,тѣло
мое,moje,моѥ
на,na,на
погребение,pogrebenьje,погребениѥ
аминь,aminь,аминь
г҃лѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
идеже,jьdeže,идеже
колижъдо,koližьdo,колижьдо
проповѣдано,propovědano,проповѣдано
бѫдетъ,bǫdetъ,бѫдетъ
е҃внꙉлие,jevanǵelьje,ѥванꙉелиѥ
се,se,се
вь,vъ,въ
вьсемь,vьxemь,вьсемь
мирѣ,mirě,мирѣ
и,i,и
еже,ježe,ѥже
сътвори,sъtvori,сътвори
си,si,си
г҃лано,golgolano,глаголано
бѫдетъ,bǫdetъ,бѫдетъ
въ,vъ,въ
памѧть,pamętь,памѧть
еѩ҅,jeję,ѥѩ
ꙇюда,ijuda,июда
искариотъскꙑ,iskarijotьskъjь,искариотьскъіи
единъ,jedinъ,ѥдинъ
отъ,otъ,отъ
обою,oboju,обою
на,na,на
десѧте,desęte,десѧте
ꙇде,jьde,иде
къ,kъ,къ
архиереомъ,arъx́ijerejomъ,аръхиѥреомъ
да,da,да
и,jь,и
прѣдастъ,perdastъ,прѣдастъ
имъ,jimъ,имъ
они,oni,они
же,že,же
слꙑшавъше,slyšǞvъše,слъішавъше
въздрадовашѧ,vъzradovašę,въздрадовашѧ
сѧ,sę,сѧ
ꙇ,i,и
обѣщашѧ,obvěћǞšę,обѣщашѧ
емоу,jemu,ѥмоу
съребрьникꙑ,sьrebrьniky,сьребрьникъі
дати,dati,дати
и,i,и
искааше,jьskaaše,искааше
како,kako,како
и,jь,и
въ,vъ,въ
подобъно,podobьno,подобьно
врѣмѧ,vermę,врѣмѧ
прѣдастъ,perdastъ,прѣдастъ
и,i,и
въ,vъ,въ
пръвꙑ,pŕ̥vъjь,прьвъіи
дьнь,dьnь,дьнь
опрѣснькъ,oprěsnъkъ,опрѣснъкъ
егда,jegъda,ѥгъда
пасхѫ,pasxǫ,пасхѫ
жьрѣахѫ,žьrěaxǫ,жьрѣахѫ
г҃лашѧ,golgolašę,глаголашѧ
емоу,jemu,ѥмоу
оученици,učeniki,оученици
свои,svoji,свои
къде,kъde,къде
хоштеши,xoћeši,хощеши
шедъше,šьdъše,шьдъше
оуготовимъ,ugotovimъ,оуготовимъ
да,da,да
ѣси,jǞsi,ꙗси
пасхѫ,pasxǫ,пасхѫ
ꙇ,i,и
посъла,posъla,посъла
дъва,dъva,дъва
отъ,otъ,отъ
оученикъ,učenikъ,оученикъ
своихъ,svojixъ,своихъ
и,i,и
г҃ла,golgola,глагола
има,jima,има
идѣта,jьděta,идѣта
въ,vъ,въ
градъ,gordъ,градъ
и,i,и
сърѧштета,sъręћeta,сърѧщета
вꙑ,vy,въі
ч҃лвкъ,čьlověkъ,чьловѣкъ
въ,vъ,въ
скѫдьльницѣ,skǫdьlьnikě,скѫдьльницѣ
водѫ,vodǫ,водѫ
носѧ,nosę,носѧ
по,po,по
немь,ńemь,н҄емь
идѣта,jьděta,идѣта
ꙇ҅,i,и
идеже,jьdeže,идеже
аште,aћe,аще
вънидетъ,vъnidetъ,вънидетъ
рьцѣта,rьkěta,рьцѣта
г҃ноу,gospodinu,господиноу
домоу,domu,домоу
ѣко,ako,ако
оучитель,učiteĺь,оучител҄ь
г҃лтъ,golgoĺetъ,глагол҄етъ
къде,kъde,къде
естъ,jestъ,ѥстъ
обитѣль,obvitělь,обитѣль
идеже,jьdeže,идеже
пасхѫ,pasxǫ,пасхѫ
съ,﻿sъ,﻿съ
оученикꙑ,učeniky,оученикъі
своими,svojimi,своими
сънѣмъ,sъněmь,сънѣмь
ꙇ,i,и
тъ,tъ,тъ
вама,vama,вама
покажетъ,pokažetъ,покажетъ
горьницѫ,gorьnikǫ,горьницѫ
велиѭ,velьjǫ,велиѭ
постъланѫ,postьlanǫ,постьланѫ
готовѫ,gotovǫ,готовѫ
тоу,tu,тоу
оуготоваита,ugotovajita,оуготоваита
намъ,namъ,намъ
ꙇ,i,и
изидете,jьzidete,изидете
оученика,učenika,оученица
его,jego,ѥго
и,i,и
придете,prijьdete,приидете
въ,vъ,въ
градъ,gordъ,градъ
и,i,и
обрѣтете,obrětete,обрѣтете
ѣкоже,akože,акоже
рече,reče,рече
има,jima,има
и,i,и
оуготовасте,ugotovaste,оуготовасте
пасхѫ,pasxǫ,пасхѫ
ꙇ,i,и
вечероу,večeru,вечероу
бꙑвъшоу,byvъšu,бъівъшоу
приде,prijьde,прииде
съ,﻿sъ,﻿съ
обѣма,oběma,обѣма
на,na,на
десѧте,desęte,десѧте
ꙇ,i,и
възлежѧштемъ,vъzležęћemъ,възлежѧщемъ
имъ,jimъ,имъ
ꙇ,i,и
ѣдѫштемъ,jǞdǫћemъ,ꙗдѫщемъ
рече,reče,рече
и҃съ,jisusъ,исоусъ
амин,aminь,аминь
г҃лѭ҄,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
ѣко,ako,ако
единъ,jedinъ,ѥдинъ
отъ,otъ,отъ
васъ,vasъ,васъ
прѣдастъ,perdastъ,прѣдастъ
мѧ,mę,мѧ
ѣдꙑ,jǞdy,ꙗдъі
съ,﻿sъ,﻿съ
мъноѭ,mъnojǫ,мъноѭ
Ѡни,oni,они
же,že,же
начѧсѧ,načęsę,начѧсѧ
скръбѣти,skr̥běti,скръбѣти
и,i,и
тѫжити,tǫžiti,тѫжити
ꙇ,i,и
г҃лати,golgolati,глаголати
емоу,jemu,ѥмоу
единъ,jedinъ,ѥдинъ
по,po,по
единомоу,jedinomu,ѥдиномоу
еда,jeda,ѥда
азъ,azъ,азъ
ꙇ,i,и
дроугꙑи,drugъjь,дроугъіи
еда,jeda,ѥда
азъ,azъ,азъ
онъ,onъ,онъ
же,že,же
отъвѣштавъ,otъvěћǞvъ,отъвѣщавъ
рече,reče,рече
имъ,jimъ,имъ
единъ,jedinъ,ѥдинъ
отъ,otъ,отъ
обою,oboju,обою
на,na,на
десѧте,desęte,десѧте
омочии,omočьjь,омочии
съ,﻿sъ,﻿съ
мъноѭ,mъnojǫ,мъноѭ
въ,vъ,въ
солило,solidlo,солило
с҃нъ,synъ,съінъ
же,že,же
оубо,ubo,оубо
ч҃лвчскꙑ,čьlověčьskъjь,чьловѣчьскъіи
идетъ,jьdetъ,идетъ
ѣкоже,akože,акоже
естъ,jestъ,ѥстъ
писано,pisano,писано
о,o,о
немь,ńemь,н҄емь
Горе,goŕe,гор҄е
же,že,же
ч҃лвкоу,čьlověku,чьловѣкоу
томоу,tomu,томоу
имъже,jimьže,имьже
с҃нъ,synъ,съінъ
ч҃лвчскꙑ,čьlověčьskъjь,чьловѣчьскъіи
прѣдаатъ,perdajetъ,прѣдаѥтъ
сѧ,sę,сѧ
добро,dobro,добро
би,bi,би
емоу,jemu,ѥмоу
бꙑло,bylo,бъіло
аште,aћe,аще
не,ne,не
би,bi,би
родилъ,rodilъ,родилъ
сѧ,sę,сѧ
ч҃лвѣко,čьlověkъ,чьловѣкъ
тъ,tъ,тъ
Ꙇ,i,и
ѣдѫштемъ,jǞdǫћemъ,ꙗдѫщемъ
имъ,jimъ,имъ
приемъ,prijьmъ,приимъ
и҃съ,jisusъ,исоусъ
хлѣбъ,xlěbъ,хлѣбъ
б҃лгслвештъ,bolgoslovešћь,благословещь
прѣломи,perlomi,прѣломи
ꙇ,i,и
дастъ,dastъ,дастъ
имъ,jimъ,имъ
и,i,и
рече,reče,рече
приимѣте,prijьměte,приимѣте
се,se,се
естъ,jestъ,ѥстъ
тѣло,tělo,тѣло
мое,moje,моѥ
ꙇ,i,и
приимъ,prijьmъ,приимъ
чашѫ,čǞšǫ,чашѫ
хвалѫ,xvalǫ,хвалѫ
въздавъ,vъzdavъ,въздавъ
дастъ,dastъ,дастъ
имъ,jimъ,имъ
ꙇ,i,и
пишѧ,pišę,пишѧ
отъ,otъ,отъ
неѩ,ńeję,н҄еѩ
вьси,vьxi,вьси
и,i,и
рече,reče,рече
имъ,jimъ,имъ
се,se,се
естъ,jestъ,ѥстъ
кръвь,krъvь,кръвь
моѣ,mojǞ,моꙗ
новааго,novajego,новаѥго
завѣта,zavěta,завѣта
проливаема,prolivajema,проливаѥма
за,za,за
мъногꙑ,mъnogy,мъногъі
Аминь,aminь,аминь
же,že,же
г҃лѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
ѣко,ako,ако
юже,juže,юже
не,ne,не
имамъ,jьmamь,имамь
пити,piti,пити
отъ,otъ,отъ
плода,ploda,плода
лозънааго,lozьnajego,лозьнаѥго
до,do,до
того,togo,того
дьне,dьne,дьне
егда,jegъda,ѥгъда
пьѭ,pьjǫ,пиѭ
ино,jьno,ино
въ,vъ,въ
ц҃срствии,kěsaŕьstvьji,цѣсар҄ьствии
б҃жии,božьji,божии
ꙇ,i,и
въспѣвъше,vъspěvъše,въспѣвъше
изидѫ,jьzidǫ,изидѫ
въ,vъ,въ
горѫ,gorǫ,горѫ
елеонъскѫ,jeleonьskǫ,ѥлеоньскѫ
Ꙇ҅,i,и
г҃ла,golgola,глагола
имъ,jimъ,имъ
и҃съ,jisusъ,исоусъ
ѣко,ako,ако
вьси,vьxi,вьси
съблазните,sъblaznite,съблазните
сѧ,sę,сѧ
о,o,о
мьнѣ,mъně,мънѣ
вь,vъ,въ
сиѭ,sьjǫ,сиѭ
ноштъ,noћь,нощь
писано,pisano,писано
бо,bo,бо
естъ,jestъ,ѥстъ
Поражѫ,poražǫ,поражѫ
пастꙑрѣ,pastyŕǞ,пастъірꙗ
и,i,и
овъцѧ,ovьkę,овьцѧ
разбѣгнѫтъ,orzběgnǫtъ,разбѣгнѫтъ
сѧ,sę,сѧ
Нъ,nъ,нъ
по,po,по
томь,tomь,томь
егда,jegъda,ѥгъда
вьскрьснѫ,vъskrьsnǫ,въскрьснѫ
варѭ,vaŕǫ,варѭ
вꙑ,vy,въі
въ,vъ,въ
галилеи,galileji,галилеи
петръ,petrъ,петръ
же,že,же
рече,reče,рече
емоу,jemu,ѥмоу
и,i,и
