TOROT form,Autoreconstructed LCS,Autonormalised OCS
творѧщѧѩ,tvoręћęję,творѧщѧѩ
вамъ,vamъ,вамъ
напасти,napasti,напасти
и,i,и
изгонѧщѧѩ,jьzgonęћęję,изгонѧщѧѩ
вꙑ,vy,въі
да,da,да
бѫдете,bǫdete,бѫдете
с҃нве,synove,съінове
о҃тца,otьka,отьца
вашего,vašego,вашего
иже,jьže,иже
естъ,jestъ,ѥстъ
на,na,на
н҃ебсхъ,nebesьxъ,небесьхъ
ѣко,ako,ако
слъньце,sl̥nьke,слъньце
свое,svoje,своѥ
сьѣатъ,sьjǞjetъ,сиꙗѥтъ
на,na,на
зълꙑ,zъly,зълъі
и,i,и
благꙑ,bolgy,благъі
ꙇ҅,i,и
дъждитъ,dъžђitъ,дъждитъ
на,na,на
праведънꙑ,pravьdьny,правьдьнъі
и,i,и
на,na,на
неправедънꙑ,nepravьdьny,неправьдьнъі
аще,aћe,аще
бо,bo,бо
любите,ĺubite,любите
любѧщѧѩ,ĺubęћęję,любѧщѧѩ
вꙑ,vy,въі
кѫѭ҄,kǫjǫ,кѫѭ
мъздѫ,mьzdǫ,мьздѫ
имате,jьmate,имате
не,ne,не
и,i,и
мꙑтаре,mytaŕe,мъітар҄е
ли,li,ли
тожде,toђe,тожде
творѧтъ,tvorętъ,творѧтъ
ꙇ,i,и
аще,aћe,аще
цѣлоуете,kělujete,цѣлоуѥте
дроугꙑ,drugy,дроугъі
вашѧ,vašę,вашѧ
токъмо,tъkъmo,тъкъмо
что,čьto,чьто
лихо,lixo,лихо
творите,tvorite,творите
не,ne,не
и,i,и
мꙑтаре,mytaŕe,мъітар҄е
ли,li,ли
тако,tako,тако
творѧтъ,tvorętъ,творѧтъ
бѫдѣте,bǫděte,бѫдѣте
оубо,ubo,оубо
вꙑ,vy,въі
съвръшени,sъvŕ̥šeni,съврьшени
ѣко,ako,ако
и,i,и
отецъ,otьkь,отьць
вашъ,vašь,вашь
н҃бскꙑ,nebesьskъjь,небесьскъіи
съвръшенъ,sъvŕ̥šenъ,съврьшенъ
естъ,jestъ,ѥстъ
Вьнемлѣте,vъnemĺěte,вънемл҄ѣте
милостꙑнѧ,milostyńę,милостъінѩ
вашеѩ,vašeję,вашеѩ
не,ne,не
творити,tvoriti,творити
прѣдъ,perdъ,прѣдъ
ч҃лвкꙑ,čьlověky,чьловѣкъі
да,da,да
видими,vidimi,видими
бѫдете,bǫdete,бѫдете
ими,jimi,ими
аште,aћe,аще
ли,li,ли
же,že,же
ни,ni,ни
мъздꙑ,mьzdy,мьздъі
не,ne,не
имате,jьmate,имате
отъ,otъ,отъ
о҃тца,otьka,отьца
вашего,vašego,вашего
иже,jьže,иже
естъ,jestъ,ѥстъ
на,na,на
н҃бсхъ,nebesьxъ,небесьхъ
егда,jegъda,ѥгъда
оубо,ubo,оубо
твориши,tvoriši,твориши
милостꙑнѭ҄,milostyńǫ,милостъінѭ
не,ne,не
