poterbьnajǞ,потрѣбьнаꙗ,потрѣбънаꙗ,,,
nǫђǞ,нѫжда,ноужда,,,
jemu,ѥмоу,ѥмоу,,,
bystъ,бъістъ,бꙑстъ,,,
i,и,и,,,
otvŕ̥zъ,отврьзъ,отвръзъ,,,
jьzide,изиде,изиде,,,
i,и,и,,,
viděvъ,видѣвъ,видѣвъ,,,
paky,пакъі,пакꙑ,,,
pavьla,павьла,павъла,,,
golgola,глагола,глагола,,,
jemu,ѥмоу,ѥмоу,,,
otidi,отиди,отиди,,,
otъsǫdu,отъсѫдоу,отъсѫдоу,,,
starьče,старьче,старьче,,,
,,почто,,,
mę,мѧ,мꙙ,,,
nǫdiši,нѫдиши,ноудиши,,,
ne,не,не,,,
možeši,можеши,можеши,,,
sьde,сьде,сьде,,,
perbyti,прѣбъіти,прѣбꙑти,,,
golgola,глагола,глагола,,,
jemu,ѥмоу,ѥмоу,,,
pavьlъ,павьлъ,паулъ,,,
něstъ,нѣстъ,нѣстъ,,,
mi,ми,ми,,,
,,льзѣ,,,
,,инамо,,,
jьti,ити,ити,,,
razvě,развѣ,развѣ,,,
sьde,сьде,сьде,,,
vъzьrěvъ,възьрѣвъ,вьзьрѣвъ,,,
že,же,же,,,
,,антонии,,,
i,и,и,,,
viděvъ,видѣвъ,видѣвъ,,,
ako,ако,ꙗко,,,
ne,не,не,,,
nositъ,носитъ,носитъ,,,
ničьsože,ничьсоже,ничсоже,,,
na,на,на,,,
kr̥mǫ,кръмѫ,кръмѫ,,,
ni,ни,ни,,,
xlěba,хлѣба,хлѣба,,,
ni,ни,ни,,,
vody,водъі,водꙑ,,,
ni,ни,ни,,,
jьnogo,иного,иного,,,
ničьsože,ничьсоже,ничсоже,,,
i,и,и,,,
četvŕ̥tъjь,четврьтъіи,четврътꙑи,,,
dьnь,дьнь,дьнь,,,
jьmatъ,иматъ,иматъ,,,
tŕ̥pę,трьпѧ,тръпꙙ,,,
bez,без,без,,,
boršьna,брашьна,брашъна,,,
,,помꙑсли,,,
jeda,ѥда,еда,,,
kako,како,како,,,
,,отъпадетъ,,,
i,и,и,,,
umьretъ,оумьретъ,оумьретъ,,,
ne,не,не,,,
,,обꙑкъ,,,
,,алчъбꙑ,,,
i,и,и,,,
verditъ,врѣдитъ,врѣдитъ,,,
mi,ми,ми,,,
dušǫ,доушѫ,доушѫ,,,
vъvede,въведе,вьведе,,,
jь,и,и,,,
kъ,къ,кь,,,
sebě,себѣ,себѣ,,,
,,извѣстивъ,,,
že,же,же,,,
si,си,си,,,
gělo,ѕѣло,зѣло,,,
o,о,о,,,
ńemь,н҄емь,н҄емъ,,,
o,о,о,,,
vьxemь,вьсемь,вьсемъ,,,
bolženъjь,блаженъіи,блаженꙑи,,,
i,и,и,,,
velikъjь,великъіи,великꙑи,,,
,,антониї,,,
ako,ако,ꙗко,,,
sъvŕ̥šena,съврьшена,съвръшена,,,
jestъ,ѥстъ,ѥстъ,,,
gělo,ѕѣло,зѣло,,,
dušǞ,доуша,доуша,,,
jego,ѥго,ѥго,,,
xristosovъ,христосовъ,христовъ,,,
že,же,же,,,
orbъ,рабъ,рабъ,,,
gělo,ѕѣло,зѣло,,,
prostъ,простъ,простъ,,,
sy,съі,сꙑ,,,
,,нѣ-колицѣхъ,,,
po,по,по,,,
měsękixъ,мѣсѧцихъ,мѣсꙙцихъ,,,
xristosovojǫ,христосовоѭ,христовоѭ,,,
bolgodětьjǫ,благодѣтиѭ,благодѣтиѭ,,,
,,сьдѣиствоуѭштоу,,,
jemu,ѥмоу,ѥмоу,,,
i,и,и,,,
bolženujemu,блаженоуѥмоу,блаженоуоумоу,,,
,,антонию,,,
sъtvori,сътвори,сътвори,,,
jemu,ѥмоу,ѥмоу,,,
,,хꙑзинѫ,,,
osobь,особь,особь,,,
da,да,да,,,
,,искоусъ,,,
prijьmetъ,прииметъ,прииметъ,,,
,,бѣсовъскъ,,,
živъ,живъ,живъ,,,
že,же,же,,,
jedinъ,ѥдинъ,ѥдинъ,,,
o,о,о,,,
sebě,себѣ,себѣ,,,
pavьlъ,павьлъ,паулъ,,,
,,прѣпростꙑи,,,
lěto,лѣто,лѣто,,,
jedino,ѥдино,ѥдино,,,
i,и,и,,,
bolgoděti,благодѣти,благодѣти,,,
sъpodobi,съподоби,съподоби,,,
sę,сѧ,сꙙ,,,
o,о,о,,,
běsěxъ,бѣсѣхъ,бѣсѣхъ,,,
i,и,и,,,
bolěznьxъ,болѣзньхъ,болѣзнехъ,,,
vьxakěxъ,вьсꙗцѣхъ,вьсѣцѣхъ,,,
upravivъ,оуправивъ,оуправивъ,,,
do,до,до,,,
konьka,коньца,коньца,,,
,,въздръжаньнѫнѫѭ,,,
bolgodatь,благодать,благодѣть,,,
vъ,въ,въ,,,
jedinъ,ѥдинъ,ѥдинъ,,,
ubo,оубо,оубо,,,
otъ,отъ,отъ,,,
dьnьjь,дьнии,дьнии,,,
gělo,ѕѣло,зѣло,,,
ĺutě,лютѣ,лютѣ,,,
,,бѣсꙙштъ,,,
sę,сѧ,сꙙ,,,
junošǞ,юноша,юноша,,,
privedenъ,приведенъ,приведенъ,,,
bystъ,бъістъ,бꙑстъ,,,
kъ,къ,къ,,,
bolženujemu,блаженоуѥмоу,блаженоуоумоу,,,
,,антонию,,,
vъzьrěvъ,възьрѣвъ,възьрѣвъ,,,
že,же,же,,,
velikъjь,великъіи,великꙑи,,,
,,антонии,,,
na,на,на,,,
junošǫ,юношѫ,юношѫ,,,
golgola,глагола,глагола,,,
vodęћemъjimъ,водѧщиимъ,водѧштиимъ,,,
jь,и,и,,,
něstъ,нѣстъ,нѣстъ,,,
se,се,се,,,
moje,моѥ,моѥ,,,
dělo,дѣло,дѣло,,,
o,о,о,,,
semь,семь,семъ,,,
bo,бо,бо,,,
činu,чиноу,чиноу,,,
,,бѣсовьстѣѣмь,,,
,,начѧльнѣѣмь,,,
něsmь,нѣсмь,нѣсмъ,,,
sę,сѧ,сꙙ,,,
ješčě,ѥщѣ,ѥште,,,
sъpodobilъ,съподобилъ,съподобилъ,,,
bolgoděti,благодѣти,благодѣти,,,
nъ,нъ,нъ,,,
sьjь,сии,сии,,,
darъ,даръ,даръ,,,
pavьla,павьла,паула,,,
jestъ,ѥстъ,ѥстъ,,,
,,прѣпростааго,,,
šьdъ,шьдъ,шъдъ,,,
že,же,же,,,
velikъjь,великъіи,великꙑи,,,
,,антонии,,,
kъ,къ,къ,,,
,,искоусъноуоумоу,,,
pavьlu,павьлоу,паулоу,,,
vedy,ведъі,ведꙑ,,,
i,и,и,,,
ty,тъі,тꙑ,,,
i,и,и,,,
golgola,глагола,глагола,,,
jemu,ѥмоу,ѥмоу,,,
otьče,отьче,отьче,,,
pavьle,павьле,пауле,,,
jьžǯeni,иждени,иждени,,,
běsъ,бѣсъ,бѣсъ,,,
sь,сь,сии,,,
otъ,отъ,отъ,,,
čьlověka,чьловѣка,чловѣка,,,
sego,сего,сего,,,
da,да,да,,,
kělъ,цѣлъ,цѣлъ,,,
jьdetъ,идетъ,идетъ,,,
vъ,въ,въ,,,
svojь,свои,свои,,,
domъ,домъ,домъ,,,
i,и,и,,,
da,да,да,,,
proslavitъ,прославитъ,прославитъ,,,
boga,бога,бога,,,
golgola,глагола,глагола,,,
jemu,ѥмоу,ѥмоу,,,
pavьlъ,павьлъ,паулъ,,,
a,а,а,,,
ty,тъі,тꙑ,,,
čьto,чьто,что,,,
reče,рече,рече,,,
jemu,ѥмоу,ѥмꙋ,,,
,,антонии,,,
něsmь,нѣсмь,нѣсмъ,,,
porzdьnъ,праздьнъ,празденъ,,,
azъ,азъ,азъ,,,
jьno,ино,ино,,,
dělo,дѣло,дѣло,,,
jьmamь,имамь,имамъ,,,
i,и,и,,,
ostavivъ,оставивъ,оставивъ,,,
tu,тоу,тоу,,,
otroka,отрока,отрока,,,
velikъjь,великъіи,великꙑи,,,
,,антонии,,,
i,и,и,,,
vъzvorti,възврати,въз’врати,,,
sę,сѧ,сꙙ,,,
vъ,въ,въ,,,
svojǫ,своѭ,своѭ,,,
,,хꙑзинѫ,,,
vъstavъ,въставъ,въставъ,,,
že,же,же,,,
,,безлобьнꙑи,,,
starьkь,старьць,старьць,,,
i,и,и,,,
pomodlivъ,помодливъ,помоливъ,,,
sę,сѧ,сꙙ,,,
i,и,и,,,
prizъvavъ,призъвавъ,призвавъ,,,
,,бѣсꙙштааго,,,
sę,сѧ,сꙙ,,,
golgola,глагола,глагола,,,
reče,рече,рече,,,
otьkь,отьць,отьцъ,,,
,,антониї,,,
jьzidi,изиди,изиди,,,
jьz,из,изъ,,,
čьlověka,чьловѣка,чловѣка,,,
běsъ,бѣсъ,бѣсъ,,,
že,же,же,,,
﻿sъ,﻿съ,съ,,,
xulojǫ,хоулоѭ,хоулоѭ,,,
vъpьjǞaše,въпиꙗаше,въпиꙗше,,,
golgoĺę,глаголѩ,глагол҄ꙙ,,,
ne,не,не,,,
jьzidǫ,изидѫ,изідѫ,,,
zъlъjь,зълъіи,зълꙑи,,,
starьče,старьче,старче,,,
lǫkavъjь,лѫкавъіи,лѫкавꙑи,,,
vъzьmъ,възьмъ,възьмъ,,,
že,же,же,,,
,,милотиѭ,,,
svojǫ,своѭ,своѭ,,,
bьjǞaše,биꙗаше,биꙗше,,,
jь,и,и,,,
po,по,по,,,
,,хръбътоу,,,
golgoĺę,глаголѩ,глагол҄ꙙ,,,
jьzidi,изиди,изиди,,,
reče,рече,рече,,,
otьkь,отьць,отьць,,,
,,антонии,,,
běsъ,бѣсъ,бѣсъ,,,
že,же,же,,,
xuly,хоулъі,хоулꙑ,,,
,,вѣштааше,,,
na,на,на,,,
,,антониꙗ,,,
i,и,и,,,
na,на,на,,,
pavьla,павьла,павъла,,,
golgoĺę,глаголѩ,глагол҄ꙙ,,,
boĺьši,бол҄ьши,бол҄ьшьми,,,
,,гладиваꙗ,,,
sьjǞ,сиꙗ,сиꙗ,,,
,,ненасꙑштенаꙗ,,,
jǞže,ꙗже,ꙗже,,,
nikoliže,николиже,николиже,,,
svojimь,своимь,своимъ,,,
něsta,нѣста,нѣста,,,
,,сꙑта,,,
kǫjǫ,кѫѭ,кѫѭ,,,
,,обьштинѫ,,,
jьmata,имата,имата,,,
﻿sъ,﻿съ,съ,,,
mъnojǫ,мъноѭ,мноѭ,,,
čьto,чьто,что,,,
ny,нъі,нꙑ,,,
mǫčite,мѫчите,мѫчита,,,
golgola,глагола,глагола,,,
pavьlъ,павьлъ,павьлъ,,,
jьzlězeši,излѣзеши,излѣзеши,,,
li,ли,ли,,,
ili,или,или,,,
jьdǫ,идѫ,идѫ,,,
kъ,къ,къ,,,
xristosu,христосоу,хрістосоу,,,
i,и,и,,,
goŕe,гор҄е,горе,,,
tebě,тебѣ,тебѣ,,,
jьmatъ,иматъ,иматъ,,,
sъtvoriti,сътворити,сътворити,,,
,,похоули,,,
že,же,же,,,
i,и,и,,,
xristosa,христоса,христоса,,,
,,сверѣпꙑи,,,
tъ,тъ,тъ,,,
běsъ,бѣсъ,бѣсъ,,,
vъpьję,въпиѩ,вьпиѧ,,,
ne,не,не,,,
jьzidǫ,изидѫ,изидѫ,,,
orzgněvavъ,разгнѣвавъ,разгнѣвавъ,,,
že,же,же,,,
sę,сѧ,сꙙ,,,
pavьlъ,павьлъ,павьлъ,,,
na,на,на,,,
běsъ,бѣсъ,бѣсъ,,,
i,и,и,,,
jьsšьdъ,исшьдъ,ишедъ,,,
jьz,из,изъ,,,
,,хꙑзинꙑ,,,
svojeję,своѥѩ,своѥѧ,,,
vъ,въ,въ,,,
,,прѣпладьньѥ,,,
,,егупꙿтьстии,,,
,,зноѥве,,,
ubo,оубо,оубо,,,
ničimьže,ничимьже,ничимъже,,,
sǫtъ,сѫтъ,сѫтъ,,,
,,хоуждъши,,,
,,вавулоньскꙑѧ,,,
onoję,оноѩ,оноѧ,,,
,,пештьницꙙ,,,
stavъ,ставъ,ставъ,,,
ubo,оубо,оубо,,,
na,на,на,,,
kameni,камени,камени,,,
svętъjь,свѧтъіи,свꙙтꙑи,,,
starьkь,старьць,старьцъ,,,
na,на,на,,,
,,знои,,,
modĺǞaše,модлꙗаше,молꙗше,,,
sę,сѧ,сꙙ,,,
bogu,богоу,богоу,,,
golgoĺę,глаголѩ,глагол҄ꙙ,,,
sike,сице,сице,,,
ty,тъі,тꙑ,,,
vidiši,видиши,видиши,,,
jisuse,исоусе,їс҃,,,
xristose,христосе,хс҃е,,,
orspętъjь,распѧтъіи,распꙙтꙑи,,,
pri,при,при,,,
ponъtьskějemь,понътьсцѣѥмь,пѫнтьстѣмъ,,,
pilatě,пилатѣ,пилатѣ,,,
ako,ако,ꙗко,,,
ne,не,не,,,
jьmamь,имамь,имамъ,,,
sъlěsti,сълѣсти,сьлѣсти,,,
﻿sъ,﻿съ,съ,,,
kam,кам,камене,,,
sego,сего,сего,,,
ni,ни,ни,,,
jьmamь,имамь,имамъ,,,
jǞsti,ꙗсти,ꙗсти,,,
ni,ни,ни,,,
piti,пити,пити,,,
dońьdeže,дон҄ьдеже,доньдеже,,,
umьrǫ,оумьрѫ,оумърѫ,,,
aћe,аще,аште,,,
mene,мене,мене,,,
ne,не,не,,,
uslyšiši,оуслъішиши,оуслꙑши,,,
i,и,и,,,
jьžǯeneši,ижденеши,ижденеши,,,
běsa,бѣса,бѣса,,,
sego,сего,сего,,,
otъ,отъ,отъ,,,
čьlověka,чьловѣка,чловѣка,,,
sego,сего,сего,,,
i,и,и,,,
svobodь,свободь,свободь,,,
sego,сего,сего,,,
sъtvoriši,сътвориши,сътвориши,,,
otъ,отъ,отъ,,,
duxa,доуха,доуха,,,
sego,сего,сего,,,
nečistajego,нечистаѥго,нечистааго,,,
ješčě,ѥщѣ,ѥште,,,
