to|то
vъstavъ|въставъ
prijьde|прииде
vъ|въ
perděly|прѣдѣлъі
ijudejьsky|июдеискъі
po|по
onomu|ономоу
polu|полоу
ijorъdana|иоръдана
i|и
prijьdǫ|приидѫ
paky|пакъі
narodi|народи
kъ|къ
ńemu|н҄емоу
i|и
ako|ако
jьmě|имѣ
obyčǞjь|объічаи
paky|пакъі
učǞaše|оучааше
ję|ѩ
i|и
pristǫpĺьše|пристѫпл҄ьше
fariseji|фарисеи
vъprašǞaxǫ|въпрашаахѫ
jь|и
aћe|аще
dostojitъ|достоитъ
mǫžu|мѫжоу
ženǫ|женѫ
pušћǞti|поущати
okušǞjǫћe|окоушаѭще
jь|и
onъ|онъ
že|же
otъvěћǞvъ|отъвѣщавъ
reče|рече
jimъ|имъ
čьto|чьто
vamъ|вамъ
zapovědě|заповѣдѣ
mosijь|мосии
povelě|повелѣ
mosijь|мосии
kъńigy|кън҄игъі
orspustьnyję|распоустьнъіѩ
napisati|написати
i|и
pustiti|поустити
i|и
otъvěћǞvъ|отъвѣщавъ
jisusъ|исоусъ
reče|рече
jimъ|имъ
po|по
žestosŕ̥dьju|жестосрьдию
vašemu|вашемоу
napisa|написа
vamъ|вамъ
zapovědь|заповѣдь
sьjǫ|сиѭ
a|а
otъ|отъ
načęla|начѧла
sъzьdanьju|съзьданию
mǫžǞ|мѫжа
i|и
ženǫ|женѫ
sъtvorilъ|сътворилъ
jǞ|ꙗ
jestъ|ѥстъ
bogъ|богъ
sego|сего
radi|ради
ostavitъ|оставитъ
čьlověkъ|чьловѣкъ
otьka|отьца
svojego|своѥго
i|и
materь|матерь
i|и
prilěpitъ|прилѣпитъ
sę|сѧ
kъ|къ
ženě|женѣ
svojejь|своѥи
i|и
bǫdete|бѫдете
oba|оба
vъ|въ
plъtь|плъть
jedinǫ|ѥдинѫ
těmь|тѣмь
že|же
juže|юже
něste|нѣсте
dъva|дъва
nъ|нъ
plъtь|плъть
jedina|ѥдина
ježe|ѥже
ubo|оубо
bogъ|богъ
sъčetalъ|съчеталъ
jestъ|ѥстъ
čьlověkъ|чьловѣкъ
da|да
ne|не
orzlǫčǞjetъ|разлѫчаѥтъ
i|и
vъ|въ
domu|домоу
paky|пакъі
učeniki|оученици
jego|ѥго
o|о
semь|семь
vъprašǞaxǫ|въпрашаахѫ
jь|и
i|и
golgola|глагола
jimъ|имъ
jьže|иже
aћe|аще
pustitъ|поуститъ
ženǫ|женѫ
svojǫ|своѭ
i|и
oženitъ|оженитъ
sę|сѧ
jьnojǫ|иноѭ
perĺuby|прѣлюбъі
tvoritъ|творитъ
na|на
ńǫ|нѭ
i|и
aћe|аще
žena|жена
pušћьši|поущьши
mǫžǞ|мѫжа
posagnetъ|посагнетъ
za|за
jьnъ|инъ
perĺuby|прѣлюбъі
tvoritъ|творитъ
i|и
prinošǞaxǫ|приношаахѫ
kъ|къ
ńemu|н҄емоу
děti|дѣти
da|да
ję|ѩ
kosnetъ|коснетъ
učeniki|оученици
že|же
perћǞaxǫ|прѣщаахѫ
prinosęћemъjimъ|приносѧщиимъ
viděvъ|видѣвъ
že|же
jisusъ|исоусъ
negodova|негодова
i|и
golgola|глагола
jimъ|имъ
ne|не
dějěte|дѣѣте
dětьjь|дѣтии
prixoditi|приходити
kъ|къ
mъně|мънѣ
i|и
ne|не
bornite|браните
jimъ|имъ
takěxъ|тацѣхъ
bo|бо
jestъ|ѥстъ
kěsaŕьstvьje|цѣсар҄ьствиѥ
božьje|божиѥ
aminь|аминь
golgoĺǫ|глаголѭ
vamъ|вамъ
jьže|иже
aћe|аще
ne|не
prijьmetъ|прииметъ
kěsaŕьstvьjǞ|цѣсар҄ьствиꙗ
božьjǞ|божиꙗ
ako|ако
otročę|отрочѧ
ne|не
jьmatъ|иматъ
vъniti|вънити
vъ|въ
ńe|н҄е
i|и
obьmъ|обьмъ
ję|ѩ
bolgoslovĺǞaše|благословлꙗаше
vъzlagaję|възлагаѩ
rǫkě|рѫцѣ
na|на
ńę|нѩ
i|и
jьsxodęћu|исходѧщоу
jemu|ѥмоу
na|на
pǫtь|пѫть
prijьde|прииде
jedinъ|ѥдинъ
i|и
poklońь|поклон҄ь
sę|сѧ
jemu|ѥмоу
na|на
kolěnu|колѣноу
vъprašǞaše|въпрашааше
jь|и
učiteĺu|оучителю
bolgъjь|благъіи
čьto|чьто
sъtvoŕǫ|сътворѭ
da|да
životъ|животъ
věčьnъjь|вѣчьнъіи
naslědьstvujǫ|наслѣдьствоуѭ
jisusъ|исоусъ
že|же
reče|рече
jemu|ѥмоу
čьto|чьто
mę|мѧ
golgoĺeši|глагол҄еши
bolga|блага
nikъtože|никътоже
bolgъ|благъ
tъkъmo|тъкъмо
jedinъ|ѥдинъ
bogъ|богъ
zapovědi|заповѣди
věsi|вѣси
ne|не
perĺubъvъ|прѣлюбъвъ
ději|дѣи
ne|не
ubьji|оубии
ne|не
ukradi|оукради
ne|не
lъžę|лъжѧ
sъvěděteĺьstvuji|съвѣдѣтел҄ьствоуи
ne|не
obvidi|обиди
čьti|чьти
otьka|отьца
tvojego|твоѥго
i|и
materь|матерь
onъ|онъ
že|же
otъvěћǞvъ|отъвѣщавъ
reče|рече
jemu|ѥмоу
učiteĺu|оучителю
vьxa|вьсꙗ
si|си
sъxornixъ|съхранихъ
otъ|отъ
junosti|юности
mojeję|моѥѩ
jisusъ|исоусъ
že|же
vъzьrěvъ|възьрѣвъ
na|на
ńь|н҄ь
vъžĺubi|въжлюби
jь|и
i|и
reče|рече
jemu|ѥмоу
jedinogo|ѥдиного
jesi|ѥси
nedokonьčǞlъ|недоконьчалъ
aћe|аще
xoћeši|хощеши
sъvŕ̥šenъ|съврьшенъ
byti|бъіти
jьdi|иди
jeliko|ѥлико
jьmaši|имаши
prodaђь|продаждь
i|и
daђь|даждь
nišћemъjimъ|нищиимъ
i|и
jьměti|имѣти
jьmaši|имаши
sъkrovišče|съкровище
na|на
nebese|небесе
i|и
prijьdi|прииди
xodi|ходи
vъ|въ
slědъ|слѣдъ
mene|мене
vъzьmъ|възьмъ
krьstъ|крьстъ
onъ|онъ
že|же
dręxlъ|дрѧхлъ
byvъ|бъівъ
o|о
slovese|словесе
otide|отиде
skr̥bę|скръбѧ
bě|бѣ
bo|бо
jьměję|имѣѩ
sъtęžǞnьjǞ|сътѧжаниꙗ
mъnoga|мънога
i|и
vъzьrěvъ|възьрѣвъ
jisusъ|исоусъ
golgola|глагола
učenikomъ|оученикомъ
svojimъ|своимъ
kako|како
neudobь|неоудобь
jьmǫћeji|имѫщеи
bogatьstvo|богатьство
vъ|въ
kěsaŕьstvьje|цѣсар҄ьствиѥ
božьje|божиѥ
vъnidǫtъ|вънидѫтъ
učeniki|оученици
že|же
užǞsaaxǫ|оужасаахѫ
sę|сѧ
o|о
slovesьxъ|словесьхъ
jego|ѥго
jisusъ|исоусъ
že|же
paky|пакъі
otъvěћǞvъ|отъвѣщавъ
golgola|глагола
jimъ|имъ
čęda|чѧда
kako|како
neudobь|неоудобь
jestъ|ѥстъ
upъvajǫћemъjimъ|оупъваѭщиимъ
na|на
bogatьstvo|богатьство
vъ|въ
kěsaŕьstvьje|цѣсар҄ьствиѥ
božьje|божиѥ
vъniti|вънити
udoběje|оудобѣѥ
jestъ|ѥстъ
velьbǫdu|вельбѫдоу
skvozě|сквозѣ
jьgъlině|игълинѣ
uši|оуши
projьti|проити
neže|неже
bogatu|богатоу
vъ|въ
kěsaŕьstvьje|цѣсар҄ьствиѥ
božьje|божиѥ
vъniti|вънити
oni|они
že|же
jьzlixa|излисꙗ
divĺǞaxǫ|дивлꙗахѫ
sę|сѧ
golgoĺǫћe|глаголѭще
kъ|къ
sebě|себѣ
kъto|къто
možetъ|можетъ
sъpasenъ|съпасенъ
byti|бъіти
i|и
vъzьrěvъ|възьрѣвъ
na|на
ńę|нѩ
jisusъ|исоусъ
golgola|глагола
otъ|отъ
čьlověkъ|чьловѣкъ
ne|не
vъzmožьno|възможьно
nъ|нъ
otъ|отъ
boga|бога
vьxa|вьсꙗ
bo|бо
vъzmožьna|възможьна
otъ|отъ
boga|бога
sǫtъ|сѫтъ
načętъ|начѧтъ
že|же
petrъ|петръ
golgolati|глаголати
jemu|ѥмоу
se|се
my|мъі
ostavixomъ|оставихомъ
vьxa|вьсꙗ
i|и
vъ|въ
slědъ|слѣдъ
tebe|тебе
jьdomъ|идомъ
otъvěћǞvъ|отъвѣщавъ
že|же
jisusъ|исоусъ
reče|рече
aminь|аминь
golgoĺǫ|глаголѭ
vamъ|вамъ
nikъtože|никътоже
jestъ|ѥстъ
jьže|иже
ostavitъ|оставитъ
domъ|домъ
li|ли
bratrьjǫ|братриѭ
li|ли
sestry|сестръі
li|ли
otьka|отьца
ili|или
materь|матерь
li|ли
ženǫ|женѫ
li|ли
čęda|чѧда
li|ли
sela|села
mene|мене
radi|ради
i|и
jevanǵelьjǞ|ѥванꙉелиꙗ
aћe|аще
ne|не
jьmatъ|иматъ
prijęti|приѩти
sъtorikejǫ|съторицеѭ
vъ|въ
vermę|врѣмѧ
se|се
nyně|нъінѣ
domovъ|домовъ
i|и
bratrьję|братриѩ
i|и
sestrъ|сестръ
i|и
otьka|отьца
i|и
materъ|матеръ
i|и
čędъ|чѧдъ
i|и
selъ|селъ
po|по
jьzgъnanьji|изгънании
i|и
vъ|въ
věkъ|вѣкъ
grędǫћьjь|грѧдѫщии
životъ|животъ
věčьnъjь|вѣчьнъіи
mъnogi|мъноѕи
že|же
bǫdǫtъ|бѫдѫтъ
pŕ̥viji|прьвии
poslědьńi|послѣдьн҄и
i|и
poslědьńi|послѣдьн҄и
pŕ̥viji|прьвии
běaxǫ|бѣахѫ
že|же
na|на
pǫti|пѫти
vъsxodęћe|въсходѧще
vъ|въ
ijerusalimъ|иѥроусалимъ
i|и
bě|бѣ
vaŕǞję|варꙗѩ
jisusъ|исоусъ
i|и
užǞsaaxǫ|оужасаахѫ
sę|сѧ
i|и
poslědь|послѣдь
grędǫћe|грѧдѫще
bojǞaxǫ|боꙗахѫ
sę|сѧ
i|и
pojьmъ|поимъ
jisusъ|исоусъ
paky|пакъі
oba|оба
na|на
desęte|десѧте
načętъ|начѧтъ
jimъ|имъ
golgolati|глаголати
ježe|ѥже
xotěaše|хотѣаше
byti|бъіти
jemu|ѥмоу
ako|ако
se|се
vъsxodimъ|въсходимъ
vъ|въ
ijerusalimъ|иѥроусалимъ
i|и
synъ|съінъ
čьlověčьskъjь|чьловѣчьскъіи
perdanъ|прѣданъ
bǫdetъ|бѫдетъ
arъx́ijerejomъ|аръхиѥреомъ
i|и
kъńižьnikomъ|кън҄ижьникомъ
i|и
osǫdętъ|осѫдѧтъ
jь|и
na|на
sъmŕ̥tь|съмрьть
i|и
perdadętъ|прѣдадѧтъ
jь|и
językomъ|ѩзъікомъ
i|и
porǫgajǫtъ|порѫгаѭтъ
sę|сѧ
jemu|ѥмоу
i|и
ubьjǫtъ|оубиѭтъ
jь|и
i|и
tretьjьjь|третиии
dьnь|дьнь
vъskrьsnetъ|въскрьснетъ
i|и
perdъ|прѣдъ
ńimь|н҄имь
jьdete|идете
ijǞkovъ|иꙗковъ
i|и
ijoanъ|иоанъ
syna|съіна
zevedejova|зеведеова
golgoĺǫћǞ|глаголѭща
jemu|ѥмоу
učiteĺu|оучителю
xoћevě|хощевѣ
da|да
jegože|ѥгоже
aћe|аще
prosivě|просивѣ
sъtvoriši|сътвориши
nama|нама
jisusъ|исоусъ
že|же
reče|рече
jima|има
čьto|чьто
xoћeta|хощета
da|да
sъtvoŕǫ|сътворѭ
vama|вама
ona|она
že|же
rěste|рѣсте
jemu|ѥмоу
daђь|даждь
nama|нама
da|да
jedinъ|ѥдинъ
o|о
desnǫjǫ|деснѫѭ
tebe|тебе
i|и
jedinъ|ѥдинъ
o|о
šujǫ|шоуѭ
tebe|тебе
sędevě|сѧдевѣ
vъ|въ
slavě|славѣ
tvojejь|твоѥи
jisusъ|исоусъ
že|же
reče|рече
jima|има
ne|не
věsta|вѣста
sę|сѧ
česo|чесо
prosęћǞ|просѧща
možeta|можета
li|ли
piti|пити
čǞšǫ|чашѫ
jǫže|ѭже
azъ|азъ
pьjǫ|пиѭ
li|ли
krьšћenьjemь|крьщениѥмь
jimьže|имьже
azъ|азъ
krьšћǞjǫ|крьщаѭ
sę|сѧ
krьstiti|крьстити
sę|сѧ
ona|она
že|же
rěste|рѣсте
jemu|ѥмоу
moževě|можевѣ
jisusъ|исоусъ
že|же
reče|рече
jima|има
čǞšǫ|чашѫ
ubo|оубо
jǫže|ѭже
azъ|азъ
pьjǫ|пиѭ
jьspьjeta|испиѥта
i|и
krьšћenьjemь|крьщениѥмь
jimьže|имьже
azъ|азъ
krьšћǞjǫ|крьщаѭ
sę|сѧ
krьstita|крьстита
sę|сѧ
a|а
ježe|ѥже
sěsti|сѣсти
o|о
desnǫjǫ|деснѫѭ
mene|мене
i|и
o|о
šujǫjǫ|шоуѭѭ
něstъ|нѣстъ
mъně|мънѣ
dati|дати
nъ|нъ
jimъže|имъже
jestъ|ѥстъ
ugotovano|оуготовано
i|и
slyšǞvъše|слъішавъше
desętь|десѧть
načęsę|начѧсѧ
negodovati|негодовати
o|о
ijǞkově|иꙗковѣ
i|и
ijoaně|иоанѣ
jisusъ|исоусъ
že|же
prizъvavъ|призъвавъ
ję|ѩ
golgola|глагола
jimъ|имъ
věste|вѣсте
ako|ако
mьnęћeji|мьнѧщеи
sę|сѧ
volsti|власти
języky|ѩзъікъі
ustojętъ|оустоѩтъ
jimъ|имъ
i|и
veliki|велици
jixъ|ихъ
obvoldajǫtъ|обладаѭтъ
jimi|ими
ne|не
takoђe|такожде
že|же
bǫdi|бѫди
vъ|въ
vasъ|васъ
nъ|нъ
jьže|иже
aћe|аще
xoћetъ|хощетъ
vęћьjь|вѧщии
byti|бъіти
vъ|въ
vasъ|васъ
da|да
bǫdetъ|бѫдетъ
vamъ|вамъ
sluga|слоуга
i|и
jьže|иже
aћe|аще
xoћetъ|хощетъ
vъ|въ
vasъ|васъ
byti|бъіти
starějь|старѣи
da|да
bǫdetъ|бѫдетъ
vьxěmъ|вьсѣмъ
orbъ|рабъ
ibo|ибо
synъ|съінъ
čьlověčьskъjь|чьловѣчьскъіи
ne|не
prijьde|прииде
da|да
poslužętъ|послоужѧтъ
jemu|ѥмоу
nъ|нъ
poslužitъ|послоужитъ
i|и
dati|дати
dušǫ|доушѫ
svojǫ|своѭ
jьzbavĺenьje|избавл҄ениѥ
za|за
mъnogy|мъногъі
i|и
prijьdǫ|приидѫ
vъ|въ
ijerixǫ|иѥрисѭ
jьsxodęћu|исходѧщоу
jemu|ѥмоу
otъ|отъ
ijerixona|иѥрихона
i|и
učenikomъ|оученикомъ
jego|ѥго
i|и
narodu|народоу
mъnogu|мъногоу
synъ|съінъ
timejovъ|тимеовъ
varъtimejь|варътимеи
slěpъ|слѣпъ
sěděaše|сѣдѣаше
pri|при
pǫti|пѫти
xlǫpaję|хлѫпаѩ
i|и
slyšǞvъ|слъішавъ
ako|ако
jisusъ|исоусъ
nazarěninъ|назарѣнинъ
jestъ|ѥстъ
načętъ|начѧтъ
zъvati|зъвати
i|и
golgolati|глаголати
syne|съіне
davydovъ|давъідовъ
jisuse|исоусе
pomiluji|помилоуи
mę|мѧ
i|и
perћǞaxǫ|прѣщаахѫ
jemu|ѥмоу
mъnogi|мъноѕи
da|да
umĺ̥čitъ|оумльчитъ
onъ|онъ
že|же
jьzlixa|излисꙗ
vъpьjǞaše|въпиꙗаше
syne|съіне
davydovъ|давъідовъ
pomiluji|помилоуи
mę|мѧ
i|и
stavъ|ставъ
jisusъ|исоусъ
reče|рече
vъzgolsiti|възгласити
jь|и
i|и
zъvaaxǫ|зъваахѫ
slěpьka|слѣпьца
golgoĺǫћe|глаголѭще
jemu|ѥмоу
dŕ̥zaji|дрьзаи
vъstani|въстани
zovetъ|зоветъ
tę|тѧ
onъ|онъ
že|же
otъvŕ̥gъ|отъврьгъ
rizy|ризъі
svoję|своѩ
vъstavъ|въставъ
prijьde|прииде
kъ|къ
jisusovi|исоусови
i|и
otъvěћǞvъ|отъвѣщавъ
golgola|глагола
jemu|ѥмоу
jisusъ|исоусъ
česomu|чесомоу
xoћeši|хощеши
da|да
sъtvoŕǫ|сътворѭ
tebě|тебѣ
slěpьkь|слѣпьць
že|же
golgola|глагола
jemu|ѥмоу
ravvuni|раввоуни
da|да
prozьŕǫ|прозьрѭ
jisusъ|исоусъ
že|же
reče|рече
jemu|ѥмоу
jьdi|иди
věra|вѣра
tvojǞ|твоꙗ
sъpase|съпасе
tę|тѧ
i|и
abьje|абиѥ
prozьrě|прозьрѣ
i|и
po|по
jisusě|исоусѣ
jьde|иде
vъ|въ
pǫtь|пѫть
i|и
jegъda|ѥгъда
približi|приближи
sę|сѧ
vъ|въ
ijerusalimъ|иѥроусалимъ
vъ|въ
vitъfaǵьjǫ|витъфаꙉиѭ
i|и
vitanijǫ|витаниѭ
kъ|къ
gorě|горѣ
jeleonьsku|ѥлеоньскоу
posъla|посъла
dъva|дъва
otъ|отъ
učenikъ|оученикъ
svojixъ|своихъ
i|и
golgola|глагола
jima|има
jьděta|идѣта
vъ|въ
vьsь|вьсь
jǞže|ꙗже
jestъ|ѥстъ
prěmo|прѣмо
vama|вама
i|и
abьje|абиѥ
vъxodęћǞ|въходѧща
vъ|въ
ńǫ|нѭ
obręћeta|обрѧщета
žerbьkь|жрѣбьць
privęzanъ|привѧзанъ
na|на
ńьže|н҄ьже
něstъ|нѣстъ
ne|не
ju|ю
nikъtože|никътоже
otъ|отъ
čьlověkъ|чьловѣкъ
vъsědlъ|въсѣлъ
otrěšьšǞ|отрѣшьша
jь|и
priveděta|приведѣта
i|и
aћe|аще
vama|вама
kъto|къто
rečetъ|речетъ
čьto|чьто
se|се
dějeta|дѣѥта
rьkěta|рьцѣта
ako|ако
gospodь|господь
jego|ѥго
terbujetъ|трѣбоуѥтъ
i|и
abьje|абиѥ
posъĺetъ|посъл҄етъ
jь|и
sěmo|сѣмо
jьdete|идете
že|же
i|и
obrětete|обрѣтете
žerbьkь|жрѣбьць
privęzanъ|привѧзанъ
pri|при
dvьrьxъ|двьрьхъ
vъně|вънѣ
na|на
orspǫtьji|распѫтии
i|и
otrěšǞašete|отрѣшаашете
jь|и
i|и
jedini|ѥдини
otъ|отъ
stojęћьjixъ|стоѩщиихъ
tu|тоу
golgolašę|глаголашѧ
jima|има
čьto|чьто
dějeta|дѣѥта
otrěšǞjǫћǞ|отрѣшаѭща
žerbьkь|жрѣбьць
ona|она
že|же
rěste|рѣсте
jimъ|имъ
akože|акоже
zapovědě|заповѣдѣ
jisusъ|исоусъ
ostavišę|оставишѧ
jǞ|ꙗ
i|и
privěste|привѣсте
žerbьkь|жрѣбьць
kъ|къ
jisusovi|исоусови
i|и
vъzložišę|възложишѧ
na|на
ńь|н҄ь
rizy|ризъі
svoję|своѩ
i|и
vъsěde|въсѣде
na|на
ńь|н҄ь
mъnogi|мъноѕи
že|же
rizy|ризъі
svoję|своѩ
postilaaxǫ|постилаахѫ
po|по
pǫti|пѫти
a|а
drugiji|дроуѕии
vějьje|вѣиѥ
rězaaxǫ|рѣзаахѫ
otъ|отъ
derva|дрѣва
i|и
postilaaxǫ|постилаахѫ
po|по
pǫti|пѫти
i|и
perdъjьdǫћe|прѣдъіидѫще
i|и
vъ|въ
slědъ|слѣдъ
xodęћeji|ходѧщеи
vъpьjǞaxǫ|въпиꙗахѫ
golgoĺǫћe|глаголѭще
osanъna|осанъна
bolgoslovĺenъ|благословл҄енъ
grędy|грѧдъі
vъ|въ
jьmę|имѧ
gospodьńe|господьн҄е
bolgoslovĺeno|благословл҄ено
grędǫћe|грѧдѫще
kěsaŕьstvьje|цѣсар҄ьствиѥ
vъ|въ
jьmę|имѧ
gospodi|господи
otьka|отьца
našego|нашего
davyda|давъіда
osanъna|осанъна
vъ|въ
vyšьńixъjixъ|въішьн҄иихъ
i|и
vъnide|въниде
vъ|въ
ijerusalimъ|иѥроусалимъ
jisusъ|исоусъ
i|и
vъ|въ
kŕ̥kъvь|црькъвь
i|и
sъględa|съглѧда
vьxe|вьсе
pozdě|поздѣ
juže|юже
sǫћu|сѫщоу
čǞsu|часоу
jьzide|изиде
vъ|въ
vitanijǫ|витаниѭ
﻿sъ|﻿съ
oběma|обѣма
na|на
desęte|десѧте
i|и
vъ|въ
utrьńьjь|оутрьн҄ии
jьsšьdъšemъ|ишьдъшемъ
jimъ|имъ
otъ|отъ
vitaniję|витаниѩ
vъzolka|възлака
i|и
viděvъ|видѣвъ
smokъvьnikǫ|смокъвьницѫ
jьzdaleče|издалече
jьmǫћǫ|имѫщѫ
listvьje|листвиѥ
prijьde|прииде
aћe|аще
ubo|оубо
obręћetъ|обрѧщетъ
na|на
ńejь|н҄еи
čьto|чьто
i|и
prišьdъ|пришьдъ
kъ|къ
ńejь|н҄еи
ničesože|ничесоже
ne|не
obrěte|обрѣте
na|на
ńejь|н҄еи
tъkъmo|тъкъмо
listvьje|листвиѥ
ne|не
bě|бѣ
bo|бо
vermę|врѣмѧ
smokъvamъ|смокъвамъ
i|и
otъvěћǞvъ|отъвѣщавъ
jisusъ|исоусъ
reče|рече
jejь|ѥи
kъ|къ
tomu|томоу
otъ|отъ
tebe|тебе
vъ|въ
věkъ|вѣкъ
nikъtože|никътоже
ploda|плода
ne|не
sъněstъ|сънѣстъ
slyšǞaxǫ|слъішаахѫ
že|же
učeniki|оученици
jego|ѥго
i|и
prijьdǫ|приидѫ
vъ|въ
ijerusalimъ|иѥроусалимъ
i|и
vъšьdъ|въшьдъ
jisusъ|исоусъ
vъ|въ
kŕ̥ky|црькъі
načętъ|начѧтъ
jьzgoniti|изгонити
prodajǫћęję|продаѭщѧѩ
i|и
kupujǫћęję|коупоуѭщѧѩ
vъ|въ
kŕ̥kъve|црькъве
i|и
dъsky|дъскъі
tr̥žьnikъ|тръжьникъ
i|и
sědališčǞ|сѣдалища
prodajǫћьjixъ|продаѭщиихъ
golǫbi|голѫби
jьsprovŕ̥že|испроврьже
i|и
ne|не
daděaše|дадѣаше
nikomuže|никомоуже
mimonesti|мимонести
sъsǫdъ|съсѫдъ
skvozě|сквозѣ
kŕ̥kъvь|црькъвь
i|и
učǞaše|оучааше
golgoĺę|глаголѩ
jimъ|имъ
něstъ|нѣстъ
li|ли
pisano|писано
ako|ако
xormъ|храмъ
mojь|мои
xormъ|храмъ
modlitvě|молитвѣ
narečetъ|наречетъ
sę|сѧ
vьxěmъ|вьсѣмъ
językomъ|ѩзъікомъ
vy|въі
že|же
sъtvoriste|сътвористе
jь|и
vŕ̥tъpъ|врьтъпъ
orzbojьnikomъ|разбоиникомъ
i|и
slyšǞšę|слъішашѧ
kъńižьniki|кън҄ижьници
i|и
arъx́ijereji|аръхиѥреи
i|и
jьskaaxǫ|искаахѫ
kako|како
jь|и
bǫ|бѫ
pogubili|погоубили
bojǞaxǫ|боꙗахѫ
bo|бо
sę|сѧ
jego|ѥго
ako|ако
vьxь|вьсь
narodъ|народъ
divĺǞaxǫ|дивлꙗахѫ
sę|сѧ
o|о
učenьji|оучении
jego|ѥго
i|и
ako|ако
pozdě|поздѣ
bystъ|бъістъ
jьsxoђǞaše|исхождааше
vъnъ|вънъ
jьz|из
gorda|града
i|и
mimoxodęћe|мимоходѧще
utro|оутро
viděšę|видѣшѧ
smokъvьnikǫ|смокъвьницѫ
usъxъšǫ|оусъхъшѫ
jьz|из
korenьjǞ|корениꙗ
i|и
vъspoměnǫvъ|въспомѣнѫвъ
petrъ|петръ
golgola|глагола
jemu|ѥмоу
ravvi|равви
viђь|виждь
smokъvьnika|смокъвьница
jǫže|ѭже
proklętъ|проклѧтъ
usъše|оусъше
i|и
otъvěћǞvъ|отъвѣщавъ
jisusъ|исоусъ
golgola|глагола
jemu|ѥмоу
jьmějite|имѣите
věrǫ|вѣрѫ
božьjǫ|божиѭ
aminь|аминь
golgoĺǫ|глаголѭ
vamъ|вамъ
ako|ако
jьže|иже
rečetъ|речетъ
gorě|горѣ
sejь|сеи
dvigni|двигни
sę|сѧ
i|и
vъvŕ̥gi|въврьѕи
sę|сѧ
vъ|въ
moŕe|мор҄е
i|и
ne|не
usǫmьnitъ|оусѫмьнитъ
sę|сѧ
vъ|въ
sŕ̥dьki|срьдьци
svojemь|своѥмь
nъ|нъ
věrǫ|вѣрѫ
jьmetъ|иметъ
ako|ако
ježe|ѥже
golgoĺetъ|глагол҄етъ
byvajetъ|бъіваѥтъ
bǫdetъ|бѫдетъ
jemu|ѥмоу
ježe|ѥже
aћe|аще
rečetъ|речетъ
sego|сего
radi|ради
golgoĺǫ|глаголѭ
vamъ|вамъ
vьxa|вьсꙗ
jeliko|ѥлико
modlęћe|молѧще
sę|сѧ
prosite|просите
věrujite|вѣроуите
ako|ако
prijemĺete|приѥмл҄ете
i|и
bǫdetъ|бѫдетъ
vamъ|вамъ
i|и
jegъda|ѥгъда
stojite|стоите
modlęћe|молѧще
sę|сѧ
otъpušћǞjite|отъпоущаите
aћe|аще
čьto|чьто
jьmate|имате
na|на
kogo|кого
da|да
i|и
otьkь|отьць
vašь|вашь
nebesьskъjь|небесьскъіи
otъpustitъ|отъпоуститъ
vamъ|вамъ
sъgrěšenьjǞ|съгрѣшениꙗ
vašǞ|ваша
aћe|аще
li|ли
vy|въі
ne|не
otъpustite|отъпоустите
ni|ни
otьkь|отьць
vašь|вашь
jьže|иже
vъ|въ
nebesьxъ|небесьхъ
otъpustitъ|отъпоуститъ
pergrěšenьjь|прѣгрѣшении
vašixъ|вашихъ
i|и
prijьdǫ|приидѫ
paky|пакъі
vъ|въ
ijerusalimъ|иѥроусалимъ
i|и
vъ|въ
kŕ̥kъve|црькъве
xodęћu|ходѧщоу
jemu|ѥмоу
prijьdǫ|приидѫ
kъ|къ
ńemu|н҄емоу
arъx́ijereji|аръхиѥреи
i|и
kъńižьniki|кън҄ижьници
i|и
starьki|старьци
i|и
golgolašę|глаголашѧ
jemu|ѥмоу
kojejǫ|коѥѭ
obvolstьjǫ|областиѭ
se|се
tvoriši|твориши
i|и
kъto|къто
ti|ти
dastъ|дастъ
obvolstь|область
sьjǫ|сиѭ
da|да
si|си
tvoriši|твориши
jisusъ|исоусъ
že|же
otъvěћǞvъ|отъвѣщавъ
reče|рече
jimъ|имъ
vъsprošǫ|въспрошѫ
i|и
azъ|азъ
vy|въі
jedinogo|ѥдиного
slovese|словесе
i|и
otъvěћǞjite|отъвѣщаите
mi|ми
i|и
rekǫ|рекѫ
vamъ|вамъ
kojejǫ|коѥѭ
obvolstьjǫ|областиѭ
se|се
tvoŕǫ|творѭ
krьšћenьje|крьщениѥ
ijoanovo|иоаново
otъkǫdu|отъкѫдоу
bě|бѣ
﻿sъ|﻿съ
nebesъ|небесъ
li|ли
ili|или
otъ|отъ
čьlověkъ|чьловѣкъ
otъvěћǞjite|отъвѣщаите
mi|ми
i|и
myšĺǞaxǫ|мъішлꙗахѫ
kъ|къ
sebě|себѣ
golgoĺǫћe|глаголѭще
aћe|аще
rečemъ|речемъ
﻿sъ|﻿съ
nebese|небесе
rečetъ|речетъ
po|по
čьto|чьто
ubo|оубо
ne|не
věrovaste|вѣровасте
jemu|ѥмоу
aћe|аще
rečemъ|речемъ
otъ|отъ
čьlověkъ|чьловѣкъ
bojǞaxǫ|боꙗахѫ
sę|сѧ
ĺudьjь|людии
vьxi|вьси
bo|бо
jьměaxǫ|имѣахѫ
ijoana|иоана
ako|ако
proroka|пророка
i|и
otъvěћǞvъše|отъвѣщавъше
golgolašę|глаголашѧ
jisusovi|исоусови
ne|не
věmъ|вѣмъ
ni|ни
azъ|азъ
golgoĺǫ|глаголѭ
vamъ|вамъ
