to|то
postę|постѧ
sę|сѧ
nъ|нъ
otьku|отьцоу
tvojemu|твоѥмоу
jьže|иже
jestъ|ѥстъ
vъ|въ
tajьně|таинѣ
i|и
otьkь|отьць
tvojь|твои
vidęjь|видѧи
vъ|въ
tajьně|таинѣ
vъzdastъ|въздастъ
tebě|тебѣ
avě|авѣ
ne|не
sъkryvajite|съкръіваите
sebě|себѣ
sъkroviščǞ|съкровища
na|на
zemĺi|земл҄и
jьdeže|идеже
čŕ̥vь|чрьвь
i|и
tьĺǞ|тьлꙗ
tьlitъ|тьлитъ
jьdeže|идеже
tatьje|татиѥ
podъkopavajǫtъ|подъкопаваѭтъ
i|и
kradǫtъ|крадѫтъ
sъkryvajite|съкръіваите
že|же
sebě|себѣ
sъkroviščǞ|съкровища
nebese|небесе
jьdeže|идеже
ni|ни
čŕ̥vь|чрьвь
ni|ни
tьĺǞ|тьлꙗ
tьlitъ|тьлитъ
jьdeže|идеже
tatьje|татиѥ
ne|не
podъkopavajǫtъ|подъкопаваѭтъ
ni|ни
kradǫtъ|крадѫтъ
jьdeže|идеже
bo|бо
jestъ|ѥстъ
sъkrovišče|съкровище
vaše|ваше
tu|тоу
i|и
sŕ̥dьke|срьдьце
vaše|ваше
světilьnikъ|свѣтильникъ
tělu|тѣлоу
jestъ|ѥстъ
oko|око
aћe|аще
ubo|оубо
bǫdetъ|бѫдетъ
oko|око
tvoje|твоѥ
prosto|просто
vьxe|вьсе
tělo|тѣло
tvoje|твоѥ
světьlo|свѣтьло
bǫdetъ|бѫдетъ
aћe|аще
li|ли
oko|око
tvoje|твоѥ
lǫkavo|лѫкаво
bǫdetъ|бѫдетъ
vьxe|вьсе
tělo|тѣло
tvoje|твоѥ
tьmьno|тьмьно
bǫdetъ|бѫдетъ
aћe|аще
ubo|оубо
světъ|свѣтъ
jьže|иже
vъ|въ
tebě|тебѣ
tьma|тьма
jestъ|ѥстъ
tě|тѣ
tьma|тьма
kolьmi|кольми
nikъjьže|никъіиже
orbъ|рабъ
možetъ|можетъ
dъvěma|дъвѣма
gospodьma|господьма
orbotati|работати
li|ли
bo|бо
jedinogo|ѥдиного
vъznenaviditъ|възненавидитъ
a|а
drugajego|дроугаѥго
vъžĺubitъ|въжлюбитъ
li|ли
jedinogo|ѥдиного
dŕ̥žitъ|дрьжитъ
sę|сѧ
a|а
o|о
drugě|дроуѕѣ
neroditi|неродити
načьnetъ|начьнетъ
ne|не
možete|можете
bogu|богоу
orbotati|работати
i|и
mamoně|мамонѣ
sego|сего
radi|ради
golgoĺǫ|глаголѭ
vamъ|вамъ
ne|не
pьkěte|пьцѣте
sę|сѧ
dušejǫ|доушеѭ
vašejǫ|вашеѭ
čьto|чьто
jǞste|ꙗсте
li|ли
čьto|чьто
pьjete|пиѥте
ni|ни
tělomь|тѣломь
vašimь|вашимь
vъ|въ
čьto|чьто
obvelčete|облѣчете
sę|сѧ
ne|не
dušǞ|доуша
li|ли
boĺьši|бол҄ьши
jestъ|ѥстъ
piћę|пищѧ
i|и
tělo|тѣло
odeђę|одеждѧ
vъzьrite|възьрите
na|на
pъtikę|пътицѧ
nebesьskyję|небесьскъіѩ
ako|ако
ne|не
sějǫtъ|сѣѭтъ
ni|ни
žьńǫtъ|жьнѭтъ
ni|ни
sъbirajǫtъ|събираѭтъ
vъ|въ
žitьnikǫ|житьницѫ
i|и
otьkь|отьць
vašь|вашь
nebesьskъjь|небесьскъіи
pitějetъ|питѣѥтъ
ję|ѩ
ne|не
vy|въі
li|ли
pače|паче
jixъ|ихъ
lučьši|лоучьши
jeste|ѥсте
kъto|къто
že|же
otъ|отъ
vasъ|васъ
peky|пекъі
sę|сѧ
možetъ|можетъ
priložiti|приложити
tělese|тѣлесе
svojemь|своѥмь
olkъtь|лакъть
jedinъ|ѥдинъ
i|и
o|о
odeђi|одежди
čьto|чьто
sę|сѧ
pečete|печете
sъmotrite|съмотрите
krinъ|кринъ
selьnъjixъ|сельнъіихъ
kako|како
orstǫtъ|растѫтъ
ne|не
truђǞjǫtъ|троуждаѭтъ
sę|сѧ
ni|ни
prędǫtъ|прѧдѫтъ
golgoĺǫ|глаголѭ
že|же
vamъ|вамъ
ako|ако
ni|ни
solomonъ|соломонъ
vъ|въ
vьxejь|вьсеи
slavě|славѣ
svojejь|своѥи
obvelče|облѣче
sę|сѧ
ako|ако
jedinъ|ѥдинъ
otъ|отъ
sixъ|сихъ
aћe|аще
že|же
sěno|сѣно
selьnoje|сельноѥ
dьnьsь|дьньсь
sǫћeje|сѫщеѥ
a|а
utrě|оутрѣ
vъ|въ
ogńь|огн҄ь
vъmetomo|въметомо
bogъ|богъ
tako|тако
odějetъ|одѣѥтъ
kolьmi|кольми
pače|паче
vasъ|васъ
malověri|маловѣри
ne|не
pьkěte|пьцѣте
sę|сѧ
ubo|оубо
golgoĺǫћe|глаголѭще
čьto|чьто
jǞmъ|ꙗмъ
li|ли
čьto|чьто
pьjemъ|пиѥмъ
li|ли
čimь|чимь
odeђemъ|одеждемъ
sę|сѧ
vьxěxъ|вьсѣхъ
bo|бо
sixъ|сихъ
języki|ѩзъіци
jьščǫtъ|ищѫтъ
věstъ|вѣстъ
bo|бо
otьkь|отьць
vašь|вашь
nebesьskъjь|небесьскъіи
ako|ако
terbujete|трѣбоуѥте
sixъ|сихъ
vьxěxъ|вьсѣхъ
jьščěte|ищѣте
že|же
pače|паче
kěsaŕьstvьjǞ|цѣсар҄ьствиꙗ
božьjǞ|божиꙗ
i|и
pravьdy|правьдъі
jego|ѥго
i|и
si|си
vьxa|вьсꙗ
priložętъ|приложѧтъ
sę|сѧ
vamъ|вамъ
ne|не
pьkěte|пьцѣте
sę|сѧ
ubo|оубо
na|на
utrějь|оутрѣи
utrьńьjь|оутрьн҄ии
bo|бо
dьnь|дьнь
sobojǫ|собоѭ
pečetъ|печетъ
sę|сѧ
dovьĺetъ|довьл҄етъ
dьni|дьни
zъloba|зълоба
svojǞ|своꙗ
ne|не
osǫdite|осѫдите
da|да
ne|не
osǫђeni|осѫждени
bǫdete|бѫдете
jimьže|имьже
bo|бо
sǫdomь|сѫдомь
sǫdite|сѫдите
sǫdętъ|сѫдѧтъ
vamъ|вамъ
i|и
vъ|въ
ńǫže|нѭже
měrǫ|мѣрѫ
měrite|мѣрите
vъzměritъ|възмѣритъ
sę|сѧ
vamъ|вамъ
čьto|чьто
že|же
vidiši|видиши
sǫčьkь|сѫчьць
vъ|въ
okě|оцѣ
bratra|братра
tvojego|твоѥго
a|а
brьvьna|брьвьна
ježe|ѥже
jestъ|ѥстъ
vъ|въ
okě|оцѣ
tvojemь|твоѥмь
ne|не
čuješi|чоуѥши
li|ли
kako|како
rečeši|речеши
bratru|братроу
tvojemu|твоѥмоу
ostavĺǫ|оставлѭ
i|и
jьzьmǫ|изьмѫ
sǫčьkь|сѫчьць
jьz|из
očese|очесе
tvojego|твоѥго
i|и
se|се
brьvьno|брьвьно
vъ|въ
okě|оцѣ
tvojemь|твоѥмь
likeměre|лицемѣре
jьzьmi|изьми
pŕ̥věje|прьвѣѥ
brьvьno|брьвьно
jьz|из
očese|очесе
tvojego|твоѥго
i|и
tъgъda|тъгъда
uzьriši|оузьриши
jьzęti|изѧти
sǫčьkь|сѫчьць
jьz|из
očese|очесе
bratra|братра
tvojego|твоѥго
ne|не
dadite|дадите
svętajego|свѧтаѥго
pьsomъ|пьсомъ
ni|ни
pomeћite|помещите
bisьrъ|бисьръ
vašixъ|вашихъ
perdъ|прѣдъ
svinьjǞmi|свиниꙗми
da|да
ne|не
poperǫtъ|поперѫтъ
jixъ|ихъ
nogami|ногами
svojimi|своими
i|и
vorћьše|вращьше
sę|сѧ
orstr̥gnǫtъ|растръгнѫтъ
vy|въі
prosite|просите
i|и
dastъ|дастъ
sę|сѧ
vamъ|вамъ
jьščěte|ищѣте
i|и
obręћete|обрѧщете
tĺ̥kěte|тльцѣте
i|и
otvŕ̥zetъ|отврьзетъ
sę|сѧ
vamъ|вамъ
vьxakъ|вьсꙗкъ
bo|бо
prosęjь|просѧи
prijemĺetъ|приѥмл҄етъ
i|и
jьščęjь|ищѧи
obrětajetъ|обрѣтаѥтъ
i|и
tĺ̥kǫћujemu|тлькѫщоуѥмоу
otvŕ̥zajetъ|отврьзаѥтъ
sę|сѧ
li|ли
kъto|къто
jestъ|ѥстъ
otъ|отъ
vasъ|васъ
čьlověkъ|чьловѣкъ
jegože|ѥгоже
aћe|аще
prositъ|проситъ
synъ|съінъ
svojь|свои
xlěba|хлѣба
jeda|ѥда
kamenь|камень
podastъ|подастъ
jemu|ѥмоу
li|ли
aћe|аще
ryby|ръібъі
prositъ|проситъ
jeda|ѥда
zmьjǫ|змиѭ
podastъ|подастъ
jemu|ѥмоу
aћe|аще
ubo|оубо
vy|въі
lǫkavьni|лѫкавьни
sǫћe|сѫще
umějete|оумѣѥте
dajǞnьjǞ|даꙗниꙗ
bolga|блага
dajǞti|даꙗти
čędomъ|чѧдомъ
vašimъ|вашимъ
kolьmi|кольми
pače|паче
otьkь|отьць
vašь|вашь
jьže|иже
jestъ|ѥстъ
na|на
nebesьxъ|небесьхъ
dastъ|дастъ
bolgajǞ|благаꙗ
prosęћemъjimъ|просѧщиимъ
jego|ѥго
vьxa|вьсꙗ
ubo|оубо
jeliko|ѥлико
aћe|аще
xoћete|хощете
da|да
tvorętъ|творѧтъ
vamъ|вамъ
čьlověki|чьловѣци
tako|тако
i|и
vy|въі
tvorite|творите
jimъ|имъ
se|се
bo|бо
jestъ|ѥстъ
zakonъ|законъ
i|и
proroki|пророци
vъniděte|вънидѣте
ǫzъkyjimi|ѫзъкъіими
vorty|вратъі
ako|ако
prostorna|пространа
vorta|врата
i|и
širokъ|широкъ
pǫtь|пѫть
vъvodęjь|въводѧи
vъ|въ
pagubǫ|пагоубѫ
i|и
mъnogi|мъноѕи
sǫtъ|сѫтъ
vъxodęћi|въходѧщи
jimь|имь
kolь|коль
ǫzъka|ѫзъка
vorta|врата
i|и
těsnъ|тѣснъ
pǫtь|пѫть
vъvodęjь|въводѧи
vъ|въ
životъ|животъ
i|и
malo|мало
jixъ|ихъ
jestъ|ѥстъ
jiže|иже
jь|и
obrětajǫtъ|обрѣтаѭтъ
vъnemĺěte|вънемл҄ѣте
otъ|отъ
lъžьjixъ|лъжиихъ
prorokъ|пророкъ
jiže|иже
prixodętъ|приходѧтъ
kъ|къ
vamъ|вамъ
vъ|въ
odeђǞxъ|одеждахъ
ovьčǞxъ|овьчахъ
vъnǫtrь|вънѫтрь
že|же
sǫtъ|сѫтъ
vĺ̥ki|вльци
xyћьniki|хъіщьници
otъ|отъ
plodъ|плодъ
jixъ|ихъ
poznajite|познаите
ję|ѩ
jeda|ѥда
obemĺǫtъ|обемлѭтъ
otъ|отъ
tŕ̥nьjь|трьнии
grozny|грознъі
li|ли
otъ|отъ
rěpьjь|рѣпии
smokъvi|смокъви
tako|тако
vьxako|вьсꙗко
dervo|дрѣво
dobro|добро
plody|плодъі
dobry|добръі
tvoritъ|творитъ
a|а
zъlo|зъло
dervo|дрѣво
plody|плодъі
zъly|зълъі
tvoritъ|творитъ
ne|не
možetъ|можетъ
dervo|дрѣво
dobro|добро
plodъ|плодъ
zъlъ|зълъ
tvoriti|творити
ni|ни
dervo|дрѣво
zъlo|зъло
plodъ|плодъ
dobrъ|добръ
tvoriti|творити
vьxako|вьсꙗко
dervo|дрѣво
ježe|ѥже
ne|не
tvoritъ|творитъ
ploda|плода
dobra|добра
posěkajǫtъ|посѣкаѭтъ
i|и
vъ|въ
ogńь|огн҄ь
vъmětajǫtъ|въмѣтаѭтъ
těmь|тѣмь
že|же
ubo|оубо
otъ|отъ
plodъ|плодъ
jixъ|ихъ
poznajete|познаѥте
ję|ѩ
ne|не
vьxakъ|вьсꙗкъ
golgoĺęjь|глаголѩи
mъně|мънѣ
gospodi|господи
gospodi|господи
vъnidetъ|вънидетъ
vъ|въ
kěsaŕьstvьje|цѣсар҄ьствиѥ
nebesьskoje|небесьскоѥ
nъ|нъ
tvoręjь|творѧи
voĺǫ|волѭ
otьka|отьца
mojego|моѥго
jьže|иже
jestъ|ѥстъ
na|на
nebesьxъ|небесьхъ
mъnogi|мъноѕи
bo|бо
rekǫtъ|рекѫтъ
mъně|мънѣ
vъ|въ
tъ|тъ
dьnь|дьнь
gospodi|господи
gospodi|господи
ne|не
vъ|въ
tvoje|твоѥ
li|ли
jьmę|имѧ
proročьstvovaxomъ|пророчьствовахомъ
i|и
tvojimь|твоимь
jьmenьmь|именьмь
běsy|бѣсъі
jьzgonixomъ|изгонихомъ
i|и
tvojimь|твоимь
jьmenьmь|именьмь
sily|силъі
mъnogy|мъногъі
sъtvorixomъ|сътворихомъ
i|и
tъgъda|тъгъда
jьspověmь|исповѣмь
jimъ|имъ
ako|ако
nikoliže|николиже
znaaxъ|знаахъ
vasъ|васъ
otiděte|отидѣте
otъ|отъ
mene|мене
dělajǫћeji|дѣлаѭщеи
