povědaaše|повѣдааше
vьxę|вьсѧ
viděvъše|видѣвъше
že|же
starějьšiny|старѣишинъі
|
i|и
fariseji|фарисеи
čudesa|чоудеса
jǞže|ꙗже
sъtvori|сътвори
i|и
děti|дѣти
zovǫћę|зовѫщѧ
i|и
golgoĺǫћę|глаголѭщѧ
osanъna|осанъна
synu|съіноу
davydovъ|давъідовъ
bolgoslovĺenъ|благословл҄енъ
grędyjь|грѧдъіи
vъ|въ
jьmę|имѧ
gospodьńe|господьн҄е
ne|не
|
togo|того
čьsti|чьсти
|
i|и
prišьdъše|пришьдъше
kъ|къ
ńemu|н҄емоу
golgolaaxǫ|глаголаахѫ
ne|не
slyšiši|слъішиши
li|ли
čьto|чьто
sьji|сии
golgoĺǫtъ|глаголѭтъ
něstъ|нѣстъ
li|ли
ti|ти
tęžьko|тѧжько
slavimu|славимоу
něstъ|нѣстъ
li|ли
ti|ти
pečǞlьno|печально
slyšęћe|слъішѧще
otъ|отъ
|
dětьjь|дѣтии
jǞže|ꙗже
jedьnomu|ѥдьномоу
bogu|богоу
|
ne|не
pověda|повѣда
li|ли
perђe|прѣжде
bogъ|богъ
prorokomь|пророкомь
ako|ако
slavy|славъі
svojeję|своѥѩ
jьnomu|иномоу
ne|не
damь|дамь
to|то
kako|како
ty|тъі
čьlověkъ|чьловѣкъ
sy|съі
samъ|самъ
sę|сѧ
tvoriši|твориши
bogъ|богъ
nъ|нъ
čьto|чьто
protivǫ|противѫ
tomu|томоу
|
|
na|на
milostь|милость
a|а
|
na|на
gněvъ|гнѣвъ
tŕ̥pitъ|трьпитъ
|
kělitъ|цѣлитъ
otъvětomь|отъвѣтомь
|
pominajetъ|поминаѥтъ
pisanьjǞ|писаниꙗ
|
sъvěděteĺьstva|съвѣдѣтел҄ьства
tvoręћemъjimъ|творѧщиимъ
a|а
ne|не
otъmeћetъ|отъмещетъ
sę|сѧ
|
|
reče|рече
nikoliže|николиже
li|ли
mene|мене
slyšǞste|слъішасте
prorokomь|пророкомь
golgoĺǫћǞ|глаголѭща
tъgъda|тъгъда
orzumějete|разоумѣѥте
ako|ако
azъ|азъ
jesmь|ѥсмь
golgoĺęjь|глаголѩи
prišьdlъ|пришьдлъ
ni|ни
li|ли
paky|пакъі
jьz|из
ustъ|оустъ
sъsǫћьjixъ|съсѫщиихъ
|
sъvŕ̥šilъ|съврьшилъ
jesi|ѥси
xvalǫ|хвалѫ
vorgъ|врагъ
tvojixъ|твоихъ
radi|ради
|
vorga|врага
i|и
|
|
jeste|ѥсте
vy|въі
jiže|иже
zakonъ|законъ
čьtǫћe|чьтѫще
i|и
vědǫћe|вѣдѫще
i|и
proroky|пророкъі
čьtǫћe|чьтѫще
mene|мене
vъ|въ
zakoně|законѣ
i|и
prorokěxъ|пророцѣхъ
propovědajemajego|проповѣдаѥмаѥго
|
sę|сѧ
mьnite|мьните
bo|бо
ubo|оубо
|
|
|
slavǫ|славѫ
božьjǫ|божиѭ
ne|не
orzumějǫћe|разоумѣѭще
ako|ако
jьže|иже
sę|сѧ
mene|мене
|
i|и
otьka|отьца
sę|сѧ
|
azъ|азъ
bo|бо
otъ|отъ
boga|бога
jьzidoxъ|изидохъ
i|и
vъnidoxъ|вънидохъ
vъ|въ
mirъ|миръ
i|и
mojǞ|моꙗ
slava|слава
otьka|отьца
mojego|моѥго
jestъ|ѥстъ
slava|слава
obličeniji|обличении
že|же
sike|сице
|
sъpasa|съпаса
našego|нашего
bogomь|богомь
|
otъ|отъ
|
zatvoŕenomъ|затвор҄еномъ
byvъšemъ|бъівъшемъ
ustomъ|оустомъ
jixъ|ихъ
jьstinojǫ|истиноѭ
jьni|ини
že|же
|
bezumьjǞ|безоумиꙗ
|
sъvětъ|съвѣтъ
na|на
ńь|н҄ь
tvoŕǞaxǫ|творꙗахѫ
my|мъі
že|же
pojimъ|поимъ
velьjь|велии
gospodь|господь
našь|нашь
i|и
velьjǞ|велиꙗ
krěpostь|крѣпость
jego|ѥго
i|и
orzumu|разоумоу
jego|ѥго
něstъ|нѣстъ
čisla|числа
se|се
bo|бо
vьxa|вьсꙗ
byšę|бъішѧ
da|да
otemĺęjь|отемлѩи
grěxъ|грѣхъ
miru|мироу
agnьkь|агньць
i|и
synъ|съінъ
božьjь|божии
voĺejǫ|вол҄еѭ
na|на
|
|
﻿sъ|﻿съ
vami|вами
prijьdetъ|приидетъ
i|и
na|на
|
stanetъ|станетъ
|
|
krъvьjǫ|кръвиѭ
svojejǫ|своѥѭ
mirъ|миръ
|
trьmъ|трьмъ
desętьmъ|десѧтьмъ
|
i|и
corrupted morphology tag|црароуптед мрапhологъі таг
našǞ|наша
zakolenъ|заколенъ
bǫdetъ|бѫдетъ
gospodьńьjь|господьн҄ии
za|за
ny|нъі
corrupted morphology tag|црароуптед мрапhологъі таг
da|да
jьže|иже
čьstьnojǫ|чьстьноѭ
jego|ѥго
krъvьjǫ|кръвиѭ
|
i|и
ustьny|оустьнъі
|
|
|
uběžętъ|оубѣжѧтъ
|
orǫžьjǞ|орѫжиꙗ
i|и
sike|сице
postradavъjь|пострадавъіи
corrupted morphology tag|црароуптед мрапhологъі таг
i|и
vъsta|въста
vъ|въ
tretьjьjь|третиии
dьnь|дьнь
﻿sъ|﻿съ
otьkemь|отьцемь
i|и
﻿sъ|﻿съ
svętomьjimь|свѧтъіимь
duxomь|доухомь
kupьno|коупьно
vъ|въ
slavě|славѣ
i|и
čьsti|чьсти
vьxa|вьсꙗ
tvarь|тварь
jemu|ѥмоу
|
sę|сѧ
a|а
kъ|къ
tomu|томоу
perklonitъ|прѣклонитъ
sę|сѧ
jemu|ѥмоу
vьxako|вьсꙗко
kolěno|колѣно
nebesьnъjixъ|небесьнъіихъ
i|и
zemьnъjixъ|земьнъіихъ
i|и
|
slavǫ|славѫ
jemu|ѥмоу
vъzdajǫћe|въздаѭще
nyně|нъінѣ
i|и
prisno|присно
i|и
vъ|въ
věky|вѣкъі
věkomъ|вѣкомъ
aminь|аминь
|
|
|
gorda|града
slovo|слово
na|на
|
i|и
o|о
lazarě|лазарѣ
jegъda|ѥгъда
otroky|отрокъі
osanъna|осанъна
vъ|въ
vyšьńixъjixъ|въішьńиихъ
vъpьjǫћę|въпиѭщѧ
kŕ̥ky|црькъі
vъstrǫbitъ|въстрѫбитъ
i|и
světьlъjь|свѣтьлъіи
tъ|тъ
|
golsъ|гласъ
kъ|къ
sebě|себѣ
privelkǫ|привлѣкѫ
vysokъ|въісокъ
bǫdǫ|бѫдѫ
|
zъlo|зъло
bo|бо
aћe|аще
radosti|радости
|
|
|
a|а
ĺuby|любъі
ne|не
věstъ|вѣстъ
žьdati|жьдати
vermene|врѣмене
zovǫћǞ|зовѫща
i|и
umomь|оумомь
|
obъxoђǫ|объхождѫ
vitanijǫ|витаниѭ
i|и
rǫkama|рѫкама
|
|
i|и
|
sę|сѧ
|
﻿sъ|﻿съ
dětьmi|дѣтьми
|
|
﻿sъ|﻿съ
ńimi|н҄ими
utvŕ̥ђǞjęjь|оутврьждаѩи
voldykě|владъіцѣ
osanъna|осанъна
vъ|въ
vyšьńixъjixъ|въішьńиихъ
bolgoslovĺenъ|благословл҄енъ
grędyjь|грѧдъіи
vъ|въ
jьmę|имѧ
gospodьńe|господьн҄е
jegъda|ѥгъда
li|ли
paky|пакъі
vějьje|вѣиѥ
nosęћę|носѧщѧ
i|и
|
xristosa|христоса
i|и
liky|ликъі
|
i|и
steĺǫћę|стелѭщѧ
rizy|ризъі
sъmoћŕǫ|съмощрѭ
radujǫ|радоуѭ
sę|сѧ
takoђe|такожде
|
viђǫ|виждѫ
otroky|отрокъі
prostomь|простомь
językomь|ѩзъікомь
i|и
dělesьmь|дѣлесьмь
|
kěsaŕu|цѣсарю
tvoręћę|творѧщѧ
nъ|нъ
prijьdetъ|приидетъ
mi|ми
tъgъda|тъгъда
pače|паче
|
plakati|плакати
sę|сѧ
i|и
nenaviděti|ненавидѣти
zъloby|зълобъі
ako|ако
otroki|отроци
sъmyslętъ|съмъіслѧтъ
a|а
otьki|отьци
sę|сѧ
na|на
|
tvorętъ|творѧтъ
i|и
|
|
a|а
otьki|отьци
na|на
boga|бога
sę|сѧ
tvorętъ|творѧтъ
tъgъda|тъгъда
i|и
kъńižьnikъ|кън҄ижьникъ
saměxъ|самѣхъ
viђǫ|виждѫ
padъšǫjǫ|падъшѫѭ
mǫdrostь|мѫдрость
slavojǫ|славоѭ
bo|бо
i|и
|
orzuma|разоума
|
zъlě|зълѣ
vъznesъše|възнесъше
sę|сѧ
jьstinьnyjeję|истиньнъіѥѩ
i|и
božьję|божиѩ
mǫdrosti|мѫдрости
po|по
jьstině|истинѣ
|
tъgъda|тъгъда
i|и
učiteĺь|оучител҄ь
jixъ|ихъ
plačę|плачѧ
sę|сѧ
|
sŕ̥dьka|срьдьца
jixъ|ихъ
ako|ако
učiti|оучити
jьněxъ|инѣхъ
|
ne|не
byšę|бъішѧ
dostojьni|достоини
svojejǫ|своѥѭ
zъlobojǫ|зълобоѭ
ni|ни
﻿sъ|﻿съ
svojimi|своими
učeniky|оученикъі
vъ|въ
rędu|рѧдоу
stati|стати
i|и
nedǫgъ|недѫгъ
jьněxъ|инѣхъ
kěliti|цѣлити
obvěћǞvъšiji|обѣщавъшии
sę|сѧ
sami|сами
poslědьńemь|послѣдьн҄емь
nedǫgomь|недѫгомь
bezumьjemь|безоумиѥмь
bolěšę|болѣшѧ
|
|
vьxǫ|вьсѭ
dušǫ|доушѫ
zъlě|зълѣ
|
i|и
sugubojǫ|соугоубоѭ
po|по
jьstině|истинѣ
jęgejǫ|ѩѕеѭ
bolěvъše|болѣвъше
zъli|зъли
bo|бо
sǫћe|сѫще
i|и
zъlě|зълѣ
straђǫћe|страждѫще
ne|не
mogošę|могошѧ
i|и
|
svojeję|своѥѩ
ne|не
čuti|чоути
|
bo|бо
bě|бѣ
jimъ|имъ
vьraču|вьрачоу
prišьdъšu|пришьдъшоу
i|и
u|оу
ńixъ|н҄ихъ
sǫћu|сѫщоу
prijęti|приѩти
jego|ѥго
i|и
rěky|рѣкъі
jimъ|имъ
|
prolivajǫћu|проливаѭщоу
udobь|оудобь
i|и
bez|без
boršьna|брашьна
otъ|отъ
omyvajǫћǞjego|омъіваѭщаѥго
jixъ|ихъ
|
svoję|своѩ
očišћǞti|очищати
i|и
|
svojixъ|своихъ
omyvati|омъівати
sę|сѧ
nъ|нъ
voĺejǫ|вол҄еѭ
i|и
|
i|и
umъ|оумъ
svojь|свои
kupьno|коупьно
zъlě|зълѣ
oslěpivъše|ослѣпивъше
svojego|своѥго
|
|
sę|сѧ
i|и
sъpasa|съпаса
i|и
|
poznati|познати
ne|не
račišę|рачишѧ
a|а
byšę|бъішѧ
bo|бо
poznali|познали
svętъjь|свѧтъіи
pavьlъ|павьлъ
reče|рече
ne|не
byšę|бъішѧ
gospoda|господа
slavy|славъі
orspęli|распѧли
ne|не
orzuměšę|разоумѣшѧ
ne|не
bo|бо
i|и
orzuměšę|разоумѣшѧ
račiti|рачити
|
bo|бо
|
|
byvajetъ|бъіваѥтъ
to|то
i|и
dŕ̥žęћęjeję|дрьжѧщѧѥѩ
|
umъ|оумъ
|
byvajetъ|бъіваѥтъ
i|и
uma|оума
|
|
na|на
dobro|добро
jьstiny|истинъі
|
ne|не
jьdetъ|идетъ
ne|не
orzuměšę|разоумѣшѧ
anǵely|анꙉелъі
slavimajego|славимаѥго
i|и
proroky|пророкъі
propovědajemajego|проповѣдаѥмаѥго
ne|не
orzuměšę|разоумѣшѧ
o|о
desnǫjǫ|деснѫѭ
otьka|отьца
sědęћǞjego|сѣдѧщаѥго
i|и
na|на
|
rǫku|рѫкоу
nosima|носима
i|и
slovesьmь|словесьмь
jedьněmь|ѥдьнѣмь
dvižǫћǞ|движѫща
ne|не
orzuměšę|разоумѣшѧ
na|на
perstolě|прѣстолѣ
|
sědęћǞjego|сѣдѧщаѥго
i|и
na|на
osьlęti|осьлѧти
nosima|носима
i|и
otroky|отрокъі
xvalima|хвалима
i|и
na|на
|
|
prišьdъšǞ|пришьдъша
ne|не
poznašę|познашѧ
ni|ни
orzuměti|разоумѣти
jьzvolišę|изволишѧ
nъ|нъ
narikajemiji|нарицаѥмии
sę|сѧ
mǫdri|мѫдри
byti|бъіти
|
i|и
|
vъ|въ
myslьxъ|мъісльхъ
jixъ|ихъ
|
sŕ̥dьke|срьдьце
si|си
prorokъ|пророкъ
|
golgolaaše|глаголааше
perdi|прѣди
vidę|видѧ
sluxomь|слоухомь
slyšętъ|слъішѧтъ
i|и
ne|не
orzumějǫtъ|разоумѣѭтъ
i|и
vidęћe|видѧще
ne|не
vidętъ|видѧтъ
|
bo|бо
sŕ̥dьke|срьдьце
ĺudьjь|людии
sixъ|сихъ
i|и
ušima|оушима
|
slyšǞšę|слъішашѧ
i|и
oči|очи
si|си
|
da|да
ne|не
vidętъ|видѧтъ
očima|очима
ni|ни
ušima|оушима
slyšętъ|слъішѧтъ
ni|ни
sŕ̥dьkemь|срьдьцемь
orzumějǫtъ|разоумѣѭтъ
i|и
obvortętъ|обратѧтъ
sę|сѧ
da|да
jьskěĺǫ|исцѣлѭ
ję|ѩ
pověђь|повѣждь
mi|ми
ubo|оубо
o|о
|
čьto|чьто
sę|сѧ
proroky|пророкъі
veličǞješi|величаѥши
a|а
|
|
kako|како
li|ли
|
kъńigaxъ|кън҄иѕахъ
orzuma|разоума
napisanъjixъ|написанъіихъ
|
sę|сѧ
i|и
|
zakona|закона
sъbiraješi|събираѥши
a|а
jьstovoje|истовоѥ
|
|
|
i|и
vъ|въ
|
|
vъ|въ
|
vidiši|видиши
a|а
jьže|иже
vъ|въ
ńixъ|н҄ихъ
tajьnajego|таинаѥго
ne|не
jьskopaješi|ископаѥши
ni|ни
sъbereši|събереши
zolta|злата
nъ|нъ
jьni|ини
po|по
zakonьnomъjimъ|законьнъіимъ
|
﻿sъ|﻿съ
ĺubъvьjǫ|любъвиѭ
|
obьmavъše|обьмавъше
světьlъjь|свѣтьлъіи
světьlo|свѣтьло
|
vъ|въ
kŕ̥kъvьnějemь|црькъвьнѣѥмь
|
|
i|и
ježe|ѥже
vъ|въ
bolgoděti|благодѣти
dobrě|добрѣ
|
|
nosętъ|носѧтъ
a|а
ty|тъі
listvьjemь|листвиѥмь
zakryvъ|закръівъ
oči|очи
si|си
vьxь|вьсь
sę|сѧ
tamo|тамо
perda|прѣда
ni|ни
otъ|отъ
togo|того
|
bolězni|болѣзни
jьměję|имѣѩ
ni|ни
kъ|къ
|
|
lika|лица
svojego|своѥго
ne|не
|
i|и
ty|тъі
bisьra|бисьра
dъsky|дъскъі
jimiže|имиже
sę|сѧ
krasętъ|красѧтъ
zъlě|зълѣ
|
a|а
xristosovi|христосови
ĺudьje|людиѥ
tъ|тъ
|
|
čistǫ|чистѫ
po|по
jьstině|истинѣ
prijemĺǫtъ|приѥмлѭтъ
jьstinьnǫjǫ|истиньнѫѭ
|
i|и
u|оу
|
sědiši|сѣдиши
|
sę|сѧ
trudę|троудѧ
a|а
prišьdъšǞ|пришьдъша
|
ne|не
prijemĺeši|приѥмл҄еши
dŕ̥žimъ|дрьжимъ
sy|съі
poxotьjǫ|похотиѭ
|
po|по
jьstině|истинѣ
|
vašь|вашь
bez|без
|
i|и
vъ|въ
sirěxъ|сирѣхъ
slovesьxъ|словесьхъ
bez|без
uma|оума
jedinъ|ѥдинъ
po|по
jьstině|истинѣ
sьji|сии
ĺudьje|людиѥ
|
a|а
ne|не
mǫdri|мѫдри
jьspŕ̥va|испрьва
bo|бо
|
na|на
zakonъ|законъ
ni|ни
vъ|въ
poslědьńijemь|послѣдьн҄иѥмь
městě|мѣстѣ
napisani|написани
byšę|бъішѧ
|
ne|не
slyšǞ|слъіша
li|ли
kěsaŕǞ|цѣсарꙗ
davyda|давъіда
božьjemь|божиѥмь
|
pojǫћǞ|поѭща
jьz|из
ustъ|оустъ
moldьnьkь|младьньць
sъsǫћьjixъ|съсѫщиихъ
sъvŕ̥šilъ|съврьшилъ
jesi|ѥси
xvalǫ|хвалѫ
vorgъ|врагъ
tvojixъ|твоихъ
radi|ради
ne|не
věruješi|вѣроуѥши
li|ли
proroku|пророкоу
věruji|вѣроуи
|
ǫžikě|ѫжицѣ
aћe|аще
něsi|нѣси
i|и
slovesy|словесъі
otъvŕ̥glъ|отъврьглъ
|
|
bo|бо
tę|тѧ
věmь|вѣмь
dělesy|дѣлесъі
otъvŕ̥gъšǞ|отъврьгъша
sę|сѧ
jego|ѥго
|
li|ли
i|и
|
|
uboji|оубои
sę|сѧ
|
kěsaŕǞ|цѣсарꙗ
věstъ|вѣстъ
bo|бо
pertiti|прѣтити
|
kěsaŕь|цѣсар҄ь
sy|съі
aћe|аще
|
sę|сѧ
ili|или
gněvajǫћę|гнѣваѭщѧ
počujetъ|почоуѥтъ
i|и
kopьje|копиѥ
bliskajǫћe|блискаѭще
sę|сѧ
|
i|и
|
želěznojǫ|желѣзноѭ
pasetъ|пасетъ
i|и
|
sъsǫdy|съсѫдъі
|
|
uma|оума
sъvŕ̥šьšęję|съврьшьшѧѩ
sę|сѧ
sъtьretъ|сътьретъ
rьki|рьци
﻿sъ|﻿съ
ńimь|н҄имь
velikomь|великомь
golsomь|гласомь
jьz|из
ustъ|оустъ
moldьnьkь|младьньць
i|и
sъsǫћьjixъ|съсѫщиихъ
sъvŕ̥šilъ|съврьшилъ
jesi|ѥси
xvalǫ|хвалѫ
tvojemu|твоѥмоу
umu|оумоу
mьstiti|мьстити
xotę|хотѧ
prišьdlъ|пришьдлъ
jestъ|ѥстъ
sъpasъ|съпасъ
tvojemu|твоѥмоу
mьstiti|мьстити
xotę|хотѧ
xvalǫ|хвалѫ
|
utvŕ̥ђǞjetъ|оутврьждаѥтъ
|
svojemu|своѥмоу
si|си
zavidiši|завидиши
sъpasenьju|съпасению
|
|
zъlъ|зълъ
jesi|ѥси
prijęti|приѩти
bolgoděti|благодѣти
aћe|аще
ne|не
i|и
se|се
ježe|ѥже
zъlo|зъло
mьniši|мьниши
a|а
tebě|тебѣ
jestъ|ѥстъ
na|на
dobro|добро
obače|обаче
tvojejь|твоѥи
|
|
|
li|ли
sę|сѧ
ježe|ѥже
slyšǞ|слъіша
poslušǞji|послоушаи
jǞže|ꙗже
vidimajǞ|видимаꙗ
ni|ни
li|ли
proroku|пророкоу
věruješi|вѣроуѥши
isajijǞ|исаиꙗ
vъpьjǫћu|въпиѭщоу
i|и
golgoĺǫћu|глаголѭщоу
języki|ѩзъіци
|
navyknǫtъ|навъікнѫтъ
golgolati|глаголати
mirъ|миръ
to|то
li|ли
ne|не
języki|ѩзъіци
|
jьstinǫ|истинѫ
|
golgoĺǫtъ|глаголѭтъ
ne|не
navykošę|навъікошѧ
li|ли
xvaliti|хвалити
|
mira|мира
corrupted morphology tag|црароуптед мрапhологъі таг
bo|бо
jestъ|ѥстъ
mirъ|миръ
našь|нашь
ježe|ѥже
|
|
voržьdy|вражьдъі
orzori|разори
jь|и
jegože|ѥгоже
|
﻿sъ|﻿съ
otьkemь|отьцемь
i|и
﻿sъ|﻿съ
|
perђe|прѣжде
zъlě|зълѣ
ostǫpivъše|остѫпивъше
sъmiŕeni|съмир҄ени
byxomъ|бъіхомъ
ni|ни
li|ли
zaxarijǞ|захариꙗ
svętomьjimь|свѧтъіимь
duxomь|доухомь
perђe|прѣжде
propověda|проповѣда
radostь|радость
|
raduji|радоуи
sę|сѧ
golgoĺę|глаголѩ
gělo|ѕѣло
dъћi|дъщи
|
propovědaji|проповѣдаи
dъћi|дъщи
|
se|се
kěsaŕь|цѣсар҄ь
tvojь|твои
grędetъ|грѧдетъ
ti|ти
|
i|и
sъpasaję|съпасаѩ
tъ|тъ
krotъkъ|кротъкъ
i|и
vъsědъ|въсѣдъ
na|на
osьlę|осьлѧ
i|и
žerbę|жрѣбѧ
|
ne|не
jьmaši|имаши
li|ли
očьju|очию
svojeju|своѥю
prorečenajego|прореченаѥго
sъvěděteĺǞ|съвѣдѣтелꙗ
něsi|нѣси
li|ли
ježe|ѥже
|
slyšǞlъ|слъішалъ
to|то
že|же
perdi|прѣди
stojęћe|стоѩще
vidiši|видиши
něstъ|нѣстъ
li|ли
kupьno|коупьно
﻿sъ|﻿съ
slovesy|словесъі
dělo|дѣло
prišьdlo|пришьдло
to|то
něstъ|нѣстъ
li|ли
krotъkъ|кротъкъ
něstъ|нѣстъ
li|ли
pravьdьnъ|правьдьнъ
něstъ|нѣстъ
li|ли
sъpasaję|съпасаѩ
něstъ|нѣстъ
li|ли
vъsědlъ|въсѣдлъ
na|на
osьlę|осьлѧ
ni|ни
li|ли
|
języki|ѩзъіци
světьlo|свѣтьло
mirъ|миръ
propovědajǫtъ|проповѣдаѭтъ
ne|не
prinosętъ|приносѧтъ
li|ли
jemu|ѥмоу
xvaly|хвалъі
děti|дѣти
|
umъ|оумъ
jьmějǫћь|имѣѭщь
děti|дѣти
xvalǫ|хвалѫ
prinosętъ|приносѧтъ
da|да
vьxe|вьсе
|
tъšče|тъще
slovo|слово
pokažetъ|покажетъ
neprijǞzni|неприꙗзни
|
bo|бо
|
někъjimь|нѣкъіимь
i|и
|
seję|сеѩ
|
|
i|и
zъlo|зъло
xotęћę|хотѧщѧ
sъtvoriti|сътворити
xvalǫ|хвалѫ
prinositi|приносити
slavęћęję|славѧщѧѩ
|
voldykě|владъіцѣ
|
bo|бо
|
ne|не
věstъ|вѣстъ
|
ni|ни
|
jьměti|имѣти
ni|ни
orbotajetъ|работаѥтъ
|
lьsti|льсти
nъ|нъ
akože|акоже
jimъ|имъ
svętajego|свѧтаѥго
duxa|доуха
darъ|даръ
vъ|въ
uši|оуши
vъložitъ|въложитъ
sike|сице
sьjь|сии
svętajego|свѧтаѥго
duxa|доуха
darъ|даръ
vъ|въ
uši|оуши
vъ|въ
uši|оуши
vъložitъ|въложитъ
sike|сице
sьji|сии
|
xvalętъ|хвалѧтъ
děti|дѣти
dary|даръі
prinosętъ|приносѧтъ
da|да
vьxi|вьси
dělesьmь|дѣлесьмь
navyknǫtъ|навъікнѫтъ
ako|ако
ne|не
ježe|ѥже
|
umъ|оумъ
jьmějǫtъ|имѣѭтъ
|
|
sǫtъ|сѫтъ
pьŕǞmъ|пьрꙗмъ
i|и
xotętъ|хотѧтъ
studъ|стоудъ
jьměti|имѣти
těmъ|тѣмъ
sę|сѧ
tajьnъjь|таинъіи
podajetъ|подаѥтъ
darъ|даръ
nъ|нъ
jiže|иже
čistomь|чистомь
umomь|оумомь
i|и
|
sŕ̥dьkemь|срьдьцемь
prixodętъ|приходѧтъ
těmъ|тѣмъ
sę|сѧ
|
|
orzumъ|разоумъ
ježe|ѥже
bo|бо
|
|
jestъ|ѥстъ
|
kъto|къто
xoћetъ|хощетъ
o|о
tomь|томь
|
nǫdę|нѫдѧ
sę|сѧ
a|а
ne|не
po|по
svętomъjimъ|свѧтъіимъ
xodę|ходѧ
slovesьmъ|словесьмъ
to|то
i|и
|
a|а
slovesa|словеса
jimiže|имиже
sę|сѧ
|
gorьko|горько
|
i|и
|
|
zakona|закона
i|и
|
jego|ѥго
|
i|и
|
|
|
děti|дѣти
xvalǫ|хвалѫ
prinosętъ|приносѧтъ
da|да
roditeĺь|родител҄ь
obličętъ|обличѧтъ
bezakonьjǞ|безакониꙗ
i|и
věrujǫћьjixъ|вѣроуѭщиихъ
|
|
jeliko|ѥлико
bo|бо
|
umu|оумоу
i|и
navyknǫtъ|навъікнѫтъ
|
myslьjǫ|мъіслиѭ
mъnoga|мънога
věstь|вѣсть
terbě|трѣбѣ
svęta|свѧта
a|а
jǞže|ꙗже
vъ|въ
čistěxъ|чистѣхъ
sŕ̥dьkixъ|срьдьцихъ
bez|без
|
vitajetъ|витаѥтъ
těmi|тѣми
jьněmъ|инѣмъ
jьstinьnъjь|истиньнъіи
avętъ|авѧтъ
orzumъ|разоумъ
ty|тъі
že|же
i|и
lazara|лазара
ne|не
vidiši|видиши
vъstavъšǞ|въставъша
otъ|отъ
groba|гроба
i|и
mŕ̥tvajego|мрьтваѥго
﻿sъ|﻿съ
živyjimi|живъіими
sǫћǞ|сѫща
i|и
na|на
|
﻿sъ|﻿съ
gospodьńi|господьн҄и
vъzležęћǞ|възлежѧща
nъ|нъ
ukroję|оукроѩ
mŕ̥tvajego|мрьтваѥго
|
a|а
svojego|своѥго
nevěrьstva|невѣрьства
ne|не
|
i|и
|
kamenь|камень
|
a|а
zavisti|зависти
dušę|доушѧ
svojeję|своѥѩ
goŕьjь|гор҄ии
tvoręћǞ|творѧща
ti|ти
gnojь|гнои
ne|не
|
i|и
ada|ада
vidiši|видиши
|
povelěnьjemь|повелѣниѥмь
|
jьzdajǫћǞ|издаѭща
|
ty|тъі
na|на
ubьjenьje|оубиѥниѥ
i|и
vъskrěsivъšǞjego|въскрѣсивъшаѥго
proroky|пророкъі
ubivъšęję|оубивъшѧѩ
rǫky|рѫкъі
|
o|о
|
velikoje|великоѥ
|
o|о
|
velikoje|великоѥ
|
|
na|на
toliko|толико
li|ли
bezakonьje|безакониѥ
obvortišę|обратишѧ
umъ|оумъ
da|да
otъ|отъ
ńixъže|н҄ихъже
bě|бѣ
věrovati|вѣровати
|
ne|не
věrujǫtъ|вѣроуѭтъ
jixъže|ихъже
|
xvaliti|хвалити
xulętъ|хоулѧтъ
o|о
ńixъže|н҄ихъже
slaviti|славити
i|и
veličǞti|величати
ne|не
bolžętъ|блажѧтъ
o|о
ńixъže|н҄ихъже
pěti|пѣти
i|и
bolgodětь|благодѣть
vъzdajǞti|въздаꙗти
|
i|и
|
byvajǫtъ|бъіваѭтъ
sike|сице
bo|бо
obojixъ|обоихъ
bezumьje|безоумиѥ
sike|сице
jixъ|ихъ
|
|
umy|оумъі
bo|бо
jixъ|ихъ
perlьšћenьjǞ|прѣльщениꙗ
|
|
ne|не
dastъ|дастъ
|
očesi|очеси
|
prolьjǞvъšijejь|пролиꙗвъшиѥи
sę|сѧ
na|на
ńemь|н҄емь
tьmě|тьмѣ
prozьrěti|прозьрѣти
|
na|на
jьstinьnyjeję|истиньнъіѥѩ
|
vъzьrěti|възьрѣти
|
nedǫgъ|недѫгъ
farisejь|фарисеи
i|и
kъńižьnikъ|кън҄ижьникъ
jiže|иже
perђezъvanьjǞ|прѣждезъваниꙗ
čьtǫtъ|чьтѫтъ
i|и
narikati|нарицати
sę|сѧ
učiteĺemь|оучител҄емь
veličǞjǫtъ|величаѭтъ
sę|сѧ
i|и
|
|
mьnęћe|мьнѧще
sę|сѧ
zakonъ|законъ
sъxornęћe|съхранѧще
veličǞjǫtъ|величаѭтъ
a|а
ničьsože|ничьсоже
jьstiny|истинъі
nikakože|ницакоже
jьmějǫћe|имѣѭще
ni|ни
|
|
slovese|словесе
tvoręћe|творѧще
|
|
zavisti|зависти
|
bo|бо
|
jǫ|ѭ
vъ|въ
duši|доуши
i|и
vьxego|вьсего
čьlověka|чьловѣка
ujǞzvi|оуꙗзви
i|и
o|о
dobrěje|добрѣѥ
peћi|пещи
sę|сѧ
silǫ|силѫ
orzori|разори
i|и
|
jǞže|ꙗже
sǫtъ|сѫтъ
|
pǫti|пѫти
učenьju|оучению
gělo|ѕѣло
ĺutě|лютѣ
|
ni|ни
orzuměti|разоумѣти
ježe|ѥже
na|на
|
ni|ни
pamętьjǫ|памѧтиѭ
sluxъ|слоухъ
utvŕ̥ђǞję|оутврьждаѩ
ni|ни
čisto|чисто
ględati|глѧдати
daję|даѩ
vidimъjixъ|видимъіихъ
my|мъі
že|же
uběžimъ|оубѣжимъ
vъžĺubĺeniji|въжлюбл҄ении
duši|доуши
|
|
sixъ|сихъ
běžimъ|бѣжимъ
|
jegože|ѥгоже
|
|
sъpase|съпасе
