povědaaše|повѣдааше
xristosu|христосоу
i|и
goŕe|гор҄е
tebě|тебѣ
jьmatъ|иматъ
sъtvoriti|сътворити
|
že|же
i|и
xristosa|христоса
|
tъ|тъ
běsъ|бѣсъ
vъpьję|въпиѩ
ne|не
jьzidǫ|изидѫ
orzgněvavъ|разгнѣвавъ
že|же
sę|сѧ
pavьlъ|павьлъ
na|на
běsъ|бѣсъ
i|и
jьsšьdъ|ишьдъ
jьz|из
|
svojeję|своѥѩ
vъ|въ
|
|
|
ubo|оубо
ničimьže|ничимьже
sǫtъ|сѫтъ
|
|
onoję|оноѩ
|
stavъ|ставъ
ubo|оубо
na|на
kameni|камени
svętъjь|свѧтъіи
starьkь|старьць
na|на
|
modĺǞaše|модлꙗаше
sę|сѧ
bogu|богоу
golgoĺę|глаголѩ
sike|сице
ty|тъі
vidiši|видиши
jisuse|исоусе
xristose|христосе
orspętъjь|распѧтъіи
pri|при
ponъtьskějemь|понътьсцѣѥмь
pilatě|пилатѣ
ako|ако
ne|не
jьmamь|имамь
sъlěsti|сълѣсти
﻿sъ|﻿съ
kam|кам
sego|сего
ni|ни
jьmamь|имамь
jǞsti|ꙗсти
ni|ни
piti|пити
dońьdeže|дон҄ьдеже
umьrǫ|оумьрѫ
aћe|аще
mene|мене
ne|не
uslyšiši|оуслъішиши
i|и
jьžǯeneši|ижденеши
běsa|бѣса
sego|сего
otъ|отъ
čьlověka|чьловѣка
sego|сего
i|и
svobodь|свободь
sego|сего
sъtvoriši|сътвориши
otъ|отъ
duxa|доуха
sego|сего
nečistajego|нечистаѥго
ješčě|ѥщѣ
že|же
golgoĺǫћu|глаголѭщоу
|
i|и
sъměŕenujemu|съмѣр҄еноуѥмоу
pavьlu|павьлоу
jisusovu|исоусовоу
perђe|прѣжде
sъkonьčǞnьjǞ|съконьчаниꙗ
modlitvy|модлитвъі
vъzъpi|възъпи
golsomь|гласомь
běsъ|бѣсъ
jьdǫ|идѫ
jьdǫ|идѫ
i|и
jьsxoђǫ|исхождѫ
nǫђejǫ|нѫждеѭ
i|и
mǫkojǫ|мѫкоѭ
ženomъ|женомъ
jesmь|ѥсмь
oxoђǫ|охождѫ
otъ|отъ
čьlověka|чьловѣка
juže|юже
kъ|къ
tomu|томоу
ne|не
približǫ|приближѫ
sę|сѧ
kъ|къ
sъměŕenujemu|съмѣр҄еноуѥмоу
i|и
|
pavьlu|павьлоу
ženǫ|женѫ
bo|бо
mę|мѧ
i|и
ne|не
vědě|вѣдѣ
kamo|камо
jьdǫ|идѫ
i|и
abьje|абиѥ
jьzide|изиде
běsъ|бѣсъ
i|и
|
sę|сѧ
vъ|въ
|
velikъ|великъ
ako|ако
sedmь|седмь
desętъ|десѧтъ
olkъtъ|лакътъ
i|и
jьde|иде
|
kъ|къ
|
moŕu|морю
da|да
sъkonьčǞjetъ|съконьчаѥтъ
sę|сѧ
rečenoje|реченоѥ
svętomьjimь|свѧтъіимь
duxomь|доухомь
na|на
kogo|кого
vъzьŕǫ|възьрѭ
nъ|нъ
na|на
krotъkajego|кротъкаѥго
i|и
|
i|и
sъměŕenajego|съмѣр҄енаѥго
sŕ̥dьkemь|срьдьцемь
i|и
trepeћǫћǞjego|трепещѫщаѥго
mojixъ|моихъ
slovesъ|словесъ
si|си
sǫtъ|сѫтъ
čudesa|чоудеса
sъměŕenajego|съмѣр҄енаѥго
i|и
|
pavьla|павьла
i|и
jьna|ина
vęћьšǞ|вѧщьша
i|и
boĺьšǞ|бол҄ьша
sixъ|сихъ
sьjь|сии
nareče|нарече
sę|сѧ
|
vьxejǫ|вьсеѭ
bratrьjejǫ|братриѥѭ
jegože|ѥгоже
