250,къто,Px,къто
251,понѥже,G-,понеже
252,постраꙗти,V-,постраѣті
253,ѥще,Df,еште
254,отъвѣтъ,Nb,отъвѣтъ
255,такожде,Df,такожде
256,мъногашьдꙑ,Df,мъногашьдъі
257,акилла,Ne,акілла
258,симмахъ,Ne,сіммахъ
259,инъ,Px,інъ
260,оудобъ,A-,оудобъ
261,потворити,V-,потворіті
262,неже,Df,неже
263,въпросити,V-,въпросіті
264,кънигъчии,Nb,кънігъчіі
265,къто,Pi,къто
266,вꙑ,Pp,въі
267,кꙑи,Pi,къіі
268,врѣмѧ,Nb,врѣмѧ
269,рѣдъкъ,A-,рѣдъкъ
270,боукарь,Nb,боукарь
271,отъвѣщати,V-,отъвѣштаті
272,меѳодии,Ne,меѳодіі
273,братръ,Nb,братръ
274,михаилъ,Ne,міхаілъ
275,цѣсарь,Nb,цѣсарь
276,борисъ,Ne,борісъ
277,кънѧѕь,Nb,кънѧзь
278,блъгарьскъ,A-,блъгарьскъ
279,растиславъ,Ne,растіславъ
280,моравьскъ,A-,моравьскъ
281,коцьлъ,Ne,коцьлъ
282,блатьньскъ,A-,блатьньскъ
283,съзьданиѥ,Nb,съзьданіе
284,миръ#2,Nb,міръ#2
285,шесть тꙑсѧщь,Ma,шестьтъісѧшть
286,три съта,Ma,трісъта
287,шесть десѧтъ,Ma,шестьдесѧтъ
288,инъде,Df,інъде
289,нꙑнѣ,Df,нъінѣ
290,братриꙗ,Nb,братріѣ
291,слава,Nb,слава
292,чьсть,Nb,чьсть
293,дрьжава,Nb,дрьжава
294,покланꙗниѥ,Nb,покланѣніе
295,присно,Df,прісно
296,бесконьчьнъ,A-,бесконьчьнъ
297,вѣкъ,Nb,вѣкъ
298,аминъ,I-,амінъ
299,молитва,Nb,молітва
300,ѥгда,Dq,егда
301,хотѣти,V-,хотѣті
302,виноградъ,Nb,віноградъ
303,садити,V-,садіті
304,тꙑ,Pp,тъі
305,христ(ос)ъ,Ne,хрістосъ
306,отьць,Nb,отьць
307,твои,Ps,твоі
308,дѣлатель,Nb,дѣлатель
309,апостолъ,Nb,апостолъ
310,лозиѥ,Nb,лозіе
311,нарещи,V-,нарешті
312,издраиль,Ne,іздраіль
313,егѵпьтъ,Ne,егупьтъ
314,прѣнести,V-,прѣнесті
315,изгънати,V-,ізгънаті
316,насадити,V-,насадіті
