прѣчистыи|A-|79720|perčistъ|adj_hard|2|perčist|ch_sl
пять|Ma|64729|pętь|fem_i|2|pęt|e_sl
ковъ|Nb|65735|kovъ|masc_o|2|kov|e_sl
девять|Ma|67439|devętь|fem_i|2|devęt|e_sl
купити|V-|65926|kupiti|40|1|kup|e_sl
купля|Nb|66905|kupĺǢ|fem_ja|2|kupj|e_sl
зълодѣи|Nb|69095|zъlodějь|masc_jo|2|zъloděj|e_sl
блядь|Nb|73434|blędь|fem_i|2|blęd|e_sl
тать|Nb|66378|tatь|masc_i|2|tat|e_sl
зелие|Nb|66827|zelьje|nt_jo|2|zelьj|e_sl
пѣшии|A-|66597|pěšь|adj_soft|2|pěš|e_sl
самъ|Pd|64012|samъ|pron_hard|2|sam|e_sl
вязати|V-|68254|vęzati|52|1|vęz|e_sl
зубъ|Nb|65193|zǫbъ|masc_o|2|zǫb|e_sl
оболочити|V-|66309|obvolčiti|40|1|obvolč|e_sl
мѣсто|Nb|60263|město|nt_o|2|měst|e_sl
приводити|V-|68373|privoditi|40|1|privod|e_sl
продаяти|V-|59101|prodajǢti|53|1|prodaj|e_sl
лучии|A-|67912|lučь|adj_soft_comp|2|luč|e_sl
память|Nb|64973|pamętь|fem_i|2|pamęt|e_sl
покровъ|Nb|64277|pokrovъ|masc_o|2|pokrov|e_sl
богородица|Nb|118402|bogorodika|fem_a_PV3|2|bogorodik|e_sl
пътица|Nb|66252|pъtika|fem_a_PV3|2|pъtik|e_sl
хоромина|Nb|67990|xormina|fem_a|2|xormin|e_sl
умрѣти|V-|60024|umerti|13|1|um|ch_sl
мамона|Nb|66469|mamona|fem_a|2|mamon|e_sl
имати|V-|68173|jьmati|52_abl|1|jьm|e_sl
куръ|Nb|138777|kurъ|masc_o|2|kur|e_sl
или|C-|59467|ili||0|ili|e_sl
камение|Nb|59205|kamenьje|nt_jo|2|kamenьj|e_sl
посылати|V-|68022|posylati|54|1|posyla|e_sl
дворъ|Nb|65743|dvorъ|masc_o|2|dvor|e_sl
вельми|Df|82629|velьmi||0|velьmi|e_sl
мати|Nb|64173|mati|fem_R|2|mat|e_sl
метати|V-|64046|metati|iskati|1|met|e_sl
учити|V-|59070|učiti|40|1|uč|e_sl
сильныи|A-|67653|silьnъ|adj_hard|2|silьn|e_sl
добрѣ|Df|60192|dobrě||0|dobrě|e_sl
носити|V-|64270|nositi|40|1|nos|e_sl
прѣдъ|R-|58985|perdъ||0|perdъ|ch_sl
водити|V-|64392|voditi|40|1|vod|e_sl
простыи|A-|66383|prostъ|adj_hard|2|prost|e_sl
сторожь|Nb|66820|storžь|masc_jo|2|storž|e_sl
къто|Pi|59233|kъto|kъto|2||e_sl
золото|Nb|67808|zolto|nt_o|2|zolt|e_sl
послѣдьнии|A-|58788|poslědьńь|adj_soft|2|poslědьnj|e_sl
камы|Nb|59513|kamy|masc_N|2|kam|e_sl
нощь|Nb|59412|noћь|fem_i|2|nokt|ch_sl
продати|V-|64916|prodati|dati|1|pro|e_sl
змия|Nb|65965|zmьjǢ|fem_ja|2|zmьj|e_sl
филиповъ|A-|64761|filipovъ|adj_hard|2|filipov|ch_sl
рожьство|Nb|66509|roђьstvo|nt_o|2|rodjьstv|e_sl
познати|V-|66596|poznati|54|1|pozna|e_sl
крыти|V-|135162|kryti|18|1|kr|e_sl
ни|Df|59339|ni||0|ni|e_sl
вещь|Nb|67446|veћь|fem_i|2|vekt|ch_sl
вѣровати|V-|59039|věrovati|61|1|věr|e_sl
родъ|Nb|64405|rodъ|masc_o|2|rod|e_sl
пити|V-|65114|piti|17|1|p|e_sl
ясти|V-|60205|jǢsti|eat|1||e_sl
женити|V-|60119|ženiti|40|1|žen|e_sl
рыба|Nb|66668|ryba|fem_a|2|ryb|e_sl
съвѣщати|V-|67039|sъvěšћǢti|54|1|sъvěstjǢ|e_sl
полъ#1|Nb|59045|polъ|masc_u|2|pol|ch_sl
