lemma,lemma_id,pos,lemma_has_jer,tokens,jer_tokens
альррафию,163254,F-,true,алър꙽раф҃їю,
альмавифу,163255,F-,true,альмав҃їфꙋ,
альмузилю,163256,F-,true,альмꙋзилю,
альсемию,163257,F-,true,альсем҃їю,
альвасирю,163258,F-,true,альвасирю,
альакаму,163259,F-,true,альакамѹ,
альадьюлю,163260,F-,true,альадьюлю,
альлятуфу,163261,F-,true,альлѧтꙋфꙋ,
удѣльныи,163263,A-,true,удълным,
стариньныи,163267,A-,true,старинную,
коломьньскыи,163272,A-,true,коломеньской|коломенскꙑя|коломеньскꙑхъ|коломенскому|коломеньскаго,
мъноголѣтьство,163273,Nb,true,многолѣтьство|мнѡголѣтство,
ямьскыи,163275,A-,true,ямским,
съдоровати,163278,V-,true,здоровати,
лужьскыи,163279,A-,true,Лужьских,
затворъка,163282,Nb,true,затворце,
колочьскыи,163284,A-,true,Колочцкий|Колочский,
съмълчевати,163285,V-,true,смолчевашѣ,
степеньныи,163287,A-,true,степенного,
събѣчи,163291,V-,true,жбегле,
събродьнь,163293,Nb,true,зброднѧмъ,
кесьскыи,163298,A-,true,кескои,
отъверечи,163302,V-,true,ѿверечи,
отъворотити,163303,V-,true,ѿворотити,
вязьмьскыи,163304,A-,true,вѧземьскии,
нарожение,163311,Nb,false,нарож҃нья,нарож҃нья
осетрьникъ,163321,Nb,true,ѡсетрьникъ,
закладьникъ,163325,Nb,true,закладниковъ,
мунтьяньскыи,163330,A-,true,моунтьꙗнскои|мѹнтьꙗнскои|мѹнтїанской|мѹнтїанскои|мꙋнтьꙗнскои,
влашьскыи,163331,A-,true,влашеским,
зъломудрыи,163332,A-,true,ȥломдръ,
нѣкъгда,163333,Df,true,нѣкогда|Нѣкогда,
потвьрдити,163337,V-,true,потвердити,
расьрдити,163339,V-,true,раȥсердити,
вьрнути,163341,V-,true,вернѹ,
съжигати,163343,V-,true,жжигаꙗ,
прѣгънати,163344,V-,true,прегна,
