съто|Ma|66263|sъto|nt_o|2|sъt
зима|Nb|64682|zima|fem_a|2|zim
вода|Nb|58907|voda|fem_a|2|vod
орати|V-|68873|orati|52|1|or
сѣяти|V-|66149|sějǢti|53|1|sěj
пьшеница|Nb|66782|pьšenika|fem_a_PV3|2|pьšenik
вино|Nb|67466|vino|nt_o|2|vin
чинити|V-|67584|činiti|40|1|čin
варити|V-|140030|variti|40|1|var
даяти|V-|65846|dajǢti|53|1|daj
волъ|Nb|68724|volъ|masc_u|2|vol
дѣлати|V-|67354|dělati|54|1|děla
градъ|Nb|150574|gradъ|masc_o|2|grad
каменьныи|A-|66256|kamenьnъ|adj_hard|2|kamenьn
сътворити|V-|58795|sъtvoriti|40|1|sъtvor
стьлати|V-|132282|stьlati|52_abl|1|stьl
съпати|V-|64847|sъpati|sleep|1|
любити|V-|64015|ĺubiti|40|1|ljub
тъгда|Df|64413|tъgъda||0|tъgъda
сорочица|Nb|66279|sorčika|fem_a_PV3|2|sorčik
глава|Nb|59515|golva|fem_a|2|golv
мълвити|V-|65826|ml̥viti|40|1|ml̥v
золотыи|A-|78635|zoltъ|adj_hard|2|zolt
вѣра|Nb|59226|věra|fem_a|2|věr
учинити|V-|67999|učiniti|40|1|učin
усъпение|Nb|69400|usъpenьje|nt_jo|2|usъpenьj
чьстьныи|A-|67995|čьstьnъ|adj_hard|2|čьstьn
праздьникъ|Nb|64858|porzdьnikъ|masc_o|2|porzdьnik
повелѣти|V-|64815|povelěti|31|1|povel
погыбнути|V-|66872|pogybnǫti|21|1|pogyb
нечьстивыи|A-|79671|nečьstivъ|adj_hard|2|nečьstiv
поставити|V-|65354|postaviti|40|1|postav
таковыи|A-|64221|takovъ|adj_hard|2|takov
чудо|Nb|64737|čudo|nt_S|2|čud
къто|Px|60102|kъto|kъto|2|
хотѣти|V-|64035|xotěti|will|1|
оставити|V-|58950|ostaviti|40|1|ostav
пьсъ|Nb|64425|pьsъ|masc_o|2|pьs
разбоиникъ|Nb|59131|orzbojьnikъ|masc_o|2|orzbojьnik
розбивати|V-|65189|orzbivati|54|1|orzbiva
ни|C-|59213|ni||0|ni
молити|V-|59248|modliti|40|1|modl
знати|V-|67506|znati|54|1|zna
прѣчистыи|A-|79720|perčistъ|adj_hard|2|perčist
пять|Ma|64729|pętь|fem_i|2|pęt
ковъ|Nb|65735|kovъ|masc_o|2|kov
девять|Ma|67439|devętь|fem_i|2|devęt
купити|V-|65926|kupiti|40|1|kup
купля|Nb|66905|kupĺǢ|fem_ja|2|kupj
зълодѣи|Nb|69095|zъlodějь|masc_jo|2|zъloděj
блядь|Nb|73434|blędь|fem_i|2|blęd
тать|Nb|66378|tatь|masc_i|2|tat
зелие|Nb|66827|zelьje|nt_jo|2|zelьj
пѣшии|A-|66597|pěšь|adj_soft|2|pěš
