jьz|из 
pьcěmъ|пьцем pьcěte|пьцете pьcěta|пьцета pьcěvě|пьцеве pьci|пьци pьcěmь|пьцемь 
jьsxodivъ|исходив jьsxoditi|исходити jьsxodilo|исходило jьsxodili|исходили jьsxodila|исходила jьsxožь|исхож jьsxodäčь|исходяч jьsxodä|исходя jьsxožaaxu|исхожааху jьsxožaašete|исхожаашете jьsxožaaše|исхожааше jьsxožaaxově|исхожаахове jьsxožaaxъ|исхожаах jьsxoženъ|исхожен jьsxodiša|исходиша jьsxodixomъ|исходихом jьsxodiste|исходисте jьsxoditъ|исходит jьsxodilъ|исходил jьsxodimь|исходимь jьsxodista|исходиста jьsxodixově|исходихове jьsxodi|исходи jьsxodixъ|исходих jьsxožaašeta|исхожаашета jьsxodätь|исходять jьsxožaaxomъ|исхожаахом jьsxodimъ|исходим jьsxodite|исходите jьsxodita|исходита jьsxodivě|исходиве jьsxoditь|исходить jьsxodiši|исходиши jьsxožu|исхожу 
sъkonьčajěmъ|сконьчаем sъkonьčajěte|сконьчаете sъkonьčajěta|сконьчаета sъkonьčajěvě|сконьчаеве sъkonьčatъ|сконьчат sъkonьčati|сконьчати sъkonьčanъ|сконьчан sъkonьčali|сконьчали sъkonьčala|сконьчала sъkonьčalъ|сконьчал sъkonьčavъ|сконьчав sъkonьčaja|сконьчая sъkonьčajite|сконьчаите sъkonьčajimъ|сконьчаим sъkonьčajita|сконьчаита sъkonьčajivě|сконьчаиве sъkonьčaji|сконьчаи sъkonьčajimь|сконьчаимь sъkonьčaaxu|сконьчааху sъkonьčaašete|сконьчаашете sъkonьčaašeta|сконьчаашета sъkonьčaaxově|сконьчаахове sъkonьčaaše|сконьчааше sъkonьčaaxъ|сконьчаах sъkonьčaša|сконьчаша sъkonьčaxomъ|сконьчахом sъkonьčaste|сконьчасте sъkonьčajučь|сконьчаюч sъkonьčasta|сконьчаста sъkonьčaxově|сконьчахове sъkonьča|сконьча sъkonьčalo|сконьчало sъkonьčaxъ|сконьчах sъkonьčajutь|сконьчають sъkonьčaaxomъ|сконьчаахом sъkonьčajemъ|сконьчаем sъkonьčajete|сконьчаете sъkonьčajeta|сконьчаета sъkonьčajevě|сконьчаеве sъkonьčajetь|сконьчаеть sъkonьčaješi|сконьчаеши sъkonьčaju|сконьчаю 
prěbъvenъ|пребвен 
sъxranivъ|схранив sъxranitъ|схранит sъxraniti|схранити sъxrańenъ|схранен sъxranilo|схранило sъxranili|схранили sъxranila|схранила sъxranilъ|схранил sъxrańь|схрань sъxranäštь|схранящ sъxranä|схраня sъxranimь|схранимь sъxrańaaxu|схраняаху sъxrańaaxomъ|схраняахом sъxrańaašete|схраняашете sъxrańaašeta|схраняашета sъxrańaaxově|схраняахове sъxrańaaše|схраняаше sъxrańaaxъ|схраняах sъxraniša|схраниша sъxranixomъ|схранихом sъxraniste|схранисте sъxranista|схраниста sъxranixově|схранихове sъxrani|схрани sъxranixъ|схраних sъxranätь|схранять sъxranite|схраните sъxranita|схранита sъxranivě|схраниве sъxranimъ|схраним sъxranitь|схранить sъxraniši|схраниши sъxrańu|схраню 
vъvěsä|ввеся vъvěsta|ввеста vъvěsově|ввесове vъvěsъ|ввес vъvedoste|введосте vъvedosta|введоста vъvedoxově|введохове vъvedoxъ|введох vъvestъ|ввест vъvesti|ввести vъvedenъ|введен vъvelo|ввело vъvěste|ввесте vъveli|ввели vъvela|ввела vъvelъ|ввел vъvedučь|введуч vъveda|введа vъvěsomъ|ввесом vъveděmъ|введем vъveděta|введета vъveděvě|введеве vъvedi|введи vъveděmь|введемь vъveděaxu|введяху vъveděaxomъ|введяхом vъveděašete|введяшете vъvedoxomъ|введохом vъveděašeta|введяшета vъveděte|введете vъveděaxově|введяхове vъveděaxъ|введях vъvedoša|введоша vъvedomъ|введом vъvedově|введове vъvede|введе vъvedъ|введ vъvedutь|введуть vъvedemъ|введем vъvedete|введете vъvedeta|введета vъvedevě|введеве vъvedetь|введеть vъvedeši|введеши vъveděaše|введяше vъvedu|введу 
vъnemĺěmъ|внемльем vъnemĺěte|внемльете vъnemĺěta|внемльета vъnemĺěvě|внемльеве vъnьmatъ|воньмат vъnьmati|воньмати vъnьmanъ|воньман vъnьmalo|воньмало vъnьmala|воньмала vъnьmavъ|воньмав vъnemĺa|внемля vъnemĺite|внемльите vъnemĺita|внемльита vъnemĺivě|внемльиве vъnьmali|воньмали vъnemĺi|внемльи vъnьmaaxomъ|воньмаахом vъnьmaašete|воньмаашете vъnьmalъ|воньмал vъnemĺimъ|внемльим vъnьmaaxově|воньмаахове vъnьmaaxъ|воньмаах vъnьmaša|воньмаша vъnьmaste|воньмасте vъnemĺimь|внемльимь vъnьmasta|воньмаста vъnьmaxově|воньмахове vъnьmaxъ|воньмах vъnemĺutь|внемлють vъnьma|воньма vъnemĺemъ|внемлем vъnьmaaxu|воньмааху vъnemĺete|внемлете vъnemĺuštь|внемлющ vъnemĺeta|внемлета vъnemĺevě|внемлеве vъnьmaaše|воньмааше vъnьmaxomъ|воньмахом vъnemĺetь|внемлеть vъnemĺeši|внемлеши vъnьmaašeta|воньмаашета vъnemĺu|внемлю 
vъloživъ|вложив vъložitъ|вложит vъložiti|вложити vъloženъ|вложен vъložilo|вложило vъložili|вложили vъložila|вложила vъložilъ|вложил vъložь|влож vъložačь|вложач vъloža|вложа vъložimь|вложимь vъložaaxu|вложааху vъložaaxomъ|вложаахом vъložaašete|вложаашете vъložaašeta|вложаашета vъložaaše|вложааше vъložaaxъ|вложаах vъložiša|вложиша vъložixomъ|вложихом vъložiste|вложисте vъložista|вложиста vъložixově|вложихове vъloži|вложи vъložixъ|вложих vъložaaxově|вложаахове vъložatь|вложать vъložimъ|вложим vъložite|вложите vъložita|вложита vъloživě|вложиве vъložitь|вложить vъložiši|вложиши vъložu|вложу 
konьčajěta|коньчаета konьčajěvě|коньчаеве konьčatъ|коньчат konьčanъ|коньчан konьčali|коньчали konьčala|коньчала konьčajučь|коньчаюч konьčavъ|коньчав konьčaja|коньчая konьčalo|коньчало konьčajimъ|коньчаим konьčajite|коньчаите konьčajita|коньчаита konьčajivě|коньчаиве konьčaji|коньчаи konьčalъ|коньчал konьčaaxu|коньчааху konьčaaxomъ|коньчаахом konьčaašeta|коньчаашета konьčati|коньчати konьčaaxově|коньчаахове konьčaaše|коньчааше konьčaša|коньчаша konьčaxomъ|коньчахом konьčaste|коньчасте konьčajěmъ|коньчаем konьčaaxъ|коньчаах konьčasta|коньчаста konьčaxově|коньчахове konьča|коньча konьčajimь|коньчаимь konьčaxъ|коньчах konьčaašete|коньчаашете konьčajemъ|коньчаем konьčajete|коньчаете konьčajutь|коньчають konьčajeta|коньчаета konьčajevě|коньчаеве konьčajetь|коньчаеть konьčaješi|коньчаеши konьčajěte|коньчаете konьčaju|коньчаю 
čьsti|чсти čьtomъ|чтом čьtenъ|чтен čьlo|чло čьli|чли čьla|чла čьlъ|чел čьtъ|чет čьtučь|чтуч čьta|чта čьtěmъ|чтем čьstъ|чест čьtěvě|чтеве čьti|чти čьtěmь|чтемь čьtěaxu|чтяху čьtěaxomъ|чтяхом čьtěašeta|чтяшета čьtěaxově|чтяхове čьtěta|чтета čьtěaxъ|чтях čьtěaše|чтяше čьte|чте čьtutь|чтуть čьtemъ|чтем čьtete|чтете čьteta|чтета čьtevě|чтеве čьtěte|чтете čьtetь|чтеть čьteši|чтеши čьtěašete|чтяшете čьtu|чту 
sъmětъ|смет sъměti|смети sъměnъ|смен sъmělo|смело sъmělъ|смел sъměvъ|смев sъmějučь|смеюч sъměja|смея sъmějimъ|смеим sъmějite|смеите sъmějita|смеита sъmějivě|смеиве sъměji|смеи sъměaxu|смяху sъměaxomъ|смяхом sъměašete|смяшете sъměašeta|смяшета sъměaxově|смяхове sъměaše|смяше sъměaxъ|смях sъměša|смеша sъměxomъ|смехом sъměsta|сместа sъměxově|смехове sъmějimь|смеимь sъmě|сме sъměxъ|смех sъmějutь|смеють sъmějemъ|смеем sъmějete|смеете sъměli|смели sъměste|сместе sъmějeta|смеета sъmějevě|смееве sъmějetь|смееть sъměješi|смееши sъměla|смела sъměju|смею 
progъnatъ|прогнат progъnati|прогнати progъnalo|прогнало progъnanъ|прогнан progъnali|прогнали progъnala|прогнала progъnalъ|прогнал progъnavъ|прогнав progъnaaxomъ|прогнаахом progъnaaxu|прогнааху progъnaašete|прогнаашете progъnaaše|прогнааше progъnaaxově|прогнаахове progъnaaxъ|прогнаах progъnaša|прогнаша progъnaxomъ|прогнахом progъnaste|прогнасте progъnaxově|прогнахове progъnaašeta|прогнаашета progъnaxъ|прогнах progъna|прогна progъnasta|прогнаста 
jьssěša|иссеша jьssěxomъ|иссехом jьssěsta|иссеста jьssěkoša|иссекоша jьssěkoxomъ|иссекохом jьssěkosta|иссекоста jьssěkoxově|иссекохове jьssěkoxъ|иссекох jьssěštь|иссещ jьssěšti|иссещи jьssěčenъ|иссечен jьssěklo|иссекло jьssěklъ|иссекл jьssěkuštь|иссекущ jьssěka|иссека jьssěcěmъ|иссецем jьssěcěte|иссецете jьssěxъ|иссех jьssěcěta|иссецета jьssěcěvě|иссецеве jьssěci|иссеци jьssěcěmь|иссецемь jьssěčaaxu|иссечааху jьssěčaaxomъ|иссечаахом jьssěkla|иссекла jьssěčaašete|иссечаашете jьssěčaašeta|иссечаашета jьssěčaaxově|иссечаахове jьssěčaaše|иссечааше jьssěčaaxъ|иссечаах jьssěxově|иссехове jьssěkomъ|иссеком jьssěste|иссесте jьssěkli|иссекли jьssěkově|иссекове jьssěče|иссече jьssěkъ|иссек jьssěkutь|иссекуть jьssěčemъ|иссечем jьssěčete|иссечете jьssěčeta|иссечета jьssěčevě|иссечеве jьssěčetь|иссечеть jьssěčeši|иссечеши jьssěkoste|иссекосте jьssěku|иссеку 
tьcěte|тьцете tьcěta|тьцета tьci|тьци tьcěmь|тьцемь tьcěmъ|тьцем tьcěvě|тьцеве 
vъzdajite|вздаите vъzdaji|вздаи vъzdaši|вздаши vъzdatъ|вздат vъzdati|вздати vъzdala|вздала vъzdalъ|вздал vъzdavъ|вздав vъzdada|вздада vъzdadutь|вздадуть vъzdadä|вздадя vъzdadite|вздадите vъzdadita|вздадита vъzdalo|вздало vъzdadivě|вздадиве vъzdadimь|вздадимь vъzdažь|вздаж vъzdaděaxu|вздадяху vъzdadučь|вздадуч vъzdaděašete|вздадяшете vъzdaděašeta|вздадяшета vъzdaděaxově|вздадяхове vъzdaděaše|вздадяше vъzdaxomъ|вздахом vъzdaša|вздаша vъzdaxově|вздахове vъzda|взда vъzdaxъ|вздах vъzdadätь|вздадять vъzdamъ|вздам vъzdanъ|вздан vъzdaděaxъ|вздадях vъzdaste|вздасте vъzdasta|вздаста vъzdavě|вздаве vъzdali|вздали vъzdastь|вздасть vъzdadimъ|вздадим vъzdasi|вздаси vъzdaděaxomъ|вздадяхом vъzdamь|вздамь 
otъxodivъ|отходив otъxoditъ|отходит otъxoditi|отходити otъxoženъ|отхожен otъxodilo|отходило otъxožь|отхож otъxodäčь|отходяч otъxodila|отходила otъxodä|отходя otъxodimь|отходимь otъxožaaxu|отхожааху otъxožaaxomъ|отхожаахом otъxožaašete|отхожаашете otъxožaašeta|отхожаашета otъxožaaxově|отхожаахове otъxožaaše|отхожааше otъxožaaxъ|отхожаах otъxodiša|отходиша otъxodili|отходили otъxodixomъ|отходихом otъxodista|отходиста otъxodixově|отходихове otъxodi|отходи otъxodixъ|отходих otъxodätь|отходять otъxodilъ|отходил otъxodiste|отходисте otъxodimъ|отходим otъxodite|отходите otъxodita|отходита otъxodivě|отходиве otъxoditь|отходить otъxodiši|отходиши otъxožu|отхожу 
zajьmvъ|заемв zajьmomъ|займом zajьmučь|займуч zajьma|займа zajьměmъ|займем zajьměta|займета zajьměvě|займеве zajьmi|займи zajьměmь|займемь zajьměaxu|займяху zajьměaxomъ|займяхом zajьmъ|заем zajьměašete|займяшете zajьměašeta|займяшета zajьměaxově|займяхове zajьměte|займете zajьměaxъ|займях zajьměaše|займяше zajьmutь|займуть zajьmemъ|займем zajьmete|займете zajьmeta|займета zajьmevě|займеве zajьmetь|займеть zajьmeši|займеши zajьmu|займу 
sъkazyvajěmъ|сказываем sъkazyvajěte|сказываете sъkazyvajěta|сказываета sъkazyvati|сказывати sъkazyvanъ|сказыван sъkazyvalo|сказывало sъkazyvali|сказывали sъkazyvala|сказывала sъkazyvavъ|сказывав sъkazyvajučь|сказываюч sъkazyvaja|сказывая sъkazyvajimъ|сказываим sъkazyvajite|сказываите sъkazyvajita|сказываита sъkazyvajivě|сказываиве sъkazyvaji|сказываи sъkazyvajimь|сказываимь sъkazyvaaxu|сказывааху sъkazyvaaxomъ|сказываахом sъkazyvaašete|сказываашете sъkazyvaašeta|сказываашета sъkazyvaaxově|сказываахове sъkazyvaaše|сказывааше sъkazyvaša|сказываша sъkazyvaxomъ|сказывахом sъkazyvaste|сказывасте sъkazyvasta|сказываста sъkazyvaxově|сказывахове sъkazyvajěvě|сказываеве sъkazyva|сказыва sъkazyvaxъ|сказывах sъkazyvajutь|сказывають sъkazyvatъ|сказыват sъkazyvajemъ|сказываем sъkazyvajete|сказываете sъkazyvajeta|сказываета sъkazyvaaxъ|сказываах sъkazyvajevě|сказываеве sъkazyvajetь|сказываеть sъkazyvaješi|сказываеши sъkazyvalъ|сказывал sъkazyvaju|сказываю 
rasšьli|расшли rasšьla|расшла rasšьlъ|расшел rasšьdъ|расшед rasšьlo|расшло 
upъvajěmъ|упваем upъvajěte|упваете upъvajěta|упваета upъvajěvě|упваеве upъvatъ|упват upъvanъ|упван upъvalo|упвало upъvala|упвала upъvalъ|упвал upъvavъ|упвав upъvajučь|упваюч upъvaja|упвая upъvajimъ|упваим upъvajite|упваите upъvajita|упваита upъvajivě|упваиве upъvaji|упваи upъvajimь|упваимь upъvaaxomъ|упваахом upъvati|упвати upъvaaxu|упвааху upъvaašete|упваашете upъvaašeta|упваашета upъvaaxově|упваахове upъvaaxъ|упваах upъvaša|упваша upъvaxomъ|упвахом upъvaaše|упвааше upъvaste|упвасте upъvasta|упваста upъvaxově|упвахове upъva|упва upъvaxъ|упвах upъvajutь|упвають upъvajemъ|упваем upъvajete|упваете upъvajeta|упваета upъvali|упвали upъvajevě|упваеве upъvajetь|упваеть upъvaješi|упваеши upъvaju|упваю 
jьspovědajěmъ|исповедаем jьspovědajěte|исповедаете jьspovědajěvě|исповедаеве jьspovědatъ|исповедат jьspovědanъ|исповедан jьspovědalo|исповедало jьspovědali|исповедали jьspovědalъ|исповедал jьspovědavъ|исповедав jьspovědajučь|исповедаюч jьspovědaja|исповедая jьspovědajite|исповедаите jьspovědajita|исповедаита jьspovědajivě|исповедаиве jьspovědaji|исповедаи jьspovědajimь|исповедаимь jьspovědaaxu|исповедааху jьspovědajěta|исповедаета jьspovědala|исповедала jьspovědaaxomъ|исповедаахом jьspovědaašete|исповедаашете jьspovědaašeta|исповедаашета jьspovědaaxově|исповедаахове jьspovědajimъ|исповедаим jьspovědaaše|исповедааше jьspovědaaxъ|исповедаах jьspovědaša|исповедаша jьspovědati|исповедати jьspovědaxomъ|исповедахом jьspovědaste|исповедасте jьspovědasta|исповедаста jьspovědaxově|исповедахове jьspověda|исповеда jьspovědaxъ|исповедах jьspovědajutь|исповедають jьspovědajemъ|исповедаем jьspovědajete|исповедаете jьspovědajeta|исповедаета jьspovědajevě|исповедаеве jьspovědajetь|исповедаеть jьspovědaješi|исповедаеши jьspovědaju|исповедаю 
vъpьjěmъ|вопьем vъpьjěte|вопьете vъpьjěvě|вопьеве vъpitь|впить vъpitъ|впит vъpiti|впити vъpьjenъ|вопьен vъpilo|впило vъpili|впили vъpila|впила vъpilъ|впил vъpьjimъ|вопьим vъpьjita|вопьита vъpьji|вопьи vъpьja|вопья vъpьjimь|вопьимь vъpьjaaxu|вопьяаху vъpьjivě|вопьиве vъpьjaaxomъ|вопьяахом vъpivъ|впив vъpьjaašete|вопьяашете vъpьjaašeta|вопьяашета vъpьjaaxově|вопьяахове vъpьjaaše|вопьяаше vъpiša|впиша vъpьjite|вопьите vъpixomъ|впихом vъpiste|вписте vъpista|вписта vъpixově|впихове vъpi|впи vъpьjemъ|вопьем vъpьjaaxъ|вопьяах vъpьjete|вопьете vъpixъ|впих vъpьjeta|вопьета vъpьjěta|вопьета vъpьjevě|вопьеве vъpьjetь|вопьеть vъpьješi|вопьеши vъpьjučь|вопьюч vъpьjutь|вопьють vъpьju|вопью 
vъzmaša|взмаша vъzmaxomъ|взмахом vъzmaste|взмасте vъzmasta|взмаста vъzmaxově|взмахове vъzmaxъ|взмах vъzmogoša|взмогоша vъzmogosta|взмогоста vъzmogoxъ|взмогох vъzmošti|взмощи vъzmoženъ|взможен vъzmoglo|взмогло vъzmogli|взмогли vъzmoštь|взмощ vъzmoglъ|взмогл vъzmoguštь|взмогущ vъzmoga|взмога vъzmoʒěmъ|взмозьем vъzmogla|взмогла vъzmoʒěte|взмозьете vъzmoʒěta|взмозьета vъzmoʒěvě|взмозьеве vъzmoʒi|взмозьи vъzmoʒěmь|взмозьемь vъzmožaaxu|взможааху vъzmožaaxomъ|взможаахом vъzmožaašete|взможаашете vъzmožaašeta|взможаашета vъzmožaaxově|взможаахове vъzmožaaše|взможааше vъzmožaaxъ|взможаах vъzmogoste|взмогосте vъzmogomъ|взмогом vъzmogově|взмогове vъzmogoxově|взмогохове vъzmože|взможе vъzmogъ|взмог vъzmogutь|взмогуть vъzmožete|взможете vъzmožeta|взможета vъzmožemъ|взможем vъzmoževě|взможеве vъzmogoxomъ|взмогохом vъzmožetь|взможеть vъzmožeši|взможеши vъzmogu|взмогу 
sъběxomъ|сбехом sъběste|сбесте sъběsta|сбеста sъběxově|сбехове sъbytъ|сбыт sъbyti|сбыти sъbylo|сбыло sъbyli|сбыли sъbyla|сбыла sъbylъ|сбыл sъbyvъ|сбыв sъbudučь|сбудуч sъbuda|сбуда sъbuděmъ|сбудем sъbuděta|сбудета sъběša|сбеша sъbuděvě|сбудеве sъbuděmь|сбудемь sъběaxu|сбяху sъběaxomъ|сбяхом sъběašeta|сбяшета sъběaxově|сбяхове sъběaše|сбяше sъběaxъ|сбях sъbudi|сбуди sъbyša|сбыша sъbyxomъ|сбыхом sъbyste|сбысте sъbysta|сбыста sъbyxově|сбыхове sъběxъ|сбех sъby|сбы sъbě|сбе sъbyxъ|сбых sъbudutь|сбудуть sъbuděte|сбудете sъbudemъ|сбудем sъbudete|сбудете sъbudeta|сбудета sъběašete|сбяшете sъbudevě|сбудеве sъbudetь|сбудеть sъbudeši|сбудеши sъbъvenъ|собвен sъbudu|сбуду 
sъnidä|снидя sъnidite|снидите sъnidoša|снидоша sъnidoxomъ|снидохом sъnidoste|снидосте sъnidosta|снидоста sъnidoxově|снидохове sъnidoxъ|снидох sъnitъ|снит sъniti|снити sъnidenъ|сниден sъšьlo|сошло sъšьli|сошли sъšьla|сошла sъnidučь|снидуч sъnida|снида sъniděmъ|снидем sъnidäčь|снидяч sъniděte|снидете sъniděta|снидета sъniděvě|снидеве sъnidi|сниди sъniděmь|снидемь sъniděaxu|снидяху sъniděaxomъ|снидяхом sъniděašete|снидяшете sъšьdъ|сшед sъniděašeta|снидяшета sъniděaše|снидяше sъniděaxъ|снидях sъnidomъ|снидом sъnidově|снидове sъnide|сниде sъnidъ|снид sъnidutь|снидуть sъniděaxově|снидяхове sъnidemъ|снидем sъnidete|снидете sъnideta|снидета sъnidevě|снидеве sъšьlъ|сшел sъnidetь|снидеть sъnideši|снидеши sъnidu|сниду 
sъĺěte|сльете sъĺěmъ|сльем sъĺěta|сльета sъlatъ|слат sъlati|слати sъlanъ|слан sъlalo|слало sъlala|слала sъlavъ|слав sъĺučь|слюч sъĺa|сля sъĺimъ|сльим sъĺite|сльите sъlalъ|слал sъĺita|сльита sъĺivě|сльиве sъĺi|сльи sъĺimь|сльимь sъlali|слали sъlaaxu|слааху sъlaaxomъ|слаахом sъlaašete|слаашете sъlaašeta|слаашета sъlaaxově|слаахове sъlaaše|слааше sъĺěvě|сльеве sъlaaxъ|слаах sъlaša|слаша sъlaxomъ|слахом sъlaste|сласте sъlasta|сласта sъlaxově|слахове sъla|сла sъlaxъ|слах sъĺutь|слють sъĺemъ|слем sъĺete|слете sъĺeta|слета sъĺevě|слеве sъĺetь|слеть sъĺeši|слеши sъĺu|слю 
pobьjěvě|побьеве pobьjěmъ|побьем pobьjučь|побьюч pobьja|побья pobьjimъ|побьим pobьjite|побьите pobьjita|побьита pobьjivě|побьиве pobьjěte|побьете pobьji|побьи pobьjimь|побьимь pobьjaaxomъ|побьяахом pobьjaaxu|побьяаху pobьjaašete|побьяашете pobьjaašeta|побьяашета pobьjaaxově|побьяахове pobьjěta|побьета pobьjaaxъ|побьяах pobьjenъ|побьен pobьjutь|побьють pobьjemъ|побьем pobьjete|побьете pobьjeta|побьета pobьjevě|побьеве pobьjaaše|побьяаше pobьjetь|побьеть pobьješi|побьеши pobьju|побью 
sъpatъ|спат sъpati|спати sъpalo|спало sъpala|спала sъpali|спали sъpalъ|спал sъpavъ|спав sъpäčь|спяч sъpä|спя sъpi|спи sъpĺimь|спльимь sъpaaxu|спааху sъpaaxomъ|спаахом sъpaašete|спаашете sъpaašeta|спаашета sъpanъ|спан sъpaaxově|спаахове sъpaaše|спааше sъpaaxъ|спаах sъpaša|спаша sъpaxomъ|спахом sъpaste|спасте sъpasta|спаста sъpaxově|спахове sъpa|спа sъpaxъ|спах sъpimъ|спим sъpite|спите sъpätь|спять sъpita|спита sъpivě|спиве sъpitь|спить sъpiši|спиши sъpĺu|сплю 
sъgrěšivъ|сгрешив sъgrěšitъ|сгрешит sъgrěšiti|сгрешити sъgrěšenъ|сгрешен sъgrěšilo|сгрешило sъgrěšili|сгрешили sъgrěšila|сгрешила sъgrěšilъ|сгрешил sъgrěšь|сгреш sъgrěšačь|сгрешач sъgrěša|сгреша sъgrěšimь|сгрешимь sъgrěšaaxu|сгрешааху sъgrěšaaxomъ|сгрешаахом sъgrěšaašete|сгрешаашете sъgrěšaaxově|сгрешаахове sъgrěšaaše|сгрешааше sъgrěšaaxъ|сгрешаах sъgrěšiša|сгрешиша sъgrěšixomъ|сгрешихом sъgrěšiste|сгрешисте sъgrěšista|сгрешиста sъgrěšixově|сгрешихове sъgrěši|сгреши sъgrěšixъ|сгреших sъgrěšatь|сгрешать sъgrěšimъ|сгрешим sъgrěšite|сгрешите sъgrěšaašeta|сгрешаашета sъgrěšita|сгрешита sъgrěšivě|сгрешиве sъgrěšitь|сгрешить sъgrěšiši|сгрешиши sъgrěšu|сгрешу 
prozъvatъ|прозват prozъvati|прозвати prozъvalo|прозвало prozъvali|прозвали prozъvala|прозвала prozъvalъ|прозвал prozъvanъ|прозван prozъvaaxu|прозвааху prozъvaaxomъ|прозваахом prozъvaašete|прозваашете prozъvaašeta|прозваашета prozъvaaxově|прозваахове prozъvaaxъ|прозваах prozъvaaše|прозвааше prozъvaša|прозваша prozъvaste|прозвасте prozъva|прозва prozъvaxъ|прозвах prozъvasta|прозваста prozъvaxově|прозвахове prozъvaxomъ|прозвахом prozъvavъ|прозвав 
zabъvenъ|забвен 
vъzvěstivъ|взвестив vъzvěstitъ|взвестит vъzvěstiti|взвестити vъzvěščenъ|взвещен vъzvěstilo|взвестило vъzvěstili|взвестили vъzvěstila|взвестила vъzvěstilъ|взвестил vъzvěščь|взвещ vъzvěstäčь|взвестяч vъzvěstä|взвестя vъzvěstimь|взвестимь vъzvěščaaxu|взвещааху vъzvěščaašete|взвещаашете vъzvěščaašeta|взвещаашета vъzvěščaaše|взвещааше vъzvěščaaxъ|взвещаах vъzvěstiša|взвестиша vъzvěstixomъ|взвестихом vъzvěstiste|взвестисте vъzvěstista|взвестиста vъzvěščaaxově|взвещаахове vъzvěstixově|взвестихове vъzvěsti|взвести vъzvěstixъ|взвестих vъzvěstätь|взвестять vъzvěstimъ|взвестим vъzvěstite|взвестите vъzvěščaaxomъ|взвещаахом vъzvěstita|взвестита vъzvěstitь|взвестить vъzvěstivě|взвестиве vъzvěstiši|взвестиши vъzvěšču|взвещу 
sъloživъ|сложив sъložitъ|сложит sъložiti|сложити sъloženъ|сложен sъložilo|сложило sъložili|сложили sъložila|сложила sъložilъ|сложил sъložь|слож sъložačь|сложач sъloža|сложа sъložaaxu|сложааху sъložaaxomъ|сложаахом sъložaašete|сложаашете sъložaašeta|сложаашета sъložimь|сложимь sъložaaxově|сложаахове sъložaaxъ|сложаах sъložiša|сложиша sъložixomъ|сложихом sъložiste|сложисте sъložista|сложиста sъložixově|сложихове sъložatь|сложать sъložimъ|сложим sъložaaše|сложааше sъložite|сложите sъložixъ|сложих sъložita|сложита sъloživě|сложиве sъloži|сложи sъložitь|сложить sъložiši|сложиши sъložu|сложу 
vъzdvignuste|вздвигнусте vъzdvignusta|вздвигнуста vъzdvignuša|вздвигнуша vъzdvignuxъ|вздвигнух vъzdvignuvъ|вздвигнув vъzdvigoša|вздвигоша vъzdvigoxomъ|вздвигохом vъzdvigoste|вздвигосте vъzdvigosta|вздвигоста vъzdvigoxově|вздвигохове vъzdvigoxъ|вздвигох vъzdvignuti|вздвигнути vъzdviženъ|вздвижен vъzdviglo|вздвигло vъzdvigli|вздвигли vъzdvigla|вздвигла vъzdvignuxomъ|вздвигнухом vъzdvignučь|вздвигнуч vъzdvignutъ|вздвигнут vъzdvigněte|вздвигнете vъzdvigněvě|вздвигневе vъzdvigni|вздвигни vъzdvigněmь|вздвигнемь vъzdviglъ|вздвигл vъzdvigna|вздвигна vъzdvigněaxu|вздвигняху vъzdvigněašete|вздвигняшете vъzdvigněaxově|вздвигняхове vъzdvigněaše|вздвигняше vъzdvignuxově|вздвигнухове vъzdvigněaxъ|вздвигнях vъzdvigu|вздвигу vъzdvigomъ|вздвигом vъzdvigněmъ|вздвигнем vъzdvižete|вздвижете vъzdvižeta|вздвижета vъzdvigově|вздвигове vъzdvigněaxomъ|вздвигняхом vъzdviže|вздвиже vъzdvigъ|вздвиг vъzdvignutь|вздвигнуть vъzdvigněta|вздвигнета vъzdvignete|вздвигнете vъzdvigneta|вздвигнета vъzdvignevě|вздвигневе vъzdvignetь|вздвигнеть vъzdvignemъ|вздвигнем vъzdvigneši|вздвигнеши vъzdvigněašeta|вздвигняшета vъzdvignu|вздвигну 
gъnati|гнати gъnanъ|гнан gъnalo|гнало gъnali|гнали gъnala|гнала gъnalъ|гнал gъnatъ|гнат gъnavъ|гнав gъnaaxu|гнааху gъnaaxomъ|гнаахом gъnaašete|гнаашете gъnaašeta|гнаашета gъnaaxově|гнаахове gъnaaxъ|гнаах gъnaša|гнаша gъnaste|гнасте gъnasta|гнаста gъnaxově|гнахове gъnaaše|гнааше gъnaxomъ|гнахом gъna|гна gъnaxъ|гнах 
pogъnatъ|погнат pogъnanъ|погнан pogъnali|погнали pogъnala|погнала pogъnalъ|погнал pogъnaaxu|погнааху pogъnati|погнати pogъnaaxomъ|погнаахом pogъnaašete|погнаашете pogъnaašeta|погнаашета pogъnaaxově|погнаахове pogъnaaše|погнааше pogъnaste|погнасте pogъnasta|погнаста pogъnavъ|погнав pogъnaxomъ|погнахом pogъnaxově|погнахове pogъna|погна pogъnaxъ|погнах pogъnaaxъ|погнаах pogъnaša|погнаша pogъnalo|погнало 
