jьz|из 
prěpodobьnovъ|преподобьнов prěpodobьnami|преподобьнами prěpodobьnaxъ|преподобьнах prěpodobьnamъ|преподобьнам prěpodobьnama|преподобьнама prěpodobьnu|преподобьну prěpodobьněxъ|преподобьнех prěpodobьny|преподобьны prěpodobьnoju|преподобьною prěpodobьni|преподобьни prěpodobьnoma|преподобьнома prěpodobьne|преподобьне prěpodobьnъmь|преподобьномь prěpodobьně|преподобьне prěpodobьno|преподобьно prěpodobьnomъ|преподобьном prěpodobьnu|преподобьну prěpodobьna|преподобьна prěpodobьnъ|преподобен 
sъmṝtě|смерте sъmṝta|смерта sъmṝtami|смертами sъmṝtamъ|смертам sъmṝtьxъ|смертех sъmṝtьmъ|смертем sъmṝtьmi|смертьми sъmṝtьjь|смертей sъmṝtьma|смертьма sъmṝt~u|смерт~у sъmṝtьju|смертью sъmṝtьju|смертью sъmṝtaxъ|смертах sъmṝti|смерти sъmṝtь|смерть 
běsъmь|бесомь 
krьstami|крьстами krьstamъ|крьстам krьstovi|крьстови krьstěxъ|крьстех krьsty|крьсты krьstoma|крьстома krьste|крьсте krьsti|крьсти krьstъmь|крьстомь krьstomъ|крьстом krьstě|крьсте krьstu|крьсту krьsta|крьста krьstaxъ|крьстах krьstovъ|крьстов krьstъ|крест 
pḷkъmь|полкомь 
ĺubъvami|любвами ĺubъvaxъ|любвах ĺubъvamъ|любвам ĺubъvьmi|любовьми ĺubъvьxъ|любвех ĺubъvьju|любовью ĺubъvьmъ|любвем ĺubъvъ|любов ĺubъvьma|любовьма ĺubъvu|любву ĺubъvьju|любовью ĺubъvi|любви ĺubъve|любве ĺubъvь|любовь 
xlěbъmь|хлебомь 
vojьjъ|воей 
šestьxъ|шестех šestьmъ|шестем šestьjь|шестей šestьma|шестьма šestьmi|шестьми šestьju|шестью šestьju|шестью 
zъlaxъ|злах zъlamъ|злам zъlovъ|злов zъlěxъ|злех zъlomъ|злом zъlъ|зол zъloma|злома zъly|злы zъlъmь|зломь zъlami|злами zъlě|зле zъlu|злу zъla|зла zъlo|зло 
gъlěbami|глебами gъlěbamъ|глебам gъlěbovъ|глебов gъlěbovi|глебови gъlěběxъ|глебех gъlěbi|глеби gъlěboma|глебома gъlěbaxъ|глебах gъlěbomъ|глебом gъlěbe|глебе gъlěbъmь|глебомь gъlěby|глебы gъlěbě|глебе gъlěbu|глебу gъlěba|глеба gъlěbъ|глеб 
desätьmi|десятьми desätьxъ|десятех desätьma|десятьма desätьmъ|десятем desätьju|десятью desätьjь|десятей desätьju|десятью 
putьmi|путьми putьmъ|путем putьjь|путей putьje|путье putьma|путьма putьju|путью putьmь|путемь putьxъ|путех 
mъnožьstvami|множствами mъnožьstvamъ|множствам mъnožьstvovъ|множствов mъnožьstvy|множствы mъnožьstvěxъ|множствех mъnožьstvomъ|множством mъnožьstvъ|множеств mъnožьstvoma|множствома mъnožьstvъmь|множствомь mъnožьstvaxъ|множствах mъnožьstvě|множстве mъnožьstvu|множству mъnožьstva|множства mъnožьstvo|множство 
zъlovъ|злов zъlamъ|злам zъlo|зло zъloju|злою zъlama|злама zъlu|злу zъlěxъ|злех zъlomъ|злом zъli|зли zъloma|злома zъlaxъ|злах zъle|зле zъly|злы zъlъmь|зломь zъlami|злами zъlě|зле zъlu|злу zъla|зла zъlъ|зол 
sedmьmi|седмьми sedmьxъ|седмех sedmьjь|седмей sedmьma|седмьма sedmьju|седмью sedmьju|седмью sedmьmъ|седмем 
stolъmь|столомь 
věkъmь|векомь 
osmьmi|осмьми osmьxъ|осмех osmьmъ|осмем osmьma|осмьма osmьju|осмью osmьjь|осмей osmьju|осмью 
milostьmi|милостьми milostьxъ|милостех milostьjь|милостей milostьma|милостьма milostьju|милостью milostьju|милостью milostьmъ|милостем 
starьkomъ|старьком starьkoma|старькома starьcě|старьце starьcěxъ|старьцех starьkъ|старек starьkomь|старькомь starьcemъ|старьцем starьcě|старьце starьcema|старьцема starьče|старьче starьcemь|старьцемь starьci|старьци starьcixъ|старьцих starьcu|старьцу starьky|старькы starьca|старьца starьcь|старец 
pṝvъmь|первомь 
starъmь|старомь 
nebesьxъ|небесех nebesьmъ|небесем nebesьma|небесьма nebesьmь|небесемь 
kъńigaxъ|кньигах kъńigamъ|кньигам kъńigama|кньигама kъńigu|кньигу kъńigъ|кньиг kъńigo|кньиго kъńigoju|кньигою kъńigami|кньигами kъńigy|кньигы kъńiʒě|кньизье kъńigu|кньигу kъńiga|кньига 
mitropolitъmь|митрополитомь 
čislъmь|числомь 
kъto|кто 
krъvaxъ|крвах krъvamъ|крвам krъvami|крвами krъvьju|кровью krъvьmi|кровьми krъvьxъ|крвех krъvьmъ|крвем krъvъ|кров krъvьma|кровьма krъvu|крву krъvi|крви krъve|крве krъvь|кровь krъvьju|кровью 
borisъmь|борисомь 
posadьnikami|посадьниками posadьnikaxъ|посадьниках posadьnikovъ|посадьников posadьnikamъ|посадьникам posadьnikovi|посадьникови posadьnicěxъ|посадьницех posadьniky|посадьникы posadьnici|посадьници posadьnikoma|посадьникома posadьniče|посадьниче posadьnikъmь|посадьникомь posadьnicě|посадьнице posadьnikomъ|посадьником posadьniku|посадьнику posadьnika|посадьника posadьnikъ|посадьник 
devätьmi|девятьми devätьxъ|девятех devätьjь|девятей devätьma|девятьма devätьju|девятью devätьju|девятью devätьmъ|девятем 
čadъmь|чадомь 
otrokъmь|отрокомь 
poganъmь|поганомь 
boĺьša|больша boĺьšami|большами boĺьšamъ|большам boĺьšama|большама boĺьšeju|большею boĺьšu|большу boĺьšixъ|больших boĺьšь|болеш boĺьšemъ|большем boĺьšě|больше boĺьšema|большема boĺьšaxъ|большах boĺьšemь|большемь boĺьši|больши boĺьše|больше boĺьšu|большу boĺьša|больша 
obrazъmь|образомь 
apostolъmь|апостоломь 
novъmь|новомь 
blagъmь|благомь 
časъmь|часомь 
ratьmi|ратьми ratьmъ|ратем ratьjь|ратей ratьma|ратьма ratьju|ратью ratьju|ратью ratьxъ|ратех 
rostislavъmь|ростиславомь 
očesьxъ|очесех očesьmъ|очесем očьju|очью očesьmь|очесемь 
mixajilъmь|михаиломь 
selъmь|селомь 
konьkomъ|коньком konьkoma|конькома konьkomь|конькомь konьkъ|конек konьcěxъ|коньцех konьky|конькы konьcixъ|коньцих konьcemъ|коньцем konьcě|коньце konьče|коньче konьcema|коньцема konьcemь|коньцемь konьci|коньци konьcě|коньце konьcu|коньцу konьca|коньца konьcь|конец 
slьzami|сльзами slьzaxъ|сльзах slьzъ|слез slьzama|сльзама slьzu|сльзу slьzo|сльзо slьzoju|сльзою slьzě|сльзе slьzamъ|сльзам slьzy|сльзы slьzu|сльзу slьza|сльза 
novъgorodьskovъ|новгородьсков novъgorodьskamъ|новгородьскам novъgorodьskama|новгородьскама novъgorodьsko|новгородьско novъgorodьskami|новгородьсками novъgorodьskaxъ|новгородьсках novъgorodьskoju|новгородьскою novъgorodьsky|новгородьскы novъgorodьsci|новгородьсци novъgorodьskoma|новгородьскома novъgorodьšče|новгородьще novъgorodьscěxъ|новгородьсцех novъgorodьskomъ|новгородьском novъgorodьskъmь|новгородьскомь novъgorodьsku|новгородьску novъgorodьscě|новгородьсце novъgorodьsku|новгородьску novъgorodьska|новгородьска novъgorodьskъ|новгородеск 
gospodьńami|господьнями gospodьńamъ|господьням gospodьńě|господьнье gospodьńe|господьне gospodьńu|господьню gospodьńeju|господьнею gospodьńixъ|господьньих gospodьńemъ|господьнем gospodьńema|господьнема gospodьńemь|господьнемь gospodьńi|господьньи gospodьńu|господьню gospodьńa|господьня gospodьńaxъ|господьнях gospodьńama|господьняма gospodьńě|господьнье gospodьńь|господень 
straxъmь|страхомь 
duxovьnaxъ|духовьнах duxovьno|духовьно duxovьnoju|духовьною duxovьnu|духовьну duxovьněxъ|духовьнех duxovьnomъ|духовьном duxovьny|духовьны duxovьni|духовьни duxovьnamъ|духовьнам duxovьnoma|духовьнома duxovьnama|духовьнама duxovьne|духовьне duxovьnami|духовьнами duxovьnъmь|духовьномь duxovьně|духовьне duxovьnu|духовьну duxovьnovъ|духовьнов duxovьna|духовьна duxovьnъ|духовен 
volostьmi|волостьми volostьxъ|волостех volostьmъ|волостем volostьjь|волостей volostьma|волостьма volostьju|волостью volostьju|волостью 
