355,вълѣзти,V-,8
356,начати,V-,54
357,уже,Df,38
358,минути,V-,4
359,яко,Dq,8
360,осмь,Ma,1
361,въпасти,V-,5
362,недугъ,Nb,3
363,крѣпъкыи,A-,5
364,печенѣгъ,Nb,3
365,онуду,Df,1
366,пакы,Df,112
367,ити,V-,91
368,рать,Nb,3
369,русь,Ne,1
370,великыи,A-,76
371,зане,G-,5
372,изити,V-,20
373,противу,R-,11
374,мъного,Df,13
375,печалити,V-,1
376,призъвати,V-,17
377,имя,Nb,26
378,романъ,Ne,1
379,блаженыи,A-,228
380,скоропослушьливыи,A-,1
381,прѣдати,V-,17
382,вои,Nb,7
383,посълати,V-,27
384,безбожьныи,A-,1
385,онъ,Pd,100
386,въстати,V-,21
387,готовыи,A-,3
388,прѣдъ,R-,27
389,око,Nb,14
390,твои,Ps,68
391,сътворити,V-,84
392,елико,Pr,1
393,сьрдьце,Nb,44
394,таковыи,A-,41
395,притъчьникъ,Nb,1
396,послушьливыи,A-,2
397,отъити,V-,39
398,супостатъ,Nb,2
399,въспять,Df,12
400,вѣстьникъ,Nb,1
401,къ,R-,204
402,повѣдати,V-,11
403,отьчии,A-,1
404,како,Du,4
405,прѣставити,V-,2
406,василии,Ne,6
407,потаити,V-,2
408,ночь,Nb,3
409,проимати,V-,1
410,помостъ,Nb,1
411,берестовое,Ne,1
412,ковьръ,Nb,1
413,съвѣсити,V-,1
414,ужь,A-,1
415,везти,V-,1
416,сани,Nb,1
417,поставити,V-,14
418,цьркы,Nb,55
419,услышати,V-,19
420,тѣло,Nb,49
421,утьрпывати,V-,1
422,сльза,Nb,26
423,испълнити,V-,9
424,разливати,V-,4
425,сицевыи,A-,10
426,вѣщати,V-,2
427,увы,I-,11
428,свѣтъ,Nb,22
429,сияние,Nb,1
430,заря,Nb,1
431,бъздра,Nb,1
432,уность,Nb,7
433,наказание,Nb,4
434,недоразумѣние,Nb,1
435,господинъ,Nb,12
436,къто,Pi,37
437,прибѣгнути,V-,3
438,възьрѣти,V-,7
439,къдѣ,Du,3
440,ли,Df,1
441,насытити,V-,5
442,благыи,A-,30
443,учение,Nb,3
444,назание,Nb,1
445,разумъ,Nb,5
446,заити,V-,1
447,ту,Df,67
448,да#2,Df,26
449,поне,Df,7
450,чьстьныи,A-,13
451,съпрятати,V-,1
452,гробъ,Nb,3
453,ни,C-,2
454,понести,V-,2
455,мужьство,Nb,1
456,цѣловати,V-,8
457,добролѣпьныи,A-,1
458,сѣдина,Nb,1
459,о,I-,200
460,блаженикъ,Nb,1
461,помянути,V-,2
462,покои,Nb,6
463,горѣти,V-,6
464,съмыслъ,Nb,5
465,съмущати,V-,2
466,вѣдѣти,V-,35
467,обратити,V-,5
468,горькыи,A-,8
469,простерети,V-,1
470,ли,Du,12
471,мѣсто,Nb,86
472,мьнѣти,V-,18
473,суетие,Nb,2
474,мирьскыи,A-,4
475,поучати,V-,3
476,биение,Nb,1
477,помышляти,V-,12
478,кръвь,Nb,11
479,пролити,V-,3
480,потъщати,V-,4
481,противити,V-,4
482,гърдыи,A-,1
483,съмѣреныи,A-,11
484,благодать,Nb,18
485,ненавидѣти,V-,5
486,лъжь,Nb,1
487,боязнь,Nb,3
488,съвьршеныи,A-,6
489,вънъ,Df,8
490,изметати,V-,1
491,страхъ,Nb,13
492,чьто,Pi,11
493,умъ,Nb,16
494,узьрѣти,V-,8
495,си,Df,2
496,братьць,Nb,1
497,мьнии,A-,6
498,венияминъ,Ne,1
