благоволити|58927|V-|bolgovoliti|||||||||||||||||40|1|||M|||S|Ps|
мои|58929|Ps|mojь|||||||||||||||||pron_soft|2|||M|Eu||S|Ps|
възлюбити|58930|V-|vъžĺubiti||||||||vъzljubiti|||||||||40|1|||M||KB|S|Ps|
извести#1|58931|V-|jьzvesti|||||||||||||||jьzved|jьzved|11|1|||M|||S|Ps|
посълати|58932|V-|posъlati|||||||||||||||||52|1|||M|Eu|KB|S|Ps|
сѣмо|58933|Df|sěmo|||||||to here, сюда||The ⱑⰿⱁ appears also in тамо, ѣмо, Cz. kam, OCS камо (essja09 p.137), essja01 p.71 lists OPol. jamo,  OCz jam, Bg/Mc dial. амо, so I reconstruct ⱑⰿⱁ as plain /a-/ with dialectal j-prothesis. Сѣмо could be explained as śǢmo if it were from /śь/ + /-amo/, but сь is reconstructed (e.g. Derksen p.484) as < PIE *ḱi, which would not be a Common Slavic palatalised consonant. ⱄⱑⰿⱁ doesn't appear as сямо anywhere, which leaves us no choice but to reconstruct sěmo, but this may be because in the Cyr. manuscripts it was no longer actively used (dict p.679 lists it as appearing in Zog. and Sav. only in the phrase сѣмо и онамо), and is thus just a literary form taken over in its Urkirchenslavisch guise. Van Wijk has discussion along similar lines in van Wijk 1927 p.13.|1||||||||0|||M|||S|Ps|
распѫтиѥ|58934|Nb|orspǫtьje|||||||streetcorner, crossroad||||||||||nt_jo|2|||M|||||
отрѣшати|58935|V-|otrěšǢti|||||||untie, unbind; set free||||||||||54|1|||M|||S||
ити|58936|V-|jьti|||||||||||||||||jьti|1|||M|||S|Ps|
обрѣсти|58937|V-|obrěsti|||||||find||||||||obrět|obrět|rěsti|1|||M|||S|Ps|
жрѣбьць|58938|Nb|žerbьkь|žerbьkъ|žerbьcь|||||foal; baby donkey||||||||||masc_o_PV3|2|||M|||||
привѧзати|58939|V-|privęzati|||||||||||||||||52|1|||M|||S||
при|58940|R-|pri|||||||||||||1|||||0|||M|||S|Ps|
вънѣ|58942|Df|vъně|||||||outside|||||||||||0|||M|||S||
чьто|58943|Pi|čьto|||||||||||||||||čьto|2|||M|||S|Ps|
ѥдинъ|58944|Px|jedinъ|||jedьn||||||||||||||pron_hard|2|||M|||S||
стоꙗти|58945|V-|stojǢti|||||||||||||||||31|1|||M|||S|Ps|
тоу|58946|Df|tu||||||||||||||||||0|||M|||S|Ps|
заповѣдѣти|58948|V-|zapověděti|||||||to give orders, command, instruct||||||||||wote|1|||M|||S|Ps|
онъ|58949|Pd|onъ|||||||||||||||||pron_hard|2|||M|||S|Ps|
оставити|58950|V-|ostaviti|||||||||||||||||40|1|||M|||S|Ps|
