id,lemma,pos,normalised,count,Mst,MstCol,NovMarg,OstrCol,RusPrav,Usp,Varl,bitflag
201,духъ,Nb,духъ,30,,mstislav-col,,,,usp-sbor,,34
202,ныня,Df,ньінꙗ,1,,mstislav-col,,,,,,2
203,присьныи,A-,прісьньіі,1,,mstislav-col,,,,,,2
204,вѣкъ#1,Nb,вѣкъ#1,14,,mstislav-col,,,,usp-sbor,varlaam,98
205,дъмъка,Ne,дъмъка,5,,,nov-marg,,,,,4
206,кънига,Nb,къніга,9,,,nov-marg,,,usp-sbor,,36
207,госпожа,Nb,госпожа,3,,,nov-marg,,rusprav,usp-sbor,,52
208,да,C-,да,5,,,nov-marg,ostromir-col,,usp-sbor,,44
209,бояти,V-,боꙗті,8,,,nov-marg,,,usp-sbor,,36
210,невѣжа,Nb,невѣжа,2,,,nov-marg,,,usp-sbor,,36
211,без,R-,без,31,,,nov-marg,,rusprav,usp-sbor,,52
212,показание,Nb,показаніе,3,,,nov-marg,,,usp-sbor,,36
213,грѣхъ,Nb,грѣхъ,17,,,nov-marg,,,usp-sbor,,36
214,погрузити,V-,погрузіті,1,,,nov-marg,,,,,4
215,помагати,V-,помагаті,8,,,nov-marg,,rusprav,usp-sbor,,52
216,простити,V-,простіті,6,,,nov-marg,,,,,4
217,убогыи,A-,убогьіі,11,,,nov-marg,,,usp-sbor,,36
218,унылыи,A-,уньільіі,2,,,nov-marg,,,usp-sbor,,36
219,яковъ,Ne,ꙗковъ,1,,,nov-marg,,,,,4
220,помощи,V-,помощі,5,,,nov-marg,,rusprav,usp-sbor,,52
221,дияволъ,Nb,діꙗволъ,4,,,nov-marg,,,usp-sbor,varlaam,100
222,изблазнити,V-,ізблазніті,1,,,nov-marg,,,,,4
223,съгрѣшити,V-,съгрѣшіті,3,,,nov-marg,,,usp-sbor,,36
224,слава,Nb,слава,19,,,,ostromir-col,,usp-sbor,,40
225,яко,G-,ꙗко,160,,,,ostromir-col,rusprav,usp-sbor,,56
226,шесть тысячь,Ma,шестьтьісꙗчь,3,,,,ostromir-col,,usp-sbor,,40
227,пятьсътъ,Ma,пꙗтьсътъ,4,,,,ostromir-col,,usp-sbor,,40
228,шестьдесятъ,Ma,шестьдесꙗтъ,9,,,,ostromir-col,rusprav,usp-sbor,,56
229,четыре,Ma,четьіре,12,,,,ostromir-col,rusprav,usp-sbor,varlaam,120
230,оконьчати,V-,оконьчаті,2,,,,ostromir-col,,,,8
231,пять,Ma,пꙗть,15,,,,ostromir-col,rusprav,usp-sbor,varlaam,120
232,нарещи,V-,нарещі,19,,,,ostromir-col,,usp-sbor,,40
233,крьщение,Nb,крьщеніе,7,,,,ostromir-col,,usp-sbor,,40
234,иосифъ,Ne,іосіфъ,2,,,,ostromir-col,,usp-sbor,,40
235,остромиръ,Ne,остроміръ,2,,,,ostromir-col,,,,8
236,близокъ,Nb,блізокъ,2,,,,ostromir-col,,,,8
237,изъяславъ,Ne,ізъꙗславъ,16,,,,ostromir-col,rusprav,usp-sbor,,56
238,тъгда,Df,тъгда,79,,,,ostromir-col,rusprav,usp-sbor,,56
239,прѣдьржати,V-,прѣдьржаті,3,,,,ostromir-col,,usp-sbor,,40
240,оба,Ma,оба,6,,,,ostromir-col,,usp-sbor,,40
241,власть,Nb,власть,5,,,,ostromir-col,,usp-sbor,,40
242,ярославъ,Ne,ꙗрославъ,15,,,,ostromir-col,rusprav,usp-sbor,,56
243,братъ,Nb,братъ,63,,,,ostromir-col,rusprav,usp-sbor,,56
244,володимиръ,Ne,володіміръ,7,,,,ostromir-col,,usp-sbor,,40
245,самъ,Pd,самъ,58,,,,ostromir-col,rusprav,usp-sbor,,56
246,столъ,Nb,столъ,12,,,,ostromir-col,,usp-sbor,,40
247,поручити,V-,поручіті,2,,,,ostromir-col,,usp-sbor,,40
248,новъгородъ,Ne,новъгородъ,2,,,,ostromir-col,,usp-sbor,,40
249,даровати,V-,дароваті,1,,,,ostromir-col,,,,8
250,сътяжати,V-,сътꙗжаті,6,,,,ostromir-col,,usp-sbor,,40
251,утѣшение,Nb,утѣшеніе,3,,,,ostromir-col,,usp-sbor,,40
252,душа,Nb,душа,46,,,,ostromir-col,rusprav,usp-sbor,,56
253,хрьстияньскыи,A-,хрьстіꙗньскьіі,1,,,,ostromir-col,,,,8
