id,lemma,pos,normalised,count,Mst,MstCol,NovMarg,OstrCol,RusPrav,Usp,Varl,bitflag
1550,отъинудь,Df,отъінудь,2,,,,,,usp-sbor,,32
1551,прѣбыти,V-,прѣбьіті,11,,,,,,usp-sbor,,32
1552,неврѣженыи,A-,неврѣженьіі,1,,,,,,usp-sbor,,32
1553,показати,V-,показаті,10,,,,,,usp-sbor,,32
1554,овъгда,Df,овъгда,10,,,,,,usp-sbor,,32
1555,стълпъ,Nb,стълпъ,4,,,,,,usp-sbor,,32
1556,огньныи,A-,огньньіі,3,,,,,,usp-sbor,,32
1557,свѣща,Nb,свѣща,7,,,,,,usp-sbor,,32
1558,пѣние,Nb,пѣніе,15,,,,,,usp-sbor,,32
1559,ловъ,Nb,ловъ,1,,,,,,usp-sbor,,32
1560,пасти#2,V-,пасті#2,4,,,,,,usp-sbor,,32
1561,възискание,Nb,възісканіе,3,,,,,,usp-sbor,,32
1562,доньдеже,G-,доньдеже,23,,,,,,usp-sbor,,32
1563,двигнути,V-,двігнуті,1,,,,,,usp-sbor,,32
1564,братоубиица,Nb,братоубііца,2,,,,,,usp-sbor,,32
1565,брань,Nb,брань,7,,,,,,usp-sbor,,32
1566,мъногыи,Nb,мъногьіі,1,,,,,,usp-sbor,,32
1567,съставити,V-,съставіті,5,,,,,,usp-sbor,,32
1568,вьсегда,Df,вьсегда,9,,,,,,usp-sbor,,32
1569,пособие,Nb,пособіе,2,,,,,,usp-sbor,,32
1570,поспешѣние,Nb,поспешѣніе,1,,,,,,usp-sbor,,32
1571,побѣдити,V-,побѣдіті,9,,,,,,usp-sbor,,32
1572,посрамити,V-,посраміті,3,,,,,,usp-sbor,,32
1573,възвращати,V-,възвращаті,3,,,,,,usp-sbor,,32
1574,въздѣти,V-,въздѣті,2,,,,,,usp-sbor,,32
1575,въпити,V-,въпіті,3,,,,,,usp-sbor,,32
1576,авелевъ,A-,авелевъ,2,,,,,,usp-sbor,,32
1577,трясение,Nb,трꙗсеніе,1,,,,,,usp-sbor,,32
1578,еи,I-,еі,3,,,,,,usp-sbor,,32
1579,прѣдъстояти,V-,прѣдъстоꙗті,2,,,,,,usp-sbor,,32
1580,покрыти,V-,покрьіті,4,,,,,,usp-sbor,,32
1581,льтьскыи,A-,льтьскьіі,1,,,,,,usp-sbor,,32
1582,съступити,V-,съступіті,2,,,,,,usp-sbor,,32
1583,въсходити,V-,въсходіті,2,,,,,,usp-sbor,,32
1584,сълньце,Nb,сълньце,6,,,,,,usp-sbor,,32
1585,сѣча,Nb,сѣча,1,,,,,,usp-sbor,,32
1586,съступати,V-,съступаті,1,,,,,,usp-sbor,,32
1587,тришьды,Df,трішьдьі,1,,,,,,usp-sbor,,32
1588,чересъ,R-,чересъ,1,,,,,,usp-sbor,,32
1589,одолѣти,V-,одолѣті,1,,,,,,usp-sbor,,32
1590,побѣгнути,V-,побѣгнуті,3,,,,,,usp-sbor,,32
1591,бѣсъ,Nb,бѣсъ,18,,,,,,usp-sbor,,32
1592,раслабѣти,V-,раслабѣті,7,,,,,,usp-sbor,,32
1593,нести,V-,несті,8,,,,,,usp-sbor,,32
1594,носило,Nb,носіло,1,,,,,,usp-sbor,,32
1595,берестие,Ne,берестіе,1,,,,,,usp-sbor,,32
1596,осе,I-,осе,1,,,,,,usp-sbor,,32
1597,посылати,V-,посьілаті,5,,,,,,usp-sbor,,32
1598,немощь,Nb,немощь,2,,,,,,usp-sbor,,32
1599,въсхопити,V-,въсхопіті,1,,,,,,usp-sbor,,32
1600,охъ,I-,охъ,1,,,,,,usp-sbor,,32
1601,пробѣгнути,V-,пробѣгнуті,1,,,,,,usp-sbor,,32
1602,лядьскыи,A-,лꙗдьскьіі,1,,,,,,usp-sbor,,32
1603,гнѣвъ,Nb,гнѣвъ,17,,,,,,usp-sbor,,32
1604,пустыни,Nb,пустьіні,2,,,,,,usp-sbor,,32
1605,чехъ,Nb,чехъ,1,,,,,,usp-sbor,,32
1606,ляхъ,Nb,лꙗхъ,1,,,,,,usp-sbor,,32
1607,испроврѣщи,V-,іспроврѣщі,1,,,,,,usp-sbor,,32
1608,зълѣ,Df,зълѣ,2,,,,,,usp-sbor,,32
1609,възмьздие,Nb,възмьздіе,1,,,,,,usp-sbor,,32
1610,лиховати,V-,ліховаті,1,,,,,,usp-sbor,,32
1611,гонезнути,V-,гонезнуті,1,,,,,,usp-sbor,,32
1612,тамо,Df,тамо,7,,,,,,usp-sbor,,32
1613,ангелъ,Nb,ангелъ,11,,,,,,usp-sbor,,32
1614,погрѣшити,V-,погрѣшіті,1,,,,,,usp-sbor,,32
1615,могыла,Nb,могьіла,1,,,,,,usp-sbor,,32
1616,исходити,V-,ісходіті,12,,,,,,usp-sbor,,32
1617,смрадъ,Nb,смрадъ,1,,,,,,usp-sbor,,32
1618,мьсть,Nb,мьсть,2,,,,,,usp-sbor,,32
1619,ламехъ,Ne,ламехъ,1,,,,,,usp-sbor,,32
1620,седмьдесятица,Nb,седмьдесꙗтіца,1,,,,,,usp-sbor,,32
1621,такыи,A-,такьіі,19,,,,,,usp-sbor,,32
1622,отъмьстие,Nb,отъмьстіе,1,,,,,,usp-sbor,,32
1623,дѣлатель,Nb,дѣлатель,2,,,,,,usp-sbor,,32
1624,иулиянъ,Ne,іуліꙗнъ,1,,,,,,usp-sbor,,32
1625,нечеловѣчьныи,A-,нечеловѣчьньіі,1,,,,,,usp-sbor,,32
1626,въдружити,V-,въдружіті,1,,,,,,usp-sbor,,32
1627,бѣгати,V-,бѣгаті,1,,,,,,usp-sbor,,32
1628,зълострастьныи,A-,зълострастьньіі,1,,,,,,usp-sbor,,32
1629,отътолѣ,Df,отътолѣ,26,,,,,,usp-sbor,,32
1630,крамола,Nb,крамола,3,,,,,,usp-sbor,,32
1631,прѣстати,V-,прѣстаті,5,,,,,,usp-sbor,,32
1632,прѣяти,V-,прѣꙗті,2,,,,,,usp-sbor,,32
1633,волость,Nb,волость,1,,,,,,usp-sbor,,32
1634,въпрашати,V-,въпрашаті,2,,,,,,usp-sbor,,32
1635,приходити,V-,пріходіті,25,,,,,,usp-sbor,,32
1636,отътуду,Df,отътуду,3,,,,,,usp-sbor,,32
1637,презвитеръ,Nb,презвітеръ,2,,,,,,usp-sbor,,32
1638,кадило,Nb,каділо,1,,,,,,usp-sbor,,32
1639,корабль,Nb,корабль,1,,,,,,usp-sbor,,32
1640,прѣблаженыи,A-,прѣблаженьіі,2,,,,,,usp-sbor,,32
1641,раскопати,V-,раскопаті,1,,,,,,usp-sbor,,32
1642,недоумѣти,V-,недоумѣті,3,,,,,,usp-sbor,,32
1643,лѣпыи,A-,лѣпьіі,19,,,,,,usp-sbor,,32
1644,прѣчьстьнѣ,Df,прѣчьстьнѣ,1,,,,,,usp-sbor,,32
1645,прѣчудьныи,A-,прѣчудьньіі,4,,,,,,usp-sbor,,32
1646,дивьныи,A-,дівьньіі,1,,,,,,usp-sbor,,32
1647,достоиныи,A-,достоіньіі,9,,,,,,usp-sbor,,32
1648,врѣдити,V-,врѣдіті,1,,,,,,usp-sbor,,32
1649,кыиже,Px,кьііже,2,,,,,,usp-sbor,,32
1650,плътоядьць,Nb,плътоꙗдьць,1,,,,,,usp-sbor,,32
1651,почьрнѣти,V-,почьрнѣті,1,,,,,,usp-sbor,,32
1652,обычаи,Nb,обьічаі,15,,,,,,usp-sbor,,32
1653,мьртвыи,A-,мьртвьіі,5,,,,,,usp-sbor,,32
1654,свѣтьлыи,A-,свѣтьльіі,11,,,,,,usp-sbor,,32
1655,цѣлыи,A-,цѣльіі,1,,,,,,usp-sbor,,32
1656,воня,Nb,вонꙗ,1,,,,,,usp-sbor,,32
1657,градъ,Nb,градъ,48,,,,,,usp-sbor,,32
1658,вьрху,R-,вьрху,1,,,,,,usp-sbor,,32
1659,гора,Nb,гора,5,,,,,,usp-sbor,,32
1660,въжещи,V-,въжещі,4,,,,,,usp-sbor,,32
1661,спудъ,Nb,спудъ,1,,,,,,usp-sbor,,32
1662,покрывати,V-,покрьіваті,1,,,,,,usp-sbor,,32
1663,свѣтило,Nb,свѣтіло,5,,,,,,usp-sbor,,32
1664,поставляти,V-,поставлꙗті,2,,,,,,usp-sbor,,32
1665,свѣтити,V-,свѣтіті,4,,,,,,usp-sbor,,32
1666,тьмьныи,A-,тьмьньіі,4,,,,,,usp-sbor,,32
1667,прѣмъногыи,A-,прѣмъногьіі,1,,,,,,usp-sbor,,32
1668,чудо,Nb,чудо,16,,,,,,usp-sbor,,32
1669,сияти,V-,сіꙗті,3,,,,,,usp-sbor,,32
1670,сторона,Nb,сторона,2,,,,,,usp-sbor,,32
1671,страдати,V-,страдаті,2,,,,,,usp-sbor,,32
1672,прозирати,V-,прозіраті,1,,,,,,usp-sbor,,32
1673,хромыи,A-,хромьіі,2,,,,,,usp-sbor,,32
1674,быстро,Df,бьістро,1,,,,,,usp-sbor,,32
1675,сьрна,Nb,сьрна,2,,,,,,usp-sbor,,32
1676,ристати,V-,рістаті,1,,,,,,usp-sbor,,32
1677,слукыи,A-,слукьіі,1,,,,,,usp-sbor,,32
1678,простьрение,Nb,простьреніе,1,,,,,,usp-sbor,,32
1679,приимати,V-,прііматі,12,,,,,,usp-sbor,,32
1680,прѣдивьныи,A-,прѣдівьньіі,1,,,,,,usp-sbor,,32
1681,пѣсъкъ,Nb,пѣсъкъ,1,,,,,,usp-sbor,,32
1682,единъде,Df,едінъде,1,,,,,,usp-sbor,,32
1683,прѣходити,V-,прѣходіті,5,,,,,,usp-sbor,,32
1684,отъгонити,V-,отъгоніті,2,,,,,,usp-sbor,,32
1685,тьмьница,Nb,тьмьніца,2,,,,,,usp-sbor,,32
1686,уза,Nb,уза,2,,,,,,usp-sbor,,32
1687,посѣщати,V-,посѣщаті,2,,,,,,usp-sbor,,32
1688,мученичьскыи,A-,мученічьскьіі,1,,,,,,usp-sbor,,32
1689,съзьдати,V-,съзьдаті,3,,,,,,usp-sbor,,32
1690,съдѣвати,V-,съдѣваті,1,,,,,,usp-sbor,,32
1691,ва,Pp,ва,15,,,,,,usp-sbor,,32
1692,похвалити,V-,похваліті,4,,,,,,usp-sbor,,32
1693,въскорѣ,Df,въскорѣ,7,,,,,,usp-sbor,,32
1694,обрѣтати,V-,обрѣтаті,4,,,,,,usp-sbor,,32
1695,близъ,R-,блізъ,9,,,,,,usp-sbor,,32
1696,скърбѣти,V-,скърбѣті,1,,,,,,usp-sbor,,32
1697,плътьскы,Df,плътьскьі,1,,,,,,usp-sbor,,32
1698,человѣчьство,Nb,человѣчьство,1,,,,,,usp-sbor,,32
1699,именовати,V-,іменоваті,2,,,,,,usp-sbor,,32
1700,человѣчьскыи,A-,человѣчьскьіі,2,,,,,,usp-sbor,,32
1701,посѣщение,Nb,посѣщеніе,2,,,,,,usp-sbor,,32
1702,немощьныи,A-,немощьньіі,1,,,,,,usp-sbor,,32
1703,проглаголати,V-,проглаголаті,1,,,,,,usp-sbor,,32
1704,простыи,A-,простьіі,5,,,,,,usp-sbor,,32
1705,высокыи,A-,вьісокьіі,7,,,,,,usp-sbor,,32
1706,жилище,Nb,жіліще,4,,,,,,usp-sbor,,32
1707,въселити,V-,въселіті,5,,,,,,usp-sbor,,32
1708,ибо,Df,ібо,2,,,,,,usp-sbor,,32
1709,защищение,Nb,защіщеніе,1,,,,,,usp-sbor,,32
1710,въстаяти,V-,въстаꙗті,4,,,,,,usp-sbor,,32
1711,дьржавьно,Df,дьржавьно,1,,,,,,usp-sbor,,32
1712,побѣжати#1,V-,побѣжаті#1,2,,,,,,usp-sbor,,32
1713,забрало,Nb,забрало,1,,,,,,usp-sbor,,32
1714,утвьржение,Nb,утвьрженіе,3,,,,,,usp-sbor,,32
1715,обоюдуострыи,A-,обоюдуострьіі,1,,,,,,usp-sbor,,32
1716,дьрзость,Nb,дьрзость,1,,,,,,usp-sbor,,32
1717,поганьскыи,A-,поганьскьіі,1,,,,,,usp-sbor,,32
1718,низълагати,V-,нізълагаті,1,,,,,,usp-sbor,,32
1719,шатание,Nb,шатаніе,1,,,,,,usp-sbor,,32
1720,попирати,V-,попіраті,3,,,,,,usp-sbor,,32
1721,несумьньно,Df,несумьньно,1,,,,,,usp-sbor,,32
1722,земльныи,A-,земльньіі,2,,,,,,usp-sbor,,32
1723,брати,V-,браті,3,,,,,,usp-sbor,,32
1724,отьчьство,Nb,отьчьство,3,,,,,,usp-sbor,,32
1725,пособити,V-,пособіті,1,,,,,,usp-sbor,,32
1726,дьмитрии,Ne,дьмітріі,7,,,,,,usp-sbor,,32
1727,погыбати,V-,погьібаті,1,,,,,,usp-sbor,,32
1728,милосьрдыи,A-,мілосьрдьіі,3,,,,,,usp-sbor,,32
1729,извѣщати,V-,ізвѣщаті,2,,,,,,usp-sbor,,32
1730,вьсь,Nb,вьсь,3,,,,,,usp-sbor,,32
1731,попечение,Nb,попеченіе,2,,,,,,usp-sbor,,32
1732,въздаяти,V-,въздаꙗті,1,,,,,,usp-sbor,,32
1733,съкровище,Nb,съкровіще,4,,,,,,usp-sbor,,32
1734,мъногоцѣньныи,A-,мъногоцѣньньіі,3,,,,,,usp-sbor,,32
1735,рака,Nb,рака,1,,,,,,usp-sbor,,32
1736,угодьникъ,Nb,угодьнікъ,4,,,,,,usp-sbor,,32
1737,тъчьныи,A-,тъчьньіі,2,,,,,,usp-sbor,,32
1738,прѣвышии,A-,прѣвьішіі,1,,,,,,usp-sbor,,32
1739,селунь,Ne,селунь,1,,,,,,usp-sbor,,32
1740,врачьство,Nb,врачьство,1,,,,,,usp-sbor,,32
1741,безмьздьныи,A-,безмьздьньіі,1,,,,,,usp-sbor,,32
1742,подати,V-,податі,13,,,,,,usp-sbor,,32
1743,съпасение,Nb,съпасеніе,13,,,,,,usp-sbor,,32
1744,страна,Nb,страна,12,,,,,,usp-sbor,,32
1745,туне,Df,туне,3,,,,,,usp-sbor,,32
1746,почрѣпати,V-,почрѣпаті,1,,,,,,usp-sbor,,32
1747,исцѣление,Nb,ісцѣленіе,1,,,,,,usp-sbor,,32
1748,посѣтъ,Nb,посѣтъ,1,,,,,,usp-sbor,,32
1749,ходатаи,Nb,ходатаі,1,,,,,,usp-sbor,,32
1750,прибѣгати,V-,прібѣгаті,1,,,,,,usp-sbor,,32
1751,припадати,V-,пріпадаті,2,,,,,,usp-sbor,,32
1752,гърдыни,Nb,гърдьіні,1,,,,,,usp-sbor,,32
1753,грѣшьничь,A-,грѣшьнічь,1,,,,,,usp-sbor,,32
1754,наити,V-,наіті,1,,,,,,usp-sbor,,32
1755,гладъ,Nb,гладъ,3,,,,,,usp-sbor,,32
1756,озълобление,Nb,озълобленіе,1,,,,,,usp-sbor,,32
1757,далече,Df,далече,6,,,,,,usp-sbor,,32
1758,отъгънати,V-,отъгънаті,5,,,,,,usp-sbor,,32
1759,браньныи,A-,браньньіі,1,,,,,,usp-sbor,,32
1760,избавити,V-,ізбавіті,6,,,,,,usp-sbor,,32
1761,усобичьныи,A-,усобічьньіі,1,,,,,,usp-sbor,,32
1762,нападение,Nb,нападеніе,1,,,,,,usp-sbor,,32
1763,заступити,V-,заступіті,3,,,,,,usp-sbor,,32
1764,усьрдьно,Df,усьрдьно,1,,,,,,usp-sbor,,32
1765,безаконьновати,V-,безаконьноваті,2,,,,,,usp-sbor,,32
1766,прѣмъного,Df,прѣмъного,1,,,,,,usp-sbor,,32
1767,бесчиньствовати,V-,бесчіньствоваті,1,,,,,,usp-sbor,,32
1768,прѣизлиха,Df,прѣізліха,1,,,,,,usp-sbor,,32
1769,надѣяти,V-,надѣꙗті,3,,,,,,usp-sbor,,32
1770,съпасъ,Nb,съпасъ,8,,,,,,usp-sbor,varlaam,96
1771,ельмаже,G-,ельмаже,1,,,,,,usp-sbor,,32
1772,ослабити,V-,ослабіті,2,,,,,,usp-sbor,,32
1773,прѣтъкнути,V-,прѣтъкнуті,1,,,,,,usp-sbor,,32
1774,прѣмѣнение,Nb,прѣмѣненіе,1,,,,,,usp-sbor,,32
1775,блудьница,Nb,блудьніца,1,,,,,,usp-sbor,,32
1776,мытоимьць,Nb,мьітоімьць,1,,,,,,usp-sbor,,32
1777,оправити,V-,оправіті,1,,,,,,usp-sbor,,32
1778,въсканути,V-,въскануті,1,,,,,,usp-sbor,,32
1779,человѣколюбие,Nb,человѣколюбіе,1,,,,,,usp-sbor,,32
1780,искупити,V-,іскупіті,3,,,,,,usp-sbor,,32
1781,настояи,A-,настоꙗі,1,,,,,,usp-sbor,,32
1782,нарицати,V-,наріцаті,4,,,,,,usp-sbor,,32
1783,ущедрити,V-,ущедріті,1,,,,,,usp-sbor,,32
1784,прѣчьстьныи,A-,прѣчьстьньіі,1,,,,,,usp-sbor,,32
1785,поносъ,Nb,поносъ,1,,,,,,usp-sbor,,32
1786,излити,V-,ізліті,3,,,,,,usp-sbor,,32
1787,пажить,Nb,пажіть,4,,,,,,usp-sbor,,32
1788,сь,Pd,сь,2,,,,,,usp-sbor,,32
1789,покаряти,V-,покарꙗті,3,,,,,,usp-sbor,,32
1790,круглыи,A-,кругльіі,1,,,,,,usp-sbor,,32
1791,плече,Nb,плече,2,,,,,,usp-sbor,,32
1792,тънъкыи,A-,тънъкьіі,1,,,,,,usp-sbor,,32
1793,чрѣсла,Nb,чрѣсла,3,,,,,,usp-sbor,,32
1794,веселыи,A-,весельіі,4,,,,,,usp-sbor,,32
1795,усъ,Nb,усъ,1,,,,,,usp-sbor,,32
1796,младыи,A-,младьіі,3,,,,,,usp-sbor,,32
1797,цѣсарьскы,Df,цѣсарьскьі,1,,,,,,usp-sbor,,32
1798,вьсячьскы,Df,вьсꙗчьскьі,1,,,,,,usp-sbor,,32
1799,украсити,V-,украсіті,3,,,,,,usp-sbor,,32
1800,цвѣтъ,Nb,цвѣтъ,1,,,,,,usp-sbor,,32
1801,цвьсти,V-,цвьсті,4,,,,,,usp-sbor,,32
1802,храбрыи,A-,храбрьіі,4,,,,,,usp-sbor,,32
1803,съвѣтъ,Nb,съвѣтъ,6,,,,,,usp-sbor,,32
1804,мудрыи,A-,мудрьіі,1,,,,,,usp-sbor,,32
1805,разумьныи,A-,разумьньіі,1,,,,,,usp-sbor,,32
1806,цвьтѣти,V-,цвьтѣті,1,,,,,,usp-sbor,,32
1807,прѣподобьныи,A-,прѣподобьньіі,63,,,,,,usp-sbor,,32
1808,феодосии,Ne,феодосіі,151,,,,,,usp-sbor,,32
1809,печерьскыи,A-,печерьскьіі,3,,,,,,usp-sbor,,32
1810,благодарити,V-,благодаріті,4,,,,,,usp-sbor,,32
1811,съповѣдатель,Nb,съповѣдатель,1,,,,,,usp-sbor,,32
1812,въгодьникъ,Nb,въгодьнікъ,4,,,,,,usp-sbor,,32
1813,испьрва,Df,іспьрва,5,,,,,,usp-sbor,,32
1814,погубление,Nb,погубленіе,1,,,,,,usp-sbor,,32
1815,исповѣдание,Nb,ісповѣданіе,4,,,,,,usp-sbor,,32
1816,выше,Df,вьіше,3,,,,,,usp-sbor,,32
1817,сила,Nb,сіла,3,,,,,,usp-sbor,,32
1818,грубыи,A-,грубьіі,4,,,,,,usp-sbor,,32
1819,неразумичьныи,A-,неразумічьньіі,2,,,,,,usp-sbor,,32
1820,учити,V-,учіті,17,,,,,,usp-sbor,,32
1821,хытрость,Nb,хьітрость,1,,,,,,usp-sbor,,32
1822,зьрьно,Nb,зьрьно,1,,,,,,usp-sbor,,32
1823,горушьныи,A-,горушьньіі,1,,,,,,usp-sbor,,32
1824,прѣити,V-,прѣіті,6,,,,,,usp-sbor,,32
1825,въврѣщи,V-,въврѣщі,5,,,,,,usp-sbor,,32
1826,море,Nb,море,3,,,,,,usp-sbor,,32
1827,несторъ,Ne,несторъ,2,,,,,,usp-sbor,,32
1828,оградити,V-,оградіті,8,,,,,,usp-sbor,,32
1829,упъвание,Nb,упъваніе,5,,,,,,usp-sbor,,32
1830,възможьныи,A-,възможьньіі,1,,,,,,usp-sbor,,32
1831,начатъкъ,Nb,начатъкъ,4,,,,,,usp-sbor,,32
1832,съписание,Nb,съпісаніе,1,,,,,,usp-sbor,,32
1833,усъпение,Nb,усъпеніе,3,,,,,,usp-sbor,,32
1834,праздьновати,V-,праздьноваті,1,,,,,,usp-sbor,,32
1835,въспоминати,V-,въспомінаті,6,,,,,,usp-sbor,,32
1836,богоносьныи,A-,богоносьньіі,3,,,,,,usp-sbor,,32
1837,чьрноризьць,Nb,чьрнорізьць,15,,,,,,usp-sbor,,32
1838,прославляти,V-,прославлꙗті,5,,,,,,usp-sbor,,32
1839,подвигъ,Nb,подвігъ,6,,,,,,usp-sbor,,32
1840,укрѣпляти,V-,укрѣплꙗті,2,,,,,,usp-sbor,,32
1841,наипаче,Df,наіпаче,8,,,,,,usp-sbor,,32
1842,проречи,V-,проречі,2,,,,,,usp-sbor,,32
1843,въстокъ,Nb,въстокъ,2,,,,,,usp-sbor,,32
1844,западъ,Nb,западъ,1,,,,,,usp-sbor,,32
1845,възлещи,V-,възлещі,4,,,,,,usp-sbor,,32
1846,послѣдьнии,A-,послѣдьніі,7,,,,,,usp-sbor,,32
1847,подражати,V-,подражаті,4,,,,,,usp-sbor,,32
1848,чьрньчьскыи,A-,чьрньчьскьіі,5,,,,,,usp-sbor,,32
1849,мѣнити,V-,мѣніті,2,,,,,,usp-sbor,,32
1850,антонии,Ne,антоніі,20,,,,,,usp-sbor,,32
1851,чудьныи,A-,чудьньіі,1,,,,,,usp-sbor,,32
1852,якоже,G-,ꙗкоже,42,,,,,,usp-sbor,,32
1853,отьчьскыи,A-,отьчьскьіі,1,,,,,,usp-sbor,,32
1854,слабыи,A-,слабьіі,2,,,,,,usp-sbor,,32
1855,съдѣльникъ,Nb,съдѣльнікъ,2,,,,,,usp-sbor,,32
1856,пастухъ,Nb,пастухъ,11,,,,,,usp-sbor,,32
1857,инокыи,A-,інокьіі,2,,,,,,usp-sbor,,32
1858,молодыи,A-,молодьіі,1,,,,,,usp-sbor,,32
1859,уныи,A-,уньіі,4,,,,,,usp-sbor,,32
1860,вьрста,Nb,вьрста,3,,,,,,usp-sbor,,32
1861,прилежание,Nb,прілежаніе,4,,,,,,usp-sbor,,32
1862,испълнь,A-,іспълнь,3,,,,,,usp-sbor,,32
1863,польза,Nb,польза,6,,,,,,usp-sbor,,32
1864,грубость,Nb,грубость,2,,,,,,usp-sbor,,32
1865,окусити,V-,окусіті,2,,,,,,usp-sbor,,32
1866,блюсти,V-,блюсті,8,,,,,,usp-sbor,,32
1867,лѣнивыи,A-,лѣнівьіі,1,,,,,,usp-sbor,,32
1868,подобати,V-,подобаті,3,,,,,,usp-sbor,,32
1869,тържьникъ,Nb,тържьнікъ,1,,,,,,usp-sbor,,32
1870,лихва,Nb,ліхва,1,,,,,,usp-sbor,,32
1871,истязати,V-,істꙗзаті,1,,,,,,usp-sbor,,32
1872,таити,V-,таіті,1,,,,,,usp-sbor,,32
1873,ученикъ,Nb,ученікъ,14,,,,,,usp-sbor,,32
1874,тьма,Nb,тьма,3,,,,,,usp-sbor,,32
1875,проповѣдѣти,V-,проповѣдѣті,1,,,,,,usp-sbor,,32
1876,успѣхъ,Nb,успѣхъ,2,,,,,,usp-sbor,,32
1877,устроение,Nb,устроеніе,1,,,,,,usp-sbor,,32
1878,бесѣдовати,V-,бесѣдоваті,8,,,,,,usp-sbor,,32
1879,славити,V-,славіті,10,,,,,,usp-sbor,,32
1880,отъдание,Nb,отъданіе,1,,,,,,usp-sbor,,32
1881,исповѣдати,V-,ісповѣдаті,9,,,,,,usp-sbor,,32
1882,вьседьржитель,Nb,вьседьржітель,2,,,,,,usp-sbor,,32
1883,податель,Nb,податель,2,,,,,,usp-sbor,,32
1884,разумѣние,Nb,разумѣніе,1,,,,,,usp-sbor,,32
1885,заповѣдь,Nb,заповѣдь,2,,,,,,usp-sbor,,32
1886,устьна,Nb,устьна,1,,,,,,usp-sbor,,32
1887,похваление,Nb,похваленіе,2,,,,,,usp-sbor,,32
1888,прославити,V-,прославіті,15,,,,,,usp-sbor,,32
1889,помощьникъ,Nb,помощьнікъ,4,,,,,,usp-sbor,,32
1890,отъстояти,V-,отъстоꙗті,1,,,,,,usp-sbor,,32
1891,стольныи,A-,стольньіі,3,,,,,,usp-sbor,,32
1892,пятьдесятъ,Ma,пꙗтьдесꙗтъ,1,,,,,,usp-sbor,,32
1893,попьрище,Nb,попьріще,2,,,,,,usp-sbor,,32
1894,родитель,Nb,родітель,3,,,,,,usp-sbor,,32
1895,крьстияньскыи,A-,крьстіꙗньскьіі,1,,,,,,usp-sbor,,32
1896,вьсячьскыи,A-,вьсꙗчьскьіі,2,,,,,,usp-sbor,,32
1897,благочьстие,Nb,благочьстіе,2,,,,,,usp-sbor,,32
1898,дѣтищь,Nb,дѣтіщь,3,,,,,,usp-sbor,,32
1899,осмыи,Mo,осмьіі,1,,,,,,usp-sbor,,32
1900,святитель,Nb,свꙗтітель,1,,,,,,usp-sbor,,32
1901,крьстиянинъ,Nb,крьстіꙗнінъ,1,,,,,,usp-sbor,,32
1902,дѣтище,Nb,дѣтіще,1,,,,,,usp-sbor,,32
1903,прозьрѣти,V-,прозьрѣті,2,,,,,,usp-sbor,,32
1904,освятити,V-,освꙗтіті,1,,,,,,usp-sbor,,32
1905,отроча,Nb,отроча,1,,,,,,usp-sbor,,32
1906,ростяти,V-,ростꙗті,1,,,,,,usp-sbor,,32
1907,благодѣть,Nb,благодѣть,2,,,,,,usp-sbor,,32
1908,исповѣдѣти,V-,ісповѣдѣті,2,,,,,,usp-sbor,,32
1909,избьрати,V-,ізбьраті,3,,,,,,usp-sbor,,32
1910,философъ,Nb,філософъ,2,,,,,,usp-sbor,,32
1911,властелинъ,Nb,властелінъ,4,,,,,,usp-sbor,,32
1912,учитель,Nb,учітель,3,,,,,,usp-sbor,,32
1913,утаение,Nb,утаеніе,1,,,,,,usp-sbor,,32
1914,таиныи,A-,таіньіі,2,,,,,,usp-sbor,,32
1915,отънуду,Dq,отънуду,1,,,,,,usp-sbor,,32
1916,начаяти,V-,начаꙗті,2,,,,,,usp-sbor,,32
1917,въсияти,V-,въсіꙗті,4,,,,,,usp-sbor,,32
1918,дьньница,Nb,дьньніца,2,,,,,,usp-sbor,,32
1919,прѣсвѣтьлыи,A-,прѣсвѣтьльіі,2,,,,,,usp-sbor,,32
1920,свѣтѣние,Nb,свѣтѣніе,1,,,,,,usp-sbor,,32
1921,еже,Df,еже,3,,,,,,usp-sbor,,32
1922,назнаменати,V-,назнаменаті,5,,,,,,usp-sbor,,32
1923,паствити,V-,паствіті,1,,,,,,usp-sbor,,32
1924,стадо,Nb,стадо,23,,,,,,usp-sbor,,32
1925,богословесьныи,A-,богословесьньіі,3,,,,,,usp-sbor,,32
1926,курьскъ,Ne,курьскъ,1,,,,,,usp-sbor,,32
1927,доблии,A-,добліі,3,,,,,,usp-sbor,,32
1928,просияти,V-,просіꙗті,3,,,,,,usp-sbor,,32
1929,звѣзда,Nb,звѣзда,1,,,,,,usp-sbor,,32
1930,ожидати,V-,ожідаті,3,,,,,,usp-sbor,,32
1931,въспитати,V-,въспітаті,1,,,,,,usp-sbor,,32
1932,духовьныи,A-,духовьньіі,14,,,,,,usp-sbor,,32
1933,научити,V-,научіті,2,,,,,,usp-sbor,,32
1934,житиискыи,A-,жітііскьіі,1,,,,,,usp-sbor,,32
1935,благословесьныи,A-,благословесьньіі,1,,,,,,usp-sbor,,32
1936,упасти#2,V-,упасті#2,1,,,,,,usp-sbor,,32
1937,божьствьныи,A-,божьствьньіі,24,,,,,,usp-sbor,,32
1938,вѣрьныи,A-,вѣрьньіі,3,,,,,,usp-sbor,,32
1939,талантъ,Nb,талантъ,2,,,,,,usp-sbor,,32
1940,уготовати,V-,уготоваті,8,,,,,,usp-sbor,,32
