wiki_form|generated_match|lcs_match|match_desinence_idx|match_code
отошлёт||||52|0
отошлю́т||||52|0
отосла́л|отослал|otъsъlalъ|40|52|1
отосла́ли|отослали|otъsъlali|148|52|1
отосла́ла|отослала|otъsъlala|146|52|1
отосла́ло|отослало|otъsъlalo|147|52|1
отошлёмте||||52|0
отошли́||||52|0
отошли́те||||52|0
отосла́вший||||52|0
ото́сланный||||52|0
отосла́в|отослав|otъsъlavъ|39|52|1
отосла́вши|отославши|otъsъlavъši|149|52|1
отпаду́|отпаду|otъpadǫ|1|11|1
отпадём|отпадем|otъpademъ|7|11|1
отпадёшь||||11|0
отпадёте|отпадете|otъpadete|6|11|1
отпадёт|отпадет|otъpadetQ|3|11|1
отпаду́т|отпадут|otъpadǫtQ|9|11|1
отпа́л|отпал|otъpadlъ|40|11|1
отпа́ли|отпали|otъpadli|148|11|1
отпа́ла|отпала|otъpadla|146|11|1
отпа́ло|отпало|otъpadlo|147|11|1
отпадёмте||||11|0
отпади́|отпади|otъpadi|29|11|1
отпади́те||||11|0
отпа́вший||||11|0
отпа́в||||11|0
отпа́вши||||11|0
отпою́|отпою|otъpojǫ|1|19|1
отпоём|отпоем|otъpojemъ|7|19|1
отпоёшь||||19|0
отпоёте|отпоете|otъpojete|6|19|1
отпоёт|отпоет|otъpojetQ|3|19|1
отпою́т|отпоют|otъpojǫtQ|9|19|1
отпе́л|отпел|otъpělъ|40|19|1
отпе́ли|отпели|otъpěli|148|19|1
отпе́ла|отпела|otъpěla|146|19|1
отпе́ло|отпело|otъpělo|147|19|1
отпоёмте||||19|0
отпо́й||||19|0
отпо́йте||||19|0
отпе́вший||||19|0
отпе́тый||||19|0
отпе́в|отпев|otъpěvъ|39|19|1
отпе́вши|отпевши|otъpěvъši|149|19|1
отпишу́|отпишу|otъpišǫ|1|52_abl|1
отпи́шем|отпишем|otъpišemъ|7|52_abl|1
отпи́шешь||||52_abl|0
отпи́шете|отпишете|otъpišete|6|52_abl|1
отпи́шет|отпишет|otъpišetQ|3|52_abl|1
отпи́шут|отпишут|otъpišǫtQ|9|52_abl|1
отписа́л|отписал|otъpisalъ|40|52_abl|1
отписа́ли|отписали|otъpisali|148|52_abl|1
отписа́ла|отписала|otъpisala|146|52_abl|1
отписа́ло|отписало|otъpisalo|147|52_abl|1
отпи́шемте||||52_abl|0
отпиши́|отпиши|otъpiši|29|52_abl|1
отпиши́те|отпишите|otъpišite|33|52_abl|1
отписа́вший||||52_abl|0
отпи́санный||||52_abl|0
отписа́в|отписав|otъpisavъ|39|52_abl|1
отписа́вши|отписавши|otъpisavъši|149|52_abl|1
отпущу́|отпущу|otъpušћǫ|1|40|1
отпу́стим|отпустим|otъpustimъ|7|40|1
отпу́стишь||||40|0
отпу́стите|отпустите|otъpustite|6|40|1
отпу́стит|отпустит|otъpustitQ|3|40|1
отпу́стят|отпустят|otъpustętQ|9|40|1
отпусти́л|отпустил|otъpustilъ|40|40|1
отпусти́ли|отпустили|otъpustili|148|40|1
отпусти́ла|отпустила|otъpustila|146|40|1
отпусти́ло|отпустило|otъpustilo|147|40|1
отпу́стимте||||40|0
отпусти́|отпусти|otъpusti|11|40|1
отпусти́те|отпустите|otъpustite|6|40|1
отпусти́вший||||40|0
отпу́щенный||||40|0
отпусти́в|отпустив|otъpustivъ|39|40|1
отпусти́вши|отпустивши|otъpustivъši|149|40|1
отпуща́ю||||54|0
отпуща́ем||||54|0
отпуща́ешь||||54|0
отпуща́ете||||54|0
отпуща́ет||||54|0
отпуща́ют||||54|0
отпуща́л||||54|0
отпуща́ли||||54|0
отпуща́ла||||54|0
отпуща́ло||||54|0
отпуща́й||||54|0
отпуща́йте||||54|0
отпуща́ющий||||54|0
отпуща́вший||||54|0
отпуща́емый||||54|0
отпуща́я||||54|0
отпуща́в||||54|0
отпуща́вши||||54|0
отсеку́|отсеку|otъsěkǫ|1|11|1
отсечём|отсечем|otъsěčemъ|7|11|1
отсечёшь||||11|0
отсечёте|отсечете|otъsěčete|6|11|1
отсечёт|отсечет|otъsěčetQ|3|11|1
отсеку́т|отсекут|otъsěkǫtQ|9|11|1
отсёк|отсек|otъsěkъ|10|11|1
отсекли́|отсекли|otъsěkli|148|11|1
отсекла́|отсекла|otъsěkla|146|11|1
отсекло́|отсекло|otъsěklo|147|11|1
отсечёмте||||11|0
отсеки́|отсеки|otъsěki|29|11|1
отсеки́те||||11|0
отсёкший||||11|0
отсечённый||||11|0
отсёкши|отсекши|otъsěkъši|149|11|1
отста́влю|отставлю|otъstavĺǫ|1|40|1
отста́вим|отставим|otъstavimъ|7|40|1
отста́вишь||||40|0
отста́вите|отставите|otъstavite|6|40|1
отста́вит|отставит|otъstavitQ|3|40|1
отста́вят|отставят|otъstavętQ|9|40|1
отста́вил|отставил|otъstavilъ|40|40|1
отста́вили|отставили|otъstavili|148|40|1
отста́вила|отставила|otъstavila|146|40|1
отста́вило|отставило|otъstavilo|147|40|1
отста́вимте||||40|0
отста́вь||||40|0
отста́вьте||||40|0
отста́вивший||||40|0
отста́вленный||||40|0
отста́вив|отставив|otъstavivъ|39|40|1
отста́вивши|отставивши|otъstavivъši|149|40|1
отстою́|отстою|otъstojǫ|1|31|1
отстои́м|отстоим|otъstojimъ|7|31|1
отстои́шь||||31|0
отстои́те|отстоите|otъstojite|6|31|1
отстои́т|отстоит|otъstojitQ|3|31|1
отстоя́т|отстоят|otъstojętQ|9|31|1
отстоя́л|отстоял|otъstojǢlъ|40|31|1
отстоя́ли|отстояли|otъstojǢli|148|31|1
отстоя́ла|отстояла|otъstojǢla|146|31|1
отстоя́ло|отстояло|otъstojǢlo|147|31|1
отстои́мте||||31|0
отсто́й||||31|0
отсто́йте||||31|0
отстоя́вший||||31|0
отсто́янный||||31|0
отстоя́в|отстояв|otъstojǢvъ|39|31|1
отстоя́вши|отстоявши|otъstojǢvъši|149|31|1
отстою́|отстою|otъstojǫ|1|31|1
отстои́м|отстоим|otъstojimъ|7|31|1
отстои́шь||||31|0
отстои́те|отстоите|otъstojite|6|31|1
отстои́т|отстоит|otъstojitQ|3|31|1
отстоя́т|отстоят|otъstojętQ|9|31|1
отстоя́л|отстоял|otъstojǢlъ|40|31|1
отстоя́ли|отстояли|otъstojǢli|148|31|1
отстоя́ла|отстояла|otъstojǢla|146|31|1
отстоя́ло|отстояло|otъstojǢlo|147|31|1
отстои́мте||||31|0
отсто́й||||31|0
отсто́йте||||31|0
отстоя́вший||||31|0
отсто́янный||||31|0
отстоя́в|отстояв|otъstojǢvъ|39|31|1
отстоя́вши|отстоявши|otъstojǢvъši|149|31|1
отстою́|отстою|otъstojǫ|1|31|1
отстои́м|отстоим|otъstojimъ|7|31|1
отстои́шь||||31|0
отстои́те|отстоите|otъstojite|6|31|1
отстои́т|отстоит|otъstojitQ|3|31|1
отстоя́т|отстоят|otъstojętQ|9|31|1
отстоя́л|отстоял|otъstojǢlъ|40|31|1
отстоя́ли|отстояли|otъstojǢli|148|31|1
отстоя́ла|отстояла|otъstojǢla|146|31|1
отстоя́ло|отстояло|otъstojǢlo|147|31|1
отстои́мте||||31|0
отсто́й||||31|0
отсто́йте||||31|0
отстоя́вший||||31|0
отсто́янный||||31|0
отстоя́в|отстояв|otъstojǢvъ|39|31|1
отстоя́вши|отстоявши|otъstojǢvъši|149|31|1
отстою́|отстою|otъstojǫ|1|31|1
отстои́м|отстоим|otъstojimъ|7|31|1
отстои́шь||||31|0
отстои́те|отстоите|otъstojite|6|31|1
отстои́т|отстоит|otъstojitQ|3|31|1
отстоя́т|отстоят|otъstojętQ|9|31|1
отстоя́л|отстоял|otъstojǢlъ|40|31|1
отстоя́ли|отстояли|otъstojǢli|148|31|1
отстоя́ла|отстояла|otъstojǢla|146|31|1
отстоя́ло|отстояло|otъstojǢlo|147|31|1
отсто́й||||31|0
отсто́йте||||31|0
отстоя́щий||||31|0
отстоя́вший||||31|0
отстоя́|отстоя|otъstojǢ|11|31|1
отстоя́в|отстояв|otъstojǢvъ|39|31|1
отстоя́вши|отстоявши|otъstojǢvъši|149|31|1
отступа́ю|отступаю|otъstǫpajǫ|1|54|1
отступа́ем|отступаем|otъstǫpajemъ|7|54|1
отступа́ешь||||54|0
отступа́ете|отступаете|otъstǫpajete|6|54|1
отступа́ет|отступает|otъstǫpajetQ|3|54|1
отступа́ют|отступают|otъstǫpajǫtQ|9|54|1
отступа́л|отступал|otъstǫpalъ|40|54|1
отступа́ли|отступали|otъstǫpali|148|54|1
отступа́ла|отступала|otъstǫpala|146|54|1
отступа́ло|отступало|otъstǫpalo|147|54|1
отступа́й||||54|0
отступа́йте||||54|0
отступа́ющий||||54|0
отступа́вший||||54|0
отступа́емый||||54|0
отступа́я|отступая|otъstǫpaję|37|54|1
отступа́в|отступав|otъstǫpavъ|39|54|1
отступа́вши|отступавши|otъstǫpavъši|149|54|1
отступлю́|отступлю|otъstǫpĺǫ|1|40|1
отсту́пим|отступим|otъstǫpimъ|7|40|1
отсту́пишь||||40|0
отсту́пите|отступите|otъstǫpite|6|40|1
отсту́пит|отступит|otъstǫpitQ|3|40|1
отсту́пят|отступят|otъstǫpętQ|9|40|1
отступи́л|отступил|otъstǫpilъ|40|40|1
отступи́ли|отступили|otъstǫpili|148|40|1
отступи́ла|отступила|otъstǫpila|146|40|1
отступи́ло|отступило|otъstǫpilo|147|40|1
отсту́пимте||||40|0
отступи́|отступи|otъstǫpi|11|40|1
отступи́те|отступите|otъstǫpite|6|40|1
отступи́вший||||40|0
отступи́в|отступив|otъstǫpivъ|39|40|1
отступи́вши|отступивши|otъstǫpivъši|149|40|1
отсту́пник||||masc_o|0
отсту́пники||||masc_o|0
отсту́пника||||masc_o|0
отсту́пников||||masc_o|0
отсту́пнику||||masc_o|0
отсту́пникам||||masc_o|0
отсту́пником||||masc_o|0
отсту́пниками||||masc_o|0
отсту́пнике||||masc_o|0
отсту́пниках||||masc_o|0
оттоле|оттоле|otъtolě|0|non_infl|1
оттуда|оттуда|otъtǫda|0|non_infl|1
оттудова|оттудова|otъtǫdova|0|non_infl|1
отхожу́|отхожу|otъxoђǫ|1|40|1
отхо́дим|отходим|otъxodimъ|7|40|1
отхо́дишь||||40|0
отхо́дите|отходите|otъxodite|6|40|1
отхо́дит|отходит|otъxoditQ|3|40|1
отхо́дят|отходят|otъxodętQ|9|40|1
отходи́л|отходил|otъxodilъ|40|40|1
отходи́ли|отходили|otъxodili|148|40|1
отходи́ла|отходила|otъxodila|146|40|1
отходи́ло|отходило|otъxodilo|147|40|1
отходи́|отходи|otъxodi|11|40|1
отходи́те|отходите|otъxodite|6|40|1
отходя́щий||||40|0
отходи́вший||||40|0
отходя́|отходя|otъxodę|36|40|1
отходи́в|отходив|otъxodivъ|39|40|1
отходи́вши|отходивши|otъxodivъši|149|40|1
отхожу́|отхожу|otъxoђǫ|1|40|1
отхо́дим|отходим|otъxodimъ|7|40|1
отхо́дишь||||40|0
отхо́дите|отходите|otъxodite|6|40|1
отхо́дит|отходит|otъxoditQ|3|40|1
отхо́дят|отходят|otъxodętQ|9|40|1
отходи́л|отходил|otъxodilъ|40|40|1
отходи́ли|отходили|otъxodili|148|40|1
отходи́ла|отходила|otъxodila|146|40|1
отходи́ло|отходило|otъxodilo|147|40|1
отхо́димте||||40|0
отходи́|отходи|otъxodi|11|40|1
отходи́те|отходите|otъxodite|6|40|1
отходи́вший||||40|0
отхо́женный||||40|0
отходи́в|отходив|otъxodivъ|39|40|1
отходи́вши|отходивши|otъxodivъši|149|40|1
о́тчий||||adj_soft|0
о́тчее||||adj_soft|0
о́тчая||||adj_soft|0
о́тчие||||adj_soft|0
о́тчего||||adj_soft|0
о́тчей||||adj_soft|0
о́тчих||||adj_soft|0
о́тчему||||adj_soft|0
о́тчим||||adj_soft|0
о́тчую||||adj_soft|0
о́тчею||||adj_soft|0
о́тчими||||adj_soft|0
о́тчем||||adj_soft|0
о́тч||||adj_soft|0
о́тче||||adj_soft|0
о́тча||||adj_soft|0
о́тчи||||adj_soft|0
отше́ствие||||nt_jo|0
отше́ствия||||nt_jo|0
отше́ствий||||nt_jo|0
отше́ствию||||nt_jo|0
отше́ствиям||||nt_jo|0
отше́ствием||||nt_jo|0
отше́ствиями||||nt_jo|0
отше́ствии||||nt_jo|0
отше́ствиях||||nt_jo|0
Па́влов||||adj_hard|0
Па́влова||||adj_hard|0
Па́вловы||||adj_hard|0
Па́вловой||||adj_hard|0
Па́вловых||||adj_hard|0
Па́влову||||adj_hard|0
Па́вловым||||adj_hard|0
Па́вловыми||||adj_hard|0
Па́влове||||adj_hard|0
па́губный||||adj_hard|0
па́губное||||adj_hard|0
па́губная||||adj_hard|0
па́губные||||adj_hard|0
па́губного||||adj_hard|0
па́губной||||adj_hard|0
па́губных||||adj_hard|0
па́губному||||adj_hard|0
па́губным||||adj_hard|0
па́губную||||adj_hard|0
па́губною||||adj_hard|0
па́губными||||adj_hard|0
па́губном||||adj_hard|0
па́губен|пагубен|pagubьnъ|7|adj_hard|1
па́губно||||adj_hard|0
па́губна||||adj_hard|0
па́губны||||adj_hard|0
па́кость|пакость|pakostь|22|fem_i|1
па́кости|пакости|pakosti|24|fem_i|1
па́костей|пакостей|pakostьjь|38|fem_i|1
па́костям|пакостям|pakostǢmъ|39|fem_i|1
па́костью|пакостью|pakostьjǫ|27|fem_i|1
па́костями|пакостями|pakostǢmi|41|fem_i|1
па́костях|пакостях|pakostǢxъ|40|fem_i|1
па́лка|палка|palъka|22|fem_a|1
па́лки|палки|palъky|24|fem_a|1
па́лок|палок|palъkъ|38|fem_a|1
па́лке|палке|palъkě|25|fem_a|1
па́лкам|палкам|palъkamъ|39|fem_a|1
па́лку|палку|palъkǫ|23|fem_a|1
па́лкой||||fem_a|0
па́лкою|палкою|palъkojǫ|27|fem_a|1
па́лками|палками|palъkami|41|fem_a|1
па́лках|палках|palъkaxъ|40|fem_a|1
па́лка|палка|palъka|22|fem_a|1
па́лки|палки|palъky|24|fem_a|1
па́лок|палок|palъkъ|38|fem_a|1
па́лке|палке|palъkě|25|fem_a|1
па́лкам|палкам|palъkamъ|39|fem_a|1
па́лку|палку|palъkǫ|23|fem_a|1
па́лкой||||fem_a|0
па́лкою|палкою|palъkojǫ|27|fem_a|1
па́лками|палками|palъkami|41|fem_a|1
па́лках|палках|palъkaxъ|40|fem_a|1
Пафну́тьев||||adj_hard|0
Пафну́тьева||||adj_hard|0
Пафну́тьевы||||adj_hard|0
Пафну́тьевой||||adj_hard|0
Пафну́тьевых||||adj_hard|0
Пафну́тьеву||||adj_hard|0
Пафну́тьевым||||adj_hard|0
Пафну́тьевыми||||adj_hard|0
Пафну́тьеве||||adj_hard|0
пе́ние||||nt_jo|0
пе́ния||||nt_jo|0
пе́ний||||nt_jo|0
пе́нию||||nt_jo|0
пе́ниям||||nt_jo|0
пе́нием||||nt_jo|0
пе́ниями||||nt_jo|0
пе́нии||||nt_jo|0
пе́ниях||||nt_jo|0
пе́рвый||||adj_hard|0
пе́рвое|первое|pṝvoje|43|adj_hard|1
пе́рвая|первая|pṝvajǢ|22|adj_hard|1
пе́рвые|первые|pṝvyję̌|15|adj_hard|1
пе́рвого|первого|pṝvogo|3|adj_hard|1
пе́рвой|первой|pṝvъjь|1|adj_hard|1
пе́рвых|первых|pṝvyxъ|17|adj_hard|1
пе́рвому|первому|pṝvomu|4|adj_hard|1
пе́рвым|первым|pṝvymь|6|adj_hard|1
пе́рвую|первую|pṝvǫjǫ|23|adj_hard|1
пе́рвою|первою|pṝvojǫ|27|adj_hard|1
пе́рвыми|первыми|pṝvymi|20|adj_hard|1
пе́рвом|первом|pṝvomь|5|adj_hard|1
переберу́|переберу|perberǫ|1|51_abl|1
переберём|переберем|perberemъ|7|51_abl|1
переберёшь||||51_abl|0
переберёте|переберете|perberete|6|51_abl|1
переберёт|переберет|perberetQ|3|51_abl|1
переберу́т|переберут|perberǫtQ|9|51_abl|1
перебра́л||||51_abl|0
перебра́ли||||51_abl|0
перебрала́||||51_abl|0
перебрало́||||51_abl|0
переберёмте||||51_abl|0
перебери́|перебери|perberi|29|51_abl|1
перебери́те||||51_abl|0
перебра́вший||||51_abl|0
пере́бранный||||51_abl|0
перебра́в||||51_abl|0
перебра́вши||||51_abl|0
пере́дний||||adj_soft|0
пере́днее||||adj_soft|0
пере́дняя||||adj_soft|0
пере́дние||||adj_soft|0
пере́днего||||adj_soft|0
пере́дней||||adj_soft|0
пере́дних||||adj_soft|0
пере́днему||||adj_soft|0
пере́дним||||adj_soft|0
пере́днюю||||adj_soft|0
пере́днею||||adj_soft|0
пере́дними||||adj_soft|0
пере́днем||||adj_soft|0
пере́ден||||adj_soft|0
пере́дне||||adj_soft|0
пере́дня||||adj_soft|0
пере́дни||||adj_soft|0
перекрещу́||||40|0
перекре́стим||||40|0
перекре́стишь||||40|0
перекре́стите||||40|0
перекре́стит||||40|0
перекре́стят||||40|0
перекрести́л||||40|0
перекрести́ли||||40|0
перекрести́ла||||40|0
перекрести́ло||||40|0
перекре́стимте||||40|0
перекрести́||||40|0
перекрести́те||||40|0
перекрести́вший||||40|0
перекрещённый||||40|0
перекрестя́||||40|0
перекрести́в||||40|0
перекрести́вши||||40|0
перекрещу́||||40|0
перекре́стим||||40|0
перекре́стишь||||40|0
перекре́стите||||40|0
перекре́стит||||40|0
перекре́стят||||40|0
перекрести́л||||40|0
перекрести́ли||||40|0
перекрести́ла||||40|0
перекрести́ло||||40|0
перекре́стимте||||40|0
перекрести́||||40|0
перекрести́те||||40|0
перекрести́вший||||40|0
перекрещённый||||40|0
перекрестя́||||40|0
перекрести́в||||40|0
перекрести́вши||||40|0
пересмотрю́||||40|0
пересмо́трим|пересмотрим|persъmotrimъ|7|40|1
пересмо́тришь||||40|0
пересмо́трите|пересмотрите|persъmotrite|6|40|1
пересмо́трит|пересмотрит|persъmotritQ|3|40|1
пересмо́трят|пересмотрят|persъmotrętQ|9|40|1
пересмотре́л||||40|0
пересмотре́ли||||40|0
пересмотре́ла||||40|0
пересмотре́ло||||40|0
пересмо́тримте||||40|0
пересмотри́|пересмотри|persъmotri|11|40|1
пересмотри́те|пересмотрите|persъmotrite|6|40|1
пересмотре́вший||||40|0
пересмо́тренный||||40|0
пересмотре́в||||40|0
пересмотре́вши||||40|0
пе́рец||||masc_o_PV3|0
пе́рцы||||masc_o_PV3|0
пе́рца||||masc_o_PV3|0
пе́рцев||||masc_o_PV3|0
пе́рцу||||masc_o_PV3|0
пе́рцам||||masc_o_PV3|0
пе́рцем||||masc_o_PV3|0
пе́рцами||||masc_o_PV3|0
пе́рце||||masc_o_PV3|0
пе́рцах||||masc_o_PV3|0
перст|перст|pṝstъ|1|masc_o|1
персты́|персты|pṝsty|16|masc_o|1
перста́|перста|pṝsta|3|masc_o|1
персто́в|перстов|pṝstovъ|17|masc_o|1
персту́|персту|pṝstu|4|masc_o|1
перста́м|перстам|pṝstamъ|18|masc_o|1
персто́м|перстом|pṝstOmь|6|masc_o|1
перста́ми|перстами|pṝstami|20|masc_o|1
персте́|персте|pṝstě|5|masc_o|1
перста́х|перстах|pṝstaxъ|19|masc_o|1
пе́рсть|персть|pṝstь|22|fem_i|1
пе́рсти|персти|pṝsti|24|fem_i|1
пе́рстей|перстей|pṝstьjь|38|fem_i|1
пе́рстям|перстям|pṝstǢmъ|39|fem_i|1
пе́рстью|перстью|pṝstьjǫ|27|fem_i|1
пе́рстями|перстями|pṝstǢmi|41|fem_i|1
пе́рстях|перстях|pṝstǢxъ|40|fem_i|1
пе́рмский||||adj_hard|0
пе́рмское||||adj_hard|0
пе́рмская||||adj_hard|0
пе́рмские||||adj_hard|0
пе́рмского||||adj_hard|0
пе́рмской||||adj_hard|0
пе́рмских||||adj_hard|0
пе́рмскому||||adj_hard|0
пе́рмским||||adj_hard|0
пе́рмскую||||adj_hard|0
пе́рмскою||||adj_hard|0
пе́рмскими||||adj_hard|0
пе́рмском||||adj_hard|0
пе́рси|перси|pṝsi|24|fem_i|1
пе́рсей|персей|pṝsьjь|38|fem_i|1
пе́рсям|персям|pṝsǢmъ|39|fem_i|1
пе́рсями|персями|pṝsǢmi|41|fem_i|1
пе́рсях|персях|pṝsǢxъ|40|fem_i|1
печа́льный||||adj_hard|0
печа́льное|печальное|pečǢlьnoje|43|adj_hard|1
печа́льная|печальная|pečǢlьnajǢ|22|adj_hard|1
печа́льные|печальные|pečǢlьnyję̌|15|adj_hard|1
печа́льного|печального|pečǢlьnogo|3|adj_hard|1
печа́льной|печальной|pečǢlьnъjь|1|adj_hard|1
печа́льных|печальных|pečǢlьnyxъ|17|adj_hard|1
печа́льному|печальному|pečǢlьnomu|4|adj_hard|1
печа́льным|печальным|pečǢlьnymь|6|adj_hard|1
печа́льную|печальную|pečǢlьnǫjǫ|23|adj_hard|1
печа́льною|печальною|pečǢlьnojǫ|27|adj_hard|1
печа́льными|печальными|pečǢlьnymi|20|adj_hard|1
печа́льном|печальном|pečǢlьnomь|5|adj_hard|1
печа́лен|печален|pečǢlьnъ|7|adj_hard|1
печа́льно|печально|pečǢlьno|49|adj_hard|1
печа́льна|печальна|pečǢlьna|8|adj_hard|1
печа́льны|печальны|pečǢlьny|21|adj_hard|1
пече́рский||||adj_hard|0
пече́рское||||adj_hard|0
пече́рская||||adj_hard|0
пече́рские||||adj_hard|0
пече́рского||||adj_hard|0
пече́рской||||adj_hard|0
пече́рских||||adj_hard|0
пече́рскому||||adj_hard|0
пече́рским||||adj_hard|0
пече́рскую||||adj_hard|0
пече́рскою||||adj_hard|0
пече́рскими||||adj_hard|0
пече́рском||||adj_hard|0
печене́жский||||adj_hard|0
печене́жское|печенежское|pečeněžьskoje|43|adj_hard|1
печене́жская|печенежская|pečeněžьskajǢ|22|adj_hard|1
печене́жские|печенежские|pečeněžьskyję̌|15|adj_hard|1
печене́жского|печенежского|pečeněžьskogo|3|adj_hard|1
печене́жской|печенежской|pečeněžьskъjь|1|adj_hard|1
печене́жских|печенежских|pečeněžьskyxъ|17|adj_hard|1
печене́жскому|печенежскому|pečeněžьskomu|4|adj_hard|1
печене́жским|печенежским|pečeněžьskymь|6|adj_hard|1
печене́жскую|печенежскую|pečeněžьskǫjǫ|23|adj_hard|1
печене́жскою|печенежскою|pečeněžьskojǫ|27|adj_hard|1
печене́жскими|печенежскими|pečeněžьskymi|20|adj_hard|1
печене́жском|печенежском|pečeněžьskomь|5|adj_hard|1
печа́тный||||adj_hard|0
печа́тное||||adj_hard|0
печа́тная||||adj_hard|0
печа́тные||||adj_hard|0
печа́тного||||adj_hard|0
печа́тной||||adj_hard|0
печа́тных||||adj_hard|0
печа́тному||||adj_hard|0
печа́тным||||adj_hard|0
печа́тную||||adj_hard|0
печа́тною||||adj_hard|0
печа́тными||||adj_hard|0
печа́тном||||adj_hard|0
печа́тен|печатен|pečǢtьnъ|7|adj_hard|1
печа́тно||||adj_hard|0
печа́тна||||adj_hard|0
печа́тны||||adj_hard|0
пивно́й|пивной|pivьnъjь|1|adj_hard|1
пивно́е|пивное|pivьnoje|43|adj_hard|1
пивна́я|пивная|pivьnajǢ|22|adj_hard|1
пивны́е|пивные|pivьnyję̌|15|adj_hard|1
пивно́го|пивного|pivьnogo|3|adj_hard|1
пивны́х|пивных|pivьnyxъ|17|adj_hard|1
пивно́му|пивному|pivьnomu|4|adj_hard|1
пивны́м|пивным|pivьnymь|6|adj_hard|1
пивну́ю|пивную|pivьnǫjǫ|23|adj_hard|1
пивно́ю|пивною|pivьnojǫ|27|adj_hard|1
пивны́ми|пивными|pivьnymi|20|adj_hard|1
пивно́м|пивном|pivьnomь|5|adj_hard|1
пивно́|пивно|pivьno|49|adj_hard|1
пивна́|пивна|pivьna|8|adj_hard|1
пивны́|пивны|pivьny|21|adj_hard|1
писе́ц|писец|pisьkь|1|masc_o_PV3|1
писцы́||||masc_o_PV3|0
писца́||||masc_o_PV3|0
писцо́в||||masc_o_PV3|0
писцу́||||masc_o_PV3|0
писца́м||||masc_o_PV3|0
писцо́м||||masc_o_PV3|0
писца́ми||||masc_o_PV3|0
писце́||||masc_o_PV3|0
писца́х||||masc_o_PV3|0
пишу́|пишу|pišǫ|1|52_abl|1
пи́шем|пишем|pišemъ|7|52_abl|1
пи́шешь||||52_abl|0
пи́шете|пишете|pišete|6|52_abl|1
пи́шет|пишет|pišetQ|3|52_abl|1
пи́шут|пишут|pišǫtQ|9|52_abl|1
писа́л|писал|pisalъ|40|52_abl|1
писа́ли|писали|pisali|148|52_abl|1
писа́ла|писала|pisala|146|52_abl|1
писа́ло|писало|pisalo|147|52_abl|1
пиши́|пиши|piši|29|52_abl|1
пиши́те|пишите|pišite|33|52_abl|1
пи́шущий||||52_abl|0
писа́вший||||52_abl|0
пи́санный||||52_abl|0
пиша́|пиша|pišę|37|52_abl|1
писа́в|писав|pisavъ|39|52_abl|1
писа́вши|писавши|pisavъši|149|52_abl|1
пи́саю||||52_abl|0
пи́саем||||52_abl|0
пи́саешь||||52_abl|0
пи́саете||||52_abl|0
пи́сает||||52_abl|0
пи́сают||||52_abl|0
пи́сал|писал|pisalъ|40|52_abl|1
пи́сали|писали|pisali|148|52_abl|1
пи́сала|писала|pisala|146|52_abl|1
пи́сало|писало|pisalo|147|52_abl|1
пи́сай||||52_abl|0
пи́сайте||||52_abl|0
пи́сающий||||52_abl|0
пи́савший||||52_abl|0
пи́сая||||52_abl|0
пи́сав|писав|pisavъ|39|52_abl|1
пи́савши|писавши|pisavъši|149|52_abl|1
пи́сьменный||||adj_hard|0
пи́сьменное|письменное|pisьmenьnoje|43|adj_hard|1
пи́сьменная|письменная|pisьmenьnajǢ|22|adj_hard|1
пи́сьменные|письменные|pisьmenьnyję̌|15|adj_hard|1
пи́сьменного|письменного|pisьmenьnogo|3|adj_hard|1
пи́сьменной|письменной|pisьmenьnъjь|1|adj_hard|1
пи́сьменных|письменных|pisьmenьnyxъ|17|adj_hard|1
пи́сьменному|письменному|pisьmenьnomu|4|adj_hard|1
пи́сьменным|письменным|pisьmenьnymь|6|adj_hard|1
пи́сьменную|письменную|pisьmenьnǫjǫ|23|adj_hard|1
пи́сьменною|письменною|pisьmenьnojǫ|27|adj_hard|1
пи́сьменными|письменными|pisьmenьnymi|20|adj_hard|1
пи́сьменном|письменном|pisьmenьnomь|5|adj_hard|1
пи́сьменен|письменен|pisьmenьnъ|7|adj_hard|1
пи́сьмен||||adj_hard|0
пи́сьменно|письменно|pisьmenьno|49|adj_hard|1
пи́сьменна|письменна|pisьmenьna|8|adj_hard|1
пи́сьменны|письменны|pisьmenьny|21|adj_hard|1
письмена́|письмена|pisьmena|57|nt_N|1
письмён|письмен|pisьmenъ|59|nt_N|1
письмена́м|письменам|pisьmenamъ|60|nt_N|1
письмена́ми|письменами|pisьmenami|62|nt_N|1
письмена́х|письменах|pisьmenaxъ|61|nt_N|1
письмо́|письмо|pisьmo|43|nt_o|1
пи́сьма|письма|pisьma|45|nt_o|1
письма́|письма|pisьma|45|nt_o|1
пи́сем|писем|pisьmъ|59|nt_o|1
письму́|письму|pisьmu|46|nt_o|1
пи́сьмам|письмам|pisьmamъ|60|nt_o|1
письмо́м|письмом|pisьmOmь|48|nt_o|1
пи́сьмами|письмами|pisьmami|62|nt_o|1
письме́|письме|pisьmě|47|nt_o|1
пи́сьмах|письмах|pisьmaxъ|61|nt_o|1
пью́|пью|pьjǫ|1|17|1
пьём|пьем|pьjemъ|7|17|1
пьёшь||||17|0
пьёте|пьете|pьjete|6|17|1
пьёт|пьет|pьjetQ|3|17|1
пью́т|пьют|pьjǫtQ|9|17|1
пи́л|пил|pilъ|40|17|1
пи́ли|пили|pili|148|17|1
пила́|пила|pila|146|17|1
пи́ло|пило|pilo|147|17|1
пе́й|пей|pьjь|29|17|1
