wiki_form|generated_match|lcs_match|match_desinence_idx|match_code
бесо́вской|бесовской|běsovьskъjь|1|adj_hard|1
бесо́вских|бесовских|běsovьskyxъ|17|adj_hard|1
бесо́вскому|бесовскому|běsovьskomu|4|adj_hard|1
бесо́вским|бесовским|běsovьskymь|6|adj_hard|1
бесо́вскую|бесовскую|běsovьskǫjǫ|23|adj_hard|1
бесо́вскою|бесовскою|běsovьskojǫ|27|adj_hard|1
бесо́вскими|бесовскими|běsovьskymi|20|adj_hard|1
бесо́вском|бесовском|běsovьskomь|5|adj_hard|1
беспрестанно||||0
бесце́нный||||adj_hard|0
бесце́нное|бесценное|beskěnьnoje|43|adj_hard|1
бесце́нная|бесценная|beskěnьnajǢ|22|adj_hard|1
бесце́нные|бесценные|beskěnьnyję̌|15|adj_hard|1
бесце́нного|бесценного|beskěnьnogo|3|adj_hard|1
бесце́нной|бесценной|beskěnьnъjь|1|adj_hard|1
бесце́нных|бесценных|beskěnьnyxъ|17|adj_hard|1
бесце́нному|бесценному|beskěnьnomu|4|adj_hard|1
бесце́нным|бесценным|beskěnьnymь|6|adj_hard|1
бесце́нную|бесценную|beskěnьnǫjǫ|23|adj_hard|1
бесце́нною|бесценною|beskěnьnojǫ|27|adj_hard|1
бесце́нными|бесценными|beskěnьnymi|20|adj_hard|1
бесце́нном|бесценном|beskěnьnomь|5|adj_hard|1
бесце́нен|бесценен|beskěnьnъ|7|adj_hard|1
бесце́нно|бесценно|beskěnьno|49|adj_hard|1
бесце́нна|бесценна|beskěnьna|8|adj_hard|1
бесце́нны|бесценны|beskěnьny|21|adj_hard|1
бесчи́сленный||||adj_hard|0
бесчи́сленное||||adj_hard|0
бесчи́сленная||||adj_hard|0
бесчи́сленные||||adj_hard|0
бесчи́сленного||||adj_hard|0
бесчи́сленной||||adj_hard|0
бесчи́сленных||||adj_hard|0
бесчи́сленному||||adj_hard|0
бесчи́сленным||||adj_hard|0
бесчи́сленную||||adj_hard|0
бесчи́сленною||||adj_hard|0
бесчи́сленными||||adj_hard|0
бесчи́сленном||||adj_hard|0
бесчи́слен||||adj_hard|0
бесчи́сленно||||adj_hard|0
бесчи́сленна||||adj_hard|0
бесчи́сленны||||adj_hard|0
бесчиние||||nt_jo|0
бесчиния||||nt_jo|0
бесчиний||||nt_jo|0
бесчинию||||nt_jo|0
бесчиниям||||nt_jo|0
бесчинием||||nt_jo|0
бесчиниями||||nt_jo|0
бесчинии||||nt_jo|0
бесчиниях||||nt_jo|0
би́сер|бисер|bisьrъ|1|masc_o|1
би́серы||||masc_o|0
би́сера||||masc_o|0
би́серов||||masc_o|0
би́серу||||masc_o|0
би́серам||||masc_o|0
би́сером||||masc_o|0
би́серами||||masc_o|0
би́сере||||masc_o|0
би́серах||||masc_o|0
бью́|бью|bьjǫ|1|17|1
бьём|бьем|bьjemъ|7|17|1
бьёшь||||17|0
бьёте|бьете|bьjete|6|17|1
бьёт|бьет|bьjetQ|3|17|1
бью́т|бьют|bьjǫtQ|9|17|1
би́л|бил|bilъ|40|17|1
би́ли|били|bili|148|17|1
би́ла|била|bila|146|17|1
би́ло|било|bilo|147|17|1
бе́й|бей|bьjь|29|17|1
бе́йте|бейте|bьjьte|35|17|1
бью́щий||||17|0
би́вший||||17|0
би́тый||||17|0
бья́|бья|bьję|37|17|1
би́в|бив|bivъ|39|17|1
би́вши|бивши|bivъši|149|17|1
благово́нный||||adj_hard|0
благово́нное||||adj_hard|0
благово́нная||||adj_hard|0
благово́нные||||adj_hard|0
благово́нного||||adj_hard|0
благово́нной||||adj_hard|0
благово́нных||||adj_hard|0
благово́нному||||adj_hard|0
благово́нным||||adj_hard|0
благово́нную||||adj_hard|0
благово́нною||||adj_hard|0
благово́нными||||adj_hard|0
благово́нном||||adj_hard|0
благово́нен|благовонен|bolgovońьnъ|7|adj_hard|1
благово́нно||||adj_hard|0
благово́нна||||adj_hard|0
благово́нны||||adj_hard|0
благове́рный||||adj_hard|0
благове́рные||||adj_hard|0
благове́рного|благоверного|bolgověrьnogo|3|adj_hard|1
благове́рных|благоверных|bolgověrьnyxъ|17|adj_hard|1
благове́рному|благоверному|bolgověrьnomu|4|adj_hard|1
благове́рным|благоверным|bolgověrьnymь|6|adj_hard|1
благове́рными|благоверными|bolgověrьnymi|20|adj_hard|1
благове́рном|благоверном|bolgověrьnomь|5|adj_hard|1
благове́рный||||adj_hard|0
благове́рное|благоверное|bolgověrьnoje|43|adj_hard|1
благове́рная|благоверная|bolgověrьnajǢ|22|adj_hard|1
