чрѣвѣ,Nb,1291,чрѣво
приӣметъ,V-,165,приѩти
ӣ,C-,13,и
родітъ,V-,1198,родити#1
с҃на,Nb,341,сꙑнъ#1
ӣ,C-,13,и
нарекѫтъ,V-,311,нарещи
ӣмѧ,Nb,442,имѧ
е̄моу,Pp,64,и
е̄нм̄аноуӣль,Ne,0,
Е̄же,Pr,96,иже
е̄стъ,V-,18,бꙑти
ськаӡае̄мо,V-,97,съказати
сь,R-,92,съ
нами,Pp,167,мꙑ
б҃ъ,Nb,34,богъ
Въставъ,V-,975,въстати
же,Df,20,же
ӣо̄сіфь,Ne,1392,иосифъ
о̄тъ,R-,80,отъ
сьна,Nb,1976,сънъ
сьтворі,V-,73,сътворити
ѣ̄коже,Dq,88,ꙗкоже
повелѣ,V-,169,повелѣти
е̄моу,Pp,64,и
а̄н҃ђлъ,Nb,159,ангелъ
ӣ,C-,13,и
приѧ̄тъ,V-,165,приѩти
женѫ,Nb,693,жена
сво҃ѭ̄,Pt,217,свои
ӣ,C-,13,и
не,Df,8,не
ӡнаа̄ше,V-,0,
е̄ѧ̄,Pp,64,и
донд̄еже,G-,677,доньде
роді,V-,1198,родити#1
с҃нъ,Nb,341,сꙑнъ#1
своӣ,Pt,217,свои
пръвѣнець,Nb,2474,прьвѣньць
и,C-,13,и
нарече,V-,311,нарещи
ӣмѧ,Nb,442,имѧ
е̄моу,Pp,64,и
ӣс҃ъ,Ne,343,исоусъ
῾И҃соу,Ne,343,исоусъ
рождьшю,V-,0,
сѧ,Pk,21,себе
въ,R-,111,въ
віѳ᾽лео̄ми,Nb,0,
ӣю̄деистѣмь,A-,1587,июдеискъ
Въ,R-,111,въ
дьні,Nb,523,дьнь
ӣрода,Ne,1396,иродъ
ц҃рѣ,Nb,275,цѣсарь
Се,Pd,47,сь
влъсві,Nb,4593,влъхвъ
о̄тъ,R-,80,отъ
въстокь,Nb,960,въстокъ
Прідѫ,V-,221,прити
въ,R-,111,въ
ӣе̄рл҃мъ,Ne,0,
г҃лште,V-,102,глаголати
Кьде,Du,993,къде
е̄стъ,V-,18,бꙑти
рождеӣ,V-,0,
сѧ,Pk,21,себе
ц҃рь,Nb,275,цѣсарь
᾽ию̄деӣск᾽ь,A-,1587,июдеискъ
Видѣхомъ,V-,479,видѣти
бо,Df,94,бо
ѕ᾽вѣӡдѫ,Nb,1853,ѕвѣзда
е̄го,Pp,64,и
на,R-,117,на
вьстоцѣ,Nb,960,въстокъ
ӣ,C-,13,и
прідомъ,V-,221,прити
поклонітъ,V-,1434,поклонити
сѧ,Pk,21,себе
е̄моу,Pp,64,и
Слъішавъ,V-,689,слꙑшати
же,Df,20,же
ӣродъ,Ne,1396,иродъ
ц҃рь,Nb,275,цѣсарь
сьмѧте,V-,1095,съмѧсти
сѧ,Pk,21,себе
ӣ,C-,13,и
весь,Px,54,вьсь
ӣе̄р̄сл҃мъ,Ne,0,
съ,R-,92,съ
німъ,Pp,64,и
ӣ,C-,13,и
събьравъ,V-,233,събьрати
вьсѧ,Px,54,вьсь
а̄рх̄ие̄ре̄ѧ̄,Nb,943,архиереи
ӣ,C-,13,и
кьніжьникъі,Nb,928,кънижьникъ
людьскъіѧ̄,A-,1693,людьскъ
въпрашаа̄ше,V-,1505,въпрашати
ѧ̄,Pp,64,и
кьде,Du,993,къде
х҃ъ,Ne,305,христ(ос)ъ
раждае̄тъ,V-,3209,раждати
сѧ,Pk,21,себе
о̄ни,Pd,83,онъ
же,Df,20,же
рѣшѧ,V-,106,рещи
е̄моу,Pp,64,и
въ,R-,111,въ
віѳлео̄ми,Nb,0,
ӣю̄деӣстѣӣ,A-,1587,июдеискъ
Тако,Df,48,тако
бо,Df,94,бо
пісано,V-,32,пьсати
е̄стъ,V-,18,бꙑти
ӣ,C-,13,и
тъі,Pp,304,тꙑ
віѳлее̄ме,V-,0,
ӡемл҃е,Nb,210,землꙗ
ӣю̄дова,A-,2442,июдовъ
Нічімъ,V-,0,
же,Df,20,же
меньші,V-,0,
е̄сі,V-,18,бꙑти
вь,R-,111,въ
в҃лдкахъ,Nb,0,
ӣю̄довахъ,V-,0,
᾽ис,Ne,343,исоусъ
тебе,Pp,304,тꙑ
бо,Df,94,бо
ӣӡідетъ,V-,684,изити
вождъ,Nb,1452,вождь
і̄же,Pr,96,иже
о̄упасетъ,V-,3263,оупасти
люді,Nb,564,людиѥ
своѧ̄,Pt,217,свои
᾽҃илѣ,Ne,312,издраиль
Тогда,Df,673,тъгда
ӣродъ,Ne,1396,иродъ
таӣ,Df,3136,таи
приӡьвавъ,V-,598,призъвати
вльх̄въи,Nb,4593,влъхвъ
ӣс᾽пъіта,V-,1130,испꙑтати
ѡт҃,R-,80,отъ
ніхъ,Pp,64,и
врѣмѧ,Nb,268,врѣмѧ
ѣ̄вльшѧѧ̄,A-,0,
сѧ,Pk,21,себе
ѕв̄ѣӡдъі,Nb,1853,ѕвѣзда
Ӣ,C-,13,и
посьлавь,V-,63,посълати
ѧ̄,Pp,64,и
въ,R-,111,въ
віѳлео̄мъ,Nb,0,
рече,V-,106,рещи
шедьше,V-,671,ити
ӣспъітаӣте,V-,1130,испꙑтати
ӣӡвѣстъно,A-,2972,извѣстьнъ
о̄,R-,1,о
о̄трочѧті,Nb,1549,отрочѧ
ӣ,C-,13,и
е̄гд̄а,Dq,300,ѥгда
о̄брѧштете,V-,225,обрѣсти
вьӡвѣстите,V-,1025,възвѣстити
мі,Pp,440,азъ
да,G-,366,да
ӣ,Df,91,и
а̄ӡь,Pp,440,азъ
шедъ,V-,671,ити
поклонѭ,V-,1434,поклонити
сѧ,Pk,21,себе
е̄моу,Pp,64,и
῾Они,Pd,83,онъ
же,Df,20,же
послоушавъше,V-,1008,послоушати
ц҃рѣ,Nb,275,цѣсарь
ӣдѫ,V-,671,ити
Ӣ,C-,13,и
се,I-,419,се
ѕвѣӡда,Nb,1853,ѕвѣзда
ѭ̄же,Pr,96,иже
відѣшѧ,V-,479,видѣти
на,R-,117,на
вьстоцѣ,Nb,960,въстокъ
ӣдѣа̄ше,V-,671,ити
прѣдь,R-,493,прѣдъ
німі,Pp,64,и
доӣдеже,G-,3002,доидеже
прішедші,V-,221,прити
ста,V-,1274,стати
връхоу,R-,1667,врьхоу
ӣдеже,Dq,798,идеже
бѣ,V-,18,бꙑти
о̄трочѧ,Nb,1549,отрочѧ
Видѣвъше,V-,479,видѣти
же,Df,20,же
ѕвѣӡдѫ,Nb,1853,ѕвѣзда
въӡд̄радоваше,V-,2342,въздрадовати
сѧ,Pk,21,себе
радостіѭ̆,Nb,1332,радость
{радостіѭ̆},Nb,1332,радость
велі᾽еѭ̄,A-,924,велии
ѕѣло,Df,37,ѕѣло
Ӣ,C-,13,и
въшедъше,V-,380,вънити
въ,R-,111,въ
храмінѫ,Nb,912,храмина
[в]ӣдѣшѧ,V-,479,видѣти
о̄тр̄очѧ,Nb,1549,отрочѧ
съ,R-,92,съ
маріе̄ѭ̆,Ne,663,мариꙗ
м҃триѭ,Nb,0,
е̄го,Pp,64,и
ӣ,C-,13,и
падъше,V-,457,пасти#1
поклонішѧ,V-,1434,поклонити
сѧ,Pk,21,себе
е̄моу,Pp,64,и
ӣ,C-,13,и
о̄тв̄ръӡьше̄,V-,866,отврѣсти
съ᾽кровіща,Nb,797,съкровище
своѣ̄,Pt,217,свои
Прінѣсѧ,V-,535,принести
᾽емоу,Pp,64,и
даръи,Nb,397,даръ
ӡла҃то,Nb,1123,злато
ӣ,C-,13,и
ливанъ,V-,0,
ӣ,C-,13,и
ӡ᾽мѹрн̄ѫ,Nb,0,
ӣ,C-,13,и
о̄тъвѣтъ,Nb,254,отъвѣтъ
пріе̄мъше,V-,165,приѩти
въ,R-,111,въ
сьнѣ,Nb,1976,сънъ
не,Df,8,не
въӡвратішѧ,V-,969,възвратити
сѧ,Pk,21,себе
кь,R-,59,къ
ӣродоу,Ne,1396,иродъ
Нъ,C-,11,нъ
᾽инѣмъ,Px,259,инъ
пѫтемъ,Nb,678,пѫть
о̄̄ті̄д̄ѫ,V-,433,отити
въ,R-,111,въ
стр̄анѫ,Nb,1009,страна
своѭ̄,Pt,217,свои
῾Ошедъшемъ,V-,0,
вл᾽ъхво̄мъ,Nb,4593,влъхвъ
Се,I-,419,се
а̄н҃ђлъ,Nb,159,ангелъ
г҃нь,A-,1674,господьнь
ѣ̄ви,V-,358,авити
сѧ,Pk,21,себе
въ,R-,111,въ
сънѣ,Nb,1976,сънъ
ӣо̄сӣфоу,Ne,1392,иосифъ
г҃лѧ,V-,102,глаголати
въставъ,V-,975,въстати
поӣми,V-,734,поѩти
о̄трочѧ,Nb,1549,отрочѧ
ӣ,C-,13,и
м҃трь,Nb,1170,мати
е̄го,Pp,64,и
Ӣ,C-,13,и
бѣжи,V-,1024,бѣжати
въ,R-,111,въ
е̄ђѹ̄пе̄тъ,Nb,0,
Ӣ,C-,13,и
бѫди,V-,18,бꙑти
тоу,Df,177,тоу
доӣде̄же,G-,3002,доидеже
рекѫ,V-,106,рещи
ті,Pp,304,тꙑ
Хощетъ,V-,301,хотѣти
бо,Df,94,бо
ӣродъ,Ne,1396,иродъ
ӣск̄аті,V-,114,искати
о̄трочѧте,Nb,1549,отрочѧ
да,G-,366,да
погоубітъ,V-,1164,погоубити
е̄,Pp,64,и
О̄нъ,Pd,83,онъ
же,Df,20,же
въставъ,V-,975,въстати
поѧтъ,V-,734,поѩти
