віѳлеомъ,Nb,віѳлео̄мъ
рече,V-,рече
шедьше,V-,шедьше
іспъітаіте,V-,ӣспъітаӣте
ізвѣстъно,A-,ӣӡвѣстъно
о,R-,о̄
отрочѧті,Nb,о̄трочѧті
і,C-,ӣ
егда,Dq,е̄гд̄а
обрѧштете,V-,о̄брѧштете
вьзвѣстіте,V-,вьӡвѣстите
мі,Pp,мі
да,G-,да
і,Df,ӣ
азь,Pp,а̄ӡь
шедъ,V-,шедъ
поклонѭ,V-,поклонѭ
сѧ,Pk,сѧ
емоу,Pp,е̄моу
оні,Pd,῾Они
же,Df,же
послоушавъше,V-,послоушавъше
црѣ,Nb,ц҃рѣ
ідѫ,V-,ӣдѫ
і,C-,Ӣ
се,I-,се
звѣзда,Nb,ѕвѣӡда
ѭже,Pr,ѭ̄же
відѣшѧ,V-,відѣшѧ
на,R-,на
вьстоцѣ,Nb,вьстоцѣ
ідѣаше,V-,ӣдѣа̄ше
прѣдь,R-,прѣдь
німі,Pp,німі
доідеже,G-,доӣдеже
прішедші,V-,прішедші
ста,V-,ста
връхоу,R-,връхоу
ідеже,Dq,ӣдеже
бѣ,V-,бѣ
отрочѧ,Nb,о̄трочѧ
відѣвъше,V-,Видѣвъше
же,Df,же
звѣздѫ,Nb,ѕвѣӡдѫ
въздрадоваше,V-,въӡд̄радоваше
сѧ,Pk,сѧ
радостіѭ,Nb,радостіѭ̆
радостіѭ,Nb,{радостіѭ̆}
веліеѭ,A-,велі᾽еѭ̄
зѣло,Df,ѕѣло
і,C-,Ӣ
въшедъше,V-,въшедъше
въ,R-,въ
храмінѫ,Nb,храмінѫ
відѣшѧ,V-,[в]ӣдѣшѧ
отрочѧ,Nb,о̄тр̄очѧ
съ,R-,съ
маріеѭ,Ne,маріе̄ѭ̆
мтріѭ,Nb,м҃триѭ
его,Pp,е̄го
і,C-,ӣ
падъше,V-,падъше
поклонішѧ,V-,поклонішѧ
сѧ,Pk,сѧ
емоу,Pp,е̄моу
і,C-,ӣ
отвръзьше,V-,о̄тв̄ръӡьше̄
съкровішта,Nb,съ᾽кровіща
своѣ,Pt,своѣ̄
прінѣсѧ,V-,Прінѣсѧ
емоу,Pp,᾽емоу
даръі,Nb,даръи
злато,Nb,ӡла҃то
і,C-,ӣ
ліванъ,V-,ливанъ
і,C-,ӣ
змоурнѫ,Nb,ӡ᾽мѹрн̄ѫ
і,C-,ӣ
отъвѣтъ,Nb,о̄тъвѣтъ
пріемъше,V-,пріе̄мъше
въ,R-,въ
сьнѣ,Nb,сьнѣ
не,Df,не
възвратішѧ,V-,въӡвратішѧ
сѧ,Pk,сѧ
кь,R-,кь
іродоу,Ne,ӣродоу
нъ,C-,Нъ
інѣмъ,Px,᾽инѣмъ
пѫтемъ,Nb,пѫтемъ
отідѫ,V-,о̄̄ті̄д̄ѫ
въ,R-,въ
странѫ,Nb,стр̄анѫ
своѭ,Pt,своѭ̄
ошедъшемъ,V-,῾Ошедъшемъ
влъхвомъ,Nb,вл᾽ъхво̄мъ
се,I-,Се
англъ,Nb,а̄н҃ђлъ
гнь,A-,г҃нь
ѣві,V-,ѣ̄ви
сѧ,Pk,сѧ
въ,R-,въ
сънѣ,Nb,сънѣ
іосіфоу,Ne,ӣо̄сӣфоу
глѧ,V-,г҃лѧ
въставъ,V-,въставъ
поімі,V-,поӣми
отрочѧ,Nb,о̄трочѧ
і,C-,ӣ
мтрь,Nb,м҃трь
его,Pp,е̄го
і,C-,Ӣ
бѣжі,V-,бѣжи
въ,R-,въ
егоупетъ,Nb,е̄ђѹ̄пе̄тъ
і,C-,Ӣ
бѫді,V-,бѫди
тоу,Df,тоу
доідеже,G-,доӣде̄же
рекѫ,V-,рекѫ
ті,Pp,ті
хоштетъ,V-,Хощетъ
бо,Df,бо
іродъ,Ne,ӣродъ
іскаті,V-,ӣск̄аті
отрочѧте,Nb,о̄трочѧте
да,G-,да
погоубітъ,V-,погоубітъ
е,Pp,е̄
онъ,Pd,О̄нъ
же,Df,же
въставъ,V-,въставъ
поѧтъ,V-,поѧтъ
отрочѧ,Nb,о̄трочѧ
і,C-,и
мтръ,V-,мт҃ръ
его,Pp,е̄го
ноштіѭ,Nb,нощиѭ̄
і,C-,ӣ
отіде,V-,о̄тіде
въ,R-,въ
егоупетъ,Nb,е̄ђѹпетъ
і,C-,й
бѣ,V-,бѣ
тоу,Df,тоу
до,R-,до
оумрътвіѣ,Nb,оум̄р̄ъ̄тв̄иѣ̄
іродова,A-,ӣродова
да,G-,Да
събѫдетъ,V-,събѫдетъ
сѧ,Pk,сѧ
реченое,V-,реченое̄
от,R-,от҃
га,Nb,г҃а
прркмъ,Nb,п҃рркмъ
глштемъ,V-,г҃лщемъ
от,R-,Ѡт҃
егоупта,Ne,е̄ђѹпт̄а
възъвахъ,V-,въӡъвахъ
снъ,Nb,с҃нъ
моі,Ps,моӣ
тогда,Df,Тогда
іродъ,Ne,᾽иродъ
відѣвъ,V-,відѣвъ
ѣко,G-,ѣ̄ко
порѫганъ,V-,порѫганъ
бъіс,V-,бъис҃
отъ,R-,о̄тъ
влъхвъ,Nb,влъ̄хвъ
ізбі,V-,Ӣӡби
всѧ,Px,вс̄ѧ
отрокъі,Nb,о̄трокъи
сѫштѧѧ,V-,сѫщѧѧ̄
въ,R-,въ
віѳлеемі,Ne,виѳле᾽ем̄и
і,C-,ӣ
въ,R-,въ
всѣхъ,Px,в᾽сѣхъ
прѣдѣлѣхъ,Nb,прѣдѣлѣхъ
еѧ,Pp,᾽е̄᾽ѧ
отъ,R-,ѡ̄̄тъ
двою,Ma,дво̄ю̄
лѣтоу,Nb,лѣтоу
і,C-,ӣ
ніже,Df,ниже
по,R-,по
лѣтоу,Nb,лѣтоу
еже,Pr,е̄же
іспъіта,V-,ӣ̄спъита
отъ,R-,᾽отъ
влъхвъ,Nb,вл̄ъ̄хв̄ъ
тогда,Df,Тог᾽да
събъіс,Ne,събъис҃
сѧ,Pk,сѧ
реченое,V-,реченое̄
іереміемь,Ne,ӣе̄ремие̄мь
прркмъ,Nb,п҃рркмъ
глштемъ,V-,г҃лщемъ
глас,Nb,Глас҃
въ,R-,въ
рамѣ,Nb,рамѣ
слъішанъ,V-,слъишанъ
бъіс,V-,бъіс҃
плачь,Nb,Плачь
і,C-,ӣ
ръіданіе,Nb,ръидание̄
і,C-,ӣ
въпль,Nb,въпль
многь,A-,мн̄огь
рахіль,Ne,Рахиль
плачѫшті,V-,плачѫщи
сѧ,Pk,сѧ
чѧдъ,Nb,чѧдъ
своіхъ,Pt,своӣхъ
і,C-,ӣ
не,Df,не
хотѣаше,V-,хотѣа̄ше̄
оутѣшіті,V-,о̄утѣшіті
сѧ,Pk,сѧ
ѣко,G-,ѣ̄ко
не,Df,не
сѫтъ,V-,сѫтъ
оумершоу,V-,О̄умер᾽шоу
же,Df,же
іродоу,Ne,ӣродоу
се,I-,се
англъ,Nb,а̄н҃ђлъ
гнъ,A-,г҃нъ
въ,R-,въ
сьнѣ,Nb,сьнѣ
ѣві,V-,᾽ѣви
сѧ,Pk,сѧ
іосіфоу,Ne,ӣосифоу
въ,R-,въ
егоуптѣ,Ne,е̄ђ̄ѹпт̄ѣ
глѧ,V-,г҃лѧ
въставъ,V-,Въставъ
поімі,V-,поӣми
отрочѧ,Nb,о̄трочѧ
і,C-,ӣ
мрь,Nb,м҃рь
его,Pp,е̄го
і,C-,ӣ̄
іді,V-,ӣди
въ,R-,въ
землѭ,Nb,ӡемл҃ѭ
ізлвѫ,Nb,ӣӡ҃лвѫ
ізмрѣшѧ,V-,Ӣӡ᾽мрѣшѧ
бо,Df,бо
іскѫштіі,V-,ӣскѫщиӣ
дшѧ,Nb,д҃шѧ
отрочѧте,Nb,о̄̄трочѧте
онъ,Pd,о̄нъ
же,Df,же
въставъ,V-,въставъ
поѧтъ,V-,по᾽ѧтъ
отрочѧ,Nb,о̄трочѧ
і,C-,᾽ӣ
мтръ,Nb,м҃тръ
его,Pp,᾽его
і,C-,ӣ
въніде,V-,въниде
въ,R-,въ
землѭ,Nb,ӡемл҃ѭ
ізлевѫ,A-,᾽҃иӡлевѫ
слъішавъ,V-,Слъишавъ
же,Df,же
ѣко,G-,Ѣ̄ко
архілаі,V-,а̄᾽рхилаӣ
црствоуетъ,V-,ц҃рствоуе̄тъ
въ,R-,въ
іюдеі,Nb,ӣю̄деӣ
въ,R-,въ
ірода,Ne,ӣрода
мѣсто,Nb,мѣсто
оца,Nb,о̄ц҃а
своего,Pt,свое̄го
оубоѣ,V-,῾Оубо᾽ѣ
сѧ,Pk,сѧ
тамо,Df,тамо
іті,V-,ӣті
вѣсть,Nb,Вѣсть
же,Df,же
пріемъ,V-,пріе̄мъ
въ,R-,въ
сънѣ,Nb,сънѣ
отіде,V-,о̄̄тіде
въ,R-,въ
странѫ,Nb,странѫ
галілеіскѫ,A-,галилеӣск̄ѫ
і,C-,Ӣ
прішедъ,V-,прішедъ
въселі,V-,въсели
сѧ,Pk,сѧ
въ,R-,въ
градъ,Nb,градъ
наріцаемъі,V-,нарицае̄мъи
назаретъ,Ne,наӡаретъ
да,G-,Да
събѫдетъ,V-,събѫдетъ
сѧ,Pk,сѧ
реченое,V-,реченое̄
прркмъ,Nb,п҃рркмъ
ѣко,G-,Ѣк̄о̄
назареі,V-,наӡареӣ
наречетъ,V-,наречетъ
сѧ,Pk,сѧ
пріде,V-,приде
іоанъ,Ne,ӣо̄анъ
крстль,Nb,к҃рстль
проповѣдаѧ,V-,проповѣдаѧ
въ,R-,въ
поустъіні,Nb,поустъини
іерданстѣі,A-,ӣе̄рд̄ан᾽стѣ̄ӣ
глѧ,V-,г҃лѧ
покаіте,V-,Покаӣте
сѧ,Pk,сѧ
прібліжі,V-,пріближи
бо,Df,бо
сѧ,Pk,сѧ
црство,Nb,ц҃рство
нбесьное,A-,н҃бесьное̄
сь,Pd,сь
бо,Df,бо
естъ,V-,е̄стъ
реченъіі,V-,реченъиӣ
ісаіемъ,Nb,ӣсаӣе̄мъ
прркмъ,Nb,пррк҃мъ
глштемъ,V-,г҃лщемъ
глас,Nb,Глас҃
въпіѭштааго,V-,въпіѭ̄щаа̄го
въ,R-,въ
поустъіні,Nb,поустъини
оуготоваіте,V-,о̄уготоваӣте
пѫть,Nb,пѫть
гнь,A-,г҃нь
правъі,A-,правъи
творіте,V-,творите
стьзѧ,Nb,стьѕѧ
его,Pp,е̄го
самже,V-,Сам̄ж҃̄е
іоанъ,Ne,ӣо̄а̄нъ
імѣаше,V-,ӣмѣа̄ше
різѫ,Nb,риӡѫ
своѭ,Pt,своѭ̄
от,R-,ѡт҃
власъ,Nb,власъ
вельбѫждъ,V-,вельбѫждъ
і,C-,ӣ
поѣсъ,Nb,поѣсъ
оусніѣнъ,A-,о̄ус᾽ниѣ̄нъ
о,R-,о̄
чрѣслѣхъ,Nb,чрѣслѣ̄хъ
своіхъ,Pt,своӣхъ
ѣдь,Nb,ѣ̄дь
же,Df,же
его,Pp,е̄го
бѣ,V-,бѣ
акріді,Nb,а̄кріді
і,C-,ӣ
медъ,Nb,медъ
дівіі,A-,ді̄в̄іӣ
тогда,Df,Тогда
ісхождааше,V-,ӣсхождаа̄ше
кь,R-,кь
немоу,Pp,немоу
весь,Px,весь
іерлмъ,Ne,ӣе̄рл҃мъ
і,C-,ӣ
іюдеі,Ne,ӣю̄деӣ
і,C-,ӣ
всѣ,Px,всѣ̄
страна,Nb,стр̄ана
іерданска,A-,ӣе̄рд̄анс᾽ка
і,C-,ӣ
крштахѫ,V-,к҃рщахѫ
сѧ,Pk,сѧ
от,R-,от҃
него,Pp,него
въ,R-,въ
іерданъстѣі,A-,ӣе̄рда̄нъстѣӣ
рѣцѣ,Nb,рѣцѣ
ісповѣдаѭште,V-,ӣсповѣдаѭ̄ще
грѣхъі,Nb,грѣхъі
своѧ,Pt,своѧ̄
відѣвъ,V-,Видѣвъ
же,Df,же
многъі,A-,мн̆огъи
фарісеѧ,Px,фарісеѧ̄
і,C-,ӣ
садоукеѧ,Nb,садоуке᾽ѧ
грѧдѫштѧ,V-,грѧдѫщѧ
на,R-,на
крштеніе,Nb,к҃рщение̄
его,Pp,е̄го
рече,V-,Рече
імъ,Pp,ӣмъ
іштѧдіѣ,Nb,ӣщѧдиѣ̄
ехідънова,A-,ехидънова
кто,Pi,кт̄о
съказа,V-,съкаӡа
вамъ,Pp,вамъ
бѣжаті,V-,бѣжаті
от,R-,от҃
грѧдѫштааго,V-,грѧдѫщаа̄го
гнѣва,Nb,гн̄ѣва
сътворіте,V-,сътворите
оубо,Df,о̄убо
плодъі,Nb,плодъі
достоінъі,A-,достоӣнъи
покаанію,Nb,покаа̄ни᾽ю
і,C-,ӣ
не,Df,не
начінаіте,V-,начинаӣте
глаті,V-,г҃лати
въ,R-,въ
себѣ,Pk,се̄бѣ
оца,Nb,О̄ц҃а
імамъ,V-,ӣмамъ
авраама,Ne,а̄враа̄ма
глѭ,V-,г҃лѭ
бо,Df,бо
вамъ,Pp,вамъ
ѣко,G-,Ѣ̄ко̄
можетъ,V-,можетъ
бъ,Nb,б҃ъ
от,R-,от҃
каменіѣ,Nb,кам̄ениѣ̄
сего,Pd,сего
въздвігнѫті,V-,въӡдвигнѫті
чѧда,Nb,чѧда
авраамоу,Ne,А̄враа̄моу
юже,Df,Ю̄же
бо,Df,бо
і,C-,ӣ
секъіра,Nb,секъира
прі,R-,при
корені,V-,корени
дрѣва,Nb,дрѣв҃а
лежітъ,V-,лежітъ
всѣко,A-,в᾽сѣко
оубо,Df,о̄убо
дрѣво,Nb,дрѣво
еже,Pr,е̄же
не,Df,не
творітъ,V-,творітъ
плода,Nb,плода
добра,A-,добра
посѣкаемо,V-,П̀осѣкае̄мо
бъіваетъ,V-,бъивае̄тъ
і,C-,ӣ
въ,R-,въ
огнъ,Nb,о̄гнъ
въмѣтаемо,V-,въмѣтае̄мо
азъ,Pp,А̄ӡъ
оубо,Df,о̄убо
крштаѭ,V-,к҃рщаѭ̄
въі,Pp,въи
проповѣдаѧ,V-,проповѣдаѧ̄
