б҃жие|A-|-s---napsi|бжіе|239|божии
Посьла|A-|-s---ngpsi|посьла|0|FIXME
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
ѹ̄ченикъі|Nb|-p---ma--i|оученікъі|359|оученикъ
своѩ̄|Pt|3p---ma--i|своѧ|217|свои
по|R-|---------n|по|77|по
дъвѣма|Ma|-d---qi--i|дъвѣма|230|дъва
прѣдъ|R-|---------n|прѣдъ|493|прѣдъ
ліцемъ|Nb|-s---ni--i|ліцемъ|793|лице
своӣмъ|Pt|3s---ni--i|своімъ|217|свои
Вь|R-|---------n|вь|111|въ
вс̄ѣкь|V-|-supamn-si|всѣкь|0|FIXME
градъ|Nb|-s---ma--i|градъ|718|градъ
ӣ|C-|---------n|і|13|и
мѣсто|Nb|-s---na--i|мѣсто|113|мѣсто
ѣ̄може|Dq|---------n|ѣможе|989|ꙗможе
хотѣа̄ше|V-|3siia----i|хотѣаше|301|хотѣти
самъ|Pd|-s---mn--i|самъ|567|самъ
ӣті|V-|--pna----i|іті|671|ити
Ӣ|C-|---------n|і|13|и
гл̄а̄а̄ше|V-|3siia----i|глааше|102|глаголати
кь|R-|---------n|кь|59|къ
нимъ|Pp|3s---mi--i|німъ|64|и
жѧтва|Nb|-s---fn--i|жѧтва|1099|жѧтва
ѹ̄бо|Df|---------n|оубо|6|оубо
мн̄ога|A-|-s---fnpsi|многа|49|мъногъ
а̄|C-|---------n|а|85|а
дѣлатель|Nb|-p---mg--i|дѣлатель|308|дѣлатель
мало|Df|-------p-i|мало|887|мало
моліте|V-|2ppma----i|моліте|409|молити
сѧ|Pk|3s---qa--i|сѧ|21|себе
ѹ̄бо|Df|---------n|оубо|6|оубо
г҃ю|Nb|-s---md--i|гю|342|господь
жѧтвъи|Nb|-s---fg--i|жѧтвъі|1099|жѧтва
да|G-|---------n|да|366|да
ӣзведетъ|V-|3spia----i|ізведетъ|1101|извести#1
дѣлателѧ|Nb|-p---ma--i|дѣлателѧ|308|дѣлатель
на|R-|---------n|на|117|на
жѧтвѫ|Nb|-s---fa--i|жѧтвѫ|1099|жѧтва
своѭ|Pt|3s---fa--i|своѭ|217|свои
ӣдѣте|V-|2ppma----i|ідѣте|671|ити
се|I-|---------n|се|419|се
а̄зь|Pp|1s---mn--i|азь|440|азъ
посъілаѭ|V-|1spia----i|посъілаѭ|1732|посꙑлати
въі|Pp|2p---pa--i|въі|266|вꙑ
ѣ̄ко|Df|---------n|ѣко|771|ꙗко#1
о̄вц̄ѧ|Nb|-p---fn--i|овцѧ|1097|овьца
по|R-|---------n|по|77|по
срѣдѣ|Nb|-s---fd--i|срѣдѣ|1140|срѣда
влък|Nb|-s---ma--i|влък|892|влькъ
Въ|R-|---------n|въ|111|въ
ньже|Pr|-s---ma--i|ньже|96|иже
коліждо|Df|---------n|коліждо|464|колижьдо
градъ|Nb|-s---ma--i|градъ|718|градъ
въходите|V-|2ppia----i|въходіте|884|въходити
ӣ|C-|---------n|і|13|и
не|Df|---------n|не|8|не
пріе̄млѭ̄тъ|V-|3ppia----i|пріемлѭтъ|589|приимати
васъ|Pp|2p---mg--i|васъ|266|вꙑ
ӣшедъше|V-|-pupamn-si|ішедъше|684|изити
на|R-|---------n|на|117|на
распѫтіѣ̄|Nb|-p---na--i|распѫтіѣ|773|распѫтиѥ
е̄го|Pp|3s---mg--i|его|64|и
рьцѣте|V-|2ppma----i|рьцѣте|106|рещи
Ӣ|Pp|3s---ma--i|і|64|и
прахъ|Nb|-s---ma--i|прахъ|1134|прахъ
прілепьшіӣ|V-|-pupamn-wi|прілепьшіі|1595|прилѣпити
насъ|Pp|1p---mg--i|насъ|167|мꙑ
о̄тъ|R-|---------n|отъ|80|отъ
града|Nb|-s---mg--i|града|718|градъ
сего|Pd|-s---og--i|сего|47|сь
въ|R-|---------n|въ|111|въ
ногахъ|Nb|-p---fl--i|ногахъ|716|нога
нашіх|Pd|-p---ql--i|нашіх|0|FIXME
ѡ҅̄тътрѧсае̄м|V-|1ppia----i|отътрѧсаем|2744|отътрѧсати
вамъ|Pp|2p---md--i|вамъ|266|вꙑ
О̄баче|Df|---------n|обаче|180|обаче
се|Pd|-s---na--i|се|47|сь
вѣдіте|V-|2ppma----i|вѣдіте|138|вѣдѣти
Ѣ̄ко|G-|---------n|ѣко|115|ꙗко
прібліжі|V-|3saia----i|прібліжі|1119|приближити
сѧ|Pk|3s---qa--i|сѧ|21|себе
на|R-|---------n|на|117|на
въі|Pp|2p---ma--i|въі|266|вꙑ
ц҃рствіе̄|Nb|-s---nn--i|црствіе|782|цѣсарьствиѥ
б҃жіе|A-|-s---nnpsi|бжіе|239|божии
г҃лѭ|V-|1spia----i|глѭ|102|глаголати
же|Df|---------n|же|20|же
вамъ|Pp|2p---qd--i|вамъ|266|вꙑ
Ѣ̄ко|G-|---------n|ѣко|115|ꙗко
содомо̄мъ|Nb|-p---md--i|содомомъ|2175|содоми
въ|R-|---------n|въ|111|въ
тъ|Pd|-s---ma--i|тъ|105|тъ
день|Nb|-s---ma--i|день|523|дьнь
о̄търадьнѣе|Df|-------c-i|отърадьнѣе|1135|отърадьнѣѥ
бѫдет|V-|3sfia----i|бѫдет|18|бꙑти
нежелі|Df|---------n|нежелі|7748|нежели
градѹ|Nb|-s---md--i|градоу|718|градъ
томѹ|Pd|-s---md--i|томоу|105|тъ
Слѹшаѩ̄ӣ|V-|-sppamn-wi|слоушаѧі|2733|слоушати
васъ|Pp|2p---qg--i|васъ|266|вꙑ
мене|Pp|1s---qg--i|мене|440|азъ
слѹшае̄тъ|V-|3spia----i|слоушаетъ|2733|слоушати
ӣ|C-|---------n|і|13|и
слѹшаѩ̄ӣ|V-|-sppamn-wi|слоушаѧі|2733|слоушати
мене|Pp|1s---mg--i|мене|440|азъ
слѹшаетъ|V-|3spia----i|слоушаетъ|2733|слоушати
посълавъшаа̄го|V-|-supamg-wi|посълавъшааго|63|посълати
мѧ|Pp|1s---qa--i|мѧ|440|азъ
Ӣ|C-|---------n|і|13|и
о̄тъмѣтаѩ̄ӣ|V-|-sppamn-wi|отъмѣтаѧі|2747|отъмѣтати
сѧ|Pk|3s---qa--i|сѧ|21|себе
вась|Pp|2p---mg--i|вась|266|вꙑ
ме̄не|Pp|1s---mg--i|мене|440|азъ
сѧ|Pk|3s---qa--i|сѧ|21|себе
о̄тъмѣтае҅тъ|V-|3spia----i|отъмѣтаетъ|2747|отъмѣтати
а̄|C-|---------n|а|85|а
о҅тъмѣтаѩ҅ӣ|V-|-sppamn-wi|отъмѣтаѧі|2747|отъмѣтати
сѧ|Pk|3s---qa--i|сѧ|21|себе
мене|Pp|1s---qg--i|мене|440|азъ
Ѡтмѣтае̄тъ|V-|3spia----i|отмѣтаетъ|2747|отъмѣтати
сѧ|Pk|3s---qa--i|сѧ|21|себе
посълавшаа̄го|V-|-supamg-wi|посълавшааго|63|посълати
мѧ|Pp|1s---ma--i|мѧ|440|азъ
слѹшаѩ̄ӣ|V-|-sppamn-wi|слоушаѧі|2733|слоушати
вас|Pp|2p---mg--i|вас|266|вꙑ
Възв̄ратішѧ|V-|3paia----i|възвратішѧ|969|възвратити
же|Df|---------n|же|20|же
сѧ|Pk|3s---qa--i|сѧ|21|себе
седм҅ь|Ma|-s---fn--i|седмь|244|седмь
десѧтъ|Ma|-p---pg--i|десѧтъ|1072|десѧть
сь|R-|---------n|сь|92|съ
радостиѭ̄|Nb|-s---fi--i|радостіѭ|1332|радость
г҃лще|V-|-pppamn-si|глште|102|глаголати
Г҃и|Nb|-s---mv--i|гі|342|господь
ӣ|C-|---------n|і|13|и
бѣси|Nb|-p---mn--i|бѣсі|904|бѣсъ
повинѹѭ̄тъ|V-|3ppia----i|повіноуѭтъ|2505|повиновати
сѧ|Pk|3s---qa--i|сѧ|21|себе
намъ|Pp|1p---qd--i|намъ|167|мꙑ
о̄|R-|---------n|о|1|о
ӣмени|Nb|-s---nl--i|імені|442|имѧ
твое̄мъ|Ps|2s---nl--i|твоемъ|307|твои
Рече|V-|3saia----i|рече|106|рещи
же|Df|---------n|же|20|же
ӣмъ|Pp|3p---md--i|імъ|64|и
Відѣхъ|V-|1saia----i|відѣхъ|479|видѣти
сотонѫ|Nb|-s---ma--i|сотонѫ|434|сотона
ѣ̄ко|Df|---------n|ѣко|771|ꙗко#1
млъниѭ̄|Nb|-s---fa--i|млъніѭ|1848|мльнии
съ|R-|---------n|съ|92|съ
н҃бсе|Nb|-s---nl--i|нбсе|209|небо
съпадъшѫ|V-|-supafa-si|съпадъшѫ|1854|съпасти#2
Се|I-|---------n|се|419|се
дахъ|V-|1saia----i|дахъ|116|дати
вамъ|Pp|2p---md--i|вамъ|266|вꙑ
власть|Nb|-s---fa--i|власть|927|власть
настѫпати|V-|--pna----i|настѫпаті|2748|настѫпати
на|R-|---------n|на|117|на
зм̄іѩ̄|Nb|-p---pa--i|зміѧ|872|змиꙗ
ӣ|C-|---------n|і|13|и
скорпі̄ѩ̄|Nb|-p---pa--i|скорпіѧ|2749|скоръпии
ӣ|C-|---------n|і|13|и
на|R-|---------n|на|117|на
вс̄ѫ|Px|-s---fa--i|всѫ|54|вьсь
сілѫ|Nb|-s---fa--i|сілѫ|502|сила
вражіѭ̄|A-|-s---fapsi|вражіѭ|3337|вражии
ӣ|C-|---------n|і|13|и
ничт̄оже|Px|-s---nn--i|нічтоже|657|ничьтоже
васъ|Pp|2p---qg--i|васъ|266|вꙑ
не|Df|---------n|не|8|не
врѣдітъ|V-|3spia----i|врѣдітъ|2393|врѣдити
се|I-|---------n|се|419|се
дахъ|V-|1saia----i|дахъ|116|дати
вам|Pp|2p---md--i|вам|266|вꙑ
власть|Nb|-s---fa--i|власть|927|власть
настѫпаті|V-|--pna----i|настѫпаті|2748|настѫпати
на|R-|---------n|на|117|на
змиѩ̄|Nb|-p---pa--i|зміѧ|872|змиꙗ
ӣ|C-|---------n|і|13|и
скорпіѩ̄|Nb|-p---pa--i|скорпіѧ|2749|скоръпии
ӣ|C-|---------n|і|13|и
на|R-|---------n|на|117|на
вс҅ѫ|Px|-s---fa--i|всѫ|54|вьсь
сілѫ|Nb|-s---fa--i|сілѫ|502|сила
вражіѭ̆|A-|-s---fapsi|вражіѭ|3337|вражии
И|C-|---------n|і|13|и
ничьтоже|Px|-s---nn--i|нічьтоже|657|ничьтоже
васъ|Pp|2p---qg--i|васъ|266|вꙑ
не|Df|---------n|не|8|не
врѣ҅дітъ|V-|3spia----i|врѣдітъ|2393|врѣдити
се|Pd|-s---na--i|се|47|сь
дахъ|V-|1saia----i|дахъ|116|дати
вамъ|Pp|2p---qd--i|вамъ|266|вꙑ
о̄баче|Df|---------n|обаче|180|обаче
о̄|R-|---------n|о|1|о
семь|Pd|-s---nl--i|семь|47|сь
не|Df|---------n|не|8|не
радѹӣте|V-|2ppma----i|радоуіте|1566|радовати
сѧ|Pk|3s---qa--i|сѧ|21|себе
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ӣ|C-|---------n|і|13|и
д҃сі|Nb|-p---mn--i|дсі|443|доухъ
вамъ|Pp|2p---md--i|вамъ|266|вꙑ
повінѹѭ̄тъ|V-|3ppia----i|повіноуѭтъ|2505|повиновати
сѧ|Pk|3s---qa--i|сѧ|21|себе
Радѹӣте|V-|2ppma----i|радоуіте|1566|радовати
же|Df|---------n|же|20|же
сѧ|Pk|3s---qa--i|сѧ|21|себе
паче|Df|-------c-i|паче|827|паче
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ӣмена|Nb|-p---nn--i|імена|442|имѧ
ваша|Ps|2p---nn--i|ваша|723|вашь
написана|V-|-puppnn-si|напісана|172|напьсати
сѫтъ|V-|3ppia----i|сѫтъ|18|бꙑти
на|R-|---------n|на|117|на
н҃бсехъ|Nb|-p---nl--i|нбсехъ|209|небо
о̄баче|Df|---------n|обаче|180|обаче
о̄|R-|---------n|о|1|о
семъ|Pd|-s---nl--i|семъ|47|сь
не|Df|---------n|не|8|не
радѹӣте|V-|2ppma----i|радоуіте|1566|радовати
сѧ|Pk|3s---qa--i|сѧ|21|себе
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ӣ|C-|---------n|і|13|и
д҃сі|Nb|-p---mn--i|дсі|443|доухъ
вамъ|Pp|2p---md--i|вамъ|266|вꙑ
повінѹѭ̄тъ|V-|3ppia----i|повіноуѭтъ|2505|повиновати
сѧ|Pk|3s---qa--i|сѧ|21|себе
Радѹӣте|V-|2ppma----i|радоуіте|1566|радовати
же|Df|---------n|же|20|же
сѧ|Pk|3s---qa--i|сѧ|21|себе
паче|Df|-------c-i|паче|827|паче
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ӣмена|Nb|-p---nn--i|імена|442|имѧ
ваша|Ps|2p---nn--i|ваша|723|вашь
напісана|V-|-puppnn-si|напісана|172|напьсати
сѫтъ|V-|3ppia----i|сѫтъ|18|бꙑти
на|R-|---------n|на|117|на
н҃бсехъ|Nb|-p---nl--i|нбсехъ|209|небо
Въ|R-|---------n|въ|111|въ
ть|Pd|-s---ma--i|ть|105|тъ
часъ|Nb|-s---ma--i|часъ|422|часъ
въздрадова|V-|3saia----i|въздрадова|2342|въздрадовати
сѧ|Pk|3s---qa--i|сѧ|21|себе
д҃хомъ|Nb|-s---mi--i|дхомъ|443|доухъ
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
ӣ|C-|---------n|і|13|и
ре̄че|V-|3saia----i|рече|106|рещи
Ӣсп̄овѣдаѭ̄|V-|1spia----i|ісповѣдаѭ|126|исповѣдати
сѧ|Pk|3s---qa--i|сѧ|21|себе
тебѣ|Pp|2s---md--i|тебѣ|304|тꙑ
о҃̄че|Nb|-s---mv--i|оче|306|отьць
Г҃и|Nb|-s---mv--i|гі|342|господь
н҃бсе|Nb|-s---ng--i|нбсе|209|небо
ӣ|C-|---------n|і|13|и
земѧ|V-|-sppamn-si|земѧ|0|FIXME
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ѹ̄таӣлъ|V-|-sspamn-si|оутаілъ|1230|оутаити
е̄сі|V-|2spia----i|есі|18|бꙑти
с̄і̄ӣ|Pd|-p---na--i|сіі|47|сь
ѡ̄̄тъ|R-|---------n|отъ|80|отъ
прѣмѫдръ|A-|-p---mgpsi|прѣмѫдръ|1231|прѣмѫдръ
ӣ|C-|---------n|і|13|и
разѹменъ|A-|-p---mgpsi|разоуменъ|1232|разоумьнъ
ӣ|C-|---------n|і|13|и
о̄тъкръі|V-|2saia----i|отъкръі|1158|отъкрꙑти
сіӣ|Pd|-p---na--i|сіі|47|сь
младенц҅емъ|Nb|-p---md--i|младенцемъ|4223|младенищь
Е̄ӣ|I-|---------n|еі|512|еи
о҃̄че|Nb|-s---mv--i|оче|306|отьць
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
тако|Df|---------n|тако|48|тако
бъіс|V-|3saia----i|бъіс|18|бꙑти
благоволение̄|Nb|-s---nn--i|благоволеніе|2479|благоволѥниѥ
прѣдъ|R-|---------n|прѣдъ|493|прѣдъ
тобоѭ̄|Pp|2s---qi--i|тобоѭ|304|тꙑ
Въ|R-|---------n|въ|111|въ
ть|Pd|-s---ma--i|ть|105|тъ
часъ|Nb|-s---ma--i|часъ|422|часъ
въздрадова|V-|3saia----i|въздрадова|2342|въздрадовати
сѧ|Pk|3s---qa--i|сѧ|21|себе
д҃хмъ|Nb|-s---mi--i|дхмъ|443|доухъ
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
ӣ|C-|---------n|і|13|и
ре̄че|V-|3saia----i|рече|106|рещи
Ӣсповѣдаѭ̄|V-|1spia----i|ісповѣдаѭ|126|исповѣдати
сѧ|Pk|3s---qa--i|сѧ|21|себе
тебѣ|Pp|2s---md--i|тебѣ|304|тꙑ
о҃̄че|Nb|-s---mv--i|оче|306|отьць
г҃и|Nb|-s---mv--i|гі|342|господь
н҃бси|Nb|-s---nd--i|нбсі|209|небо
ӣ|C-|---------n|і|13|и
земі|Nb|-s---fd--i|земі|210|землꙗ
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ѹ̄таӣлъ|V-|-sspamn-si|оутаілъ|1230|оутаити
е̄сі|V-|2spia----i|есі|18|бꙑти
сі|Pd|-p---na--i|сі|47|сь
Ѡ̄тъ|R-|---------n|отъ|80|отъ
прѣмѫдръ|A-|-p---mgpsi|прѣмѫдръ|1231|прѣмѫдръ
ӣ|C-|---------n|і|13|и
разѹменъ|A-|-p---mgpsi|разоуменъ|1232|разоумьнъ
ӣ|C-|---------n|і|13|и
о̄тъкръі|V-|2saia----i|отъкръі|1158|отъкрꙑти
сиӣ|Pd|-p---na--i|сіі|47|сь
младеньцемъ|Nb|-p---md--i|младеньцемъ|1233|младьньць
Е̄ӣ|I-|---------n|еі|512|еи
о҃̄че|Nb|-s---mv--i|оче|306|отьць
Ѣ̄ко|G-|---------n|ѣко|115|ꙗко
тако|Df|---------n|тако|48|тако
бъіс|V-|3saia----i|бъіс|18|бꙑти
благоволение̄|Nb|-s---nn--i|благоволеніе|2479|благоволѥниѥ
прѣдь|R-|---------n|прѣдь|493|прѣдъ
тобоѭ̄|Pp|2s---mi--i|тобоѭ|304|тꙑ
ӣ|C-|---------n|і|13|и
прѣдъ|R-|---------n|прѣдъ|493|прѣдъ
тобоѭ̄|Pp|2s---mi--i|тобоѭ|304|тꙑ
прѣд|R-|---------n|прѣд|493|прѣдъ
тобѭ̄|Ne|-s---fa--i|тобѭ|0|FIXME
Ӣ|C-|---------n|і|13|и
о̄брашть|V-|-supamn-si|обрашть|625|обратити
сѧ|Pk|3s---qa--i|сѧ|21|себе
кь|R-|---------n|кь|59|къ
ѹ̄ченикомь|Nb|-p---md--i|оученікомь|359|оученикъ
ре̄че|V-|3saia----i|рече|106|рещи
Вьсѣ|Px|-p---nn--i|вьсѣ|54|вьсь
мьнѣ|Pp|1s---qd--i|мьнѣ|440|азъ
прѣдана|V-|-puppnn-si|прѣдана|679|прѣдати
бъишѧ|V-|3paia----i|бъішѧ|18|бꙑти
о҅тъ|R-|---------n|отъ|80|отъ
о҃̄ца|Nb|-s---mg--i|оца|34|богъ
мое̄го|Ps|1s---og--i|моего|447|мои
ӣ|C-|---------n|і|13|и
нікто̄же|Px|-s---pn--i|ніктоже|940|никътоже
не|Df|---------n|не|8|не
вѣстъ|V-|3spia----i|вѣстъ|138|вѣдѣти
кт̄о|Pi|-s---mn--i|кто|265|къто
е̄стъ|V-|3spia----i|естъ|18|бꙑти
с҃нъ|Nb|-s---mn--i|снъ|341|сꙑнъ#1
тъкьмо|Df|---------n|тъкьмо|1234|тъкъмо#2
о҃҅ць|Nb|-s---mn--i|оць|306|отьць
ӣ|C-|---------n|і|13|и
кт̄о|Pi|-s---pn--i|кто|265|къто
е̄стъ|V-|3spia----i|естъ|18|бꙑти
о҃̄ць|Nb|-s---mn--i|оць|306|отьць
тькм̄о|Df|---------n|тькмо|224|тъкъмо
с҃нъ|Nb|-s---mn--i|снъ|341|сꙑнъ#1
Ӣ|C-|---------n|і|13|и
е̄мѹже|Pr|-s---md--i|емоуже|96|иже
а̄ште|Df|---------n|аште|703|аще
хощетъ|V-|3spia----i|хоштетъ|301|хотѣти
с҃нъ|Nb|-s---mn--i|снъ|341|сꙑнъ#1
а̄віти|V-|--pna----i|авіті|358|авити
Ӣ|C-|---------n|і|13|и
о̄брашть|V-|-supamn-si|обрашть|625|обратити
сѧ|Pk|3s---qa--i|сѧ|21|себе
кь|R-|---------n|кь|59|къ
ѹ̄ченикомъ|Nb|-p---md--i|оученікомъ|359|оученикъ
е̄динъ|Ma|-s---mn--i|едінъ|243|ѥдинъ
ре̄че̄|V-|3saia----i|рече|106|рещи
Блаженѣӣ|A-|-d---rnpwi|блаженѣі|526|блаженъ
о̄чи|Nb|-d---nn--i|очі|427|око
відѧщиӣ|V-|-dppann-wi|відѧштіі|479|видѣти
ѣ̄же|Pr|-p---na--i|ѣже|96|иже
въі|Pp|2p---qn--i|въі|266|вꙑ
видите|V-|2ppia----i|відіте|479|видѣти
г҃лѭ|V-|1spia----i|глѭ|102|глаголати
бо|Df|---------n|бо|94|бо
вамъ|Pp|2p---qd--i|вамъ|266|вꙑ
Ѣ̄ко|G-|---------n|ѣко|115|ꙗко
мноѕі|A-|-p---mnpsi|мнозі|49|мъногъ
п҃ррци|Nb|-p---mn--i|пррці|0|FIXME
ӣ|C-|---------n|і|13|и
ц҃ре|Nb|-p---mn--i|цре|275|цѣсарь
въсхотѣшѧ|V-|3paia----i|въсхотѣшѧ|578|въсхотѣти
відѣти|V-|--pna----i|відѣті|479|видѣти
ѣ̄же|Pr|-p---na--i|ѣже|96|иже
въі|Pp|2p---qn--i|въі|266|вꙑ
відіте|V-|2ppia----i|відіте|479|видѣти
ӣ|C-|---------n|і|13|и
не|Df|---------n|не|8|не
відѣшѧ|V-|3paia----i|відѣшѧ|479|видѣти
ӣ|C-|---------n|і|13|и
слъішаті|V-|--pna----i|слъішаті|689|слꙑшати
ѣ̄же|Pr|-p---na--i|ѣже|96|иже
слъішіте|V-|2ppia----i|слъішіте|689|слꙑшати
въі|Pp|2p---qn--i|въі|266|вꙑ
ӣ|C-|---------n|і|13|и
не|Df|---------n|не|8|не
слъішашѧ|V-|3paia----i|слъішашѧ|689|слꙑшати
законникь|Nb|-p---mg--i|законнікь|541|законьникъ
е̄теръ|Px|-s---mn--i|етеръ|1287|етеръ
пріде|V-|3saia----i|пріде|221|прити
кь|R-|---------n|кь|59|къ
и҃҅сѹ|Ne|-s---md--i|ісоу|343|исоусъ
ӣскѹшаѩ̄|V-|-sppamn-si|іскоушаѧ|1489|искоушати
и|Pp|3s---ma--i|і|64|и
ӣ|C-|---------n|і|13|и
г҃лѧ|V-|-sppamn-si|глѧ|102|глаголати
Ѹ̄чітелю|Nb|-s---mv--i|оучітелю|988|оучитель
чьто|Pi|-s---na--i|чьто|134|чьто
сьтворь|V-|-supamn-si|сьтворь|73|сътворити
жівота|Nb|-s---mg--i|жівота|36|животъ
вѣчьнаа̄го|A-|-s---mgpwi|вѣчьнааго|411|вѣчьнъ
наслѣдѹѭ̄|V-|1spia----i|наслѣдоуѭ|532|наслѣдовати
О̄нъ|Pd|-s---mn--i|онъ|83|онъ
же|Df|---------n|же|20|же
рече|V-|3saia----i|рече|106|рещи
къ|R-|---------n|къ|59|къ
немѹ|Pp|3s---md--i|немоу|64|и
въ|R-|---------n|въ|111|въ
законѣ|Nb|-s---ml--i|законѣ|197|законъ
чьто|Pi|-s---nn--i|чьто|134|чьто
пісано|V-|-suppnn-si|пісано|32|пьсати
е̄стъ|V-|3spia----i|естъ|18|бꙑти
како|Du|---------n|како|30|како
чьтеші|V-|2spia----i|чьтеші|15|чисти
О̄нъ|Pd|-s---mn--i|онъ|83|онъ
же|Df|---------n|же|20|же
о̄тъвѣштавъ|V-|-supamn-si|отъвѣштавъ|271|отъвѣщати
рече|V-|3saia----i|рече|106|рещи
Вьзлюбиші|V-|2spia----i|вьзлюбіші|635|възлюбити
г҃а|Nb|-s---mg--i|га|342|господь
б҃а|Nb|-s---mg--i|ба|34|богъ
свое̄го|Pt|3s---mg--i|своего|217|свои
ѡт|R-|---------n|от|80|отъ
всего|Px|-s---ng--i|всего|54|вьсь
с҃рдца|Nb|-s---ng--i|срдца|446|срьдьце
твое̄го|Ps|2s---ng--i|твоего|307|твои
ӣ|C-|---------n|і|13|и
въсеѭ̄|Px|-s---fi--i|въсеѭ|54|вьсь
д҃шеѭ̄|Nb|-s---fi--i|дшеѭ|408|доуша
ӣ|C-|---------n|і|13|и
от|R-|---------n|от|80|отъ
въсеѩ̄|Px|-s---fg--i|въсеѧ|54|вьсь
крѣпості|Nb|-s---fg--i|крѣпості|2311|крѣпость
твое̄ѩ̄|Ps|2s---fg--i|твоеѧ|307|твои
ӣ|C-|---------n|і|13|и
от|R-|---------n|от|80|отъ
вс̄его|Px|-s---ng--i|всего|54|вьсь
помъішлениѣ̄|Nb|-p---nn--i|помъішленіѣ|471|помꙑшлѥниѥ
твое̄го|Ps|2s---mg--i|твоего|307|твои
любі|V-|3saia----i|любі|743|любити
ӣ|C-|---------n|і|13|и
ӣ|Df|---------n|і|91|и
ӣскрънѣа̄го|A-|-s---mgpwi|іскрънѣаго|740|искрьнии
свое̄го|Pt|3s---mg--i|своего|217|свои
ѣ̄ко|G-|---------n|ѣко|115|ꙗко
ӣ|Df|---------n|і|91|и
самъ|Pd|-s---mn--i|самъ|567|самъ
сѧ|Pk|3s---qa--i|сѧ|21|себе
Рече|V-|3saia----i|рече|106|рещи
же|Df|---------n|же|20|же
е̄мѹ|Pp|3s---md--i|емоу|64|и
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
право|Df|-------p-i|право|2976|право
о̄тъвѣща|V-|2saia----i|отъвѣшта|271|отъвѣщати
се|Pd|-s---na--i|се|47|сь
сътвори|V-|2spma----i|сътворі|73|сътворити
ӣ|C-|---------n|і|13|и
жівъ|A-|-s---mnpsi|жівъ|1507|живъ
бѫдеши|V-|2sfia----i|бѫдеші|18|бꙑти
О҅нъ|Pd|-s---mn--i|онъ|83|онъ
же|Df|---------n|же|20|же
хотѧ|V-|-sppamn-si|хотѧ|301|хотѣти
о̄правьдіти|V-|--pna----i|оправьдіті|1213|оправьдити
сѧ|Pk|3s---qa--i|сѧ|21|себе
самъ|Pd|-s---mn--i|самъ|567|самъ
рече|V-|3saia----i|рече|106|рещи
къ|R-|---------n|къ|59|къ
и҃҅сѹ|Ne|-s---md--i|ісоу|343|исоусъ
ӣ|C-|---------n|і|13|и
кто|Pi|-s---pn--i|кто|265|къто
естъ|V-|3spia----i|естъ|18|бꙑти
ӣскр̄ьниӣ|A-|-s---mnpti|іскрьніі|740|искрьнии
моӣ|Ps|1s---mn--i|моі|447|мои
Ѡ̄̄тъвѣща|V-|3saia----i|отъвѣшта|271|отъвѣщати
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
ӣ|C-|---------n|і|13|и
рече|V-|3saia----i|рече|106|рещи
Ч҃кь|Nb|-s---mn--i|чкь|211|чловѣкъ
е̄теръ|Px|-s---mn--i|етеръ|1287|етеръ
съхождаа̄ше|V-|3siia----i|съхождааше|1529|съходити
от|R-|---------n|от|80|отъ
е̄рслма|Ne|-s---mg--i|ерслма|717|иѥроусалимъ
вь|R-|---------n|вь|111|въ
е̄рихѫ|Ne|-s---fa--i|еріхѫ|2291|иѥриха
ӣ|C-|---------n|і|13|и
въ|R-|---------n|въ|111|въ
разбоӣникъи|Nb|-p---ma--i|разбоінікъі|1681|разбоиникъ
вьпаде|V-|3saia----i|вьпаде|1257|въпасти
ꙇ̄же|Pr|-p---mn--i|іже|96|иже
ӣ|C-|---------n|і|13|и
съвл̀ъкъше|V-|-pupamn-si|съвлъкъше|1984|съвлѣщи
ӣ|Pp|3s---ma--i|і|64|и
ӣ|C-|---------n|і|13|и
ѣ̄звъі|Nb|-p---fa--i|ѣзвъі|2750|ꙗзва
възложьше|V-|-pupamn-si|възложьше|1069|възложити
на|R-|---------n|на|117|на
нь|Pp|3s---ma--i|нь|64|и
О̄тідѫ|V-|3paia----i|отідѫ|433|отити
о̄ставльше|V-|-pupamn-si|оставльше|669|оставити
ӣ|C-|---------n|і|13|и
елѣ|Df|---------n|елѣ|2751|ѥлѣ
жива|A-|-s---mgpsi|жіва|1507|живъ
По|R-|---------n|по|77|по
пріключаю̄|Nb|-s---md--i|пріключаю|2752|приключаи
же|Df|---------n|же|20|же
ӣе̄реи|Nb|-s---mn--i|іереі|459|иѥреи
е̄теръ|Px|-s---mn--i|етеръ|1287|етеръ
съхождаа̄ше|V-|3siia----i|съхождааше|1529|съходити
пѫтемь|Nb|-s---mi--i|пѫтемь|678|пѫть
