же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
А̄зара|Ne|-s---mg--i|азара|5833|азариꙗ
А̄зарь|Nb|-p---mg--i|азарь|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
садока|Nb|-s---mg--i|садока|1449|садъ
садокь|Nb|-s---mn--i|садокь|1449|садъ
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
а̄хі̄на|Ne|-s---mg--i|ахіна|0|FIXME
а̄хінъ|Ne|-s---mn--i|ахінъ|0|FIXME
же|Df|---------n|же|20|же
р҃оді|V-|3saia----i|роді|1198|родити#1
е̄лиѹ̄да|Ne|-s---mn--i|еліоуда|0|FIXME
е̄ліѹ̄дъ|Nb|-s---ma--i|еліоудъ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
е̄ліе̄зора|Ne|-s---mg--i|еліезора|0|FIXME
Е̄ліе̄зоръ|Ne|-s---mn--i|еліезоръ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
мат҅т̄ана|Ne|-s---mg--i|маттана|1042|матътeи
матт̄анъ|Ne|-s---mn--i|маттанъ|1042|матътeи
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
ӣа̄кова|Ne|-s---mg--i|іакова|412|иꙗковъ
ӣа̄ковъ|Ne|-s---mn--i|іаковъ|412|иꙗковъ
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
ӣо̄сіфа|Ne|-s---mg--i|іосіфа|1392|иосифъ
мѫжа|Nb|-s---mg--i|мѫжа|70|мѫжь
мариӣна|A-|-s---ogpsi|марііна|2165|мариинъ
ӣз|R-|---------n|із|486|из
неѩ̄же|Pr|-s---fg--i|неѧже|96|иже
роді|V-|3saia----i|роді|1198|родити#1
сѧ|Pk|3s---qa--i|сѧ|21|себе
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
наріцае̄мъи|V-|-spppmn-wi|наріцаемъі|68|нарицати
х҃ъ|Ne|-s---mn--i|хъ|305|христ(ос)ъ
Вьсѣхъ|Px|-p---mg--i|вьсѣхъ|54|вьсь
же|Df|---------n|же|20|же
родовъ|Nb|-p---mg--i|родовъ|57|родъ
ѡт|R-|---------n|от|80|отъ
а̄враа̄ма|Ne|-s---mg--i|авраама|963|авраамъ
до|R-|---------n|до|187|до
д҃да|Nb|-s---mg--i|дда|0|FIXME
Родовъ|Nb|-p---mg--i|родовъ|57|родъ
г҃ꙇ҃|Nb|-s---mv--i|гі|342|господь
те|Pp|2s---ma--i|те|304|тꙑ
Ӣ|C-|---------n|і|13|и
ѡт|R-|---------n|от|80|отъ
д҃да|Nb|-s---mg--i|дда|0|FIXME
до|R-|---------n|до|187|до
прѣселениѣ̄|Nb|-s---ng--i|прѣселеніѣ|3824|прѣселѥниѥ
вавілонс҅каа̄го|A-|-s---ngpwi|вавілонскааго|4268|вавѵлоньскъ
Родовъ|Nb|-p---mg--i|родовъ|57|родъ
г҃ꙇ҃|Nb|-s---mv--i|гі|342|господь
те|Pp|2s---ma--i|те|304|тꙑ
Ӣ|C-|---------n|і|13|и
ѡт|R-|---------n|от|80|отъ
прѣселениѣ̄|Nb|-s---ng--i|прѣселеніѣ|3824|прѣселѥниѥ
вавилон̄с̄каа̄го|A-|-s---ngpwi|вавілонскааго|4268|вавѵлоньскъ
до|R-|---------n|до|187|до
х҃а|Ne|-s---mg--i|ха|305|христ(ос)ъ
Родовъ|Nb|-p---mg--i|родовъ|57|родъ
г҃ꙇ҃|Nb|-s---mv--i|гі|342|господь
те|Df|---------n|те|811|тѣ
И҃схво|A-|-s---nnpsi|ісхво|2045|исоухристосовъ
же|Df|---------n|же|20|же
р҃одство|Nb|-s---nn--i|родство|0|FIXME
сіце|Df|---------n|сіце|127|сице
бъіс|V-|3saia----i|бъіс|18|бꙑти
о̄брѫченѣ|V-|-suppfd-si|обрѫченѣ|2430|обрѫчити
бъивьші|V-|-supafd-si|бъівьші|18|бꙑти
матері|Nb|-s---fd--i|матері|1170|мати
е̄го|Pp|3s---mg--i|его|64|и
маріӣ|Ne|-s---fd--i|маріі|663|мариꙗ
Ӣо̄сіфові|Ne|-s---md--i|іосіфові|1392|иосифъ
прѣжде|Df|---------n|прѣжде|5|прѣжде
даже|G-|---------n|даже|1923|даже
не|Df|---------n|не|8|не
сьнѧсте|V-|2paia----i|сьнѧсте|2376|сънѧти
сѧ|Pk|3s---qa--i|сѧ|21|себе
О̄брѣте|V-|3saia----i|обрѣте|225|обрѣсти
сѧ|Pk|3s---qa--i|сѧ|21|себе
ӣмѫщі|V-|-sppafn-si|імѫшті|9|имѣти
въ|R-|---------n|въ|111|въ
чрѣвѣ|Nb|-s---nl--i|чрѣвѣ|1291|чрѣво
ѡт|R-|---------n|от|80|отъ
д҃ха|Nb|-s---mg--i|дха|443|доухъ
с҃та|A-|-s---ogpsi|ста|65|свѧтъ
и҃҅схво|A-|-s---nnpsi|ісхво|2045|исоухристосовъ
же|Df|---------n|же|20|же
р҃одство|Nb|-s---nn--i|родство|0|FIXME
сице|Df|---------n|сіце|127|сице
Ӣо̄сіфь|Ne|-s---mn--i|іосіфь|1392|иосифъ
же|Df|---------n|же|20|же
мѫжь|Nb|-s---mn--i|мѫжь|70|мѫжь
е̄ѩ̄|Pp|3s---fg--i|еѧ|64|и
правьденъ|A-|-s---mnpsi|правьденъ|71|правьдьнъ
съі|V-|-sppamn-si|съі|18|бꙑти
ӣ|C-|---------n|і|13|и
не|Df|---------n|не|8|не
хотѧ|V-|-sppamn-si|хотѧ|301|хотѣти
о̄блічіті|V-|--pna----i|облічіті|1567|обличити
е̄ѩ̄|Pp|3s---fg--i|еѧ|64|и
Въсх̄отѣ|V-|3saia----i|въсхотѣ|578|въсхотѣти
таӣ|Df|---------n|таі|3136|таи
пѹстіті|V-|--pna----i|поустіті|704|поустити
ѭ|Pp|3s---fa--i|ѭ|64|и
Се|Pd|-s---na--i|се|47|сь
же|Df|---------n|же|20|же
е̄мѹ|Pp|3s---md--i|емоу|64|и
ѹ̄мъішльшѹ|V-|-supamd-si|оумъішльшоу|795|оумꙑти
се|I-|---------n|се|419|се
а҃̄нꙉлъ|Nb|-s---mn--i|англъ|159|ангелъ
г҃нь|A-|-s---mnpsi|гнь|1674|господьнь
вь|R-|---------n|вь|111|въ
сьнѣ|Nb|-s---ml--i|сьнѣ|1976|сънъ
ѣ̄ви|V-|3saia----i|ѣві|358|авити
сѧ|Pk|3s---qa--i|сѧ|21|себе
е̄мѹ|Pp|3s---md--i|емоу|64|и
г҃лѩ|V-|-sppamn-si|глѧ|102|глаголати
Ӣо̄сіфе|Ne|-s---mv--i|іосіфе|1392|иосифъ
с҃не|Nb|-s---mv--i|сне|341|сꙑнъ#1
д҃двъ|A-|-s---mvpsi|ддвъ|0|FIXME
не|Df|---------n|не|8|не
ѹ̄боӣ|V-|2spma----i|оубоі|1156|оубоꙗти
сѧ|Pk|3s---qa--i|сѧ|21|себе
пріѩ̄ті|V-|--pna----i|пріѧті|165|приѩти
женъі|Nb|-s---fg--i|женъі|693|жена
твое̄ѩ̄|Ps|2s---fg--i|твоеѧ|307|твои
м̄ар̄іѩ̄|Ne|-s---fg--i|маріѧ|663|мариꙗ
сѫштее̄|V-|-sppana-wi|сѫштее|18|бꙑти
бо|Df|---------n|бо|94|бо
вь|R-|---------n|вь|111|въ
неӣ|Pp|3s---fl--i|неі|64|и
Ѡт|R-|---------n|от|80|отъ
д҃ха|Nb|-s---mg--i|дха|443|доухъ
с҃та|A-|-s---mgpsi|ста|65|свѧтъ
е̄стъ|V-|3spia----i|естъ|18|бꙑти
Родіт|V-|3spia----i|родіт|1562|родити#2
же|Df|---------n|же|20|же
с҃на|Nb|-s---mg--i|сна|341|сꙑнъ#1
Ӣ|C-|---------n|і|13|и
наречеші|V-|2spia----i|наречеші|311|нарещи
ӣмѧ|Nb|-s---na--i|імѧ|442|имѧ
е̄мѹ|Pp|3s---md--i|емоу|64|и
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ
тъ|Pd|-s---mn--i|тъ|105|тъ
бо|Df|---------n|бо|94|бо
с҃псетъ|V-|3spia----i|спсетъ|509|съпасти#1
люді|Nb|-p---ma--i|люді|564|людиѥ
своѩ̄|Pt|3p---ma--i|своѧ|217|свои
о̄ть|R-|---------n|оть|80|отъ
грѣхъ|Nb|-p---mg--i|грѣхъ|406|грѣхъ
ӣхъ|Pp|3p---mg--i|іхъ|64|и
Се|Pd|-s---nn--i|се|47|сь
же|Df|---------n|же|20|же
вьсе|Px|-s---nn--i|вьсе|54|вьсь
бъіс|V-|3saia----i|бъіс|18|бꙑти
да|G-|---------n|да|366|да
събѫдет|V-|3sfia----i|събѫдет|980|събꙑти
сѧ|Pk|3s---qa--i|сѧ|21|себе
реченое̄|V-|-suppnn-wi|реченое|106|рещи
о̄тъ|R-|---------n|отъ|80|отъ
г҃а|Nb|-s---mg--i|га|342|господь
исаӣе̄м|V-|-supamn-si|ісаіем|0|FIXME
п҃рркмъ|Nb|-p---md--i|прркмъ|0|FIXME
г҃лщемъ|V-|-pppamd-si|глштемъ|102|глаголати
Се|Pk|3s---qa--i|се|21|себе
дѣва|Nb|-s---fn--i|дѣва|666|дѣва
въ|R-|---------n|въ|111|въ
чрѣвѣ|Nb|-s---nl--i|чрѣвѣ|1291|чрѣво
приӣметъ|V-|3spia----i|прііметъ|165|приѩти
ӣ|C-|---------n|і|13|и
родітъ|V-|3spia----i|родітъ|1198|родити#1
с҃на|Nb|-s---mg--i|сна|341|сꙑнъ#1
ӣ|C-|---------n|і|13|и
нарекѫтъ|V-|3ppia----i|нарекѫтъ|311|нарещи
ӣмѧ|Nb|-s---na--i|імѧ|442|имѧ
е̄мѹ|Pp|3s---md--i|емоу|64|и
е̄нм̄анѹӣль|Ne|-s---mn--i|енманоуіль|0|FIXME
Е̄же|Pr|-s---nn--i|еже|96|иже
