хотѧштііхъ|V--pppaqg-wi|хотѧщиӣхъ
бъіті|V---pna----i|бъіті
і|C----------n|Ӣ
статі|V---pna----i|стати
прѣдъ|R----------n|прѣдъ
сномъ|Nb-s---mi--i|с҃номъ
члчьскомъ|A--s---mipsi|ч҃лчьскомъ
ѣві|V-3saia----i|Ѣ̄ві
же|Df---------n|же
сѧ|Pk3s---qa--i|сѧ
емоу|Pp3s---md--i|е̄мѹ
англъ|Nb-s---mn--i|а҃҅нꙉлъ
съ|R----------n|съ
нбсе|Nb-s---ng--i|н҃бсе
оукрѣплѣѧ|V--sppamn-si|ѹ̄крѣплѣѩ̄
і|Pp3s---ma--i|ӣ
і|C----------n|Ӣ
бъіс|V-3saia----i|бъіс
въ|R----------n|въ
подвізѣ|Nb-s---ml--i|подв҅іѕѣ
прілежьнѣе|Df-------c-i|прілежьнѣе̄
молѣаше|V-3siia----i|молѣа̄ше
сѧ|Pk3s---qa--i|сѧ
і|C----------n|ӣ
бъіс|V-3saia----i|бъіс
потъ|Nb-s---mn--i|потъ
его|Pp3s---mg--i|е̄го
ѣко|G----------n|ѣ̄ко
каплѣ|Nb-s---fn--i|каплѣ
кръве|Nb-s---fg--i|кръве
каплѧштѧ|V--pppafn-si|каплѩштѧ
на|R----------n|на
землѭ|Nb-s---fa--i|земл̄ѭ̄
і|C----------n|И
въставъ|V--supamn-si|въставъ
отъ|R----------n|о̄тъ
молітвъі|Nb-s---fg--i|молітвъі
вѣсѧ|V-3paia----i|вѣсѧ
съ|R----------n|съ
ісмь|Ne-s---mi--i|и҃̄смь
і|C----------n|ӣ
на|R----------n|на
два|Ma-d---ma--i|дв̄а
зьлодѣа|Nb-d---ma--i|зьлодѣа̄
оубітъ|V----u--a--i|ѹ̄бітъ
і|C----------n|Ӣ
егда|Dq---------n|е̄гд҅а
прідѫ|V-3paia----i|прідѫ
на|R----------n|на
мѣсто|Nb-s---na--i|мѣсто
наріцаемое|V--spppna-wi|наріцае̄мое̄
краніево|A--s---napsi|крание̄во
тоу|Df---------n|Тѹ
распѧсѧ|V-3paia----i|распѩ̄сѩ
і|Pp3s---ma--i|ӣ
і|C----------n|ӣ
оба|Ma-d---ma--i|о̄ба
зьлодѣа|Nb-d---ma--i|зьлодѣа̄
ового|Pd-s---mg--i|о̄вого
оубо|Df---------n|ѹ̄бо
о|R----------n|о̄
деснѫѭ|A--s---fapwi|десн̄ѫѭ̄
а|C----------n|а̄
дроугаго|A--s---mgpwi|дрѹгаго
о|R----------n|о̄
шоуѭ|A--s---fapwi|шюѭ̄
распѧсѧ|V-3paia----i|распѧсѧ
ісь|Ne-s---mn--i|и҃̄сь
же|Df---------n|же
глааше|V-3siia----i|г҃лаа̄ше
оче|Nb-s---mv--i|ѡ҃̄̄че
отъпоусті|V-2spma----i|О̄тъпѹсти
імъ|Pp3p---md--i|ӣмъ
не|Df---------n|не
вѣдѧтъ|V-3ppia----i|вѣдѧтъ
бо|Df---------n|бо
сѧ|Pk3s---qa--i|сѧ
чьто|Pi-s---na--i|чьто
творѧтъ|V-3ppia----i|творѩтъ
раздѣлѣѭште|V--pppamn-si|раздѣлѣѭ̄ште
же|Df---------n|же
різъі|Nb-p---fa--i|різъи
его|Pp3s---mg--i|е̄го
метаахѫ|V-3piia----i|метаа̄хѫ
жрѣбіѧ|Nb-p---ma--i|жрѣбіѩ̄
і|C----------n|Ӣ
стоѣахѫ|V-3piia----i|стоѣа̄хѫ
людіе|Nb-p---mn--i|людіе̄
зьрѧште|V--pppamn-si|зьрѩшт̄е
подрѣжаахѫ|V-3piia----i|Подрѣжаахѫ
же|Df---------n|же
і|Pp3s---ma--i|ӣ
і|C----------n|ӣ
кьнѧзі|Nb-p---mn--i|кьнѩѕі
глште|V--pppamn-si|г҃лште
сь|R----------n|сь
німі|Pp3p---mi--i|німі
інъі|Px-p---ma--i|Ӣнъі
естъ|V-3spia----i|е̄стъ
спслъ|V--sspamn-si|спслъ
да|Df---------n|да
спсетъ|V-3spia----i|с҃псетъ
і|C----------n|ӣ
сѧ|Pk3s---qa--i|сѧ
аште|G----------n|а̄ште
тъ|Pd-s---mn--i|тъ
естъ|V-3spia----i|е̄стъ
хъ|Ne-s---mn--i|х҃ъ
снъ|Nb-s---mn--i|с҃нъ
бжіі|A--s---mnpsi|б҃жіі
ізбранъі|V--suppmn-wi|ӣзбранъі
рѫгаахѫ|V-3piia----i|Рѫгаа̄хѫ
же|Df---------n|же
сѧ|Pk3s---qa--i|сѧ
емоу|Pp3s---md--i|е̄мѹ
і|C----------n|ӣ
воіні|Nb-p---mn--i|воӣни
прістѫпаѭште|V--pppamn-si|пристѫпаѭ̄ще
і|C----------n|Ӣ
оцетъ|Nb-s---ma--i|о̄цетъ
прідаваѭште|V--pppamn-si|прідаваѭще
емоу|Pp3s---md--i|е̄мѹ
і|C----------n|Ӣ
глште|V--pppamn-si|г҃лще
аште|G----------n|А̄ще
тъі|Pp2s---qn--i|тъи
есі|V-2spia----i|е̄си
црь|Nb-s---mn--i|ц҃рь
іюдеіскь|A--s---mnpsi|ӣю̄деӣскь
спсі|V-2spma----i|с҃пси
сѧ|Pk3s---qa--i|сѧ
самъ|Pd-s---mn--i|с̄амъ
бѣ|V-3siia----i|бѣ
же|Df---------n|же
напісаніе|Nb-s---nn--i|напісаніе
напісано|V--suppnn-si|напісано
надь|R----------n|надь
німъ|Pp3s---mi--i|німъ
кьнігамі|Nb-p---fi--i|кьнігамі
еліньскамі|A--p---fipsi|е̄ліньск҅ами
і|C----------n|ӣ
роумьскамі|A--p---fipsi|рѹмьсками
і|C----------n|ӣ
евреіскамі|A--p---fipsi|е̄вреӣсками
сь|Pd-s---mn--i|Сь
есть|V-3spia----i|е̄сть
црь|Nb-s---mn--i|ц҃рь
іюдеіскь|A--s---mnpsi|ӣю̄деӣскь̄
едінъ|Ma-s---mn--i|Е̄дінъ
же|Df---------n|же
от|R----------n|ѡ̄̇т
обѣшеноую|V--duppqg-wi|о̄бѣшенѹю
зьлодѣю|Nb-d---mg--i|зьлодѣю̄
хоулѣаше|V-3siia----i|хѹлѣа̄ше
і|Pp3s---ma--i|ӣ
глѧ|V--sppamn-si|г҃лѧ
аште|G----------n|а̄ще
тъі|Pp2s---qn--i|тъи
есі|V-2spia----i|е̄си
хъ|Ne-s---mn--i|х҃ъ
спсі|V-2spma----i|с҃пс̄і
сѧ|Pk3s---qa--i|сѧ
самъ|Pd-s---mn--i|самъ
і|C----------n|ӣ
нъі|Pp1p---qa--i|нъі
едінь|Ma-s---mn--i|Е̄дінь
же|Df---------n|же
от|R----------n|от
обою|Ma-d---mg--i|о̄бою̄
зьлодѣю|Nb-d---mg--i|зьлодѣю̄
хоулѣаше|V-3siia----i|хѹлѣа̄ше
і|Pp3s---ma--i|ӣ
глѧ|V--sppamn-si|г҃лѧ
аште|G----------n|а̄ште
тъі|Pp2s---qn--i|тъі
есі|V-2spia----i|е̄си
хъ|Ne-s---mn--i|х҃ъ
спсі|V-2spma----i|с҃псі
сѧ|Pk3s---qa--i|сѧ
самъ|Pd-s---mn--i|самъ
і|C----------n|ӣ
нъі|Pp1p---qa--i|нъі
отъвѣштавь|V--supamn-si|Ѡ҅̄тъвѣ̄штавь
же|Df---------n|же
дроугъіі|A--s---mnpwi|дрѹгъіӣ
прѣштааше|V-3siia----i|прѣщаа̄ше
емоу|Pp3s---md--i|е̄мѹ
глѧ|V--sppamn-si|г҃лѧ
ні|C----------n|ни
лі|Du---------n|лі
тъі|Pp2s---qn--i|тъи
боіші|V-2spia----i|боӣши
сѧ|Pk3s---qa--i|сѧ
ба|Nb-s---mg--i|б҃а
ѣко|G----------n|ѣ̄ко
въ|R----------n|въ
томьжде|Pd-s---ol--i|томьжде
осѫжденіі|Nb-s---nl--i|о̄сѫжденіӣ
есі|V-2spia----i|е̄си
отъвѣштавъ|V--supamn-si|Ѡ̄̄тъвѣщавъ
же|Df---------n|же
дроугъіі|A--s---mnpwi|дрѹгъіӣ
прѣштааше|V-3siia----i|прѣштаа̄ше
емоу|Pp3s---md--i|емѹ
глѧ|V--sppamn-si|г҃лѧ
ні|C----------n|Ні
лі|Du---------n|лі
тъі|Pp2s---qn--i|тъі
боіші|V-2spia----i|боӣші
сѧ|Pk3s---qa--i|сѧ
ба|Nb-s---mg--i|б҃а
ѣко|G----------n|ѣ̄ко
въ|R----------n|въ
томъжде|Pd-s---ml--i|томъжде
осѫжденіі|Nb-s---nl--i|о̄сѫждении
есі|V-2spia----i|е̄сі
і|C----------n|Ӣ
вѣ|Pp1d---qn--i|вѣ
оубо|Df---------n|ѹ̄бо
въ|R----------n|въ
правьдѫ|Nb-s---fa--i|правьдѫ
достоінаѣ|A--p---napwi|достоӣнаѣ̄
бо|Df---------n|бо
ѣже|Pr-p---na--i|ѣ̄же
дѣлаховѣ|V-1diia----i|дѣлаховѣ
въспріемлевѣ|V-1dpia----i|въсприе̄мле̄вѣ
а|C----------n|а̄
сь|Pd-s---mn--i|сь
нічесоже|Px-s---ng--i|ничесоже
зьла|A--s---ngpsi|зьла
сьтворь|V--supamn-si|сьт̄ворь
і|C----------n|ӣ
вѣ|Pp1d---qn--i|вѣ
оубо|Df---------n|ѹ̄бо
въ|R----------n|въ
правдѫ|Nb-s---fa--i|правд̄ѫ
достоінаѣ|A--p---napwi|достоӣнаѣ̄
бо|Df---------n|бо
ѣже|Pr-p---na--i|ѣ̄же
дѣлаховѣ|V-1diia----i|дѣлаховѣ
въспріемлевѣ|V-1dpia----i|въспріе̄мле̄вѣ
а|C----------n|А̄
сь|Pd-s---mn--i|сь
нічесоже|Px-s---ng--i|нічесоже
зьла|A--s---ngpsi|зьла
не|Df---------n|не
сьтворі|V-3saia----i|сьтворі
і|C----------n|ӣ
глааше|V-3siia----i|г҃лаа̄ше
ісві|Ne-s---md--i|и҃̄сві
помѧні|V-2spma----i|Помѧни
мѧ|Pp1s---qa--i|мѧ
гі|Nb-s---mv--i|г҃и
егда|Dq---------n|е̄гд̄а
прідеші|V-2spia----i|придеши
въ|R----------n|въ
црствіе|Nb-s---na--i|ц҃рствие̄
сі|Pk3s---nd--i|сі
і|C----------n|Ӣ
глааше|V-3siia----i|г҃лаа̄ше
ісві|Ne-s---md--i|и҃̄сві
помѧні|V-2spma----i|Помѧни
мѧ|Pp1s---qa--i|мѧ
гі|Nb-s---mv--i|г҃и
егда|Dq---------n|е̄гда
прідеші|V-2spia----i|прідеші
въ|R----------n|въ
црествіе|Nb-s---nn--i|ц҃рествіе̄
сі|Pd-s---nn--i|сі
і|C----------n|ӣ
рече|V-3saia----i|рече
емоу|Pp3s---md--i|ӗмѹ
ісъ|Ne-s---mn--i|и҃̄съ
амінъ|I----------n|Аминъ
глѭ|V-1spia----i|г҃лѭ
тебѣ|Pp2s---qd--i|тебѣ
дьнесь|Df---------n|дьнесь
съ|R----------n|съ
мноѭ|Pp1s---mi--i|мн̄оѭ
бѫдеші|V-2sfia----i|бѫдеши
въ|R----------n|въ
раі|Nb-s---ml--i|р̆аӣ
і|C----------n|ӣ
рече|V-3saia----i|рече
емоу|Pp3s---md--i|е̄мѹ
ісъ|Ne-s---mn--i|и҃̄съ
амін|I----------n|А̄мин
глѭ|V-1spia----i|г҃лѭ
тебѣ|Pp2s---qd--i|тебѣ
дьнесь|Df---------n|дьнесь
сь|R----------n|сь
мноѭ|Pp1s---mi--i|мно̄ѭ̄
бѫдеші|V-2sfia----i|бѫдеші
въ|R----------n|въ
раі|Nb-s---ml--i|раӣ
бѣ|V-3siia----i|Бѣ
же|Df---------n|же
годіна|Nb-s---fn--i|годіна
ѣко|Df---------n|ѣ̄ко
шестаа|Mo-s---fn--i|шестаа̄
і|C----------n|Ӣ
тъма|Nb-s---fn--i|тъма
бъіс|V-3saia----i|бъіс
по|R----------n|по
вьсеі|Px-s---fd--i|вьсеӣ
землі|Nb-s---fd--i|зем̄ли
до|R----------n|до
годінъі|Nb-s---fg--i|годінъі
девѧтъіѧ|Mo-s---fg--i|девѩ̄тъ̄іѩ̄
слънцоу|Nb-s---md--i|слънцѹ
мръкьшоу|V--supamd-si|мръкьшѹ
і|C----------n|ӣ
катапетазма|Nb-s---fn--i|катапетазм҅а
црковънаа|A--s---fnpwi|ц҃рковънаа̄
раздра|V-3saia----i|раз҅д̄ра
сѧ|Pk3s---qa--i|сѧ
на|R----------n|н̄а
двое|Ma-s---na--i|дв̄ое̄
от|R----------n|ѡт
горъі|Nb-s---fg--i|горъи
до|R----------n|до
нізоу|Df---------n|низѹ
і|C----------n|Ӣ
възглашь|V--supamn-si|възг̄лашь
ісъ|Ne-s---mn--i|и҃̄съ
гласомь|Nb-s---mi--i|гласомь
веліемъ|A--s---mipsi|веліе̄мъ
рече|V-3saia----i|ре̄ч̄е
оче|Nb-s---mv--i|ѡ҃҅҅̄че
вь|R----------n|вь
рѫцѣ|Nb-d---fa--i|рѫцѣ
твоі|Ps2d---fa--i|твои
прѣдаѭ|V-1spia----i|прѣдаѭ̄
дхъ|Nb-s---ma--i|д҃хъ
моі|Ps1s---ma--i|моӣ
і|C----------n|Ӣ
се|Pd-s---na--i|се
рекь|V--supamn-si|рекь
іздьше|V--pupamn-si|ӣзд̄ь̄ше
відѣвъ|V--supamn-si|Відѣвъ
же|Df---------n|же
сьтьнікь|Nb-s---mn--i|сьтьнікь
бъівъшее|V--supana-wi|бъивъшее̄
прославі|V-3saia----i|прославі
ба|Nb-s---mg--i|б҃а
глѧ|V--sppamn-si|г҃л҃ѧ
въ|R----------n|въ
істінѫ|Nb-s---fa--i|ӣстінѫ
члкь|Nb-s---mn--i|ч҃лкь
сь|Pd-s---mn--i|сь
правьденъ|A--s---mnpsi|правьденъ
бѣ|V-3siia----i|бѣ
і|C----------n|ӣ
въсі|Px-p---mn--i|въсі
прішедъше|V--pupamn-si|прішедъше
і|Pp3s---ma--i|ӣ
на|R----------n|на
позорось|Nb-s---fa--i|позорось
відѧште|V--pppamn-si|видѧште
бъіваѭштаа|V--pppana-wi|бъіваѭ̄щаа̄
біѭште|V--pppamn-si|біѭ̄ще
пръсі|Nb-p---fa--i|пръсі
своѧ|Pt3p---fa--i|своѩ̄
възвраштаахѫ|V-3piia----i|възв̄раштаа̄хѫ
сѧ|Pk3s---qa--i|сѧ
стоѣахѫ|V-3piia----i|Стоѣ̄а̄хѫ
же|Df---------n|же
вьсі|Px-p---mn--i|вьсі
знаеміі|V--pppamn-wi|знае̄міі̄
емоу|Pp3s---md--i|е̄мѹ
іздалече|Df---------n|ӣзд̄алече
і|C----------n|ӣ
женъі|Nb-p---fn--i|женъи
въшедъшѧѧ|V--pupafn-wi|въшедъшѧѩ̄
сь|R----------n|сь
німъ|Pp3s---mi--i|німъ
от|R----------n|от
галілеѧ|Ne-s---fg--i|галіле̄ѩ̄
і|C----------n|ӣ
зьрѧштѧ|V--pppafn-si|зьрѩштѧ
сіхъ|Pd-p---ng--i|сіхъ
въ|R----------n|Въ
едінѫ|Ma-s---fa--i|е̄динѫ
сѫботъ|Nb-p---fg--i|сѫботъ
зѣло|Df---------n|ѕѣло
рано|Df-------p-i|рано
прідѫ|V-3paia----i|прідѫ
женъі|Nb-p---fn--i|женъи
на|R----------n|на
гробъ|Nb-s---ma--i|гробъ
носѧштѧ|V--pppama-si|носѧщѧ
ѧже|Pr-p---ma--i|ѩ̄же
оуготовашѧ|V-3paia----i|ѹготовашѧ
ароматъі|Nb-p---ma--i|а̄роматъі
і|C----------n|ӣ
етеръі|Px-p---ma--i|е̄теръи
съ|R----------n|съ
німі|Pp3p---mi--i|нимі
і|C----------n|ӣ
обрѣтѫ|V-3paia----i|о̄брѣтѫ
камень|Nb-s---ma--i|камень
отваленъ|V--suppma-si|отваленъ
отъ|R----------n|о̄тъ
гроба|Nb-s---mg--i|гроба
і|C----------n|ӣ
въшедьшѧ|V--pupafn-si|въшедьшѧ
не|Df---------n|не
обрѣтѫ|V-3paia----i|о̄брѣтѫ
тоу|Df---------n|тѹ
тѣлесе|Nb-s---ng--i|тѣлесе
га|Nb-s---mg--i|г҃а
іса|Ne-s---mg--i|и҃̄са
і|C----------n|ӣ
бъіс|V-3saia----i|бъис
не|Df---------n|не
домъіслѧштамъ|V--pppafd-si|домъислѧштамъ
сѧ|Pk3s---qa--i|сѧ
імъ|Pp3p---fd--i|ӣмъ
о|R----------n|о̄
семъ|Pd-s---nl--i|семъ
і|C----------n|ӣ
се|I----------n|се
мѫжа|Nb-d---mn--i|мѫжа
дьва|Ma-d---mn--i|дьва
стасте|V-3daia----i|стасте
въ|R----------n|въ
ніхъ|Pp3p---fl--i|нихъ
въ|R----------n|въ
різахъ|Nb-p---fl--i|різахъ
бльштѧштах|V-1siia----i|бльщѧщах
сѧ|Pk3s---qa--i|с̄ѧ
прістрашънамъ|A--p---fdpsi|Прістрашънамъ
же|Df---------n|же
бъівъшамъ|V--pupafd-si|бъивъшамъ
імъ|Pp3p---fd--i|ӣмъ
і|C----------n|ӣ
поклоньшамъ|V--pupafd-si|поклоньшамъ
ліца|Nb-s---ng--i|лица
на|R----------n|на
землѭ|Nb-s---fa--i|землѭ̄
рѣсте|V-3daia----i|рѣсте
кь|R----------n|кь
німъ|Pp3p---fd--i|нимъ
чьто|Pi-s---na--i|чьто
іштете|V-2ppia----i|ӣштете
жівааго|A--s---mgpwi|жіваа̄го
съ|R----------n|съ
мрътвъіімі|A--p---mipwi|мрътвъиӣми
нѣстъ|V-3spia----i|нѣстъ
съде|Df---------n|съде
въста|V-3saia----i|въста
бо|Df---------n|бо
помѧнѣте|V-2ppma----i|помѧнѣте
ѣкоже|Dq---------n|ѣ̄коже
гла|V-3saia----i|г҃ла
вамъ|Pp2p---fd--i|вамъ
еште|Df---------n|е̄ще
съі|V--sppamn-si|съі
въ|R----------n|въ
галілеі|Ne-s---fl--i|галилеӣ
глѧ|V--sppamn-si|г҃лѧ
ѣко|G----------n|ѣ̄ко
подобаетъ|V-3spia----i|подобае̄тъ
сноу|Nb-s---md--i|с҃нѹ
члчьскоумоу|A--s---odpwi|ч҃лчьскѹмѹ
прѣданоу|V--suppmd-si|прѣданѹ
бъіті|V---pna----i|бъиті
въ|R----------n|въ
рѫцѣ|Nb-d---fa--i|рѫцѣ
члкъ|Nb-p---mg--i|ч҃лкъ
грѣшьнікъ|Nb-p---mg--i|грѣшьникъ
і|C----------n|ӣ
распѧтоу|V--suppmd-si|распѩтѹ
бъіті|V---pna----i|бъити
і|C----------n|ӣ
третіі|Mo-s---ma--i|третиӣ
денъ|Nb-s---ma--i|денъ
въскрснѫті|V---pna----i|в҃ъскрснѫті
і|C----------n|Ӣ
помѧнѫшѧ|V-3paia----i|помѧнѫшѧ
глъі|Nb-p---ma--i|г҃лъи
его|Pp3s---mg--i|е̄го
і|C----------n|ӣ
възвраштъшѧ|V--pupafn-si|възвраштъшѧ
сѧ|Pk3s---qa--i|сѧ
от|R----------n|от
гроба|Nb-s---mg--i|гроба
възвѣстішѧ|V-3paia----i|възвѣстишѧ
вьсѣ|Px-p---na--i|вьсѣ
сіі|Pd-p---na--i|сиӣ
едіномоу|Ma-s---md--i|е̄діномѹ
на|R----------n|на
десѧте|Ma-s---pl--i|десѧте
і|C----------n|ӣ
всѣмъ|Px-p---pd--i|вс̆ѣмъ
прочіімъ|A--p---pdpwi|прочиӣмъ
бѣ|V-3siia----i|бѣ
же|Df---------n|же
маріа|Ne-s---fn--i|ма̄риа̄
магдалъіні|Ne-s---fn--i|магдалъині
іоанна|Ne-s---fn--i|ӣо̄а̄нн̄а
і|C----------n|ӣ
маріѣ|Ne-s---fn--i|мариѣ̄
іѣковлѣ|A--s---fnpsi|ӣѣковлѣ
і|C----------n|ӣ
прочѧѧ|A--p---fnpwi|прочѧѩ̄
сь|R----------n|сь
німі|Pp3p---fi--i|ними
ѧже|Pr-p---fn--i|ѩ̄же
і|C----------n|ӣ
глаахѫ|V-3piia----i|г҃лаа̄хѫ
кь|R----------n|к̄ь
апломъ|A--s---mipsi|а҃̄пломъ
сіі|Pd-p---mn--i|сіӣ
і|Df---------n|ӣ
авішѧ|V-3paia----i|а̄вішѧ
сѧ|Pk3s---qa--i|сѧ
прѣдь|R----------n|прѣдь
німі|Pp3p---mi--i|ними
ѣко|Df---------n|ѣ̄ко
блѧді|Nb-p---fn--i|б̄лѧді
глі|Nb-p---mn--i|г҃ли
іхъ|Pp3p---fg--i|ӣхъ
і|C----------n|ӣ
не|Df---------n|не
імаахѫ|V-3piia----i|ӣмаа̄хѫ
вѣръі|Nb-s---fg--i|вѣръи
імъ|Pp3p---md--i|ӣмъ
петръ|Ne-s---mn--i|Петръ
же|Df---------n|же
въставъ|V--supamn-si|въставъ
тече|V-3saia----i|тече
кь|R----------n|кь
гробоу|Nb-s---md--i|гробѹ
і|C----------n|ӣ
прінікь|Nb-s---mn--i|пріникь
відѣ|V-3saia----i|відѣ
різъі|Nb-p---fa--i|ризъі
лежѧштѧ|V--pppafa-si|лежѧштѧ
едінъі|Ma-p---ma--i|е̄динъі
і|C----------n|ӣ
іде|V-3saia----i|ӣде
въ|R----------n|въ
себѣ|Pk3s---ml--i|себѣ
дівѧ|V--sppamn-si|дивѧ
сѧ|Pk3s---qa--i|сѧ
бъівъшоумоу|V--supand-wi|бъівъшѹмѹ
петръ|Ne-s---mn--i|Петръ
въставъ|V--supamn-si|въставъ
тече|V-3saia----i|тече
къ|R----------n|къ
гробоу|Nb-s---md--i|гробѹ
і|C----------n|ӣ
прінікъ|V--supamn-si|прінікъ
відѣ|V-3saia----i|відѣ
різъі|Nb-p---fa--i|різъі
лежѧштѧ|V--pppafa-si|лежѧщѩ
едінъі|Ma-p---ma--i|е̄дінъі
і|C----------n|ӣ
іде|V-3saia----i|ӣде
въ|R----------n|въ
себѣ|Pk3s---ml--i|себѣ
дівѧ|V--sppamn-si|дівѧ
сѧ|Pk3s---qa--i|сѧ
бъівъшоуоумоу|V--supand-wi|бъівъшѹѹ̄мѹ
петрь|Ne-s---mn--i|петрь
вставъ|V--supamn-si|вс҅тавъ
тече|V-3saia----i|тече
к|R----------n|к
гроб|Ne-s---ma--i|г)роб
і|C----------n|ӣ
се|I----------n|се
дъва|Ma-d---mn--i|дъва
от|R----------n|ѡт
ніхъ|Pp3p---mg--i|ніхъ
бъісте|V-3daia----i|бъісте
ідѫшта|V--dppamn-si|ӣдѫшта
въ|R----------n|въ
тьжде|Pd-s---ma--i|тьжде
день|Nb-s---ma--i|день
въ|R----------n|въ
весь|Nb-s---fa--i|весь
отстоѭштѫѭ|V--sppafa-wi|отстоѭ̄щѫѭ̄
стадіі|Nb-p---mg--i|стадіӣ
шесть|Ma-s---fa--i|шесть
десѧтъ|Ma-p---pg--i|десѧтъ
от|R----------n|от
іерлма|Ne-s---mg--i|ӣе̄рлма
еіже|Pr-s---fd--i|е̄ꙇ̄же
імѧ|Nb-s---nn--i|ӣмѧ
емаоусъ|Ne---------n|е̄маѹ̄съ
і|C----------n|ӣ
та|Pd-d---mn--i|та
бесѣдовааста|V-3diia----i|бесѣдоваа̄ста
къ|R----------n|къ
себѣ|Pk3s---md--i|себѣ
о|R----------n|о̄
всѣхъ|Px-p---nl--i|вс̄ѣхъ
пріключьшііхъ|V--pupanl-wi|пріключьшіӣхъ
сѧ|Pk3s---qa--i|сѧ
сіхъ|Pd-p---nl--i|сіхъ
і|C----------n|ӣ
бъіс|V-3saia----i|бъіс
бесѣдоуѭштема|V--dppamd-si|бесѣдѹѭ̄щема
іма|Pp3d---md--i|ӣма
і|C----------n|ӣ
сътѧзаѭштема|V--dppamd-si|сътѧѕаѭщема
сѧ|Pk3s---qa--i|сѧ
іма|Pp3d---md--i|ӣма
і|C----------n|и
се|I----------n|се
самь|Pd-s---mn--i|самь
ісъ|Ne-s---mn--i|и҃съ
прібліжі|V-3saia----i|приближи
сѧ|Pk3s---qa--i|сѧ
ідѣаше|V-3siia----i|идѣаше
с|R----------n|с
німа|Pp3d---mi--i|нима
очі|Nb-d---nn--i|о̄чі
же|Df---------n|же
дръжасте|V-3daia----i|дръжа̄сте
сѧ|Pk3s---qa--i|сѧ
да|G----------n|да
его|Pp3s---mg--i|е)го
не|Df---------n|не
познаете|V-2ppia----i|познае̄те
рече|V-3saia----i|Рече
же|Df---------n|же
кь|R----------n|кь
німа|Pp3d---md--i|німа
что|Pi-s---nn--i|что
сѫтъ|V-3ppia----i|сѫтъ
словеса|Nb-p---nn--i|словеса
сі|Pd-p---on--i|си
о|R----------n|о
ніхъже|Pr-p---nl--i|нихъже
сътѧзаета|V-2dpia----i|сътѧѕаета
сѧ|Pk3s---qa--i|сѧ
кь|R----------n|кь
себѣ|Pk3s---md--i|себѣ
ідѫшта|V--dppamn-si|ӣдѫща
і|C----------n|ӣ
еста|V-2dpia----i|е̄ста
дрѧсела|A--d---mnpsi|дрѧсела
отъвѣштавъ|V--supamn-si|ѡтъвѣщавъ
же|Df---------n|же
едінъ|Px-s---mn--i|едінъ
емоуже|Pr-s---md--i|емѹже
імѧ|Nb-s---nn--i|ӣмѧ
клеопа|Ne-s---mn--i|клео̄па
рече|V-3saia----i|рече
кь|R----------n|кь
немоу|Pp3s---md--i|немѹ
тъі|Pp2s---mn--i|Тъи
лі|Du---------n|лі
едінъ|Ma-s---mn--i|е̄дінъ
прішелецъ|Nb-s---ma--i|прішелецъ
есі|V-2spia----i|е̄сі
въ|R----------n|въ
іерлмъ|Ne-s---ma--i|ӣе̄рлмъ
і|C----------n|ӣ
не|Df---------n|не
чоу|V-2saia----i|чю
бъівъшііхъ|V--pupang-wi|бъівъшіӣхъ
въ|R----------n|въ
немь|Pp3s---ml--i|немь
въ|R----------n|въ
дьні|Nb-p---ma--i|дьні
сіѧ|Pd-p---pa--i|сіѩ̄
і|C----------n|ӣ
рече|V-3saia----i|рече
кь|R----------n|кь
німа|Pp3d---mi--i|німа
къііхъ|Pi-p---mg--i|къӣӣхъ
она|Pd-s---fn--i|о̄на
же|Df---------n|же
рѣсте|V-3daia----i|рѣсте
емоу|Pp3s---md--i|е̄мѹ
ѣже|Pr-p---nn--i|Ѣ̄же
о|R----------n|о̄
ісѣ|Ne-s---ml--i|и҃̄сѣ
назареі|V--supamn-wi|назареӣ
іже|Pr-s---mn--i|ꙇ̄же
бъіс|V-3saia----i|бъис
мѫжь|Nb-s---mn--i|мѫжь
пррок|Nb-s---mn--i|пррок
сіленъ|A--s---mnpsi|силенъ
дѣломъ|Nb-s---ni--i|дѣломъ
і|C----------n|ӣ
словомъ|Nb-s---ni--i|словомъ
прѣдъ|R----------n|прѣдъ
бмь|Nb-s---mi--i|б҃мь
і|C----------n|ӣ
всѣмі|Px-p---qi--i|всѣмі
людьмі|Nb-p---mi--i|людьми
і|C----------n|и
како|Du---------n|како
прѣдашѧ|V-3paia----i|прѣдаш(ѧ
архіереі|Nb-p---mn--i|а(р)хиереи
і|C----------n|и
кнѧзі|Nb-p---mn--i|кнѧзи
наші|Ps1p---mn--i|наши
на|R----------n|на
осѫжденіе|Nb-s---na--i|осѫждение
сьмрьті|Nb-s---fc--i|сьмрьти
і|C----------n|и
распѧшѫ|V-3paia----i|распѧшѫ
і|Pp3s---ma--i|и
мъі|Pp1p---mn--i|мъи
же|Df---------n|же
надѣахомъ|V-1piia----i|надѣахомъ
сѧ|Pk3s---qa--i|сѧ
ѣко|G----------n|ѣ̄ко
сь|Pd-s---mn--i|сь
естъ|V-3spia----i|е̄стъ
хотѧі|V--sppamn-wi|хотѧӣ
ізбавіті|V---pna----i|ӣзбавиті
ізрлѣ|Ne-s---mg--i|и҃̄з(р)лѣ
нъ|C----------n|нъ
і|C----------n|ӣ
надъ|R----------n|надъ
вьсѣмі|Px-p---mi--i|вьсѣми
третіі|Mo-s---ma--i|третіӣ
се|I----------n|се
