Кьнігъі|| 
р҃одства|| 
и҃ѹ҃хва|| · 
ѣ̄ко|| 
о̄умьрѣтъ|| · 
О̄нъ|| 
же|| 
ӣӡгь̄навъ|| 
вьсѧ|| · 
ӣ|| 
ӣмъ|| 
ӡа|| 
рѫкѫ|| 
въӡ᾽гласі|| 
ѭ̄|| 
г҃лѧ|| · 
О̄троковице|| 
въстані|| · 
Ӣ|| 
въӡвр̄аті|| 
сѧ|| 
д҃хъ|| 
е̄ѧ̄|| · 
Ӣ|| 
в҃ъскрсе|| 
а̄бие̄|| · 
ӣ|| 
повелѣ|| 
дати|| 
᾽е᾽и|| 
᾽ѣсти|| · 
И|| 
о̄ужасосте|| 
сѧ|| 
родітелѣ|| 
е̄ѧ̄|| · 
О̄нъ|| 
же|| 
ӡапрѣти|| 
ӣма|| · 
никомоуже|| 
повѣдаті|| 
бъивъшаа̄го|| ·· · - 
ӣ|| 
сьӡьвавъ|| 
о̄ба|| 
на|| 
десѧте|| 
о̄ученіка|| 
своѣ|| · 
дастъ|| 
ӣмъ|| 
силѫ|| 
ӣ|| 
власть|| · 
на|| 
вс̄ѣхъ|| 
бѣсѣхъ|| · 
ӣ|| 
недѫгъи|| 
цѣліти|| · 
ӣ|| 
посъла|| 
ѧ̄|| 
проповѣдаті|| 
ц҃рствие̄|| 
б҃жіе|| · 
ӣ|| 
цѣлити|| 
болѧщѧ᾽ѧ|| ·· · - 
Ӣ|| 
рече|| 
кь|| 
нимъ|| · 
Ничьтоже|| 
не|| 
вьӡьмѣте|| 
на|| 
пѫт|| · 
ни|| 
жьӡла|| 
ни|| 
піръі|| 
ни|| 
хлѣба|| · 
ни|| 
сьребра|| · 
ни|| 
дьво᾽ю|| 
ріӡоу|| 
ӣмѣӣте|| · 
Ӣ|| 
въ|| 
ньже|| 
домъ|| 
вънідете|| · 
тоу|| 
прѣбъіваӣте|| · 
῾И|| 
о̄тъ|| 
тѫдоу|| 
ӣсходіте|| · 
ӣ|| 
е̄лико|| 
не|| 
приӣмѫтъ|| 
васъ|| · 
ӣсходѧще|| 
о̄тъ|| 
града|| 
того|| · 
прахъ|| 
о̄тъ|| 
ногь|| 
вашихъ|| 
ӣстрѧсѣте|| · 
въ|| 
съвѣдѣние̄|| 
на|| 
нѧ|| · 
Ӣсходѧще|| 
же|| 
прохождаа̄хѫ|| 
скоӡѣ|| 
вьсі|| 
благовѣщаѭ̄ще|| 
ӣ|| 
цѣлѧще|| 
въ|| 
сѫдѣ|| ·· · - 
і̄же|| 
хоштет|| 
по|| 
мънѣ|| 
ӣті|| · 
да|| 
о̄тъвръжетъ|| 
сѧ|| 
себе|| · 
ӣ|| 
д҃а|| 
въӡьметъ|| 
к҃рстъ|| 
своӣ|| 
по|| 
вьсѧ|| 
дьні|| 
ӣ|| 
ходітъ|| 
по|| 
мь̄нѣ|| · 
і̄же|| 
бо|| 
а̄ще|| 
хощетъ|| 
с҃псті|| 
д҃шѫ|| 
своѭ̄|| 
погоубитъ|| 
ѭ̄|| · 
а̄|| 
і̄же|| ·:· 
погоубітъ|| 
д҃шѫ|| 
своѭ̄|| 
мене|| 
ради|| · 
тъ|| 
с҃псетъ|| 
ѭ̄|| · 
Каѣ̄|| 
польѕа|| 
ч҃лкоу|| · 
а̄ште|| 
пріо̄брѧщетъ|| 
весь|| 
міръ|| · 
а̄|| 
себе|| 
погоубитъ|| 
лі|| 
о̄тъштетитъ|| · 
і̄же|| 
бо|| 
а̄ште|| 
постъідітъ|| 
сѧ|| 
мене|| · 
ӣ|| 
моӣхъ|| 
словесъ|| · 
сего|| 
ӣ|| 
с҃нъ|| 
ч҃лчь|| 
постъидітъ|| 
сѧ|| · 
е̄гда|| 
прідетъ|| 
въ|| 
славѣ|| 
свое̄ӣ|| 
ӣ|| 
᾽҃очі|| 
ӣ|| 
с҃҃тъіхъ|| 
а̄н҃ђлъ|| · 
Г҃лѭ|| 
же|| 
вамъ|| 
въ|| 
ӣстінѫ|| · 
сѫтъ|| 
е̄тері|| 
ѡт҃|| 
сьде|| 
стоѧ̄штиӣхъ|| · 
і̄же|| 
не|| 
ӣмѫтъ|| 
въкоусіти|| 
съмръти|| · 
доӣдеже|| 
о̄уӡьрѧ̄тъ|| · 
ц҃рствие̄|| 
б҃жие̄|| · ·:· 
съшедъшоу|| 
᾽҃исоу|| 
съ|| 
᾽горъі|| · 
сърѣте|| 
ӣ|| 
народъ|| 
мъногь|| · 
Ӣ|| 
се|| 
мѫжь|| 
᾽иӡ|| 
народа|| · 
въӡьпи|| 
ӣ|| 
г҃лѧ|| 
᾽оучителю|| · 
молѭ|| 
тѧ|| 
пріӡьрі|| 
на|| 
с҃на|| 
мое̄го|| · 
ѣ̄ко|| 
ӣночѧдъ|| 
ми|| 
е̄стъ|| · 
̀̄И|| 
се|| 
д҃хъ|| 
емл҃е̄тъі|| · 
ӣ|| 
въ|| 
неӡаа̄пѫ|| 
въпіе̄тъ|| · 
ӣ|| 
прѫжае̄тъ|| 
сѧ|| 
съ|| 
пѣнамі|| · 
ӣ|| 
е̄дьва|| 
о̄ходіт|| 
о̄тъ|| 
него|| 
съкроушаѧ̄|| 
ӣ|| · 
Ӣ|| 
моліх|| 
сѧ|| 
о̄ученикомъ|| 
твоӣмъ|| 
да|| 
ижде҃нѫтъі|| 
ӣ|| 
не|| 
въӡмогѫ|| · 
О̄тъвѣштавъ|| 
᾽҃исъ|| 
реч҃|| · 
Ѡ|| 
̄̄роде|| 
невѣрен|| · 
ӣ|| 
раӡ᾽враштенъ|| · 
до|| 
колѣ|| 
бѫдѫ|| 
вь|| 
васъ|| · ·:· 
и|| 
тръплѭ|| 
въи|| · 
Приведі|| 
ми|| 
с҃нъ|| 
твоӣ|| 
сѣмо|| · 
Е̄ще|| 
же|| 
грѧдѫщю|| 
емоу|| · 
повръже|| 
ӣ|| 
бѣсъ|| · 
и|| 
сътрѧсе|| 
ӣ|| · 
Ӡапрѣті|| 
же|| 
ӣс҃ъ|| 
д҃хоу|| 
нечист̄оумоу|| · 
Ӣ|| 
ӣцѣлі|| 
о̄трока|| · 
ӣ|| 
въдастъі|| 
матери|| 
е̄го|| · 
Дівлѣа̄хѫ|| 
же|| 
сѧ|| 
вьси|| · 
о̄|| 
велічіӣ|| 
б҃жіӣ|| ·· · · - 
бъіс҃|| 
ӣдѫщоу|| 
᾽҃исоу|| 
по|| 
пѫті|| · 
Рече|| 
е̄теръ|| 
кь|| 
немоу|| · 
ӣдѫ|| 
по҃|| 
тебѣ|| 
ѣ̄може|| 
колі|| ·· ·· 
ждо|| 
ӣдеши|| ·:· 
г҃і|| · 
ӣ|| 
рече|| 
е̄моу|| 
ӣс҃ъ|| · 
Ліси|| 
ѣӡвінъи|| 
ӣмѫтъ|| · 
ӣ|| 
пт̄ицѧ|| 
н҃бсънъиѧ̄|| 
гнѣӡд̄а|| · 
А|| 
с҃нъ|| 
ч҃҃лчь|| 
не|| 
ӣматъ|| 
кьде|| 
главъі|| 
подъклонити·|| 
рече|| 
же|| 
кь|| 
дроугоумоу|| 
ходи|| 
въ|| 
слѣдъ|| 
мене|| · 
О̄нъ|| 
же|| 
рече|| · 
г҃и|| 
повелі|| 
ми|| ·:· 
прѣжде|| 
шедъшоу|| · 
погреті|| 
о̄ц҃а|| 
мо҃е̄го|| · 
Рече|| 
же|| 
е̄моу|| 
ӣс҃ъ|| · 
О̄ставі|| 
мрътвъиѧ̄|| 
по[гре]ті|| 
своѧ̄|| 
мрътвьцѧ|| 
Тъи|| 
же|| 
шедъ|| 
въӡвѣштаӣ|| 
ц҃рствие̄|| 
б҃жіе|| · 
Рече|| 
же|| 
дроугъиӣ|| 
ӣдѫ|| 
по|| 
тебѣ|| 
г҃и|| · 
древле|| 
же|| 
повелі|| 
ми|| 
от҃вѣштаті|| 
ми|| 
сѧ|| ·:· 
᾽іже|| 
сѫтъ|| 
въ|| 
домоу|| 
мое̄мъ|| · 
Рече|| 
же|| 
и҃с|| 
кь|| 
немоу|| · 
Никт̄о|| 
же|| 
въӡложь|| 
рѫкъи|| 
свое̄ѧ̄|| 
на|| 
о̄рало|| · 
ӣ|| 
ӡьрѧ|| 
въсп̄ѧт̀ь|| · 
О̄управленъ|| 
е̄стъ|| 
въ|| 
ц҃рство|| 
б҃жи᾽е|| ·· - 
Посьла|| 
ӣс҃ъ|| 
о̄ученикъі|| 
своѧ̄|| 
по|| 
дъвѣма|| 
прѣдъ|| 
ліцемъ|| 
своӣмъ|| · 
Вь|| 
вс̄ѣкь|| 
градъ|| 
ӣ|| 
мѣсто|| · 
ѣ̄може|| 
хотѣа̄ше|| 
самъ|| 
ӣті|| · 
Ӣ|| 
гл̄а̄а̄ше|| 
кь|| 
нимъ|| · 
жѧтва|| 
о̄убо|| 
мн̄ога|| · 
а̄|| 
дѣлатель|| 
мало|| · 
моліте|| 
сѧ|| 
о̄убо|| 
г҃ю|| 
жѧтвъи|| · 
да|| 
ӣӡведетъ|| 
дѣлателѧ|| 
на|| 
жѧтвѫ|| 
сво᾽ѭ|| · 
ӣдѣте|| 
се|| 
а̄ӡь|| 
посъіла᾽ѭ|| 
въі|| 
ѣ̄ко|| 
о̄вц̄ѧ|| · 
по|| 
срѣдѣ|| 
влък|| · 
Въ|| 
ньже|| 
коліждо|| 
градъ|| 
въходите|| · 
ӣ|| 
не|| 
пріе̄мл҃ѭ̄тъ|| 
васъ|| · 
ӣшедъше|| 
на|| 
распѫтіѣ̄|| 
е̄го|| 
рьцѣте|| · 
Ӣ|| 
прахъ|| 
прілепьшіӣ|| 
насъ|| · 
о̄тъ|| 
града|| 
сего|| 
въ|| 
ногахъ|| 
нашіх|| · 
᾽ѡ̄тътрѧсае̄м|| 
вамъ|| · 
О̄баче|| · 
се|| 
вѣдіте|| · 
Ѣ̄ко|| 
прібліжі|| 
сѧ|| 
на|| 
въі|| 
ц҃рствіе̄|| 
б҃жіе|| · 
г҃лѭ|| 
же|| 
вамъ|| · 
Ѣ̄ко|| 
содомо̄мъ|| 
въ|| 
тъ|| 
день|| 
о̄търадьнѣе|| 
бѫдет|| · 
нежелі|| 
градоу|| 
томоу|| ·· · · - 
Слоушаѧ̄ӣ|| 
васъ|| 
мене|| 
слоушае̄тъ|| · 
ӣ|| 
слоушаѧ̄ӣ|| 
мене|| · 
слоушаетъ|| 
посълавъшаа̄го|| 
мѧ|| · 
Ӣ|| 
о̄тъмѣтаѧ̄ӣ|| 
сѧ|| 
вась|| · 
ме̄не|| 
сѧ|| 
о̄тъмѣта᾽етъ|| · 
а̄|| 
᾽отъмѣта᾽ѧӣ|| 
сѧ|| 
мене|| · 
Ѡт҃мѣтае̄тъ|| 
сѧ|| 
посълавшаа̄го|| 
мѧ|| · 
Въӡв̄ратішѧ|| 
же|| 
сѧ|| · 
сед᾽мь|| 
десѧтъ|| · 
сь|| 
радостиѭ̄|| · 
г҃лще|| · 
Г҃и|| 
ӣ|| 
бѣси|| 
повиноуѭ̄тъ|| 
сѧ|| 
намъ|| 
о̄|| 
ӣмени|| 
твое̄мъ|| · 
Рече|| 
же|| 
ӣмъ|| · 
Відѣхъ|| 
сотонѫ|| · 
ѣ̄ко|| 
мл҃ъниѭ̄|| 
съ|| 
н҃бсе|| 
съпадъшѫ|| · 
Се|| 
дахъ|| 
вамъ|| 
власть|| · 
настѫпати|| 
на|| 
ӡм̄іѧ̄|| 
ӣ|| 
скорпі̄ѧ̄|| · 
ӣ|| 
на|| 
вс̄ѫ|| 
сілѫ|| 
вражіѭ̄|| · 
ӣ|| 
ничт̄оже|| 
васъ|| 
не|| 
врѣдітъ|| · 
о̄баче|| 
о̄|| 
семь|| 
не|| 
радоуӣте|| 
сѧ|| · 
ѣ̄ко|| 
ӣ|| 
д҃сі|| 
вамъ|| 
повіноуѭ̄тъ|| 
сѧ|| · 
Радоуӣте|| 
же|| 
сѧ|| ·:· 
паче|| · 
ѣ̄ко|| 
ӣмена|| 
ваша|| 
написана|| 
сѫтъ|| 
на|| 
н҃бсехъ|| · 
Въ|| 
ть|| 
часъ|| 
въӡдрадова|| 
сѧ|| 
д҃хомъ|| 
ӣс҃ъ|| · 
ӣ|| 
ре̄че|| · 
Ӣсп̄овѣдаѭ̄|| 
сѧ|| 
тебѣ|| 
о̄ч҃е|| · 
Г҃и|| 
н҃бсе|| 
ӣ|| 
ӡемѧ|| · 
ѣ̄ко|| 
о̄утаӣлъ|| 
е̄сі|| 
с̄і̄ӣ|| · 
ѡ̄̄тъ|| 
прѣмѫдръ|| 
ӣ|| 
раӡоуменъ|| · 
ӣ|| 
о̄тъкръі|| 
сіӣ|| 
мл҃аден᾽цемъ|| · 
Е̄ӣ|| 
о̄ч҃е|| · 
ѣ̄ко|| 
тако|| 
бъіс҃|| 
благоволение̄|| 
прѣдъ|| 
тобоѭ̄|| ·· 
коц҃|| · 
Ӣ|| 
о̄брашть|| 
сѧ|| 
кь|| 
о̄ученикомь|| 
ре̄че|| · 
Вьсѣ|| 
мьнѣ|| 
прѣдана|| 
бъишѧ|| 
᾽отъ|| 
о̄ц҃а|| 
мое̄го|| · 
ӣ|| 
нікто̄же|| 
не|| 
вѣстъ|| 
кт̄о|| 
е̄стъ|| 
с҃нъ|| · 
тъкьмо|| 
᾽҃оць|| · 
ӣ|| 
кт̄о|| 
е̄стъ|| 
о̄ц҃ь|| · 
тькм̄о|| 
с҃нъ|| · 
Ӣ|| 
е̄моуже|| 
а̄ште|| 
хощетъ|| 
с҃нъ|| 
а̄віти|| · 
Ӣ|| 
о̄брашть|| 
сѧ|| 
кь|| 
о̄ученикомъ|| 
е̄динъ|| 
ре̄че̄|| · 
Блаженѣӣ|| 
о̄чи|| 
відѧщиӣ|| · 
ѣ̄же|| 
въі|| 
видите|| · 
г҃лѭ|| 
бо|| 
вамъ|| · 
Ѣ̄ко|| 
мноѕі|| 
п҃ррци|| 
ӣ|| 
ц҃ре|| · 
въсхотѣшѧ|| 
відѣти|| · 
ѣ̄же|| 
въі|| 
відіте|| 
ӣ|| 
не|| 
відѣшѧ|| · 
ӣ|| 
слъішаті|| 
ѣ̄же|| 
слъішіте|| 
въі|| 
ӣ|| 
не|| 
слъішашѧ|| · 
ӡаконникь|| 
е̄теръ|| 
пріде|| 
кь|| 
᾽҃исоу|| · 
ӣскоушаѧ̄|| 
и|| 
ӣ|| 
г҃лѧ|| · 
О̄учітелю|| 
чьто|| 
сьтворь|| 
жівота|| 
вѣчьнаа̄го|| 
наслѣдоуѭ̄|| · 
О̄нъ|| 
же|| 
рече|| 
къ|| 
немоу|| · 
въ|| 
ӡаконѣ|| 
чьто|| 
пісано|| 
е̄стъ|| · 
како|| 
чьтеші|| · 
О̄нъ|| 
же|| 
о̄тъвѣштавъ|| 
рече|| · 
Вьӡлюбиші|| 
г҃а|| 
б҃а|| 
свое̄го|| 
ѡт҃|| 
всего|| 
с҃рдца|| 
твое̄го|| · 
ӣ|| 
въсеѭ̄|| 
д҃шеѭ̄|| 
ӣ|| 
от҃|| 
въсеѧ̄|| 
крѣпості|| 
твое̄ѧ̄|| · 
ӣ|| 
от҃|| 
вс̄его|| 
помъішлениѣ̄|| 
твое̄го|| 
любі|| 
ӣ|| · 
ӣ|| 
ӣскрънѣа̄го|| 
свое̄го|| 
ѣ̄ко|| 
ӣ|| 
самъ|| 
сѧ|| · 
Рече|| 
же|| 
е̄моу|| 
ӣс҃ъ|| · 
право|| 
о̄тъвѣща|| · 
се|| 
сътвори|| 
ӣ|| 
жівъ|| 
бѫдеши|| · 
῾Онъ|| 
же|| 
хотѧ|| 
о̄правьдіти|| 
сѧ|| 
самъ|| · 
рече|| 
къ|| 
᾽҃исоу|| · 
ӣ|| 
кто|| 
естъ|| 
ӣскр̄ьниӣ|| 
моӣ|| · 
Ѡт̄̄ъвѣща|| 
ӣс҃ъ|| 
ӣ|| 
рече|| · 
Ч҃кь|| 
е̄теръ|| 
съхождаа̄ше|| 
от҃|| 
е̄рсл҃ма|| 
вь|| 
е̄рихѫ|| · 
ӣ|| 
въ|| 
раӡбоӣникъи|| 
вьпаде|| · 
і̄же|| 
ӣ|| 
съвл̀ъкъше|| 
ӣ|| 
ӣ|| 
ѣ̄ӡвъі|| 
въӡложьше|| ·:· 
на|| 
нь|| · 
О̄тідѫ|| 
о̄ставльше|| 
ӣ|| ·:· 
елѣ|| 
жива|| · 
По|| 
пріключаю̄|| 
же|| · 
ӣе̄ре᾽и|| 
е̄теръ|| · 
съхождаа̄ше|| 
пѫтемь|| 
тѣмъ|| · 
ӣ|| 
видѣвъ|| 
ӣ|| 
мімо|| 
ӣде|| · 
Такожде|| 
ӣ|| 
лев᾽ђітъ|| · 
бъівъ|| 
на|| 
томьжде|| 
мѣстѣ|| · 
пришедъ|| 
ӣ|| 
відѣвъ|| 
ӣ|| 
мимо|| 
ӣде|| · 
Самарѣнін҃|| 
же̄|| 
е̄теръ|| 
грѧдъі|| · 
Ӣ|| 
пріде|| 
надь|| 
нь|| · 
Ӣ|| 
видѣвъ|| 
ӣ|| 
м҃л҃срдова|| · 
Ӣ|| 
прістѫпль|| 
о̄бѧӡа|| 
ст̄роупъі|| 
е̄го|| · 
Въӡліваѧ|| 
о̄лѣи|| · 
ӣ|| 
ві̄но|| · 
въсаждъ|| 
же|| 
и|| 
на|| 
своӣ|| 
скотъ|| · 
пріведе|| 
ӣ|| 
въ|| 
гостіньницѫ|| · 
ӣ|| 
прілежа|| 
е̄мъ|| · 
ӣ|| 
на|| 
о̄утріа̄|| 
ӣшедъ|| · 
вьӡемъ|| 
дъва|| 
пѣнѧѕа|| · 
дастъ|| 
гостинн̄икоу|| · 
ӣ|| 
рече|| 
е̄моу|| 
прилежі|| 
е̄мъ|| · 
ӣ|| 
е̄же|| 
а̄ште|| 
пріӣждівеши|| · 
А̄ӡь|| 
е̄гда|| 
въӡвраштѫ|| 
сѧ|| 
въӡдамъ|| 
ті|| · 
Кьто|| 
о̄убо|| 
о̄тъ|| 
тѣх|| 
тріӣ|| 
мьнитъ|| 
ті|| 
сѧ|| 
бъити|| ·:· 
искрьниі̄|| 
въпадшоумоу|| 
въ|| 
раӡбоӣникъи|| · 
О̄нъ|| 
же|| 
рече|| · 
сътвореӣ|| 
м҃л҃сть|| 
сь|| 
нимъ|| · 
рече|| 
же|| 
е̄моу|| 
ӣс҃ъ|| · 
῾Иди|| 
ӣ|| 
тъи|| 
твори|| 
такожде|| ·· - 
Въниде|| 
и҃с|| 
въ|| 
вес|| 
е̄терѫ|| · 
жена|| 
же|| 
е̄тера|| 
ӣменемъ|| 
март̄а|| 
пріѧ̄тъ|| 
ӣ|| 
въ|| 
домъ|| 
своӣ|| · 
Ӣ|| 
се|| 
᾽еӣ|| 
бѣ|| 
сестр̄а|| · 
нарицае̄маа̄|| 
ма̄рӣѣ̄|| 
ѣ̄же|| 
ӣ|| 
сѣдъші|| 
прі|| 
ногоу|| 
᾽҃исвоу|| · 
слъишаа̄ше|| 
слово|| 
е̄го|| · 
ӣ|| 
март̄а҃|| 
млъвѣа̄ше|| 
о̄|| 
мн̄оѕѣ|| 
слоужьбѣ|| · 
Ставши|| 
же|| 
рече|| 
Г҃и|| · 
не|| 
родіші|| 
лі|| · 
ѣ̄ко|| 
сест̄ра|| 
моѣ̄|| · 
е̄дінѫ|| 
мѧ|| 
о̄стави|| 
слоужиті|| 
ти|| · 
рьци|| 
о̄убо|| 
е̄и|| 
да|| 
ми|| 
поможетъ|| · 
Ѡт̄̄ъвѣштав|| 
ӣс҃ъ|| 
ӣ|| 
рече|| 
е̄ӣ|| · 
марѳ̄о|| 
марѳ̄о|| · 
печеші|| 
сѧ|| 
ӣ|| 
мл҃ьвіші|| 
о̄|| 
мн̄оѕѣ|| · 
Е̄діно|| 
же|| 
е̄стъ|| 
на|| 
потрѣбѫ|| · 
мариѣ̄|| 
бо|| · 
благѫѭ̄|| 
чѧсть|| 
ӣӡбъра|| · 
ѣ̄же|| 
не|| 
о̄тъӣмет|| 
сѧ|| 
о̄тъ|| 
неѧ̄|| · 
кт̄о|| 
ѡ̄̄тъ|| 
васъ|| 
ӣматъ|| 
дроуга|| · 
ӣ|| 
ӣдет|| 
кь|| 
немоу|| 
полоу|| 
ношт̄і|| · 
Ӣ|| 
речетъ|| 
е̄моу|| 
дроуже|| · 
въ|| 
ӡа᾽имъ|| 
даждъ|| 
мі|| 
три|| 
хлѣбъі|| · 
῾Иде|| 
дроугь|| 
мі|| 
приде|| 
сь|| 
пѫті|| 
кь|| 
мн̄ѣ|| · 
ӣ|| 
не|| 
ӣмамъ|| 
е̄же|| 
положѭ|| 
прѣдъ|| 
нимъ|| · 
῾И|| 
тъ|| 
ӣӡь|| 
ѫ̄трьѭ̄доу|| 
᾽ѡ̀тъвѣштавъ|| 
речет|| · 
Не|| 
творі|| ·:· 
мі|| 
троуда|| · 
῾Оуже|| 
дв̄ърі|| 
ӡатворенъи|| 
сѫтъ|| · 
ӣ|| 
дѣти|| 
моѧ̄|| 
съ|| 
мъноѭ̄|| 
на|| 
ложі|| 
сѫтъ|| · 
не|| 
могѫ|| 
въстаті|| 
ӣ|| 
даті|| 
тебѣ|| · 
г҃лѭ|| 
вамъ|| · 
а̄ште|| 
ӣ|| 
не|| 
даст|| 
е̄моу|| 
въстав|| · 
ӡане|| 
дроуг῾ь|| 
е̄го|| 
е̄стъ|| · 
Нъ|| 
ӡа|| 
беӡочьство|| 
е̄го|| · 
въставъ|| 
дастъ|| 
е̄моу|| · 
е̄ліко|| 
трѣбоуе̄тъ|| · 
Ӣ|| 
а̄ӡь|| 
вамъ|| 
г҃лѭ|| · 
просіте|| 
ӣ|| 
дастъ|| 
сѧ|| 
вамъ|| · 
ӣщѣте|| 
ӣ|| 
о̄брѧщете|| · 
тл̄ъцѣте|| 
ӣ|| 
отвръӡетъ|| 
сѧ|| 
вамъ|| · 
Вьсѣк|| 
бо|| 
просѧӣ|| 
пріе̄мл҃етъ|| · 
ӣ|| 
ӣщѧӣ|| 
о̄брѣтае̄тъ|| · 
ӣ|| 
тлъкѫщоумоу|| 
ѡт҃връӡѫтъ|| 
сѧ|| · 
Котораго|| 
же|| 
о̄т|| 
вась|| · 
о̄у|| 
о̄ц҃а|| 
с҃нъ|| 
своӣ|| · 
въспроситъ|| 
хлѣба|| · 
Е̄да|| 
камень|| 
подастъ|| 
е̄моу|| · 
лі|| 
ръібъі|| · 
Е̄да|| 
въ|| 
ръібъи|| 
мѣсто|| 
ӡмиѭ̄|| 
подастъ|| 
емоу|| · 
ӣлі|| 
а̄ще|| 
просітъ|| 
а̄ӣца|| · 
Е̄да|| 
подастъ|| 
е̄моу|| 
скорпіѭ̄|| · 
А̄ще|| 
᾽оубо|| 
въі|| 
ӡьлі|| 
сѫще|| · 
о̄умѣе̄те|| 
даѣ̄ни|| {·} 
ѣ̄|| 
благаѣ|| 
даѣті|| 
чѧдомъ|| 
вашимъ|| · 
колми|| 
паче|| 
о̄ц҃ъ|| 
вашъ|| 
н҃бснъі|| 
дастъ|| 
д҃хъ|| 
благь|| · 
просѧщиӣмъ|| 
о̄у|| 
него|| ·· · - 
Бъістъ|| 
же|| · 
е̄гда|| 
г҃лаа̄ше|| 
сіӣ|| · 
въӡдвігьши|| 
е̄тера|| 
жена|| 
глас҃|| 
ъѡтъ|| 
народа|| · 
рече|| 
е̄моу|| · 
блажено|| 
чрѣво|| 
ношьшее̄|| 
тѧ|| · 
ӣ|| 
сосьца|| 
ѣ̄же|| 
е̄сі|| 
сьсалъ|| · 
О̄нъ|| 
же|| 
ре̄̄̄че|| · 
Тѣмъ|| 
же|| 
о̄убо|| · 
блажені|| 
слъишѧщиӣ|| 
слово|| 
б҃жіе̄|| · 
ӣ|| 
хранѧштіӣ|| 
е̄|| ·· · - 
Ничтоже|| 
покръвено|| 
е̄стъ|| 
е̄же|| 
не|| 
о̄тъкръие̄тъ|| 
сѧ|| · 
ӣ|| 
таӣно|| 
е̄же|| 
не|| 
раӡоумѣе̄тъ|| 
сѧ|| · 
Ӡане|| 
е̄ліко|| 
въ|| 
тьмѣ|| 
рѣсте|| 
въ|| 
свѣтѣ|| 
о̄услъішітъ|| 
сѧ|| · 
ӣ|| 
е̄же|| 
въ|| 
о̄ухо|| 
г҃ласте|| 
въ|| 
таилиштихъ|| · 
проповѣ|| 
сѧ|| 
на|| 
кровѣхъ|| · 
г҃лѭ|| 
же|| 
вамъ|| 
дроугомъ|| 
моӣмъ|| · 
не|| 
о̄убоӣте|| 
сѧ|| 
ъѡтъ|| 
о̄убиваѭ̄штиӣхъ|| 
тѣло|| · 
ӣ|| 
по|| 
томъ|| 
не|| 
могѫштемъ|| 
ліха|| 
чесо|| 
сътворіті|| · 
Съкажѫ|| 
же|| 
вамъ|| 
кого|| 
о̄убоӣте|| 
сѧ|| · 
О̄убоӣте|| 
сѧ|| · 
ӣмѫщаа̄го|| 
власть|| · 
По|| 
о̄убие̄ниі|| 
въврѣщи|| 
въ|| 
ђео̄нѫ|| · 
е̄ӣ|| 
г҃лѭ|| 
вамъ|| · 
того|| 
о̄убоӣте|| 
сѧ|| · 
Не|| 
пѧть|| 
лі|| 
пт̄іць|| 
вѣнітъ|| 
сѧ|| 
пѣнѧѕема|| 
дьвѣма|| · 
ӣ|| 
ни|| 
е̄діна|| 
о̄тъ|| 
нихъ|| 
нѣстъ|| 
ӡабъвена|| 
прѣдъ|| 
б҃мъ|| · 
нъ|| 
ӣ|| 
власі|| 
главъі|| 
вашеѧ̄|| 
въсі|| 
ӣчьтени|| 
сѫтъ|| · 
не|| 
боӣте|| 
сѧ|| 
о̄убо|| 
мно̄ѕѣхъ|| 
пт̄іць|| 
соулѣиші|| 
есте|| 
въи|| · 
Г҃лѭ|| 
же|| 
вамъ|| · 
Вс[ѣк]ь|| 
і̄же|| 
ӣсповѣстъ|| 
мѧ|| 
прѣдъ|| 
ч҃лкъи|| · 
ӣсповѣмъі|| 
ӣ|| 
прѣдъ|| 
а̄н҃ђлъі|| 
б҃жіи|| · 
ӑ|| 
о̄тъвръгъи|| 
сѧ|| 
мене|| 
прѣдъ|| 
ч҃лкъи|| · 
Ѡт҃връженъ|| 
бѫдетъ|| 
прѣдъ|| 
а̄н҃ђлъи|| 
б҃жіі|| · 
Ӣ|| 
вьсѣкь|| 
і̄же|| 
рече|| 
тъ|| 
слово|| 
на|| 
с҃на|| 
ч҃лчскаа̄го|| 
о̄тъпоустітъ|| 
сѧ|| 
е̄моу|| · 
᾽а|| 
і̄же|| 
власвимисае̄тъ|| 
на|| 
д҃хъ|| 
с҃тъіӣ|| · 
не|| 
о̄тьпоуститъ|| 
сѧ|| 
е̄моу|| · 
Е̄гда|| 
же|| 
приведѫтъ|| 
въи|| 
на|| 
сьньмишта|| 
ӣ|| 
власти|| 
ӣ|| 
в҃лдчьст̄ва|| · 
не|| 
пьцѣте|| 
сѧ|| 
к̄ак̄о|| · 
ли|| 
чьто|| 
помъіслите|| · 
лі|| 
чьто|| 
речете|| · 
с҃тъі|| 
бо|| 
д҃хъ|| 
нао̄учітъ|| 
въи|| 
вь|| 
тъ|| 
чась|| · 
ѣ̄же|| 
подобае̄тъ|| 
г҃латі|| ··̅ - 
Рече|| 
г҃ь|| 
прітч̄ѫ|| 
сіѭ̄|| · 
Ч҃лкоу|| 
е̄тероу|| ·:· 
о̄угобьѕі|| 
сѧ|| 
нива|| · 
Ӣ|| 
мъішлаа̄ше|| 
вь|| 
себѣ|| 
г҃лѧ|| · 
чьто|| 
сьтв̄орѭ̄|| · 
ѣ̄ко|| 
не|| 
ӣмамъ|| 
кьде|| 
сьбьраті|| 
плодъ|| 
моӣхъ|| · 
рече|| 
же|| 
се|| 
сътво҃рѭ|| · 
раӡорѭ|| 
житьницѫ|| 
моѭ̄|| · 
ӣ|| 
большѫ|| 
