Ӣо̄ӡіѣ̄|Nb|0|FIXME|-s---ng--i|| |10|1|MATT 1.9|5000008
же|Df|20|же|---------n|| |10|1|MATT 1.9|5000008
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.9|5000008
ӣо̄а̄тама|Ma|0|FIXME|-d---fd--i|| · |10|1|MATT 1.9|5000008
ӣо̄а̄тамь|Nb|0|FIXME|-s---mn--i|| |10|1|MATT 1.9|5000008
же|Df|20|же|---------n|| |10|1|MATT 1.9|5000008
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.9|5000008
а̄хаӡа|Nb|0|FIXME|-s---fn--i|| · |10|1|MATT 1.9|5000008
А̄хаӡь|V-|0|FIXME|2spma----i|| |10|1|MATT 1.9|5000008
же|Df|20|же|---------n|| |10|1|MATT 1.9|5000008
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.9|5000008
ӣе̄ӡекіѭ̄|Nb|0|FIXME|-s---fa--i|| · |10|1|MATT 1.9|5000008
ӣе̄ӡекіѣ̄|Ne|0|FIXME|-s---mn--i|| |10|1|MATT 1.10|5000009
же|Df|20|же|---------n|| |10|1|MATT 1.10|5000009
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.10|5000009
манасиѭ̄|Ne|7370|манасиꙗ|-s---ma--i|| · |10|1|MATT 1.10|5000009
манасіӣ|Ne|3801|манасии|-s---mn--i|| |10|1|MATT 1.10|5000009
же|Df|20|же|---------n|| |10|1|MATT 1.10|5000009
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.10|5000009
а̄мо̄с̄а|Nb|0|FIXME|-s---mg--i|| · |10|1|MATT 1.10|5000009
А̄мось|Nb|0|FIXME|-s---mn--i|| |10|1|MATT 1.10|5000009
же|Df|20|же|---------n|| |10|1|MATT 1.10|5000009
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.10|5000009
ӣо̄сіѭ̄|Nb|0|FIXME|-s---fa--i|| · |10|1|MATT 1.10|5000009
Ӣо̄сіа̄|Ne|1392|иосифъ|-s---mg--i|| |10|1|MATT 1.11|5000010
же|Df|20|же|---------n|| |10|1|MATT 1.11|5000010
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.11|5000010
ӣо̄хоніѭ̄|Ne|0|FIXME|-s---fa--i|| · |10|1|MATT 1.11|5000010
и|C-|13|и|---------n|| |10|1|MATT 1.11|5000010
братиѭ̄|Nb|290|братриꙗ|-s---fa--i|| |10|1|MATT 1.11|5000010
е̄го|Pp|64|и|3s---mg--i|| · |10|1|MATT 1.11|5000010
Въ|R-|111|въ|---------n|| |10|1|MATT 1.11|5000010
прѣселеніӣ|Nb|3824|прѣселѥниѥ|-s---nl--i|| |10|1|MATT 1.11|5000010
вавілонстѣа̄мь|A-|4268|вавѵлоньскъ|-s---mlpwi|| · |10|1|MATT 1.11|5000010
По|R-|77|по|---------n|| |10|1|MATT 1.12|5000011
прѣселениӣ|Nb|3824|прѣселѥниѥ|-puppmn-wi|| |10|1|MATT 1.12|5000011
же|Df|20|же|---------n|| |10|1|MATT 1.12|5000011
вавілоньстѣ|A-|4268|вавѵлоньскъ|-s---flpsi|| · |10|1|MATT 1.12|5000011
Ӣо̄хониѣ̄|Nb|0|FIXME|-s---mg--i|| |10|1|MATT 1.12|5000011
роди|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.12|5000011
салатилѣ|Nb|0|FIXME|-s---nl--i|| · |10|1|MATT 1.12|5000011
салатіль|V-|0|FIXME|-sspamn-si|| |10|1|MATT 1.12|5000011
же|Df|20|же|---------n|| |10|1|MATT 1.12|5000011
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.12|5000011
ӡоров̄авелѣ|Ne|0|FIXME|-s---mg--i|| · |10|1|MATT 1.12|5000011
Ӡоров̄авель|Ne|0|FIXME|-s---mn--i|| |10|1|MATT 1.13|5000012
же|Df|20|же|---------n|| |10|1|MATT 1.13|5000012
роді|V-|1198|родити#1|3saia----i|| · |10|1|MATT 1.13|5000012
А̄віо̄уда|Ne|0|FIXME|-s---mn--i|| · |10|1|MATT 1.13|5000012
А̄віо̄удъ|Nb|0|FIXME|-s---mnpsi|| |10|1|MATT 1.13|5000012
же|Df|20|же|---------n|| |10|1|MATT 1.13|5000012
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.13|5000012
е̄лиа̄кіма|Nb|0|FIXME|-s---mg--i|| · |10|1|MATT 1.13|5000012
е̄лиа̄кимь|A-|2562|елиакимовъ|-s---ni--i|| |10|1|MATT 1.13|5000012
же|Df|20|же|---------n|| |10|1|MATT 1.13|5000012
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.13|5000012
А̄ӡара|Ne|5833|азариꙗ|-s---mg--i|| · |10|1|MATT 1.13|5000012
А̄ӡарь|Nb|0|FIXME|-p---mg--i|| |10|1|MATT 1.14|5000013
же|Df|20|же|---------n|| |10|1|MATT 1.14|5000013
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.14|5000013
садока|Nb|1449|садъ|-s---mg--i|| · |10|1|MATT 1.14|5000013
садокь|Nb|1449|садъ|-s---mn--i|| |10|1|MATT 1.14|5000013
же|Df|20|же|---------n|| |10|1|MATT 1.14|5000013
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.14|5000013
а̄хі̄на|Nb|0|FIXME|-s---mg--i|| · |10|1|MATT 1.14|5000013
а̄хінъ|A-|0|FIXME|-s---mn--i|| |10|1|MATT 1.14|5000013
же|Df|20|же|---------n|| |10|1|MATT 1.14|5000013
р҃о҃ді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.14|5000013
е̄лио̄уда|Ne|0|FIXME|-s---mn--i|| · |10|1|MATT 1.14|5000013
е̄ліо̄удъ|Nb|0|FIXME|-s---mnpsi|| |10|1|MATT 1.15|5000014
же|Df|20|же|---------n|| |10|1|MATT 1.15|5000014
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.15|5000014
е̄ліе̄ӡора|Ne|0|FIXME|-s---mg--i|| · |10|1|MATT 1.15|5000014
Е̄ліе̄ӡоръ|Ne|0|FIXME|-s---mn--i|| |10|1|MATT 1.15|5000014
же|Df|20|же|---------n|| |10|1|MATT 1.15|5000014
роді|V-|1198|родити#1|3saia----i|| |10|1|MATT 1.15|5000014
