же|же|242012|Codex Zographensis|John 2
ꙇюдѣи|іюдѣі|242013|Codex Zographensis|John 2
четꙑрьми|четъірьмі|242014|Codex Zographensis|John 2
десѧтꙑ|десѧтъі|242015|Codex Zographensis|John 2
ꙇ|і|242016|Codex Zographensis|John 2
шестиѭ|шестіѭ|242017|Codex Zographensis|John 2
лѣтъ|лѣтъ|242018|Codex Zographensis|John 2
съзъдана|съзъдана|242019|Codex Zographensis|John 2
бꙑс|бъіс|242020|Codex Zographensis|John 2
ц҃ркꙑ|цркъі|242021|Codex Zographensis|John 2
си|сі|242022|Codex Zographensis|John 2
ꙇ|і|242023|Codex Zographensis|John 2
тꙑ|тъі|242024|Codex Zographensis|John 2
ли|лі|242025|Codex Zographensis|John 2
трьми|трьмі|242026|Codex Zographensis|John 2
дьнꙑ|дьнъі|242027|Codex Zographensis|John 2
вьздвігнеши|вьздвігнеші|242028|Codex Zographensis|John 2
ѭ|ѭ|242029|Codex Zographensis|John 2
онъ|онъ|242030|Codex Zographensis|John 2
же|же|242031|Codex Zographensis|John 2
г҃лааше|глааше|242032|Codex Zographensis|John 2
о|о|242033|Codex Zographensis|John 2
цръкъви|цръкъві|242034|Codex Zographensis|John 2
тѣла|тѣла|242035|Codex Zographensis|John 2
своего|своего|242036|Codex Zographensis|John 2
егда|егда|242037|Codex Zographensis|John 2
оубо|оубо|242038|Codex Zographensis|John 2
въста|въста|242039|Codex Zographensis|John 2
отъ|отъ|242040|Codex Zographensis|John 2
мрътвꙑхъ|мрътвъіхъ|242041|Codex Zographensis|John 2
помѧнѫшѧ|помѧнѫшѧ|242042|Codex Zographensis|John 2
оученици|оученіці|242043|Codex Zographensis|John 2
его|его|242044|Codex Zographensis|John 2
ѣкоже|ѣкоже|242045|Codex Zographensis|John 2
г҃лааше|глааше|242046|Codex Zographensis|John 2
ꙇ|і|242047|Codex Zographensis|John 2
вѣрѫ|вѣрѫ|242048|Codex Zographensis|John 2
ѩшѧ|ѧшѧ|242049|Codex Zographensis|John 2
кън҄игамъ|кънігамъ|242050|Codex Zographensis|John 2
ꙇ|і|242051|Codex Zographensis|John 2
словеси|словесі|242052|Codex Zographensis|John 2
еже|еже|242053|Codex Zographensis|John 2
рече|рече|242054|Codex Zographensis|John 2
и҃с|іс|242055|Codex Zographensis|John 2
егда|егда|242056|Codex Zographensis|John 2
бѣ|бѣ|242057|Codex Zographensis|John 2
въ|въ|242058|Codex Zographensis|John 2
і҃ꙇлмѣхъ|іілмѣхъ|242059|Codex Zographensis|John 2
въ|въ|242060|Codex Zographensis|John 2
пасха|пасха|242061|Codex Zographensis|John 2
въ|въ|242062|Codex Zographensis|John 2
праздьникъ|праздьнікъ|242063|Codex Zographensis|John 2
мънози|мънозі|242064|Codex Zographensis|John 2
вѣровашѧ|вѣровашѧ|242065|Codex Zographensis|John 2
въ|въ|242066|Codex Zographensis|John 2
імѧ|імѧ|242067|Codex Zographensis|John 2
его|его|242068|Codex Zographensis|John 2
видѧште|відѧште|242069|Codex Zographensis|John 2
знаменьѣ|знаменьѣ|242070|Codex Zographensis|John 2
его|его|242071|Codex Zographensis|John 2
ѣже|ѣже|242072|Codex Zographensis|John 2
творѣаше|творѣаше|242073|Codex Zographensis|John 2
самъ|самъ|242074|Codex Zographensis|John 2
же|же|242075|Codex Zographensis|John 2
и҃с|іс|242076|Codex Zographensis|John 2
не|не|242077|Codex Zographensis|John 2
въдааше|въдааше|242078|Codex Zographensis|John 2
себе|себе|242079|Codex Zographensis|John 2
въ|въ|242080|Codex Zographensis|John 2
вѣрѫ|вѣрѫ|242081|Codex Zographensis|John 2
ꙇхъ|іхъ|242082|Codex Zographensis|John 2
ꙇмьже|імьже|242083|Codex Zographensis|John 2
самъ|самъ|242084|Codex Zographensis|John 2
вѣдѣаше|вѣдѣаше|242085|Codex Zographensis|John 2
вьсе|вьсе|242086|Codex Zographensis|John 2
ꙇ|і|242087|Codex Zographensis|John 2
ѣко|ѣко|242088|Codex Zographensis|John 2
не|не|242089|Codex Zographensis|John 2
трѣбоваше|трѣбоваше|242090|Codex Zographensis|John 2
да|да|242091|Codex Zographensis|John 2
къто|къто|242092|Codex Zographensis|John 2
