самъ,567
въселіті,568
правьда,569
поставіті,570
мьша,571
обіті#1,572
тварь,573
вельмі,574
гнѣвъ,575
въплътіті,576
чловѣчьскъ,577
въсхотѣті,578
оутврьдіті,579
просвѣтіті,580
блізъ,581
оуслъішаті,582
оупъваніе,583
вънѧті,584
небесьскъ,585
въішьнь,586
жѧдаті,587
мілостівьно,588
прііматі,589
очіштеніе,590
да,591
въздрасті,592
вънѫтрьнь,593
соушіті,594
пріносъ,595
благословестіті,596
дрьжаті,597
прізъваті,598
ісправіті,599
обѣтъ,600
обѣштаті,601
възмошті,602
заповѣдь,603
іже,604
велічьство,605
възѧті,606
прівесті,607
скръбьнъ,608
зъль,609
ізбавленіе,610
съдравіе,611
небъітіе,612
бъітіе,613
отъпасті,614
въскрѣсіті,615
пакъі,616
достоѣті,617
съгрѣшаті,618
земьскъ,619
пішта,620
насъітіті,621
цѣсарьство,622
отъдаті,623
штоуждь,624
обратіті,625
плѣнъ,626
народъ,627
поганьскъ,628
цѣсаріті,629
ціркънъ,630
тврьдь,631
оуподобіті,632
бальство,633
ѣкъже,634
възлюбіті,635
такъжде,636
творіті,637
раздрѣшеніе,638
помошть,639
пѧть,640
въздвігнѫті,641
похоть,642
къііже,643
възлюбленіе,644
зълоба,645
върѣсніті,646
тьмьнъ,647
отъвесті,648
закленѫті,649
достоіно,650
въсѫдьнъ,651
отѧті,652
лѫкавьство,653
съ,654
прѣставленіе,655
съвѣстоваті,656
нічьтоже,657
протівіті,658
такоже,659
пріспѣті,660
помоліті,661
пріснодѣва,662
маріѣ,663
прѣподобьнъ,664
чістъ,665
дѣва,666
възвеселіті,667
отъплатіті,668
оставіті,669
олътарь,670
іті,671
съміріті,672
тъгда,673
оувѣштаті,674
сѫпьрь,675
скоро,676
доньде,677
пѫть,678
прѣдаті,679
сѫдіі,680
слоуга,681
тьмьніца,682
въврѣшті,683
ізіті,684
отътѫдѣ,685
въздаті,686
послѣдьніі,687
кодрантъ,688
слъішаті,689
древльнь,690
прѣлюбъі,691
възьрѣті,692
жена,693
оуже,694
деснъ,695
съблажнѣті,696
ізѧті,697
врѣшті,698
оуніі,699
погъібаті,700
геона,701
оусѣшті,702
аште,703
поустіті,704
распоустьнъ,705
поуштаті,706
развѣ,707
любодѣѣньнъ,708
дѣѣті,709
потьпѣга,710
поіматі,711
клѧті,712
отънѫдь,713
прѣстолъ,714
подъножіе,715
нога,716
іероусалімъ,717
градъ,718
глава,719
власъ,720
бѣлъ,721
чрьнъ,722
вашь,723
ні,724
непріѣзнь,725
за,726
зѫбъ,727
оударіті,728
ланіта,729
сѫдъ,730
різа,731
отъпоустіті,732
срачіца,733
поѧті,734
попьріште,735
оу,736
даѣті,737
заѧті,738
отъвратіті,739
іскрьніі,740
възненавідѣті,741
врагъ,742
любіті,743
ненавідѣті,744
напасть,745
ізгоніті,746
слъньце,747
сіѣті,748
дъждіті,749
мьзда,750
мъітарь,751
лі,752
цѣловаті,753
дроугъ,754
тъкъмо#1,755
съврьшенъ,756
ѣко,757
въніматі,758
мілостъіні,759
ні,760
въстрѫбіті,761
упокрітъ,762
съньміште,763
стьгна,764
въспріѧті,765
чоуті,766
