id,lemma,pos,count
553,пушька,Nb,38
554,мѣсто,Nb,412
555,шихбъ,F-,1
556,алудинъ,F-,1
557,пиръ,F-,1
558,атыръ,F-,1
559,базаръ,Nb,3
560,алядинандъ,F-,1
561,съѣждати,V-,3
562,търговати,V-,9
563,приводити,V-,21
564,тысяща,Ma,34
565,продаяти,V-,23
566,съвозити,V-,1
567,лучии,A-,53
568,память,Nb,86
569,шихъ,Nb,5
570,аладинъ,Ne,5
571,покровъ,Nb,10
572,богородица,Nb,228
573,аляндъ,Ne,1
574,пътица,Nb,33
575,гукукъ,Nb,2
576,лѣтати,V-,4
577,которыи,Pr,83
578,хоромина,Nb,6
579,умрѣти,V-,145
580,рътъ,Nb,16
581,мамона,Nb,3
582,имати,V-,80
583,куръ,Nb,15
584,или,C-,874
585,камение,Nb,22
586,обезияна,Nb,4
587,лѣсъ,Nb,47
588,обезияньскыи,A-,1
589,рать,Nb,105
590,заимати,V-,2
591,жаловати,V-,36
592,посылати,V-,47
593,дворъ,Nb,218
594,разваляти,V-,1
595,вельми,Df,85
596,которыи,Px,58
597,не,C-,11
598,мати,Nb,215
599,метати,V-,17
600,учити,V-,118
601,рукодѣлие,Nb,37
602,побѣжати#2,V-,5
603,базы,F-,1
604,миканетъ,F-,1
605,весна,Nb,43
606,праздьновати,V-,13
607,осень,Nb,45
608,столъ,Nb,137
609,гондустанъ,Ne,6
610,салтанъ,Nb,6
611,воевати,V-,87
612,дъвѣсътѣ,Ma,15
613,меликъ,Ne,2
614,харатъ,Ne,1
615,выходити,V-,9
616,трисъта,Ma,74
617,людьныи,A-,1
618,сельскыи,A-,2
619,сильныи,A-,49
620,добрѣ,Df,44
621,пышьныи,A-,1
622,носити,V-,55
623,кровать,Nb,6
624,сребрьныи,A-,13
625,прѣдъ,R-,232
626,водити,V-,30
627,снасть,Nb,9
628,пятьсътъ,Ma,139
629,трубьникъ,Nb,4
630,нагарьникъ,Nb,1
631,свирѣльникъ,Nb,1
632,выѣзжати,V-,6
633,потѣха,Nb,2
634,пятьдесятъ,Ma,85
635,нарядити,V-,21
636,золотити,V-,6
637,плясьць,Nb,3
638,простыи,A-,27
639,гаурока,Nb,1
640,султановъ,A-,4
641,семеръ,Ma,1
642,ворота,Nb,50
643,сторожь,Nb,42
644,письць,Nb,8
645,къто,Pi,117
646,записывати,V-,2
647,гарипъ,Nb,4
648,чудьныи,A-,35
649,вырѣзъ,Nb,1
650,золото,Nb,21
651,послѣдьнии,A-,45
652,камы,Nb,38
653,вырѣзати,V-,10
654,описати,V-,5
655,чудьно,Df,5
656,розьныи,A-,9
657,нощь,Nb,165
658,кутоваловыи,A-,1
659,свѣтычь,Nb,1
660,продати,V-,31
661,наложити,V-,3
