370,датель,Nb
371,добръ,A-
372,приношениѥ,Nb
373,благословлѥниѥ,Nb
374,домъ,Nb
375,храмъ,Nb
376,съпаситель,Nb
377,подъ,R-
378,кровъ,Nb
379,закьхеовъ,A-
380,вънити,V-
381,прѣчистъ,A-
382,гласъ,Nb
383,евангелистъ,Nb
384,въселѥнаꙗ,Nb
385,истина,Nb
386,проповѣдати,V-
387,сьде,Df
388,жити,V-
389,съмѣрѥнъ,A-
390,грѣшьнъ,A-
391,приносити,V-
392,прославити,V-
393,пакость,Nb
394,врѣждениѥ,Nb
395,житиѥ,Nb
396,авлꙗти,V-
397,даръ,Nb
398,земьнъ,A-
399,небесьнъ,A-
400,надъ,R-
401,стадо,Nb
402,владꙑка,Nb
403,вьседрьжитель,Nb
404,агньць,Nb
405,възимати,V-
406,грѣхъ,Nb
407,прѣзьрѣти,V-
408,доуша,Nb
409,молити,V-
410,прибѣгати,V-
411,вѣчьнъ,A-
412,иꙗковъ,Ne
413,оумъножити,V-
414,рѫка,Nb
415,исаавовъ,A-
416,лаваановъ,A-
417,тꙑсѧщи,Nb
418,тъма,Nb
419,се,I-
420,насилиѥ,Nb
421,иноплеменьникъ,Nb
422,часъ,Nb
423,съмрьтьнъ,A-
424,съблюсти,V-
425,сътѧжати,V-
426,незавидьливъ,A-
427,око,Nb
428,наслаждати,V-
429,хвала,Nb
430,ѥдьночѧдъ,A-
431,лещи,V-
432,ложе,Nb
433,отити,V-
434,сотона,Nb
435,двьрь,Nb
436,ѫгълъ,Nb
437,причѧстьнъ,A-
438,петръ,Ne
439,павьлъ,Ne
440,азъ,Pp
441,покланꙗти,V-
442,имѧ,Nb
443,доухъ,Nb
444,въложити,V-
445,оумъ,Nb
446,срьдьце,Nb
447,мои,Ps
448,хранити,V-
449,тѣло,Nb
450,съставъ,Nb
451,зълодѣи,Nb
452,сѣть,Nb
453,съблазнъ,Nb
454,грѣховьнъ,A-
455,въсꙑлати,V-
456,вълѣсти,V-
457,пасти#1,V-
458,ниць,A-
459,иѥреи,Nb
460,вьсемогꙑ,A-
461,исповѣдьнъ,A-
462,лихъ,A-
463,сътворѥниѥ,Nb
464,колижьдо,Df
465,изглаголати,V-
466,лихо,Df
467,мꙑслити,V-
468,глаголъ,Nb
469,ли,C-
470,дѣло,Nb
471,помꙑшлѥниѥ,Nb
472,помьнѣти,V-
473,любо,C-
474,съгрѣшити,V-
475,съвѣдѣти,V-
476,нѫжда,Nb
477,ненѫжда,Nb
478,съпати,V-
479,видѣти,V-
480,клѧтва,Nb
481,лъжа,Nb
482,неправьдьнъ,A-
483,поустошь,Nb
484,блѧдь,Nb
485,ꙗкоже,Df
486,из,R-
487,ꙗдѣниѥ,Nb
488,питиѥ,Nb
489,съпаниѥ,Nb
490,рачити,V-
491,подати,V-
492,посрамити,V-
493,прѣдъ,R-
494,свѣтъ#2,Nb
495,покаꙗти,V-
496,достоинъ,A-
497,покаꙗниѥ,Nb
498,ꙗкоже,G-
499,вьсевеликъ,A-
500,троица,Nb
501,помощьникъ,Nb
502,сила,Nb
503,мѫдрость,Nb
504,замꙑслъ,Nb
505,волꙗ,Nb
506,вѣра,Nb
507,слоужьба,Nb
508,грѣшьникъ,Nb
509,съпасти#1,V-
510,любъ,A-
511,рабъ,Nb
512,еи,I-
513,помощи,V-
514,какъ,Pi
515,бѣда,Nb
516,прѣдаꙗти,V-
517,мꙑсль,Nb
518,любꙑ,Nb
519,отъложити,V-
520,слово,Nb
521,оконьчати,V-
522,зълъ,A-
523,дьнь,Nb
524,климентъ,Ne
525,огрѧсти,V-
526,блаженъ,A-
527,мѫченикъ,Nb
528,папежь,Nb
529,веселити,V-
530,чьстити,V-
531,мѫчениѥ,Nb
532,наслѣдовати,V-
533,оплатъ,Nb
534,рованиѩ,Nb
535,принести,V-
536,свѧтити,V-
537,ходатаити,V-
538,скврьность,Nb
539,очистити,V-
540,прѣфациꙗ,Nb
541,законьникъ,Nb
542,оутѧгнѫти,V-
543,инокость,Nb
544,подроугъ,Nb
545,исповѣдь,Nb
546,намѣстьникъ,Nb
547,наслѣдьникъ,Nb
548,въсѫдъ,Nb
549,прѣдрагъ,A-
550,кръвь,Nb
551,напльнити,V-
552,вълитиѥ,Nb
553,просити,V-
554,ѥже,G-
555,обѣщаниѥ,Nb
556,рѣснотивьнъ,A-
557,издрѣшениѥ,Nb
558,обѧти,V-
559,фелицита,Ne
560,ради,R-
561,мѫчѣница,Nb
562,въкоупьнь,A-
563,защитити,V-
564,людиѥ,Nb
565,радостьнъ,A-
566,съмѣрьно,Df
567,самъ,Pd
568,въселити,V-
569,правьда,Nb
570,поставити,V-
571,мьша,Nb
572,обити#1,V-
573,тварь,Nb
574,вельми,Df
575,гнѣвъ,Nb
576,въплътити,V-
577,чловѣчьскъ,A-
578,въсхотѣти,V-
579,оутврьдити,V-
580,просвѣтити,V-
581,близъ,R-
582,оуслꙑшати,V-
583,оупъваниѥ,Nb
584,вънѧти,V-
585,небесьскъ,A-
586,вꙑшьнь,A-
587,жѧдати,V-
588,милостивьно,Df
589,приимати,V-
590,очищениѥ,Nb
591,да,Df
592,въздрасти,V-
593,вънѫтрьнь,A-
594,соушити,V-
595,приносъ,Nb
596,благословестити,V-
597,дрьжати,V-
598,призъвати,V-
599,исправити,V-
600,обѣтъ,Nb
601,обѣщати,V-
602,възмощи,V-
603,заповѣдь,Nb
604,иже,Ps
605,величьство,Nb
606,възѧти,V-
607,привести,V-
608,скръбьнъ,A-
609,зъль,Nb
610,избавлѥниѥ,Nb
611,съдравиѥ,Nb
612,небꙑтиѥ,Nb
613,бꙑтиѥ,Nb
614,отъпасти,V-
615,въскрѣсити,V-
616,пакꙑ,Df
617,достоꙗти,V-
618,съгрѣшати,V-
619,земьскъ,A-
620,пища,Nb
621,насꙑтити,V-
622,цѣсарьство,Nb
623,отъдати,V-
624,щоуждь,A-
625,обратити,V-
626,плѣнъ,Nb
627,народъ,Nb
