id,lemma,pos,count
476,нѫжда,Nb,33
477,ненѫжда,Nb,1
478,съпати,V-,52
479,видѣти,V-,947
480,клѧтва,Nb,20
481,лъжа,Nb,23
482,неправьдьнъ,A-,34
483,поустошь,Nb,1
484,блѧдь,Nb,12
485,ꙗкоже,Df,68
486,из,R-,236
487,ꙗдѣниѥ,Nb,1
488,питиѥ,Nb,7
489,съпаниѥ,Nb,1
490,рачити,V-,22
491,подати,V-,47
492,посрамити,V-,15
493,прѣдъ,R-,302
494,свѣтъ#2,Nb,5
495,покаꙗти,V-,44
496,достоинъ,A-,90
497,покаꙗниѥ,Nb,53
498,ꙗкоже,G-,159
499,вьсевеликъ,A-,1
500,троица,Nb,23
501,помощьникъ,Nb,28
502,сила,Nb,273
503,мѫдрость,Nb,40
504,замꙑслъ,Nb,1
505,волꙗ,Nb,100
506,вѣра,Nb,263
507,слоужьба,Nb,44
508,грѣшьникъ,Nb,82
509,съпасти#1,V-,172
510,любъ,A-,3
511,рабъ,Nb,302
512,еи,I-,43
513,помощи,V-,36
514,какъ,Pi,12
515,бѣда,Nb,47
516,прѣдаꙗти,V-,37
517,мꙑсль,Nb,31
518,любꙑ,Nb,64
519,отъложити,V-,6
520,слово,Nb,586
521,оконьчати,V-,3
522,зълъ,A-,241
523,дьнь,Nb,609
524,климентъ,Ne,12
525,огрѧсти,V-,1
526,блаженъ,A-,223
527,мѫченикъ,Nb,105
528,папежь,Nb,3
529,веселити,V-,43
530,чьстити,V-,8
531,мѫчениѥ,Nb,32
532,наслѣдовати,V-,6
533,оплатъ,Nb,10
534,рованиѩ,Nb,1
535,принести,V-,114
536,свѧтити,V-,26
537,ходатаити,V-,1
538,скврьность,Nb,1
539,очистити,V-,24
540,прѣфациꙗ,Nb,7
541,законьникъ,Nb,7
542,оутѧгнѫти,V-,1
543,инокость,Nb,1
544,подроугъ,Nb,5
545,исповѣдь,Nb,1
546,намѣстьникъ,Nb,2
547,наслѣдьникъ,Nb,5
548,въсѫдъ,Nb,15
549,прѣдрагъ,A-,1
550,кръвь,Nb,113
551,напльнити,V-,20
552,вълитиѥ,Nb,1
553,просити,V-,130
554,ѥже,G-,33
555,обѣщаниѥ,Nb,7
556,рѣснотивьнъ,A-,2
557,издрѣшениѥ,Nb,2
558,обѧти,V-,21
559,фелицита,Ne,2
560,ради,R-,387
561,мѫчѣница,Nb,1
562,въкоупьнь,A-,1
563,защитити,V-,5
564,людиѥ,Nb,235
565,радостьнъ,A-,3
566,съмѣрьно,Df,1
567,самъ,Pd,295
568,въселити,V-,33
569,правьда,Nb,140
570,поставити,V-,96
571,мьша,Nb,8
572,обити#1,V-,24
573,тварь,Nb,43
574,вельми,Df,45
575,гнѣвъ,Nb,88
576,въплътити,V-,5
577,чловѣчьскъ,A-,189
578,въсхотѣти,V-,43
579,оутврьдити,V-,76
580,просвѣтити,V-,25
581,близъ,R-,42
582,оуслꙑшати,V-,179
583,оупъваниѥ,Nb,31
584,вънѧти,V-,34
585,небесьскъ,A-,124
586,вꙑшьнь,A-,81
587,жѧдати,V-,19
588,милостивьно,Df,1
589,приимати,V-,123
590,очищениѥ,Nb,12
591,да,Df,485
592,въздрасти,V-,9
593,вънѫтрьнь,A-,9
594,соушити,V-,2
595,приносъ,Nb,6
596,благословестити,V-,12
597,дрьжати,V-,121
598,призъвати,V-,108
599,исправити,V-,27
600,обѣтъ,Nb,11
601,обѣщати,V-,28
602,възмощи,V-,62
603,заповѣдь,Nb,127
604,иже,Ps,1
605,величьство,Nb,8
606,възѧти,V-,271
607,привести,V-,139
608,скръбьнъ,A-,5
609,зъль,Nb,8
610,избавлѥниѥ,Nb,14
611,съдравиѥ,Nb,4
612,небꙑтиѥ,Nb,4
613,бꙑтиѥ,Nb,6
614,отъпасти,V-,25
615,въскрѣсити,V-,24
616,пакꙑ,Df,305
617,достоꙗти,V-,47
618,съгрѣшати,V-,13
619,земьскъ,A-,12
620,пища,Nb,42
621,насꙑтити,V-,56
622,цѣсарьство,Nb,81
623,отъдати,V-,24
624,щоуждь,A-,40
625,обратити,V-,115
626,плѣнъ,Nb,10
627,народъ,Nb,267
628,поганьскъ,A-,7
629,цѣсарити,V-,1
630,циркънъ,A-,1
631,тврьдь,Nb,5
632,оуподобити,V-,28
633,бальство,Nb,2
634,ꙗкъже,Pr,3
635,възлюбити,V-,117
636,такъжде,Pd,4
637,творити,V-,536
638,раздрѣшениѥ,Nb,3
639,помощь,Nb,56
640,пѧть,Ma,98
641,въздвигнѫти,V-,49
642,похоть,Nb,24
643,кꙑиже,Pr,1
644,възлюблѥниѥ,Nb,4
645,зълоба,Nb,36
646,върѣснити,V-,1
647,тьмьнъ,A-,31
648,отъвести,V-,5
649,закленѫти,V-,3
650,достоино,Df,4
651,въсѫдьнъ,A-,1
652,отѧти,V-,50
653,лѫкавьство,Nb,4
654,съ,Pd,3
655,прѣставлѥниѥ,Nb,4
656,съвѣстовати,V-,1
657,ничьтоже,Px,187
658,противити,V-,22
659,такоже,Df,11
660,приспѣти,V-,5
661,помолити,V-,66
662,приснодѣва,Nb,4
663,мариꙗ,Ne,90
664,прѣподобьнъ,A-,68
665,чистъ,A-,47
666,дѣва,Nb,29
667,възвеселити,V-,63
668,отъплатити,V-,1
669,оставити,V-,213
670,олътарь,Nb,19
671,ити,V-,652
672,съмирити,V-,5
673,тъгда,Df,298
674,оувѣщати,V-,19
675,сѫпьрь,Nb,5
676,скоро,Df,27
677,доньде,G-,74
678,пѫть,Nb,233
679,прѣдати,V-,204
680,сѫдии,Nb,43
681,слоуга,Nb,80
682,тьмьница,Nb,97
683,въврѣщи,V-,80
684,изити,V-,260
685,отътѫдѣ,Df,20
686,въздати,V-,88
687,послѣдьнии,A-,48
688,кодрантъ,Nb,3
689,слꙑшати,V-,453
690,древльнь,A-,13
691,прѣлюбꙑ,Nb,19
692,възьрѣти,V-,71
693,жена,Nb,220
694,оуже,Df,138
695,деснъ,A-,58
696,съблажнꙗти,V-,15
697,изѧти,V-,28
698,врѣщи,V-,9
699,оунии,A-,14
700,погꙑбати,V-,12
701,геона,Nb,15
702,оусѣщи,V-,6
703,аще,Df,87
704,поустити,V-,58
705,распоустьнъ,A-,4
706,поущати,V-,11
707,развѣ,R-,29
708,любодѣꙗньнъ,A-,3
709,дѣꙗти,V-,42
710,потьпѣга,Nb,3
711,поимати,V-,11
712,клѧти,V-,48
713,отънѫдь,Df,16
714,прѣстолъ,Nb,41
715,подъножиѥ,Nb,8
716,нога,Nb,181
717,иѥроусалимъ,Ne,101
718,градъ,Nb,346
719,глава,Nb,113
720,власъ,Nb,23
721,бѣлъ,A-,14
722,чрьнъ,A-,2
723,вашь,Ps,351
724,ни,I-,22
725,неприꙗзнь,Nb,14
726,за,R-,225
727,зѫбъ,Nb,31
728,оударити,V-,24
729,ланита,Nb,13
730,сѫдъ,Nb,86
731,риза,Nb,114
732,отъпоустити,V-,108
733,срачица,Nb,4
734,поѩти,V-,76
735,попьрище,Nb,16
736,оу,R-,93
737,даꙗти,V-,85
738,заѩти,V-,4
739,отъвратити,V-,15
740,искрьнии,A-,17
741,възненавидѣти,V-,29
742,врагъ,Nb,175
743,любити,V-,126
744,ненавидѣти,V-,63
745,напасть,Nb,23
746,изгонити,V-,48
747,слъньце,Nb,67
748,сиꙗти,V-,10
749,дъждити,V-,2
750,мьзда,Nb,33
751,мꙑтарь,Nb,29
752,ли,Du,545
753,цѣловати,V-,21
754,дроугъ,Nb,67
755,тъкъмо#1,Df,30
756,съврьшенъ,A-,19
757,ꙗко,Dq,87
758,вънимати,V-,18
759,милостꙑни,Nb,17
760,ни,Df,178
761,въстрѫбити,V-,5
762,ѵпокритъ,Nb,12
763,съньмище,Nb,46
764,стьгна,Nb,8
765,въсприѩти,V-,18
766,чоути,V-,20
767,шоуица,Nb,2
768,десница,Nb,42
769,таина,Nb,44
770,авѣ,Df,61
771,ꙗко#1,Df,328
772,лицемѣръ,Nb,12
773,распѫтиѥ,Nb,10
774,стоꙗти,V-,145
775,въсприимати,V-,7
776,клѣть,Nb,14
777,затворити,V-,50
778,ѩзꙑчьникъ,Nb,3
779,глаголаниѥ,Nb,3
780,трѣбовати,V-,56
781,прошениѥ,Nb,19
782,цѣсарьствиѥ,Nb,160
783,хлѣбъ,Nb,155
784,настати,V-,5
785,дьньсь,Df,88
786,длъгъ,Nb,12
787,отъпоущати,V-,35
788,длъжьникъ,Nb,9
789,въвести,V-,48
790,съгрѣшениѥ,Nb,19
791,постити,V-,30
792,просмраждати,V-,2
793,лице,Nb,209
794,помазати,V-,29
795,оумꙑти,V-,31
796,съкрꙑвати,V-,7
797,съкровище,Nb,34
798,идеже,Dq,101
799,чрьвь,Nb,12
800,тьлꙗ,Nb,5
801,тьлити,V-,5
802,тать,Nb,13
803,подъкопавати,V-,3
804,красти,V-,11
805,свѣтильникъ,Nb,23
806,простъ,A-,28
807,свѣтьлъ,A-,47
808,лѫкавъ,A-,29
809,свѣтъ#1,Nb,107
810,тьма#1,Nb,67
811,тѣ,Df,4
812,кольми,Du,17
813,никꙑиже,Px,20
814,работати,V-,23
815,неродити,V-,2
816,мамона,Nb,3
817,пещи,V-,47
818,ꙗсти,V-,189
819,облѣщи,V-,56
820,болии,A-,100
821,одежда,Nb,23
822,пътица,Nb,38
823,сѣти,V-,51
824,жѧти,V-,15
825,житьница,Nb,8
826,питѣти,V-,3
827,паче,Df,217
828,лоучии,A-,14
829,лакъть,Nb,10
830,съмотрити,V-,30
831,кринъ,Nb,2
832,сельнъ,A-,5
833,расти,V-,19
834,троуждати,V-,20
835,прѧсти,V-,2
836,соломонъ,Ne,13
837,сѣно,Nb,9
838,оутрѣ,Df,9
839,огнь,Nb,181
840,въметати,V-,6
841,одѣꙗти,V-,3
842,маловѣръ,A-,7
843,одѣти,V-,19
844,оутрѣи,A-,9
845,оутрьнь,A-,10
846,довьлѣти,V-,20
847,осѫждати,V-,9
848,осѫдити,V-,53
849,сѫдити,V-,81
850,мѣра,Nb,18
851,мѣрити,V-,7
852,възмѣрити,V-,3
853,сѫчьць,Nb,9
854,брьвьно,Nb,9
855,сь,I-,7
856,прьвѣѥ,Df,31
857,оузьрѣти,V-,115
858,пьсъ,Nb,21
859,пометати,V-,10
860,бисьръ,Nb,13
861,свиниꙗ,Nb,22
862,попьрати,V-,15
863,вратити,V-,4
864,растръгнѫти,V-,7
865,тлѣщи,V-,12
866,отврѣсти,V-,81
867,обрѣтати,V-,33
868,отврьзати,V-,12
869,еда,Du,75
870,камꙑ,Nb,97
871,рꙑба,Nb,36
872,змиꙗ,Nb,24
873,лѫкавьнъ,A-,12
874,оумѣти,V-,18
875,даꙗниѥ,Nb,6
876,чѧдо,Nb,92
877,ѥлико,Pr,89
878,пророкъ,Nb,188
879,ѫзъкъ,A-,6
880,врата,Nb,68
881,пространъ,A-,12
882,широкъ,A-,9
883,пагоуба,Nb,25
884,въходити,V-,49
885,коль,Du,20
886,тѣснъ,A-,6
887,мало,Df,46
888,лъжь,A-,19
889,приходити,V-,82
890,овьчь,A-,10
891,вънѫтрь,Df,15
892,влькъ,Nb,25
893,хꙑщьникъ,Nb,3
894,познати,V-,85
895,обимати,V-,8
896,трьниѥ,Nb,30
897,грознъ,Nb,3
898,рѣпиѥ,Nb,2
899,смокꙑ,Nb,40
900,дрѣво,Nb,105
901,посѣкати,V-,3
902,въмѣтати,V-,11
903,пророчьствовати,V-,8
904,бѣсъ,Nb,169
905,исповѣдѣти,V-,114
906,николиже,Df,41
907,знати,V-,58
908,дѣлати,V-,38
909,безакониѥ,Nb,53
910,мѫдръ,A-,24
911,съзьдати,V-,68
912,храмина,Nb,22
913,сънити,V-,84
914,дъждь,Nb,18
915,рѣка,Nb,77
916,възвѣꙗти,V-,6
917,вѣтръ,Nb,48
918,напасти,V-,17
919,основати,V-,14
920,боуи,A-,13
921,пѣсъкъ,Nb,7
922,опрѣти,V-,3
923,раздроушениѥ,Nb,3
924,велии,A-,112
925,съконьчати,V-,77
926,дивити,V-,65
927,власть,Nb,71
928,кънижьникъ,Nb,74
929,фарисеи,Nb,113
930,гора,Nb,134
931,слѣдъ,Nb,49
932,прокаженъ,A-,14
933,пристѫпити,V-,124
934,кланꙗти,V-,36
935,ищистити,V-,11
936,прострѣти,V-,50
937,коснѫти,V-,19
938,абиѥ,Df,238
939,проказа,Nb,5
940,никътоже,Px,199
941,повѣдѣти,V-,63
942,показати,V-,116
943,архиереи,Nb,91
944,нести,V-,14
945,моси,Ne,75
946,съвѣдѣниѥ,Nb,39
947,каперънаоумъ,Ne,19
948,сътьникъ,Nb,14
949,отрокъ,Nb,49
950,лежати,V-,83
951,ослабити,V-,32
952,лютѣ,Df,9
953,страдати,V-,41
954,ицѣлити,V-,78
955,ицѣлѣти,V-,35
956,ибо,Df,51
957,воинъ,Nb,89
958,грѧсти,V-,177
959,толикъ,Pd,72
960,въстокъ,Nb,19
961,западъ,Nb,19
962,възлещи,V-,25
963,авраамъ,Ne,38
964,исаакъ,Ne,7
965,кромѣщьнии,A-,6
966,плачь,Nb,29
967,скрьжьтъ,Nb,11
968,вѣровати,V-,227
969,възвратити,V-,113
970,съдравъ,A-,20
971,петровъ,A-,6
972,тъща,Nb,2
973,жещи,V-,13
974,прикоснѫти,V-,36
975,въстати,V-,239
976,слоужити,V-,43
977,поздѣ,Df,18
978,бѣсьнъ,A-,19
979,недѫжьнъ,A-,14
980,събꙑти,V-,36
981,исаиꙗ,Ne,28
982,недѫгъ,Nb,36
983,болѣзнь,Nb,83
984,понести,V-,10
985,окрьстъ,R-,22
986,полъ#1,Nb,45
987,ѥдинъ,Px,128
988,оучитель,Nb,122
989,ꙗможе,Dq,14
990,лисъ,Nb,5
991,ꙗзвина,Nb,3
992,гнѣздо,Nb,6
993,къде,Du,78
994,подъклонити,V-,6
995,погрети,V-,27
996,мрьтвъ,A-,153
997,мрьтвьць,Nb,14
998,корабль,Nb,88
999,трѫсъ,Nb,10
1000,морѥ,Nb,131
1001,покрꙑвати,V-,9
1002,вльна,Nb,25
1003,възбоудити,V-,12
1004,страшивъ,A-,7
1005,запрѣтити,V-,40
1006,тишина,Nb,6
1007,чоудити,V-,34
1008,послоушати,V-,146
1009,страна,Nb,106
1010,геръгесиньскъ,A-,2
1011,сърѣсти,V-,36
1012,жаль,Nb,1
1013,исходити,V-,80
1014,възъпити,V-,66
1015,вѣ,Pp,40
1016,сѣмо,Df,26
1017,мѫчити,V-,87
1018,далече,Df,26
1019,пасти#2,V-,26
1020,свинъ,A-,4
1021,оустрьмити,V-,19
1022,брѣгъ,Nb,17
1023,оутонѫти,V-,2
1024,бѣжати,V-,54
1025,възвѣстити,V-,77
1026,противѫ,R-,41
1027,прѣити,V-,68
1028,прѣдѣлъ,Nb,30
1029,прѣꙗхати,V-,9
1030,жила,Nb,13
1031,одръ,Nb,39
1032,дрьзати,V-,15
1033,власвимлꙗти,V-,2
1034,въскѫѭ,Du,32
1035,оудобь,A-,1
1036,ходити,V-,135
1037,оувѣдѣти,V-,112
1038,прѣходити,V-,28
1039,отътѫдоу,Df,26
