orv_lemma|chu_lemma|pos|count|lcs_lemma|pre_jot|morph_replace|PV2/3|doublet|stem1|stem2|conj_type|noun_verb|loan_place|non_assim|eng_trans|etym_disc|bad_etym|loan_source|clitic|automatched|ch_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|nov-list|nov-marg|nov-sin|novgorod-jaroslav|ostromir-col|paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|bitflag
поити#1||V-|502|||||||||99||||||||0|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|||kiev-hyp|||lav|luk-koloc_subtitle_added|mikh|||nevsky-treaty|||nov-sin|novgorod-jaroslav|||peter||pskov_subtitle_added|pvl-hyp|||rusprav||sergrad||smol-pol-lit||stefan|suz-lav||usp-sbor||||zadon|19149554509055
отъ|отъ|R-|2255|otъ||||||||0|||||||1|1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|||kur|lav|luk-koloc_subtitle_added|mikh||mstislav-col|nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch||spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|35150002844671
съпасъ|съпасъ|Nb|55|sъpasъ|||||||masc_o|2|||saviour; salvation|||||1|e_sl|afnik|avv|||||||gol-gol|||||lav||||||||nov-sin||||||pskov_subtitle_added||||||sergrad||||stefan|suz-lav||usp-sbor|ust-vlad|varlaam|||8117624512771
златовьрхыи||A-|5|||||||||99||||||||0|e_sl|afnik||||||||||||||||||||||||||||||||||||spi||suz-lav|||||||343597383681
съ|съ|R-|3070|sъ||||||||0|||||||1|1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp||riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|35183825780735
и|и|Pp|6738|jь|||||||jь|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp||kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav|ostromir-col|paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|35184371038207
милость|милость|Nb|133|milostь|||||||fem_i|2||||||||1|e_sl|afnik|avv|||const|domo|drac||gol-gol|||klem|kur|lav||mikh||mstislav-col||||nov-sin|||paz|peter||||||rusprav||sergrad||smol-pol-lit||stefan|suz-lav||usp-sbor|||vest-kur||10353071274355
великыи|великъ|A-|815|velikъ|||||||adj_hard|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac||||kiev-hyp||kur|lav|luk-koloc_subtitle_added|mikh||||nov-list||nov-sin||||peter||pskov_subtitle_added|pvl-hyp|rig-smol1281||rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad||vest-kur|zadon|30785153856639
кънязь|кънѧѕь|Nb|1238|kъnęgь||kъnęgъ|kъnęʒь||||masc_o_PV3|2|1||prince|||Gmc. *kuningaz, probably Gothic||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|||gol-gol|golitsyn|kiev-hyp||kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|||nov-sin|novgorod-jaroslav|ostromir-col|||pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav||usp-sbor|ust-vlad||vest-kur|zadon|30236517857087
михаилъ||Ne|101|||||||||99||||||||0|e_sl|afnik|||bur-alph|const||drac||gol-gol|||||lav|||||nevsky-treaty|||nov-sin|novgorod-jaroslav|||||pskov_subtitle_added|pvl-hyp|||||sergrad||||stefan|suz-lav||usp-sbor|||||1520827638105
