torot_word|pos|morph_tag|deep_cleaned|lemma|sentence_no|pres_before|pres_after|text_id|subtitle_id|autotagged|subtitle_short|book_no|chapter|verse|variant_no
зоров̄авелѣ|||зоровавелѣ||5000011|| ·|10|1|1|MATT 1.12|1|1|12|1
Зоров̄авель|||зоровавель||5000012| | |10|1|1|MATT 1.13|1|1|13|1
же|||же||5000012|| |10|1|1|MATT 1.13|1|1|13|1
роді|||роді||5000012|| · |10|1|1|MATT 1.13|1|1|13|1
А̄віѹ̄да|||авіоуда||5000012|| · |10|1|1|MATT 1.13|1|1|13|1
А̄віѹ̄дъ|||авіоудъ||5000012|| |10|1|1|MATT 1.13|1|1|13|1
же|||же||5000012|| |10|1|1|MATT 1.13|1|1|13|1
роді|||роді||5000012|| |10|1|1|MATT 1.13|1|1|13|1
е̄лиа̄кіма|||еліакіма||5000012|| · |10|1|1|MATT 1.13|1|1|13|1
е̄лиа̄кимь|||еліакімь||5000012|| |10|1|1|MATT 1.13|1|1|13|1
же|||же||5000012|| |10|1|1|MATT 1.13|1|1|13|1
роді|||роді||5000012|| |10|1|1|MATT 1.13|1|1|13|1
А̄зара|||азара||5000012|| ·|10|1|1|MATT 1.13|1|1|13|1
А̄зарь|||азарь||5000013| | |10|1|1|MATT 1.14|1|1|14|1
же|||же||5000013|| |10|1|1|MATT 1.14|1|1|14|1
роді|||роді||5000013|| |10|1|1|MATT 1.14|1|1|14|1
садока|||садока||5000013|| · |10|1|1|MATT 1.14|1|1|14|1
садокь|||садокь||5000013|| |10|1|1|MATT 1.14|1|1|14|1
же|||же||5000013|| |10|1|1|MATT 1.14|1|1|14|1
роді|||роді||5000013|| |10|1|1|MATT 1.14|1|1|14|1
а̄хі̄на|||ахіна||5000013|| · |10|1|1|MATT 1.14|1|1|14|1
а̄хінъ|||ахінъ||5000013|| |10|1|1|MATT 1.14|1|1|14|1
же|||же||5000013|| |10|1|1|MATT 1.14|1|1|14|1
р҃оді|||роді||5000013|| |10|1|1|MATT 1.14|1|1|14|1
